battle,belligerent,description,strength
SC002,US,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South",
SC003,Confederate,"Companies A and H, 16th South Carolina Infantry and a section of the Marion Artillery",
SC003,US,"Gunboat USS Crusader and the transport Planter; Company E, 55th Pennsylvania Volunteer Infantry",
SC004,Confederate,First Military District of South Carolina,
SC004,US,South Atlantic Blockading Squadron,
SC005,Confederate,Fort Wagner garrison,
SC005,US,"Elements of the 1st Brigade (100th New York and 7th New Hampshire Infantry) and 2nd Brigade, 2nd Division, X Corps, Department of the South; the USS Catskill, USS Montauk, USS Nahant, and USS Weehawken",
SC006,Confederate,"1st Sub-division of the 1st Military District, South Carolina",
SC006,US,"1st Division, X Corps, Department of the South; Stono River Flotilla",
SC007,Confederate,Fort Wagner garrison,
SC007,US,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron",
SC008,Confederate,"Department of South Carolina, Georgia, and Florida, and Fort Sumter garrison",
SC008,US,"X Corps, Department of the South; South Atlantic Blockading Squadron",
SC009,Confederate,"Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons",
SC009,US,"X Corps, Department of the South, and the South Atlantic Blockading Squadron",
SC010,Confederate,"1st Division Georgia Militia; 3rd South Carolina Cavalry; 32nd and 47th Georgia Infantry; 1 Section, Stuart’s Company Artillery; 1 Section Depass’ Light Battery; 1 Gun of Kanapaux’s Company Light Artillery",
SC010,US,"Coastal Division, Department of the South; Marine Brigade, South Atlantic Blockading Squadron",
SC011,Confederate,"Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida",
SC011,US,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee",
TN001,Confederate,Fort Henry Garrison,
TN001,US,Flotilla (seven vessels),
TN002,Confederate,Fort Donelson Garrison,
TN002,US,"District of Cairo, Western Flotilla",
TN003,Confederate,Army of the Mississippi,
TN003,US,"Army of West Tennessee, Army of the Ohio, USS Tyler and USS Lexington",
TN004,Confederate,eight C.S. Navy Rams,
TN004,US,Five ironclads and two U.S. Army Rams,
TN005,Confederate,Chattanooga garrison,
TN005,US,Negley’s division,
TN006,Confederate,Forrest’s Cavalry Brigade,
TN006,US,Murfreesboro Garrison,
TN007,Confederate,Army of West Tennessee,
TN007,US,"Division, Union Army of West Tennessee",
TN008,Confederate,expeditionary force (two brigades),
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland)",
TN009,Confederate,Detachment of Forrest’s Cavalry Division,
TN009,US,Two regiments from the Jackson Garrison,
TN010,Confederate,Army of Tennessee,
TN010,US,Army of the Cumberland,
TN011,Confederate,Forrest’s Cavalry Brigade,
TN011,US,Two brigades,
TN012,Confederate,"Cavalry Division (approx. 2,500)",2500
TN012,US,Garrison (approx. 800),800
TN013,Confederate,"First Cavalry Corps, Army of Tennessee",
TN013,US,"Third Brigade, First Division, Reserve Corps, Department of the Cumberland",
TN014,Confederate,Morgan’s Cavalry Division,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps",
TN015,Confederate,Forrest’s Division,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",400
TN016,Confederate,"1st Cavalry Corps, Army of Tennessee",
TN016,US,Army of Kentucky,
TN017,Confederate,"two brigades, Stewart’s Division, Hardee’s Corps, Army of Tennessee, and 1st (3rd) Kentucky Cavalry Regiment",
TN017,US,"Wilder’s Brigade, XIV Army Corps, Army of the Cumberland",
TN018,Confederate,"Hill's Corps, Army of Tennessee",
TN018,US,"Wilder's Brigade, 4th Division, XIV Corps, Army of the Cumberland",
TN019,Confederate,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",1200
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",
TN020,Confederate,"1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",
TN020,US,Department of the Ohio,
TN021,Confederate,"Jenkins Division, Longstreet’s Corps",
TN021,US,"XI Army Corps and 2nd Division, XII Army Corps",
TN022,Confederate,"Cavalry Division (2,500)",2500
TN022,US,3rd Cavalry Brigade (850),850
TN023,Confederate,Longstreet’s Corps,
TN023,US,Department of the Ohio,
TN024,Confederate,Army of Tennessee,
TN024,US,Military Division of the Mississippi,
TN025,Confederate,Longstreet’s Corps,
TN025,US,Army of the Ohio,
TN026,Confederate,Longstreet’s 1st Corps Army of Northern Virginia,
TN026,US,"Cavalry Corps, Department of the Ohio",
TN027,Confederate,"Martin’s Cavalry Brigade, Department of East Tennessee",
TN027,US,"Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps",
TN028,Confederate,Department of East Tennessee,
TN028,US,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",
TN029,Confederate,"Cavalry Brigade, Department of East Tennessee",
TN029,US,"Cavalry Division, Cavalry Corps, Army of the Ohio",
TN030,Confederate,"Brig. Gen. James R. Chalmers’s 1st Division, Forrest’s Cavalry Corps",
TN030,US,Fort Pillow Garrison (approx. 600),600
TN031,Confederate,Forrest’s Cavalry Division,
TN031,US,Memphis Garrison,
TN032,Confederate,Forrest’s Cavalry Division,
TN032,US,Johnsonville garrison and three gunboats,
TN033,Confederate,"Department of Western Virginia and East Tennessee (approximately 2,400)",2400
TN033,US,"Governor’s Guard Brigade, State of Tennessee",
TN034,Confederate,Army of Tennessee,
TN034,US,XXIII Army Corps and elements of IV Army Corps,
TN035,Confederate,Army of Tennessee,
TN035,US,IV and XXIII Army Corps,
TN036,Confederate,Army of Tennessee,
TN036,US,"IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio",
TN037,Confederate,"Forrest’s Cavalry Division, Bate's Infantry Division, and Sears’s and Palmer’s Infantry Brigades",
TN037,US,Murfreesboro Garrison,
TN038,Confederate,Army of Tennessee,
TN038,US,"IV Corps, XXIII Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",
TX001,Confederate,Garrison at Sabine Pass,
TX001,US,Flotilla of the Western Gulf Blockading Squadron,
TX002,Confederate,Garrison at Galveston,
TX002,US,Mortar Flotilla of the Western Gulf Blockading Squadron,
TX003,Confederate,"Department of Texas, New Mexico and Arizona, and the Texas Marine Department",
TX003,US,"Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron",
TX005,Confederate,"Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers",
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",
TX006,Confederate,Garrison of Fort Griffon (Texan Davis Guards),
TX006,US,Flotilla of the Western Gulf Blockading Squadron and 150 Army sharpshooters,
VA001,Confederate,"Battery Garrison, unknown",
VA001,US,"Gunboats, 2",
VA002,Confederate,"Battery Garrison, approximately 1,000",1000
VA002,US,"Gunboats, 4",
VA003,Confederate,"1,200",1200
VA003,US,"3,500",3500
VA004,Confederate,"7,000",7000
VA004,US,"3,000",7000
VA005,Confederate,"32,230",32230
VA005,US,"28,450",28450
VA006,Confederate,"1,600",1600
VA006,US,"2,000",2000
VA007,Confederate,"approximately 4,000",4000
VA007,US,"approximately 5,000",5000
VA008,Confederate,"Warship, 1",
VA008,US,"Warships, 4",
VA009,Confederate,"53,000",53000
VA009,US,"118,000",118000
VA010,Confederate,"Divisions, 31,823",31823
VA010,US,"Corps, 40,768",40768
VA011,Confederate,"approximately 11,000",11000
VA011,US,"4 Gunboats, approximately 11,000",11000
VA012,Confederate,"Battery Garrison, unknown",
VA012,US,"Gunboats, 5",
VA013,Confederate,"Brigade, 4,000",4000
VA013,US,"Division, 12,000",12000
VA014,Confederate,"39,000",39000
VA014,US,"34,000",34000
VA015,Confederate,unknown,
VA015,US,unknown,
VA016,Confederate,"Divisions, 16,356",16356
VA016,US,"Corps, 15,631",15631
VA017,Confederate,"Army, 57,018",57018
VA017,US,"Corps, 34,214",34214
VA018,Confederate,unknown,
VA018,US,unknown,
VA019,Confederate,"Division, 14,000",14000
VA019,US,"II Corps, 26,000",26000
VA020,Confederate,"29,000",29000
VA020,US,"32,000",32000
VA021,Confederate,"approximately 80,000",80000
VA021,US,"approximately 80,000",80000
VA022,Confederate,"16,868",16868
VA022,US,"8,030",8030
VA023,Confederate,unknown,
VA023,US,unknown,
VA024,Confederate,,
VA024,US,,
VA025,Confederate,unknown,
VA025,US,unknown,
VA026,Confederate,"approximately 55,000",55000
VA026,US,"approximately 63,000",63000
VA027,Confederate,"20,000",20000
VA027,US,"6,000",6000
VA028,Confederate,"72,497",72497
VA028,US,"100,007",100007
VA029,Confederate,"Brigade, 800",800
VA029,US,"Divisions, 2,100",2100
VA030,Confederate,"approximately 20,000",20000
VA030,US,"Gunboat, approximately 17,000",17000
VA031,Confederate,,
VA031,US,,
VA032,Confederate,"57,352",57352
VA032,US,"97,382",97382
VA033,Confederate,"Brigades 10,000",10000
VA033,US,"VI Corps, 25,000",25000
VA034,Confederate,"approximately 12,000",12000
VA034,US,"approximately 25,000",25000
VA035,Confederate,"9,500",9500
VA035,US,"11,000",11000
VA036,Confederate,"approximately 1,500",1500
VA036,US,"approximately 2,000",2000
VA037,Confederate,unknown,
VA037,US,unknown,
VA038,Confederate,unknown,
VA038,US,unknown,
VA039,Confederate,"approximately 3,000",3000
VA039,US,"approximately 2,000",2000
VA040,Confederate,"17,218",17218
VA040,US,"8,383",8383
VA041,Confederate,"approximately 3,000",3000
VA041,US,unknown,
VA042,Confederate,unknown,
VA042,US,unknown,
VA043,Confederate,"2,000",2000
VA043,US,"2,000",2000
VA044,Confederate,"44,426",44426
VA044,US,"69,643",69643
VA045,Confederate,,
VA045,US,,
VA046,Confederate,"61,025",61025
VA046,US,"101,895",101895
VA047,Confederate,"2,600",2600
VA047,US,"8,000",8000
VA048,Confederate,"52,000",52000
VA048,US,"100,000",100000
VA049,Confederate,"2,400",2400
VA049,US,"6,555",6555
VA050,Confederate,unknown,
VA050,US,"5 gunboats, unknown",
VA051,Confederate,unknown,
VA051,US,unknown,
VA052,Confederate,"5,000",5000
VA052,US,"12,000",12000
VA053,Confederate,"18,000",18000
VA053,US,"30,000",30000
VA054,Confederate,,
VA054,US,,
VA055,Confederate,"53,000",53000
VA055,US,"68,000",68000
VA056,Confederate,"2,500",2500
VA056,US,"1 Gunboat, 1,100",1100
VA057,Confederate,unknown,
VA057,US,unknown,
VA058,Confederate,unknown,
VA058,US,unknown,
VA059,Confederate,"2,000",2000
VA059,US,unknown,
VA062,Confederate,"62,000",62000
VA062,US,"108,000",108000
VA063,Confederate,"42,000",42000
VA063,US,"62,000",62000
VA064,Confederate,"approximately 14,000",14000
VA064,US,"16,643",16643
VA065,Confederate,"8,000",8000
VA065,US,"27,000",27000
VA066,Confederate,unknown,
VA066,US,unknown,
VA067,Confederate,"5,000",5000
VA067,US,"4,000",4000
VA068,Confederate,"7,000",7000
VA068,US,"4,000",4000
VA069,Confederate,"16,500",16500
VA069,US,unknown,
VA070,Confederate,"Maj. General William Mahone’s Division, approximately 6,100",6100
VA070,US,"IX Corps, approximately 8,500",8500
VA071,Confederate,"approximately 20,000",20000
VA071,US,"approximately 30,000",30000
VA072,Confederate,"14,000",14000
VA072,US,"20,089",20089
VA073,Confederate,"14,000",14000
VA073,US,"9,000",9000
VA074,Confederate,"12,000",12000
VA074,US,"29,800",29800
VA075,Confederate,"14,500",14500
VA075,US,"25,000",25000
VA076,Confederate,"Confederate Home Guard, 300",300
VA076,US,"Brigade 5,000",5000
VA077,Confederate,unknown,
VA077,US,unknown,
VA078,Confederate,unknown,
VA078,US,unknown,
VA079,Confederate,"11,691",11691
VA079,US,"30,000",30000
VA080,Confederate,unknown,
VA080,US,unknown,
VA081,Confederate,,
VA081,US,,
VA082,Confederate,"2,800",2800
VA082,US,"4,500",4500
VA083,Confederate,"13,835",13835
VA083,US,"34,517",34517
VA084,Confederate,"10,000",10000
VA084,US,"14,898",14898
VA085,Confederate,"8,000",8000
VA085,US,"17,000",17000
VA086,Confederate,"20,030",20030
VA086,US,"45,247",45247
VA087,Confederate,"8,000",8000
VA087,US,"22,000",22000
VA088,Confederate,"10,600",10600
VA088,US,"22,000",22000
VA089,Confederate,"58,400",58400
VA089,US,"76,113",76113
VA090,Confederate,"3,000",3000
VA090,US,"1,500",1500
VA091,Confederate,332,332
VA091,US,unknown,
VA092,Confederate,"6,800",6800
VA092,US,"7,500",7500
VA093,Confederate,"16,900",16900
VA093,US,"36,500",36500
VA094,Confederate,"4,000",4000
VA094,US,"8,600",8600
VA095,Confederate,"1,200",1200
VA095,US,900,900
VA096,Confederate,"Artillery Train, approximately 3,000",3000
VA096,US,"3rd US Cavalry Division, approximately 4,000",4000
VA097,Confederate,"9,000",9000
VA097,US,"21,000",21000
VA098,Confederate,"2,500",2500
VA098,US,"4,500",4500
VA099,Confederate,"6,400",6400
VA099,US,"9,300",9300
VA100,Confederate,"Battery Garrison, approximately 50",50
VA100,US,"Gunboats, 2",
VA101,Confederate,"3,800",3800
VA101,US,"8,500",8500
VA102,Confederate,"6,000",6000
VA102,US,"6,500",6500
VA103,Confederate,"Brigade, 3,000",3000
VA103,US,"Garrison, 1,063",1063
VA104,Confederate,"16,000",16000
VA104,US,"6,500",6500
VA105,Confederate,"Division, 5,800",5800
VA105,US,"Army, 11,500",11500
VA106,Confederate,"6,000",6000
VA106,US,"3,500",3500
VA107,Confederate,"II Corps, 12,500",12500
VA107,US,"Garrison, 7,000",7000
VA108,Confederate,unknown,
VA108,US,unknown,
VA109,Confederate,"4,000",4000
VA109,US,"2,500",2500
VA110,Confederate,"4,090",4090
VA110,US,"6,275",6275
VA111,Confederate,"5,500",5500
VA111,US,"8,500",8500
VA113,Confederate,"4,100",4100
VA113,US,"5,500",5500
VA114,Confederate,"8,000",8000
VA114,US,"5,000",5000
VA115,Confederate,"approximately 3,300",3300
VA115,US,"approximately 2,350",2350
VA116,Confederate,"Corp, 14,000",14000
VA116,US,"Divisions 9,500",9500
VA117,Confederate,unknown,
VA117,US,unknown,
VA118,Confederate,unknown,
VA118,US,unknown,
VA119,Confederate,"15,200",15200
VA119,US,"39,240",39240
VA120,Confederate,"12,000",12000
VA120,US,"20,000",20000
VA121,Confederate,"3,500",3500
VA121,US,"6,300",6300
VA122,Confederate,"21,000",21000
VA122,US,"31,945",31945
VA123,Confederate,"1,600",1600
VA123,US,"2,500",2500
VA124,Confederate,700,700
VA124,US,"1,000",1000
VA125,Confederate,unknown,
VA125,US,"4,000",4000
WV001,Confederate,Recruits (approx. 800 men),800
WV001,US,"Indiana, Ohio, and Virginia Volunteers (approx. 3,000 men)",3000
WV002,Confederate,1st Brigade,
WV002,US,"1st Brigade and 6th Brigade, Patterson's Division",
WV003,Confederate,"Camp Garnett Garrison and associated regiments (approx. 1,300 men)",1300
WV003,US,"Department of the Ohio, force at Roaring Creek (approx. 3,000 men) and force at Hart Farm (approx. 1,900 men)",4900
WV004,Confederate,Confederate forces in the Kanawha Valley,
WV004,US,7th Ohio Regiment,
WV005,Confederate,Army of the Northwest,
WV005,US,"1st Brigade, Army of Occupation, Western Virginia",
WV006,Confederate,Army of the Kanawha,
WV006,US,Army of Occupation in Western Virginia,
WV007,Confederate,Camp Bartow Garrison,
WV007,US,"1st Brigade, Army of Occupation, Western Virginia",
WV008,Confederate,Camp Allegheny Garrison,
WV008,US,Army of the Northwest,
WV009,Confederate,"Army of East Kentucky and Wharton’s Brigade, Department of Southwest Virginia",
WV009,US,District of Kanawha,
WV010,Confederate,"2nd Wing, Army of Northern Virginia",
WV010,US,"Harpers Ferry Garrison (approx. 12,000 men)",12000
WV012,Confederate,"1st Brigade, Army of Southwestern Virginia",
WV012,US,1st Separate Brigade,
WV013,Confederate,Johnson's Cavalry Brigade,
WV013,US,Cavalry Division,
WV014,Confederate,Valley District,
WV014,US,Army of the Shenandoah,
WV015,Confederate,Valley District,
WV015,US,"First Cavalry Division, Army of the Shenandoah",
WV016,Confederate,"A.P. Hill’s Division, Army of Northern Virginia",
WV016,US,"V Corps, Army of the Potomac",
