reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,military_jim,military_ed,military_bill,protected_acres,protected_percent,county,land_value,priority1,url
KY009,Perryville,Battle,1862-10-08,1862-10-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",Mod,0,0,1,1,0,1,Good,A,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,A,A,196,8,Boyle,$750-1000,1,http://aad.archives.gov/aad/record-detail.jsp?rid=61&dt=295
KY010,Paducah,Attack,1864-03-25,1864-03-25,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Exp. into W. TN and KY (1864), 03/16/64, II",,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"McCraken, Paducah, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=330&dt=295
KY011,Cynthiana,Action,1864-06-11,1864-06-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Morgan's Raid into Kentucky (1864) 05/31/64, III",High,0,1,1,0,0,0,Fair,C,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,C,C,C,,,"Harrison, Cynthiana, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=331&dt=295
LA001,Forts Jackson & Phillip,Bombardment & Capture,1862-04-18,1862-04-28,Lower Seaboard Theater of Operation,"Expedition and Capture of New Orleans (1862), 04/18/62, II",Low,0,1,1,0,0,1,Poor,A,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,,A,,50,30,Plaquemines,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=64&dt=295
LA002,New Orleans,Occupation,1862-05-01,1862-05-01,Lower Seaboard Theater of Operation,"Expedition and Capture of New Orleans (1862), 04/18/62, II",High,1,1,1,1,0,1,Poor,B,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,C,A,,,,"St. Bernard, Orleans, New Orleans",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=310&dt=295
LA003,Baton Rouge,Engagement,1862-08-05,1862-08-05,Lower Seaboard Theater of Operation,"Operations about Vicksburg and Baton Rouge (1862), 08/05/62, II",High,0,1,1,1,0,0,Poor,B,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,B,,,,"E. Baton Rouge P, Baton Rouge, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=78&dt=295
LA004,Donaldsonville,Bombardment,1862-08-09,1862-08-09,Lower Seaboard Theater of Operation,"Operations about Vicksburg and Baton Rouge (1862), 08/05/62, II",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Ascension, Donaldsonville, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=66&dt=295
LA005,Georgia Landing,Action,1862-10-27,1862-10-27,Lower Seaboard Theater of Operation,"Operations in LaFourche District (1862), 10/24/62, III",Mod,0,0,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,C,,,LaFourche Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=79&dt=295
LA006,Fort Bisland,Engagement,1863-04-12,1863-04-13,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",Low,1,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,St. Mary Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=68&dt=295
LA007,Irish Bend,Engagement,1863-04-14,1863-04-14,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",Mod,0,1,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,C,,,"St. Mary Parish, Franklin, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=76&dt=295
LA008,Vermillion Bayou,Action,1863-04-17,1863-04-17,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lafayette Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=70&dt=295
LA009,Plains Store,Action,1863-05-21,1863-05-21,Lower Seaboard Theater of Operation,"Siege of Port Hudson (1863), 05/21/63, I",Low,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,C,C,,,E. Baton Rouge Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=80&dt=295
LA010,Port Hudson,Siege,1863-05-21,1863-07-08,Lower Seaboard Theater of Operation,"Siege of Port Hudson (1863), 05/21/63, I",High,0,0,1,1,0,1,Good,A,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,,,,640,,"E. Baton Rouge, E. Feliciana Parish",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=307&dt=295
LA011,Milliken's Bend,Attack,1863-06-07,1863-06-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,1,0,1,0,0,0,Lost,C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Madison Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=65&dt=295
LA012,LaFourche Crossing,Engagement,1863-06-20,1863-06-21,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",Mod,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,LaFourche Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=72&dt=295
LA013,Donaldsonville,Attack,1863-06-28,1863-06-28,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,D,,,,"Ascension, Donaldsonville, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=77&dt=295
LA014,Goodrich's Landing,Attack,1863-06-30,1863-06-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Low,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,D,,,,E. Carroll Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=67&dt=295
LA015,Kock's Plantation,Engagement,1863-07-12,1863-07-13,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",Mod,0,0,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,"Ascension, Assumption, Dondaldsonvi",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=62&dt=295
LA016,Stirling's Plantation,Action,1863-09-29,1863-09-29,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",Low,1,0,1,0,0,0,Fair,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,,,,Pointe Coupee Parish,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=63&dt=295
LA017,Fort De Russy,Capture,1864-03-14,1864-03-14,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",Low,0,0,1,0,0,0,Fair,B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Avoyelles,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=332&dt=295
LA018,Mansfield,Engagement,1864-04-08,1864-04-08,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",Low,0,0,1,1,0,1,Fair,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,44,5,Desoto,$500-1500,0,http://aad.archives.gov/aad/record-detail.jsp?rid=69&dt=295
LA019,Pleasant Hill,Engagement,1864-04-09,1864-04-09,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,B,,,,Sabine,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=71&dt=295
LA020,Blair's Landing,Engagement,1864-04-12,1864-04-13,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Unk,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,C,,,,Red River,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=73&dt=295
LA021,Monett's Ferry,Engagement,1864-04-23,1864-04-23,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Unk,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,Grant,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=74&dt=295
LA022,Mansura,Engagement,1864-05-16,1864-05-16,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",Mod,0,1,1,0,0,0,Fair,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,"Avoyelles, Mansura, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=75&dt=295
LA023,Yellow Bayou,Engagement,1864-05-18,1864-05-18,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",Mod,0,1,1,0,0,1,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Avoyelles, Simmesport, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=81&dt=295
MD001,Hancock,Bombardment,1862-01-05,1862-01-05,Main Eastern Theater of Operation,"Jackson's Ops. agnst B&O Railroad (1862), 01/01/62, III",Low,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Washington, Morgan, Hancock, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=82&dt=295
MD002,South Mountain,Battle,1862-09-14,1862-09-14,Main Eastern Theater of Operation,"Maryland Campaign (1862), 09/02/62, I",Mod,1,1,1,1,0,1,Good,B,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=333&dt=295
MD003,Antietam,Battle,1862-09-16,1862-09-17,Main Eastern Theater of Operation,"Maryland Campaign (1862), 09/02/62, I",Mod,1,0,1,0,0,1,Good,A,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,A,,3282,60,Washington,$4000-6000,1,http://aad.archives.gov/aad/record-detail.jsp?rid=85&dt=295
MD004,Williamsport,Action,1863-07-06,1863-07-16,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",Mod,1,0,1,0,0,1,Fair,C,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,C,C,,,,Washington,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=87&dt=295
MD006,Boonsborough,Action,1863-07-08,1863-07-08,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",High,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Washington, Boonsborough, Town of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=83&dt=295
MD007,Monocacy,Battle,1864-07-09,1864-07-09,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",High,1,0,1,0,0,1,Good,B,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,A,,,,Frederick,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=84&dt=295
MD008,Folck's Mill,Attack,1864-08-01,1864-08-01,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",Low,0,0,1,1,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Allegany,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=86&dt=295
MN001,Fort Ridgely,Action,1862-08-20,1862-08-22,Trans-Mississippi Theater of Operations,"Sibley's Ops Agnst Indians of the NW (1862), 08/20/62, III",Low,0,0,0,1,0,1,Good,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Nicollet,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=88&dt=295
MN002,Wood Lake,Skirmish,1862-09-23,1862-09-23,Trans-Mississippi Theater of Operations,"Sibley's Ops Agnst Indians of the NW (1862), 08/20/62, III",Low,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Yellow Medicine,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=381&dt=295
MO001,Boonville,Engagement,1861-06-17,1861-06-17,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Low,0,0,1,0,0,0,Fair,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cooper,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=89&dt=295
MO002,Carthage,Engagement,1861-07-05,1861-07-05,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Mod,0,0,1,1,0,1,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Jasper,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=96&dt=295
MO003,Liberty (Blue Mills),Action,1861-09-17,1861-09-17,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Clay,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=92&dt=295
MO004,Wilson's Creek,Battle,1861-08-10,1861-08-10,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Low,1,0,1,0,0,1,Good,A,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,A,,1750,75,"Greene, Christian",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=97&dt=295
MO005,Dry Wood Creek,Action,1861-09-02,1861-09-02,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Vernon,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=334&dt=295
MO006,Lexington,Siege,1861-09-13,1861-09-20,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",High,0,0,1,1,0,1,Fair,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Lafayette, Lexington, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=94&dt=295
MO007,Fredericktown,Engagement,1861-10-21,1861-10-21,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",Mod,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Madison,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=98&dt=295
MO008,Springfield,Action,1861-10-25,1861-10-25,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,1,1,0,0,1,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Greene, Springfield, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=95&dt=295
MO009,Belmont,Engagement,1861-11-07,1861-11-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. Junction of the Ohio and Miss. Rivers (1861), 11/07/61, III",High,0,0,1,1,0,1,Poor,C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Mississippi,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=90&dt=295
MO010,Mount Zion Church,Action,1861-12-28,1861-12-28,Trans-Mississippi Theater of Operations,"Operations in Northeast Missouri (1861), 12/27/61, III",Low,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Boone,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=91&dt=295
MO011,Roan's Tan Yard,Action,1862-01-08,1862-01-08,Trans-Mississippi Theater of Operations,"Operations in Northeast Missouri (1861), 12/27/61, III",Low,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Randolph,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=93&dt=295
MO012,New Madrid/Island No. 10,Operation,1862-02-28,1862-04-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Joint Operations [U] on the Middle Miss. R. (1862), 02/28/62, I",,0,0,1,0,0,0,Lost,A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,A,,0,0,"New Madrid, Lake, TN",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=99&dt=295
MO013,Kirksville,Action,1862-08-06,1862-08-06,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Adair, Kirksvill, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=100&dt=295
MO014,Independence,Action,1862-08-11,1862-08-11,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Jackson, Independence, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=101&dt=295
MO015,Lone Jack,Action,1862-08-16,1862-08-16,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",Mod,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jackson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=102&dt=295
MO016,Newtonia,Engagement,1862-09-30,1862-09-30,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",Mod,0,0,1,0,0,0,Good,C,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,B,,,,"Newton, Newtonia, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=103&dt=295
MO017,Clark's Mill,Action,1862-11-07,1862-11-07,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",Mod,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Douglas,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=104&dt=295
MO018,Springfield,Engagement,1863-01-08,1863-01-08,Trans-Mississippi Theater of Operations,"Marmaduke's Exped. Into Missouri (1862-63), 12/31/62, III",High,0,1,1,0,0,1,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Greene, Springfield, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=111&dt=295
MO019,Hartville,Engagement,1863-01-11,1863-01-11,Trans-Mississippi Theater of Operations,"Marmaduke's Exped. Into Missouri (1862-63), 12/31/62, III",Mod,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Wright, Hartville, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=107&dt=295
MO020,Cape Girardeau,Action,1863-04-26,1863-04-26,Trans-Mississippi Theater of Operations,"Marmaduke's Exp. Into Missouri (1863), 04/17/63, III",,0,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Cape Girardeau, Cape Giradeau, City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=112&dt=295
MO021,Fort Davidson,Attack,1864-09-27,1864-09-27,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Mod,0,0,1,1,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Iron, Pilot Knob, Town of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=109&dt=295
MO022,Glasgow,Action,1864-10-15,1864-10-15,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Howard, Glasgow, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=113&dt=295
MO023,Lexington,Action,1864-10-19,1864-10-19,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",High,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Lafayette, Lexington, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=105&dt=295
MO024,Little Blue River,Action,1864-10-21,1864-10-21,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Low,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jackson,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=110&dt=295
MO025,Independence,Action,1864-10-22,1864-10-22,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Jackson, Independence, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=106&dt=295
MO026,Byram's Ford,Engagement,1864-10-22,1864-10-23,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Mod,0,0,1,0,0,0,Poor,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Jackson, Kansas City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=108&dt=295
MO027,Westport,Engagement,1864-10-23,1864-10-23,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,1,1,0,0,1,Lost,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,,0,0,"Jackson, Kansas City",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=114&dt=295
MO028,Marmiton River,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Low,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Vernon,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=115&dt=295
MO029,Newtonia,Engagement,1864-10-28,1864-10-28,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",Mod,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Newton, Newtonia, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=116&dt=295
MS001,Iuka,Engagement,1862-09-19,1862-09-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",High,0,1,1,1,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Tishomingo, Iuka, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=119&dt=295
MS002,Corinth,Battle,1862-10-03,1862-10-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Batt. of Corinth and Pursuit fr Corinth (1862), 10/03/62, I",Mod,0,1,1,1,0,0,Poor,A,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,,A,,5,0,"Alcorn, Corinth, City of",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=118&dt=295
MS003,Chickasaw Bayou,Assault,1862-12-29,1862-12-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",High,0,1,1,1,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Warren,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=117&dt=295
MS004,Grand Gulf,Engagement,1863-03-31,1863-03-31,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Mod,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,C,,,,Claiborne,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=120&dt=295
MS005,Snyder's Bluff,Engagement,1863-04-29,1863-05-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Mod,0,1,1,1,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Warren,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=121&dt=295
MS006,Port Gibson,Battle,1863-05-01,1863-05-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",High,0,1,1,1,0,0,Good,B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Claiborne,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=122&dt=295
MS007,Raymond,Engagement,1863-05-12,1863-05-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",High,0,1,1,1,0,0,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Hinds,,1,http://aad.archives.gov/aad/record-detail.jsp?rid=123&dt=295
MS008,Jackson,Engagement,1863-05-14,1863-05-14,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,1,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Madison,,0,http://aad.archives.gov/aad/record-detail.jsp?rid=124&dt=295
MS009,Champion Hill,Battle,1863-05-16,1863-05-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Low,0,1,1,1,0,0,Good,A,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,A,,0,0,Hinds,$500-700,0,http://aad.archives.gov/aad/record-detail.jsp?rid=130&dt=295
MS010,Big Black River Bridge,Engagement,1863-05-17,1863-05-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",Low,0,0,1,1,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,"Hinds, Warren",,0,http://aad.archives.gov/aad/record-detail.jsp?rid=127&dt=295
MS011,Vicksburg,Siege,1863-05-19,1863-07-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",High,1,0,1,0,0,1,Fair,A,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,,A,,1618,30,"Warren, Vicksburg, City of",,1,http://aad.archives.gov/aad/record-detail.jsp?rid=131&dt=295
