battle_id,battle_name,state,county,start_date,end_date,casualties_min,casualties_max,casualties_text,cwsac_id
VA011,Eltham's Landing,VA,New Kent County,1862-05-07,1862-05-07,,,"186 US, 48 CS",VA011
VA012,Drewry's Bluff,VA,Chesterfield County,1862-05-15,1862-05-15,,,"24 US, 15 CS",VA012
VA013,Hanover Court House,VA,Hanover County,1862-05-27,1862-05-27,,,"355 US, 746 CS",VA013
VA014,Seven Pines,VA,Henrico County,1862-05-31,1862-06-01,,,"5,000 US, 6,100 CS",VA014
VA015,Oak Grove,VA,Henrico County,1862-06-25,1862-06-25,,,"626 US, 441 CS",VA015
VA016,Beaver Dam Creek (Mechanicsville/ Ellerson's Mill),VA,Hanover County,1862-06-26,1862-06-26,,,"361 US, 1,484 CS",VA016
VA017,Gaines' Mill,VA,Hanover County,1862-06-27,1862-06-27,,,"6,837 US, 8,750 CS",VA017
VA018,Garnett's and Golding's Farms,VA,Henrico County,1862-06-27,1862-06-28,,,"189 US, 438 CS",VA018
VA019,Savage's Station,VA,Henrico County,1862-06-29,1862-06-29,,,"919 US, 444 CS",VA019
VA020,Glendale and White Oak Swamp,VA,Henrico County,1862-06-30,1862-06-30,,,"2,700 US, 3,600 CS",VA020
VA021,Malvern Hill,VA,Henrico County,1862-07-01,1862-07-01,,,"3,000 US, 5,355 CS",VA021
VA022,Cedar Mountain,VA,Culpeper County,1862-08-09,1862-08-09,,,"2,500 US, 1,400 CS",VA022
VA023,Rappahannock River,VA,Culpeper and Fauquier Counties,1862-08-22,1862-08-25,225,225,225 total,VA023
VA024,Manassas Station/Junction,VA,Prince William County,1862-08-26,1862-08-27,,,unknown,VA024
VA025,Thoroughfare Gap,VA,Prince William and Fauquier Counties,1862-08-28,1862-08-28,100,100,100 total,VA025
VA026,Second Manassas,VA,Prince William County,1862-08-28,1862-08-30,,,"13,826 US, 8,353 CS",VA026
VA027,Chantilly,VA,Fairfax County,1862-09-01,1862-09-01,,,"1,300 US, 800 CS",VA027
VA028,Fredericksburg I,VA,Spotsylvania County and Fredericksburg,1862-12-11,1862-12-15,,,"12,600 US, 5,300 CS",VA028
VA029,Kelly's Ford,VA,Culpeper County,1863-03-17,1863-03-17,,,"99 US, 80 CS",VA029
VA030,Suffolk I,VA,Suffolk,1863-04-13,1863-04-15,,,,VA030
VA031,Suffolk II (Hill's Point),VA,Suffolk,1863-04-19,1863-04-19,1160,1160,"1,160 total for the entire siege of Suffolk, from April 11 to May 4; 260 US, 900 CS",VA031
VA032,Chancellorsville,VA,Spotsylvania County,1863-04-30,1863-05-06,,,"18,000 US, 12,800 CS, including the engagements at Fredericksburg and Salem Church",VA032
VA033,Salem Church,VA,Spotsylvania County,1863-05-03,1863-05-04,,,,VA033
VA034,Fredericksburg II,VA,Fredericksburg,1863-05-03,1863-05-03,,,,VA034
VA035,Brandy Station,VA,Culpeper County,1863-06-09,1863-06-09,,,"868 US, 515 CS",VA035
VA036,Aldie,VA,Loudoun County,1863-06-17,1863-06-17,,,,VA036
VA037,Middleburg,VA,Loudoun and Fauquier Counties,1863-06-17,1863-06-19,,,,VA037
VA038,Upperville,VA,Loudoun and Fauquier Counties,1863-06-21,1863-06-21,,,"for Aldie, Middleburg, and Upperville, 827 US, 510 CS",VA038
VA039,Auburn I,VA,Fauquier County,1863-10-13,1863-10-13,50,50,50 total,VA039
VA040,Bristoe Station,VA,Prince William County,1863-10-14,1863-10-14,,,"540 US, 1,380 CS",VA040
VA041,Auburn II,VA,Fauquier County,1863-10-14,1863-10-14,113,113,113 total,VA041
VA042,Buckland Mills,VA,Fauquier County,1863-10-19,1863-10-19,230,230,230 total,VA042
VA043,Rappahannock Station,VA,Culpeper and Fauquier Counties,1863-11-07,1863-11-07,,,"461 US, 2,041 CS",VA043
VA044,Mine Run,VA,Orange County,1863-11-26,1863-12-02,,,"1,633 US, 795 CS",VA044
VA045,Morton's Ford,VA,Orange and Culpeper Counties,1864-02-06,1864-02-07,723,723,723 total,VA045
VA046,Wilderness,VA,Spotsylvania County,1864-05-05,1864-05-06,,,"18,000 US, 10,800 CS",VA046
VA047,Port Walthall Junction,VA,Chesterfield County,1864-05-06,1864-05-07,560,560,550 total,VA047
VA048,Spotsylvania Court House,VA,Spotsylvania County,1864-05-08,1864-05-21,,,"18,000 US, 9,000-10,000 CS",VA048
VA049,Cloyd's Mountain,VA,Pulaski County,1864-05-09,1864-05-09,,,"688 US, 538 CS",VA049
VA050,Swift Creek and Fort Clifton,VA,Chesterfield County,1864-05-09,1864-05-09,990,990,990 total,VA050
VA051,Chester Station,VA,Chesterfield County,1864-05-10,1864-05-10,569,569,569 total,VA051
VA052,Yellow Tavern,VA,Henrico County,1864-05-11,1864-05-11,800,800,800 total,VA052
VA053,Proctor's Creek (Drewry's Bluff),VA,Chesterfield County,1864-05-12,1864-05-16,,,"3,004 US, 1,000 CS",VA053
VA054,Ware Bottom Church and Howlett Line,VA,Chesterfield County,1864-05-20,1864-05-20,1500,1500,"1,500 total",VA054
VA055,North Anna,VA,Hanover and Caroline Counties,1864-05-23,1864-05-26,,,"2,623 US, 2,517 CS",VA055
VA056,Wilson's Wharf,VA,Charles City County,1864-05-24,1864-05-24,,,"26 US, 140 CS",VA056
VA057,Totopotomoy Creek and Bethesda Church,VA,Hanover County,1864-05-28,1864-05-30,,,"731 US, 1,159 CS",VA057
VA058,Haw's Shop,VA,Hanover County,1864-05-28,1864-05-28,,,"344 US, 400 CS",VA058
VA059,Matadequin Creek (Old Church),VA,Hanover County,1864-05-30,1864-05-30,,,"90 US, unknown CS",VA059
VA062,Cold Harbor,VA,Hanover County,1864-05-31,1864-06-12,,,"13,000 US, 5,000 CS",VA062
VA063,Petersburg II,VA,Prince George County and Petersburg,1864-06-15,1864-06-18,,,"9,964-10,600 US, 2,974-4,700 CS",VA063
VA064,Lynchburg,VA,Lynchburg,1864-06-17,1864-06-18,,,"700 US, 200 CS",VA064
VA065,Jerusalem Plank Road,VA,Dinwiddie County and Petersburg,1864-06-21,1864-06-23,,,"2,962 US, 572 CS",VA065
VA067,Sappony Church,VA,Sussex County,1864-06-28,1864-06-28,,,see below,VA067
VA068,Reams Station I,VA,Dinwiddie County,1864-06-29,1864-06-29,1445,1445,"1,445 total for the raid",VA068
VA069,First Deep Bottom,VA,Henrico County,1864-07-27,1864-07-29,1000,1000,"1,000 total",VA069
VA070,The Crater,VA,Petersburg,1864-07-30,1864-07-30,,,"3,798 US, 1,491 CS",VA070
VA071,Second Deep Bottom,VA,Henrico County,1864-08-13,1864-08-20,,,"2,900 US, 1,300 CS",VA071
VA072,Globe Tavern,VA,Dinwiddie County,1864-08-18,1864-08-21,,,"4,455 US, 1,600 CS",VA072
VA073,Reams Station II,VA,Dinwiddie County,1864-08-25,1864-08-25,,,"2,742 US, 814 CS",VA073
VA074,Peebles' Farm,VA,Dinwiddie County,1864-09-30,1864-10-02,,,"2,869 US, 1,300 CS",VA074
VA075,Chaffin's Farm and New Market Heights,VA,Henrico County,1864-09-29,1864-09-30,,,"(VA075A) 3,300 US, 1,700 CS; (VA075B) 850 US, 50 CS",VA075
VA076,Saltville I,VA,Smyth County,1864-10-02,1864-10-02,,,"350 US, 108 CS",VA076
VA077,Darbytown and New Market Roads,VA,Henrico County,1864-10-07,1864-10-07,,,"458 US, 700 CS",VA077
VA078,Darbytown Road,VA,Henrico County,1864-10-13,1864-10-13,,,"437 US, 50 CS",VA078
VA079,Boydton Plank Road,VA,Dinwiddie County,1864-10-27,1864-10-27,,,"1,758 US, about 1,300CS",VA079
VA080,Fair Oaks and Darbytown Road,VA,Henrico County,1864-10-27,1864-10-28,,,"1,603 US, 100 CS",VA080
VA081,Marion,VA,Smyth County,1864-12-16,1864-12-18,300,300,300 total,VA081
VA082,Saltville II,VA,Smyth County,1864-12-20,1864-12-21,,,unknown,VA082
VA083,Hatcher's Run,VA,Dinwiddie County,1865-02-05,1865-02-07,,,"1,539 US, 1,000 CS",VA083
VA084,Fort Stedman,VA,Petersburg,1865-03-25,1865-03-25,,,"1,017 US, 2,681 (including 1,949 captured) CS",VA084
VA085,Lewis's Farm,VA,Dinwiddie County,1865-03-29,1865-03-29,,,"381 US, 371 CS",VA085
VA086,Dinwiddie Court House,VA,Dinwiddie County,1865-03-31,1865-03-31,,,"354 US, 760 CS",VA086
VA087,White Oak Road,VA,Dinwiddie County,1865-03-31,1865-03-31,,,"1,781 US, 900- 1,235 CS",VA087
VA088,Five Forks,VA,Dinwiddie County,1865-04-01,1865-04-01,,,"830 US, 3,000 CS",VA088
VA089,Petersburg III,VA,Dinwiddie County and Petersburg,1865-04-02,1865-04-02,,,"3,894 US, 4,852 CS",VA089
VA090,Sutherland Station,VA,Dinwiddie County,1865-04-02,1865-04-02,,,"366 US, 600 CS",VA090
VA091,Amelia Springs,VA,Amelia County,1865-04-05,1865-04-05,,,"158 US, unknown CS",VA091
VA092,Rice's Station,VA,Prince Edward County,1865-04-06,1865-04-06,,,"66 US, unknown CS",VA092
VA093,Sailor's Creek,VA,"Amelia, Nottaway, and Prince Edward Counties",1865-04-06,1865-04-06,,,"1,148 US, 7,700 CS",VA093
VA094,Cumberland Church,VA,Cumberland County,1865-04-07,1865-04-07,,,"571 US, unknown CS",VA094
VA095,High Bridge,VA,Prince Edward and Cumberland Counties,1865-04-06,1865-04-07,,,"847 (including 800 captured) US, 100 CS",VA095
VA096,Appomattox Station,VA,Appomattox County,1865-04-08,1865-04-08,,,"48 US, 1,000 captured, unknown killed and wounded CS",VA096
VA097,Appomattox Court House,VA,Appomattox County,1865-04-09,1865-04-09,,,"164 US, 500 CS (surrendered and paroled: 28,231)",VA097
VA098,Petersburg I,VA,Petersburg,1864-06-09,1864-06-09,120,120,120 total,VA098
VA099,Trevilian Station,VA,Louisa County,1864-06-11,1864-06-12,,,"1,007 US, 1,071 CS",VA099
VA100,Cockpit Point,VA,Prince William County,1862-01-03,1862-01-03,,,none,VA100
VA101,First Kernstown,VA,Frederick County and Winchester,1862-03-23,1862-03-23,,,"590 US, 718 CS",VA101
VA102,McDowell,VA,Highland County,1862-05-08,1862-05-08,,,"256 US, 500 CS",VA102
VA103,Front Royal,VA,Warren County,1862-05-23,1862-05-23,,,"904 US, 56 CS",VA103
VA104,First Winchester,VA,Frederick County and Winchester,1862-05-25,1862-05-25,,,"2,019 US, 400 CS",VA104
VA105,Cross Keys,VA,Rockingham County,1862-06-08,1862-06-08,,,"684 US, 288 CS",VA105
VA106,Port Republic,VA,Rockingham County,1862-06-09,1862-06-09,,,"800-1,000 US, 800 CS",VA106
VA107,Second Winchester,VA,Frederick County and Winchester,1863-06-13,1863-06-15,,,"4,443 US, 266 CS",VA107
VA108,Manassas Gap,VA,Warren and Fauquier Counties,1863-07-23,1863-07-23,440,440,440 total,VA108
VA109,Cove Mountain,VA,Wythe County,1864-05-10,1864-05-10,300,300,300 total,VA109
VA110,New Market,VA,Shenandoah County,1864-05-15,1864-05-15,,,"841 US, 520 CS",VA110
VA111,Piedmont,VA,Augusta County,1864-06-05,1864-06-05,,,"875 US, 1,600 CS",VA111
VA066,Samaria Church (Saint Mary's Church),VA,Charles City County,1864-06-24,1864-06-24,,,"350 US, 250 CS",VA066
VA113,Staunton River Bridge,VA,Halifax and Charlotte Counties,1864-06-25,1864-06-25,150,150,150 total,VA113
VA114,Cool Spring,VA,Clarke County,1864-07-17,1864-07-18,,,"422 US, 397 CS",VA114
VA115,Rutherford's Farm,VA,Frederick County and Winchester,1864-07-20,1864-07-20,,,"242 US, 500 CS",VA115
VA116,Second Kernstown,VA,Frederick County and Winchester,1864-07-24,1864-07-24,,,"1,185 US, 600 CS",VA116
VA117,Guard Hill,VA,Warren County,1864-08-16,1864-08-16,,,"71 US, 480 CS",VA117
VA118,Berryville,VA,Clarke County,1864-09-03,1864-09-04,,,"312 US, 195 CS",VA118
VA119,Opequon (Third Winchester),VA,Frederick and Clarke Counties and Winchester,1864-09-19,1864-09-19,,,"5,020 US, 3,610 CS",VA119
VA120,Fisher's Hill,VA,Shenandoah County,1864-09-21,1864-09-22,,,"528 US, 1,235 CS",VA120
VA121,Tom's Brook,VA,Shenandoah County,1864-10-09,1864-10-09,,,"57 US, 350 CS",VA121
VA122,Cedar Creek,VA,"Frederick, Shenandoah, and Warren Counties",1864-10-19,1864-10-19,,,"5,672 US, 2,910 CS",VA122
VA123,Waynesboro,VA,Augusta County,1865-03-02,1865-03-02,,,"30 US, 1,600 prisoners CS",VA123
VA124,Namozine Church,VA,Amelia County,1865-04-03,1865-04-03,,,"81 US, unknown CS",VA124
VA125,Walkerton,VA,King and Queen County,1864-03-02,1864-03-02,,,"100 US, none CS",VA125
WV001,Philippi,WV,Barbour County,1861-06-03,1861-06-03,,,"5 US, 6 CS",WV001
WV002,Hoke's Run (Falling Waters),WV,Berkeley County,1861-07-02,1861-07-02,,,"73 US, 25 CS",WV002
WV003,Rich Mountain,WV,Randolph County,1861-07-11,1861-07-11,,,"74 US, 88 CS",WV003
WV004,Kessler's Cross Lanes,WV,Nicholas County,1861-08-26,1861-08-26,,,"132 US, 40 CS",WV004
WV005,Cheat Mountain,WV,Pocahontas County,1861-09-12,1861-09-15,,,"71 US, 100 CS",WV005
WV006,Carnifex Ferry,WV,Nicholas County,1861-09-10,1861-09-10,,,"158 US, 32 CS",WV006
WV007,Greenbrier River,WV,Pocahontas County,1861-10-03,1861-10-03,,,"43 US, 52 CS",WV007
WV008,Camp Allegheny,WV,Pocahontas County,1861-12-13,1861-12-13,,,"137 US, 146 CS",WV008
WV009,Princeton Court House Princeton,WV,Mercer County,1862-05-15,1862-05-17,,,"129 US, 16 CS",WV009
WV010,Harpers Ferry,WV,Jefferson County,1862-09-12,1862-09-15,,,"12,719 US, 286 CS",WV010
WV012,Droop Mountain,WV,Pocahontas County,1863-11-06,1863-11-06,,,"140 US, 275 CS",WV012
WV013,Moorefield,WV,Hardy County,1864-08-07,1864-08-07,,,"31 US, 500 CS",WV013
WV014,Summit Point and Cameron's Depot,WV,Jefferson County,1864-08-21,1864-08-21,,,"600 US, 400 CS",WV014
WV015,Smithfield Crossing,WV,Jefferson and Berkeley Counties,1864-08-28,1864-08-29,,,"100 US, 200 CS",WV015
WV016,Shepherdstown,WV,Jefferson County,1862-09-19,1862-09-20,,,"363 US, 291 CS",WV016
