cwsac_id,battle_name,start_date,end_date,theater_code,campaign_code,result,cwss_url,partof_cwss,operation,forces_text,casualties_text,results_text,preservation,significance,cwsac_url,other_names,partof_cwsac,cws2_url,study_area,core_area,potnr_boundary,partof_cws2,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,significance_jim,significance_ed,significance_bill,aad_url,battle_type,partof_aad,lat,long,state,strength_mean,strength_var,casualties_kwm_mean,casualties_kwm_var,comment
LA019,Pleasant Hill,1864-04-09,1864-04-09,TM,TM64-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=LA019,TRUE,0,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; District of West Louisiana [CS],"3,100 total (US 1,100; CS 2,000)",Union victory,,B,http://www.nps.gov/abpp/battles/la019.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Plains Store to Yellow Bayou.pdf,4180.28,1711.34,4038.41,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=71&dt=295,Engagement,TRUE,31.851,-93.51,LA,,,2995,0.16666666666666666,
LA020,Blair's Landing,1864-04-12,1864-04-12,TM,TM64-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=LA020,TRUE,0,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron [US]; Green's Cavalry Division [CS]",207 total (US 7; CS 200),Union victory,,C,http://www.nps.gov/abpp/battles/la020.htm,Pleasant Hill Landing,TRUE,http://www.nps.gov/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,2547.77,995.07,1237.97,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=73&dt=295,Engagement,TRUE,31.941,-93.289,LA,,,117,8.416666666666668,
LA021,Monett's Ferry,1864-04-23,1864-04-23,TM,TM64-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=LA021,TRUE,0,Red River Expeditionary Force (Banks's Department of the Gulf) [US]; Bee's Cavalry Division [CS],600 total (US 200; CS 400),Union victory,,D,http://www.nps.gov/abpp/battles/la021.htm,Cane River Crossing,TRUE,http://www.nps.gov/abpp/CWSII/Mansfield to New Orleans.pdf,7293.24,2979.55,6819.62,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=74&dt=295,Engagement,TRUE,31.498,-92.857,LA,,,600,1666.6666666666667,
LA022,Mansura,1864-05-16,1864-05-16,TM,TM64-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=LA022,TRUE,0,Banks's Red River Expeditionary Force [US]; District of West Louisiana [CS],Unknown,Union victory,II.3,C,http://www.nps.gov/abpp/battles/la022.htm,Smith's Place; Marksville,TRUE,http://www.nps.gov/abpp/CWSII/Mansfield to New Orleans.pdf,7402.21,4350.24,2887.09,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=75&dt=295,Engagement,TRUE,31.055,-92.0478,LA,,,,,
LA023,Yellow Bayou,1864-05-18,1864-05-18,TM,TM64-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=LA023,TRUE,0,"1st and 3rd Divisions, XVI Army Corps [US]; District of Western Louisiana [CS]",860 total (US 360; CS 500),Union strategic victory,IV.1,C,http://www.nps.gov/abpp/battles/la023.htm,Norwood's Plantation,TRUE,http://www.nps.gov/abpp/CWSII/Plains Store to Yellow Bayou.pdf,5067.51,1318.55,3240.31,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=81&dt=295,Engagement,TRUE,30.9985,-91.8668,LA,,,860,841.6666666666667,
MD001,Hancock,1862-01-05,1862-01-06,ME,ME62-01,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD001,TRUE,0,Brigades,25 total,Inconclusive,III.4,D,http://www.nps.gov/abpp/battles/md001.htm,Romney Campaign,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,2684.44,277.72,415.16,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=82&dt=295,Bombardment,TRUE,39.6957,-78.177,MD,,,25,0.08333333333333333,
MD002,South Mountain,1862-09-14,1862-09-14,ME,ME62-06,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD002,TRUE,0,Corps,"4,500 total",Union victory,I.3,B,http://www.nps.gov/abpp/battles/md002.htm,Crampton's; Turner's; and Fox's Gaps,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,11557.21,2398.56,8529.69,TRUE,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=333&dt=295,Battle,TRUE,39.485,-77.6216,MD,,,4625,833.4166666666667,
MD003,Antietam,1862-09-16,1862-09-17,ME,ME62-06,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD003,TRUE,0,Armies,"23,100 total",Inconclusive (Union strategic victory.),I.2,A,http://www.nps.gov/abpp/battles/md003.htm,Sharpsburg,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,20906.82,4160.89,18543.99,TRUE,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=85&dt=295,Battle,TRUE,39.4732,-77.7447,MD,1e5,16666666.666666666,22700,1666.6666666666667,
MD004,Williamsport,1863-07-06,1863-07-06,ME,ME63-04,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD004,TRUE,0,Divisions,"1,730 total",Inconclusive,III.3,C,http://www.nps.gov/abpp/battles/md004.htm,Hagerstown; Falling Waters,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,46348.22,4039.57,24679.58,TRUE,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,C,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=87&dt=295,Action,TRUE,39.6333,-77.7167,MD,,,654,833.4166666666667,
MD006,Boonsboro,1863-07-08,1863-07-08,ME,ME63-04,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD006,TRUE,0,Divisions,100 total,Inconclusive,II.4,D,http://www.nps.gov/abpp/battles/md006.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,4560.61,1098.44,3159.74,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=83&dt=295,Action,TRUE,39.5254,-77.6632,MD,,,1078,8.416666666666668,"Consider only the Action on July 8 at Boonsboro. There are multiple small actions in this area between July 8 and 14.
"
MD007,Monocacy,1864-07-09,1864-07-09,ME,ME64-08,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD007,TRUE,0,Corps,"2,359 total",Confederate victory,I.3,B,http://www.nps.gov/abpp/battles/md007.htm,Battle that Saved Washington,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,10654.46,3092.29,3505.61,TRUE,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=84&dt=295,Battle,TRUE,39.3711,-77.392,MD,,,2094,833.4166666666667,
MD008,Folck's Mill,1864-08-01,1864-08-01,ME,ME64-08,Inconclusive,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MD008,TRUE,0,Divisions,38 total,Inconclusive,IV.1,D,http://www.nps.gov/abpp/battles/md008.htm,Cumberland,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMarylandUpdate.pdf,5244.86,687.89,3247.09,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=86&dt=295,Attack,TRUE,39.6639,-78.753,MD,,,60,16.666666666666668,
MN001,Fort Ridgley,1862-08-20,1862-08-22,TM,TM62-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MN001,TRUE,0,Fort Ridgely Garrison and refugee civilians [US]; Santee Sioux [I],Total unknown (US 16; I unknown),Union victory,III.3,C,http://www.nps.gov/abpp/battles/mn001.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,1307.13,242.85,1307.13,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=88&dt=295,Action,TRUE,44.4511,-94.7308,MN,,,,,
MN002,Wood Lake,1862-09-23,1862-09-23,TM,TM62-06,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MN002,TRUE,0,"Volunteer troops (about 1,500) [US]; Santee Sioux [I]",Total unknown (US 37; I unknown),Union victory,III.3,C,http://www.nps.gov/abpp/battles/mn002.htm,,TRUE,http://www.nps.gov/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,1193.91,701.24,1774.99,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=381&dt=295,Skirmish,TRUE,44.701111,-95.435833,MN,,,66,0.16666666666666666,
MO001,Boonville,1861-06-17,1861-06-17,TM,TM61-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO001,TRUE,0,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700) [US]; State Guard Troops [CS]",81 total (US 31; CS 50),Union victory,III.3,C,http://www.nps.gov/abpp/battles/mo001.htm,First Battle of Boonville,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,2405.72,697.84,1899.46,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=89&dt=295,Engagement,TRUE,38.9765,-92.743,MO,,,81,8.416666666666668,
MO002,Carthage,1861-07-05,1861-07-05,TM,TM61-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO002,TRUE,0,Brigade [US]; Missouri State Guard divisions [CS],244 total (US 44; CS 200),Confederate victory,II.3,C,http://www.nps.gov/abpp/battles/mo002.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,9209.83,2268.47,7539.72,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=96&dt=295,Engagement,TRUE,37.2,-94.34,MO,,,118,0.16666666666666666,
MO003,Liberty,1861-09-17,1861-09-17,TM,TM61-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO003,TRUE,0,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men) [US]; 4th Division, Missouri State Guard [CS]",126 total (US 56; CS 70),Confederate victory,III.4,D,http://www.nps.gov/abpp/battles/mo003.htm,Blue Mills Landing; Blue Mills,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,4206.09,427.64,1443.53,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=92&dt=295,Action,TRUE,39.1931,-94.3842,MO,,,132,8.416666666666668,
MO004,Wilson's Creek,1861-08-10,1861-08-10,TM,TM61-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO004,TRUE,0,Army of the West [US]; Missouri State Guard and McCulloch's Brigade [CS],"2,330 total (US 1,235; CS 1,095)",Confederate victory,III.1,A,http://www.nps.gov/abpp/battles/mo004.htm,Oak Hills,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,5109.74,1021.26,5109.74,TRUE,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=97&dt=295,Battle,TRUE,37.101,-93.4078,MO,,,1781,0.16666666666666666,
MO005,Dry Wood Creek,1861-09-02,1861-09-02,TM,TM61-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO005,TRUE,0,Kansas Cavalry Brigade (approx. 600) [US]; column of Missouri State Guard [CS],Total unknown (US 14; CS unknown),Confederate victory,III.4,D,http://www.nps.gov/abpp/battles/mo005.htm,Big Dry Wood Creek; Battle of the Mules,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,2927.57,1239.95,2927.57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=334&dt=295,Action,TRUE,37.8197,-94.4862,MO,6600,84166.66666666666,14,833.3333333333334,
MO006,Lexington I,1861-09-13,1861-09-20,TM,TM61-01,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO006,TRUE,0,"Garrison (approx. 3,500) [US]; Missouri State Guard (12,000) [CS]","1,874 total (US 1,774; CS 100)",Confederate victory,II.3,C,http://www.nps.gov/abpp/battles/mo006.htm,Battle of the Hemp Bales,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,1083.26,147.93,77.94,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=94&dt=295,Siege,TRUE,39.1915,-93.8786,MO,15500,84166.66666666666,3600,1666.6666666666667,
MO007,Fredericktown,1861-10-21,1861-10-21,TM,TM61-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO007,TRUE,0,"Brigade size force (approx. 2,500-3,500) [US]; Missouri State Guard [CS]",Total unknown (US unknown; CS 62),Union victory,II.4,D,http://www.nps.gov/abpp/battles/mo007.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,1105.8,256.28,447.52,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=98&dt=295,Engagement,TRUE,37.5434,-90.2969,MO,,,,,
MO008,Springfield I,1861-10-25,1861-10-25,TM,TM61-01,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO008,TRUE,0,Prairie Scouts and Frémont's Body Guard [US]; Missouri State Guard troops [CS],218 total (US 85; CS 133),Union victory,IV.2,D,http://www.nps.gov/abpp/battles/mo008.htm,Zagonyi's Charge,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,849.23,224.25,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=95&dt=295,Action,TRUE,37.2035,-93.3205,MO,,,218,0.16666666666666666,
MO009,Belmont,1861-11-07,1861-11-07,MW,MW61-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO009,TRUE,0,Division [US]; division [CS],"1,464 total (US 498; CS 966)",Union victory,IV.1,C,http://www.nps.gov/abpp/battles/mo009.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,4502.29,2714,3660.45,TRUE,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=90&dt=295,Engagement,TRUE,36.7657,-89.124,MO,,,1248,0.16666666666666666,
MO011,Roan's Tan Yard,1862-01-08,1862-01-08,TM,TM61-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO011,TRUE,0,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450) [US]; unknown [CS]",91 total (US 11; CS 80),Union victory,III.4,D,http://www.nps.gov/abpp/battles/mo011.htm,Silver Creek,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,1387.58,59.53,1329.25,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=93&dt=295,Action,TRUE,39.3246,-92.5584,MO,,,91,8.416666666666668,
MO013,Kirksville,1862-08-06,1862-08-09,TM,TM62-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO013,TRUE,0,Combined force (cavalry and artillery) [US]; Missouri Brigade [CS],456 total (US 88; CS 368),Union victory,IV.2,D,http://www.nps.gov/abpp/battles/mo013.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,10708.07,296.6,8754.17,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=100&dt=295,Action,TRUE,40.19,-92.6,MO,3500,84166.66666666666,456,0.16666666666666666,
MO014,Independence I,1862-08-11,1862-08-11,TM,TM62-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO014,TRUE,0,Garrison (approx. 300 [US]; 700-800[CS]),Total unknown (US approx. 344; CS unknown),Confederate victory,IV.2,D,http://www.nps.gov/abpp/battles/mo014.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,591.86,129.7,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=101&dt=295,Action,TRUE,39.0938,-94.4168,MO,1062,8.416666666666668,,,
MO015,Lone Jack,1862-08-15,1862-08-16,TM,TM62-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO015,TRUE,0,Detachments from fourteen companies of cavalry and a section of artillery (800 men) [US]; unknown [CS],270 total (US 160; CS 110),Confederate victory,II.4,D,http://www.nps.gov/abpp/battles/mo015.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,8645.19,85.62,954.58,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=102&dt=295,Action,TRUE,38.8706,-94.1881,MO,,,382,8.416666666666668,
MO016,Newtonia I,1862-09-30,1862-09-30,TM,TM62-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO016,TRUE,0,"Two brigades, Army of Kansas (1,500) [US]; Cooper's Division [CS]",345 total (US 245; CS 100),Confederate victory,II.3,C,http://www.nps.gov/abpp/battles/mo016.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,2638.96,861.74,2213.98,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=103&dt=295,Engagement,TRUE,36.8836,-94.1845,MO,,,323,0.16666666666666666,
MO017,Clark's Mill,1862-11-07,1862-11-07,TM,TM62-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO017,TRUE,0,"Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men) [US]; cavalry brigade (approx. 1,000 men) [CS]",Total unknown (US 113; CS unknown),Confederate victory,IV.1,D,http://www.nps.gov/abpp/battles/mo017.htm,Vera Cruz,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,4306.18,237.61,4306.18,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=104&dt=295,Action,TRUE,36.9207,-92.4888,MO,1113,83333.41666666666,153,0.16666666666666666,
MO018,Springfield II,1863-01-08,1863-01-08,TM,TM63-02,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO018,TRUE,0,"Southwestern District of Missouri Troops (2,000) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]",403 total (US 163; CS 240),"Union victory, although the raid ultimately failed.",IV.1,D,http://www.nps.gov/abpp/battles/mo018.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,4674.36,1182.63,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=111&dt=295,Engagement,TRUE,37.195,-93.3021,MO,,,403,8.416666666666668,
MO019,Hartville,1863-01-09,1863-01-11,TM,TM63-02,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO019,TRUE,0,"Detachment of infantry, cavalry, and artillery (approx. 700) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]",407 total (US 78; CS 329),Confederate victory,IV.1,D,http://www.nps.gov/abpp/battles/mo019.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,7654.6,454.31,4537.45,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=107&dt=295,Engagement,TRUE,37.2511,-92.5111,MO,,,407,0.16666666666666666,
MO020,Cape Girardeau,1863-04-26,1863-04-26,TM,TM63-03,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO020,TRUE,0,Garrison plus some reinforcements [US]; cavalry division [CS],337 total (US 12; CS 325),Union victory,IV.2,D,http://www.nps.gov/abpp/battles/mo020.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,6292.22,590.41,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=112&dt=295,Action,TRUE,37.3132,-89.5514,MO,,,337,0.16666666666666666,
MO021,Fort Davidson,1864-09-26,1864-09-28,TM,TM64-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO021,TRUE,0,Garrison [US]; Army of Missouri [CS],"1,684 total (US 184; CS 1,500)",Union victory,I.3,B,http://www.nps.gov/abpp/battles/mo021.htm,Pilot Knob,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,4556.3,1947.44,1760.9,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=109&dt=295,Attack,TRUE,37.6194,-90.6415,MO,,,1800,84166.66666666666,
MO023,Lexington II,1864-10-19,1864-10-19,TM,TM64-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO023,TRUE,0,"1st Division, Army of the Border [US]; Army of Missouri [CS]",Unknown,Confederate victory,IV.1,D,http://www.nps.gov/abpp/battles/mo023.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,6593.74,1793.09,3543.31,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=105&dt=295,Action,TRUE,39.1831,-93.875,MO,,,,,
MO024,Little Blue River,1864-10-21,1864-10-21,TM,TM64-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO024,TRUE,0,"1st Division, Army of the Border [US]; Army of Missouri [CS]",Unknown,Confederate victory,IV.1,D,http://www.nps.gov/abpp/battles/mo024.htm,Westport,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,8629.26,4913.99,2493.72,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,http://aad.archives.gov/aad/record-detail.jsp?rid=110&dt=295,Action,TRUE,39.1369,-94.3139,MO,,,,,
MO025,Independence II,1864-10-22,1864-10-22,TM,TM64-05,Confederate,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO025,TRUE,0,"Provisional cavalry division [US]; Fagan and Marmaduke's Divisions, Army of Missouri [CS]",Total unknown (US unknown; CS 140),Confederate victory,IV.2,C,http://www.nps.gov/abpp/battles/mo025.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Fort Davidson to Kirksville.pdf,6449.78,2797.3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=106&dt=295,Action,TRUE,39.0856,-94.4412,MO,,,,,
MO026,Byram's Ford,1864-10-22,1864-10-23,TM,TM64-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO026,TRUE,0,"1st Division, Army of the Border and provisional cavalry division [US]; Shelby and Marmaduke's Divisions [CS]",Unknown,Union victory,IV.1,B,http://www.nps.gov/abpp/battles/mo026.htm,Big Blue River,TRUE,http://www.nps.gov/abpp/CWSII/Belmont to Dry Wood Creek.pdf,3353.35,1328.45,185.66,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,http://aad.archives.gov/aad/record-detail.jsp?rid=108&dt=295,Engagement,TRUE,39.0228,-94.5307,MO,,,,,
MO027,Westport,1864-10-23,1864-10-23,TM,TM64-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO027,TRUE,0,Army of the Border [US]; Army of Missouri [CS],"3,000 total (US 1,500; CS 1,500)",Union victory,IV.2,A,http://www.nps.gov/abpp/battles/mo027.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,11179.39,5720.42,0,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,,http://aad.archives.gov/aad/record-detail.jsp?rid=114&dt=295,Engagement,TRUE,39.03,-94.5944,MO,,,3e3,1666.6666666666667,
MO028,Marmiton River,1864-10-25,1864-10-25,TM,TM64-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO028,TRUE,0,"Two brigades, provisional cavalry division [US]; Army of Missouri [CS]",Unknown,Union victory,III.4,D,http://www.nps.gov/abpp/battles/mo028.htm,Shiloh Creek; Charlot's Farm,TRUE,http://www.nps.gov/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,1472.51,811.08,1488.12,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,http://aad.archives.gov/aad/record-detail.jsp?rid=115&dt=295,Engagement,TRUE,37.8717,-94.6153,MO,,,,,
MO029,Newtonia II,1864-10-28,1864-10-28,TM,TM64-05,Union,http://www.nps.gov/civilwar/search-battles-detail.htm?battleCode=MO029,TRUE,0,Five brigades [US]; remnants of Price's Army of Missouri [CS],650 total (US 400; CS 250),Union victory,I.3,B,http://www.nps.gov/abpp/battles/mo029.htm,,TRUE,http://www.nps.gov/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,4328.24,1455.05,3434.04,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,http://aad.archives.gov/aad/record-detail.jsp?rid=116&dt=295,Engagement,TRUE,36.8739,-94.1903,MO,,,50,0.16666666666666666,
