battle_id,belligerent,strength,infantry,cavalry,crewmen,corps,cavalry_corps,divisions,cavalry_divisions,brigades,companies,frigates,gunboats,ironclads,sloops,steamers,warships_and_transports,warships,wooden_warships,guns,casualties,captured,killed,wounded,missing,killed_wounded,killed_missing,missing_captured,wounded_missing,guns_lost,guns_captured,small_arms_lost,small_arms_captured,warships_sunk,warships_damaged,gunboats_sunk,gunboats_captured,ironclads_sunk,ironclads_captured,forts_captured,note,str_mean,str_var
Perryville,US,36940,,,,,,,,,,,,,,,,,,,,,845,2851,,,,515,,,,,,,,,,,,,,36940,8.333333333333334
Petersburg (Battle of the Crater),Confederate,11466,,,,,,,,,,,,,,,,,,,1182,,,,,,,,,,,,,,,,,,,,,11466,0.08333333333333333
Petersburg (Battle of the Crater),US,20708,,,,,,,,,,,,,,,,,,,,,504,1181,,,,1413,,,,,,,,,,,,,,20708,0.08333333333333333
Petersburg (first assault),Confederate,41499,,,,,,,,,,,,,,,,,,,4752,,,,,,,,,,,,,,,,,,,,,41499,0.08333333333333333
Petersburg (first assault),US,63797,,,,,,,,,,,,,,,,,,,,,1688,8513,1185,,,,,,,,,,,,,,,,,63797,0.08333333333333333
Petersburg (second assault),Confederate,18579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18579,0.08333333333333333
Petersburg (second assault),US,63299,,,,,,,,,,,,,,,,,,,,,625,3189,326,,,,,,,,,,,,,,,,,63299,0.08333333333333333
Piedmont,Confederate,8500,,,,,,,,,,,,,,,,,,,,1000,,,,460,,,,,,,,,,,,,,,,8500,833.3333333333334
Piedmont,US,16000,,,,,,,,,,,,,,,,,,,,,130,650,,,,,,,,,,,,,,,,,,16e3,83333.33333333333
Pleasant Hill,Confederate,12500,,,,,,,,,,,,,,,,,,,1626,,,,,,,,,,,,,,,,,,,,,12500,833.3333333333334
Pleasant Hill,US,12247,,,,,,,,,,,,,,,,,,,,,150,844,375,,,,,,,,,,,,,,,,,12247,0.08333333333333333
Pocataligo,Confederate,2200,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,2200,833.3333333333334
Pocataligo,US,4500,,,,,,,,,,,,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,4500,833.3333333333334
Port Gibson,Confederate,5500,,,,,,,,,,,,,,,,,,,,,68,380,384,,,,,,,,,,,,,,,,,5500,833.3333333333334
Port Gibson,US,23000,,,,,,,,,,,,,,,,,,,,,131,719,25,,,,,,,,,,,,,,,,,23e3,83333.33333333333
Port Hudson (first assault),Confederate,6715,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,Use strength from Port Hudson Siege,6715,0.08333333333333333
Port Hudson (first assault),US,20000,,,,,,,,,,,,,,,,,,,,,293,1545,157,,,,,,,,,,,,,,,,Use strength from Port Hudson Siege,2e4,8333333.333333333
Port Hudson (second assault),Confederate,6480,,,,,,,,,,,,,,,,,,,,,22,25,,,,,,,,,,,,,,,,,Use strength from Port Hudson Siege minus first assault,6480,8.333333333333334
Port Hudson (second assault),US,18005,,,,,,,,,,,,,,,,,,,,,203,1401,188,,,,,,,,,,,,,,,,Use strength from Port Hudson Siege minus first assault,18005,0.08333333333333333
Port Hudson (siege),Confederate,6715,,,,,,,,,,,,,,,,,,57,,6340,,,,623,,,,57,,,,,,,,,,,,6715,0.08333333333333333
Port Hudson (siege),US,20000,,,,,,,,,,,,,,,,,,90,,,707,3336,319,,,,,,,,,,,,,,,,,2e4,8333333.333333333
Port Republic,Confederate,15000,,,,,,,,,,,,,,,,,,,,,98,719,45,,,,,,,,,,,,,,,,,15e3,83333.33333333333
Port Republic,US,5000,,,,,,,,,,,,,,,,,,,,558,67,393,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Prairie Grove,Confederate,12051,,,,,,,,,,,,,,,,,,,,,164,817,336,,,,,,,,,,,,,,,,,12051,0.08333333333333333
Prairie Grove,US,9546,,,,,,,,,,,,,,,,,,,,,175,813,263,,,,,,,,,,,,,,,,,9546,0.08333333333333333
Rappahannock Station,Confederate,2800,,,,,,,,,,,,,,,,,,,2033,,,,,,,,,,,,,,,,,,,,,2800,833.3333333333334
Rappahannock Station,US,,,,,1,,,,,,,,,,,,,,,461,,,,,,,,,,,,,,,,,,,,,18461.604,41113551.768952906
Raymond,Confederate,4000,,,,,,,,,,,,,,,,,,,,,73,251,190,,,,,,,,,,,,,,,,,4e3,83333.33333333333
Raymond,US,25000,,,,,,,,,,,,,,,,,,,,,66,339,37,,,,,,,,,,,,,,,,,25e3,83333.33333333333
Reams Station,Confederate,,,,,,,1,,,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,8145.194,7686588.80917316
Reams Station,US,,,,,,,3,,,,,,,,,,,,,,2073,140,529,,,,,,,,,,,,,,,,,,18931.466999999997,39436877.1340451
Rich Mountain/Laurel Mountain,Confederate,5300,,,,,,,,,,,,,,,,,,,,554,,,,170,,,,,,,,,,,,,,,,5300,833.3333333333334
Rich Mountain/Laurel Mountain,US,6000,,,,,,,,,,,,,,,,,,,,,12,49,,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Richmond (Kentucky),Confederate,6800,,,,,,,,,,,,,,,,,,,,,78,372,1,,,,,,,,,,,,,,,,,6800,833.3333333333334
Richmond (Kentucky),US,6500,,,,,,,,,,,,,,,,,,,,,206,844,,,,4303,,,,,,,,,,,,,,6500,833.3333333333334
Ringgold Gap,Confederate,4100,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,4100,833.3333333333334
Ringgold Gap,US,12000,,,,,,,,,,,,,,,,,,,,100,,,,342,,,,,,,,,,,,,,,,12e3,83333.33333333333
Roanoake Island,Confederate,3000,,,,,,,,,,,7,,,,,,,,,,24,,,,,,2897,32,,,,,,,5,,,,,3e3,83333.33333333333
Roanoake Island,US,13000,,,,,,,,,,,,,,,80,,,,,,41,,,,,,242,,,,,,,,,,,,,13e3,83333.33333333333
Sabine Crossroads,Confederate,8800,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,8800,833.3333333333334
Sabine Crossroads,US,12000,,,,,,,,,,,,,,,,,,,,1397,108,643,,,,,,20,,,,,,,,,,,,12e3,83333.33333333333
Savage's Station (Seven Days),Confederate,,,,,,,4,,,,,,,,,,,,,626,,,,,,,,,,,,,,,,,,,,,32580.776,122985420.94677056
Savage's Station (Seven Days),US,,,,,,,3,,,,,,,,,,,,,1590,,,,,,,,,,,,,,,,,,,,,18931.466999999997,39436877.1340451
Sayler's Creek,Confederate,10000,,,,,,,,,,,,,,,,,,,,6000,,,,2000,,,,,,,,,,,,,,,,1e4,8333333.333333333
Sayler's Creek,US,,,,,1,1,,,,,,,,,,,,,,,,166,,,,,,1014,,,,,,,,,,,,,32191.14,64293079.321209215
Secessionville,Confederate,3100,,,,,,,,,,,,,,,,,,,,,52,144,8,,,,,,,,,,,,,,,,,3100,833.3333333333334
Secessionville,US,4500,,,,,,,,,,,,,,,,,,,,,107,487,,,,89,,,,,,,,,,,,,,4500,833.3333333333334
Second Bull Run/Chantilly (Second Manassas),Confederate,48527,,,,,,,,,,,,,,,,,,,,,1481,7627,89,,,,,,,,,,,,,,,,,48527,0.08333333333333333
Second Bull Run/Chantilly (Second Manassas),US,75696,,,,,,,,,,,,,,,,,,,,,1724,8372,,,,5958,,30,,,,,,,,,,,,75696,0.08333333333333333
Selma,Confederate,7000,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,7e3,83333.33333333333
Selma,US,12500,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,12500,833.3333333333334
Seven Days Battles,Confederate,3478,,,,,,,,,,,,,,,,,,,,,,16261,,,,875,,,,,,,,,,,,,,3478,0.08333333333333333
Seven Days Battles,US,91169,,,,,,,,,,,,,,,,,,,,,1734,8062,,,,6053,,,,,,,,,,,,,,91169,0.08333333333333333
Shiloh (Pittsburg Landing),Confederate,40335,,,,,,,,,,,,,,,,,,,,,1723,8012,,,,959,,,,,,,,,,,,,,40335,0.08333333333333333
Shiloh (Pittsburg Landing),US,66812,,,,,,,,,,,,,,,,,,,,,1754,8408,,,,2885,,,,,,,,,,,,,,66812,0.08333333333333333
South Mountain,Confederate,17852,,,,,,,,,,,,,,,,,,,,,325,1560,,,,800,,,,,,,,,,,,,,17852,0.08333333333333333
South Mountain,US,28480,,,,,,,,,,,,,,,,,,,,,325,1403,85,,,,,,,,,,,,,,,,,28480,8.333333333333334
Spotsylvania Court House,Confederate,56000,,,,,,,,,,,,,,,,,,,,,1929,4803,5719,,,,,,,,,,,,,,,,,56e3,83333.33333333333
Spotsylvania Court House,US,101000,,,,,,,,,,,,,,,,,,,,,2725,13416,2258,,,,,,,,,,,,,,,,,101e3,83333.33333333333
Stones River (Murfreesboro),Confederate,37713,,,,,,,,,,,,,,,,,,,,,1294,7945,,,,2500,,,,,,,,,,,,,,37713,0.08333333333333333
Stones River (Murfreesboro),US,44000,,,,,,,,,,,,,,,,,,,,,1677,7543,,,,3686,,,,,,,,,,,,,,44e3,83333.33333333333
The Orchard (Seven Days),Confederate,6000,,,,,,,,,,,,,,,,,,,,,40,263,13,,,,,,,,,,,,,,,,,6e3,83333.33333333333
The Orchard (Seven Days),US,6000,,,,,,,,,,,,,,,,,,,,,51,401,64,,,,,,,,,,,,,,,,,6e3,83333.33333333333
Totopotomy Creek,Confederate,50000,,,,,,,,,,,,,,,,,,,,,342,882,367,,,,,,,,,,,,,,,,,5e4,8333333.333333333
Totopotomy Creek,US,100000,,,,,,,,,,,,,,,,,,,2103,,,,,,,,,,,,,,,,,,,,,1e5,833333333.3333334
Trevilian Station,Confederate,5000,,,,,,,,,,,,,,,,,,,,,126,338,318,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Trevilian Station,US,8000,,,,,,,,,,,,,,,,,,,,,102,470,435,,,,,,,,,,,,,,,,,8e3,83333.33333333333
Tupelo,Confederate,6600,,,,,,,,,,,,,,,,,,,,,210,1116,,,,,,,,,,,,,,,,,,6600,833.3333333333334
Tupelo,US,14200,,,,,,,,,,,,,,,,,,,,,77,559,38,,,,,,,,,,,,,,,,,14200,833.3333333333334
Valverde,Confederate,2515,,,,,,,,,,,,,,,,,,,,,36,150,,,,,,,,,,,,,,,,,,2515,0.08333333333333333
Valverde,US,3810,,,,,,,,,,,,,,,,,,,,,68,157,35,,,,,,,,,,,,,,,,,3810,8.333333333333334
Vicksburg (first assault),Confederate,30000,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,Use strength from Vicksburg siege,3e4,8333333.333333333
Vicksburg (first assault),US,71000,,,,,,,,,,,,,,,,,,,,,157,777,8,,,,,,,,,,,,,,,,Use strength from Vicksburg siege,71e3,83333.33333333333
Vicksburg (second assault),Confederate,29800,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,Use strength from Vicksburg siege minus casualties from the first assault.,29800,833.3333333333334
Vicksburg (second assault),US,70058,,,,,,,,,,,,,,,,,,,,,502,2550,147,,,,,,,,,,,,,,,,Use strength from Vicksburg siege minus casualties from the first assault.,70058,0.08333333333333333
Vicksburg (siege),Confederate,30000,,,,,,,,,,,,,,,,,,,,29396,,,,4910,,,,172,,60000,,,,,,,,,,3e4,8333333.333333333
Vicksburg (siege),US,71000,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,"casualties for entire campaign from April 30 to July 4: 1514 k, 7395 w, 453 cm",71e3,83333.33333333333
Westport,Confederate,9000,,,,,,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,,,,,,9e3,83333.33333333333
Westport,US,20000,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,2e4,8333333.333333333
White Oak Swamp (Seven Days),Confederate,,,,,,,2,,,,,,,,,,,,,,,638,2814,221,,,,,,,,,,,,,,,,,16290.388,30746355.23669264
White Oak Swamp (Seven Days),US,,,,,,,4,,,,,,,,,,,,,,,297,1696,1804,,,,,18,,,,,,,,,,,,25241.956,70110003.79385796
Wilderness,Confederate,61025,,,,,,,,,,,,,,,,,,,,,1957,7467,1701,,,,,,,,,,,,,,,,,61025,0.08333333333333333
Wilderness,US,101895,,,,,,,,,,,,,,,,,,,,,2246,12037,,,,3383,,,,,,,,,,,,,,101895,0.08333333333333333
Williamsburg (Fort Magruder),Confederate,31823,,,,,,,,,,,,,,,,,,,,,288,975,297,,,,,,,,,,,,,,,,,31823,0.08333333333333333
Williamsburg (Fort Magruder),US,40768,,,,,,,,,,,,,,,,,,,,,468,1442,373,,,,,,,,,,,,,,,,,40768,0.08333333333333333
Wilson's Creek,Confederate,15396,,,,,,,,,,,,,,,,,,,,,105,419,117,,,,,,,,,,,,,,,,,15396,0.08333333333333333
Wilson's Creek,US,5600,,,,,,,,,,,,,,,,,,,,,258,873,186,,,,,,,,,,,,,,,,,5600,833.3333333333334
Winchester (first),Confederate,17500,,,,,,,,,,,,,,,,,,,,,68,329,3,,,,,,,,,,,,,,,,,17500,833.3333333333334
Winchester (first),US,8500,,,,,,,,,,,,,,,,,,,,1714,62,243,,,,,,,,,,,,,,,,,,8500,833.3333333333334
Winchester (second),Confederate,14000,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,,,,,,14e3,83333.33333333333
Winchester (second),US,5100,,,,,,,,,,,,,,,,,,,,,95,348,4058,,,,,23,,,,,,,,,,,,5100,833.3333333333334
Yellow Bayou,Confederate,5000,,,,,,,,,,,,,,,,,,,608,,,,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Yellow Bayou,US,5000,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,5e3,83333.33333333333
Yellow Tavern,Confederate,4500,,,,,,,,,,,,,,,,,,,,,106,332,178,,,,,,,,,,,,,,,,,4500,833.3333333333334
Yellow Tavern,US,10000,,,,,,,,,,,,,,,,,,,625,,,,,,,,,,,,,,,,,,,,,1e4,8333333.333333333
