battle,belligerent,description,strength_min,strength_max,casualties,killed,wounded,missing,captured
TN018,Confederate,Hill's Corps,,,,,,,
TN018,US,Wilder's Brigade,,,,,,,
TN019,Confederate,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",1200,1200,165,,,,
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",,,27,,,,
TN020,Confederate,"1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",,,216,,,,
TN020,US,Department of the Ohio,,,100,,,,
TN021,Confederate,Hood's Division,,,408,,,,
TN021,US,"XI Army Corps and 2nd Division, XII Army Corps",,,420,,,,
TN022,Confederate,"cavalry division (2,500)",2500,2500,95,,,,
TN022,US,3rd Cavalry Brigade (850),850,850,60,,,,
TN023,Confederate,Confederate Forces in East Tennessee,,,570,,,,
TN023,US,Department of the Ohio,,,400,,,,
TN024,Confederate,Army of Tennessee,,,6670,,,,
TN024,US,Military Division of the Mississippi,,,5815,,,,
TN025,Confederate,Confederate Forces in East Tennessee,,,780,,,,
TN025,US,Department of the Ohio,,,100,,,,
TN026,Confederate,Confederate Forces in East Tennessee,,,900,,,,
TN026,US,"Cavalry Corps, Department of the Ohio",,,700,,,,
TN027,Confederate,"Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men)",2000,2000,,,,,
TN027,US,"Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps",,,151,,,,
TN028,Confederate,Department of East Tennessee,,,,,,,
TN028,US,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",,,150,,,,
TN029,Confederate,"Cavalry Division, Department of East Tennessee",,,165,,,,
TN029,US,"Cavalry Division, Cavalry Corps, Army of the Ohio",,,100,,,,
TN030,Confederate,"Brig. Gen. James R. Chalmers's 1st Division, Forrest's Cavalry Corps",,,80,,,,
TN030,US,Detachments from three units (approx. 600),600,600,574,,,,
TN031,Confederate,Forrest's Cavalry (approx. 400),400,400,34,,,,
TN031,US,Troops stationed at Memphis,,,160,,,,
TN032,Confederate,Forrest's Cavalry,,,,,,,
TN032,US,"Supply depot garrison (approx. 4,000)",4000,4000,,,,,
TN033,Confederate,"Department of Western Virginia and East Tennessee (approx. 2,400)",2400,2400,,,,,
TN033,US,"Governor's Guard Brigade, State of Tennessee",,,241,,,,
TN034,Confederate,Army of Tennessee,,,,,,,
TN034,US,XXIII Army Corps and elements of IV Army Corps,,,,,,,
TN035,Confederate,Army of Tennessee,,,,,,,
TN035,US,IV and XXIII Army Corps,,,,,,,
TN036,Confederate,Army of Tennessee,,,6261,,,,
TN036,US,IV and XXIII Army Corps (Army of the Ohio and Cumberland),,,2326,,,,
TN037,Confederate,"Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000)",6500,6500,197,,,,
TN037,US,"District of Tennessee (forces in Murfreesboro area; approx. 8,000)",8000,8000,225,,,,
TN038,Confederate,Army of Tennessee,,,4462,,,,
TN038,US,"IV Army Corps, XXIII Army Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",,,2140,,,,
TX001,Confederate,Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away,55,55,,,,,
TX001,US,"Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James",,,,,,,
TX002,Confederate,,,,0,,,,
TX002,US,,,,0,,,,
TX003,Confederate,"four Confederate gunboats and district of Texas, New Mexico, and Arizona troops",,,50,,,,
TX003,US,"Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships",,,600,,,,
TX005,Confederate,"Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers",,,,,,,
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,,118,,,,
TX006,Confederate,Texan Davis Guards (44 men),44,44,,,,,
TX006,US,4 gunboats and 7 transports loaded with troops,,,230,,,,
VA001,Confederate,battery garrison,,,,,,,
VA001,US,Two gunboats,,,,,,,
VA002,Confederate,battery garrison,,,,,,,
VA002,US,3 gunboats,,,,,,,
VA003,Confederate,"1,200",1200,1200,8,,,,
VA003,US,"3,500",3500,3500,79,,,,
VA004,Confederate,,,,68,,,,
VA004,US,,,,83,,,,
VA005,Confederate,"32,230",32230,32230,1750,,,,
VA005,US,"28,450",28450,28450,2950,,,,
VA006,Confederate,"1,600",1600,1600,149,,,,
VA006,US,"2,000",2000,2000,921,,,,
VA007,Confederate,,,,230,,,,
VA007,US,,,,71,,,,
VA008,Confederate,1 warship,,,24,,,,
VA008,US,4 warships,,,409,,,,
VA009,Confederate,,,,,,,,
VA009,US,,,,,,,,
VA010,Confederate,"31,823",31823,31823,1560,,,,
VA010,US,"40,768",40768,40768,2283,,,,
VA011,Confederate,,,,48,,,,
VA011,US,,,,194,,,,
VA012,Confederate,battery garrison,,,,,,,
VA012,US,5 gunboats,,,,,,,
VA013,Confederate,,,,930,,,,
VA013,US,,,,397,,,,
VA014,Confederate,,,,7997,,,,
VA014,US,,,,5739,,,,
VA015,Confederate,,,,541,,,,
VA015,US,,,,516,,,,
VA016,Confederate,"16,356",16356,16356,1300,,,,
VA016,US,"15,631",15631,15631,400,,,,
VA017,Confederate,"57,018",57018,57018,8700,,,,
VA017,US,"34,214",34214,34214,6800,,,,
VA018,Confederate,,,,,,,,
VA018,US,,,,,,,,
VA019,Confederate,,,,,,,,
VA019,US,,,,,,,,2500
VA020,Confederate,,,,,,,,
VA020,US,,,,,,,,
VA020A,Confederate,,,,,,,,
VA020A,US,,,,,,,,
VA020B,Confederate,,,,,,,,
VA020B,US,,,,,,,,
VA021,Confederate,,,,,,,,
VA021,US,,,,,,,,
VA022,Confederate,"16,868",16868,16868,1307,,,,
VA022,US,"8,030",8030,8030,1400,,,,
VA023,Confederate,,,,,,,,
VA023,US,,,,,,,,
VA024,Confederate,,,,,,,,
VA024,US,,,,,,,,
VA025,Confederate,,,,,,,,
VA025,US,,,,,,,,
VA026,Confederate,,,,8350,,,,
VA026,US,,,,13830,,,,
VA027,Confederate,,,,800,,,,
VA027,US,,,,1300,,,,
VA028,Confederate,"72,497",72497,72497,4576,,,,
VA028,US,"100,007",100007,100007,13353,,,,
VA029,Confederate,,,,,,,,
VA029,US,,,,,,,,
VA030,Confederate,,,,,,,,
VA030,US,,,,,,,,
VA031,Confederate,,,,,,,,
VA031,US,,,,,,,,
VA032,Confederate,"57,352",57352,57352,10000,,,,
VA032,US,"97,382",97382,97382,14000,,,,
VA033,Confederate,,,,,,,,
VA033,US,,,,,,,,
VA034,Confederate,,,,,,,,
VA034,US,,,,,,,,
VA035,Confederate,,,,,,,,
VA035,US,,,,,,,,
VA036,Confederate,,,,,,,,
VA036,US,,,,,,,,
VA037,Confederate,,,,,,,,
VA037,US,,,,,,,,
VA038,Confederate,,,,,,,,
VA038,US,,,,,,,,
VA039,Confederate,,,,,,,,
VA039,US,,,,,,,,
VA040,Confederate,,,,,,,,
VA040,US,,,,,,,,
VA041,Confederate,,,,,,,,
VA041,US,,,,,,,,
VA042,Confederate,,,,,,,,
VA042,US,,,,,,,,
VA043,Confederate,,,,,,,,1600
VA043,US,,,,,,,,
VA044,Confederate,"44,426",44426,44426,680,,,,
VA044,US,"69,643",69643,69643,1272,,,,
VA045,Confederate,,,,,,,,
VA045,US,,,,,,,,
VA046,Confederate,"61,025",61025,61025,11400,,,,
VA046,US,"101,895",101895,101895,18400,,,,
VA047,Confederate,,,,,,,,
VA047,US,,,,,,,,
VA048,Confederate,"52,000",52000,52000,12000,,,,
VA048,US,"100,000",100000,100000,18000,,,,
VA049,Confederate,,,,,,,,
VA049,US,,,,,,,,
VA050,Confederate,,,,,,,,
VA050,US,,,,,,,,
VA051,Confederate,,,,,,,,
VA051,US,,,,,,,,
VA052,Confederate,,,,,,,,
VA052,US,,,,,,,,
VA053,Confederate,"18,000",18000,18000,,,,,
VA053,US,"30,000",30000,30000,,,,,
VA054,Confederate,,,,,,,,
VA054,US,,,,,,,,
VA055,Confederate,,,,,,,,
VA055,US,,,,,,,,
VA056,Confederate,,,,,,,,
VA056,US,,,,,,,,
VA057,Confederate,,,,1100,,,,
VA057,US,,,,1100,,,,
VA058,Confederate,,,,400,,,,
VA058,US,,,,344,,,,
VA059,Confederate,,,,,,,,
VA059,US,,,,,,,,
VA062,Confederate,"62,000",62000,62000,2500,,,,
VA062,US,"108,000",108000,108000,13000,,,,
VA063,Confederate,"42,000",42000,42000,3236,,,,
VA063,US,"62,000",62000,62000,8150,,,,
VA064,Confederate,,,,,,,,
VA064,US,,,,,,,,
VA065,Confederate,,,,,,,,
VA065,US,,,,,,,,
VA066,Confederate,,,,,,,,
VA066,US,,,,,,,,
VA067,Confederate,,,,,,,,
VA067,US,,,,,,,,
VA068,Confederate,,,,,,,,
VA068,US,,,,,,,,
VA069,Confederate,,,,,,,,
VA069,US,,,,,,,,
VA070,Confederate,elements of the Army of Northern Virginia,,,,,,,
VA070,US,IX Corps,,,,,,,
VA071,Confederate,,,,,,,,
VA071,US,,,,,,,,
VA072,Confederate,,,,1600,,,,
VA072,US,,,,4279,,,,
VA073,Confederate,,,,,,,,
VA073,US,,,,,,,,
VA074,Confederate,,,,,,,,
VA074,US,,,,,,,,
VA075,Confederate,,,,,,,,
VA075,US,,,,,,,,
VA076,Confederate,,,,,,,,
VA076,US,,,,,,,,
VA077,Confederate,,,,,,,,
VA077,US,,,,,,,,
VA078,Confederate,,,,,,,,
VA078,US,,,,,,,,
VA079,Confederate,,,,1300,,,,
VA079,US,,,,1758,,,,
VA080,Confederate,,,,,,,,
VA080,US,,,,,,,,
VA081,Confederate,,,,,,,,
VA081,US,,,,,,,,
VA082,Confederate,,,,,,,,
VA082,US,,,,,,,,
VA083,Confederate,"13,835",13835,13835,,,,,
VA083,US,"34,517",34517,34517,,,,,
VA084,Confederate,,,,2900,,,,
VA084,US,,,,950,,,,
VA085,Confederate,,,,370,,,,
VA085,US,,,,380,,,,
VA086,Confederate,"20,030",20030,20030,,,,,
VA086,US,"45,247",45247,45247,,,,,
VA087,Confederate,,,,800,,,,
VA087,US,,,,1870,,,,
VA088,Confederate,,,,2950,,,,
VA088,US,,,,830,,,,
VA089,Confederate,,,,4250,,,,
VA089,US,,,,3500,,,,
VA090,Confederate,,,,600,,,,
VA090,US,,,,370,,,,
VA091,Confederate,,,,,,,,
VA091,US,,,,,,,,
VA092,Confederate,,,,,,,,
VA092,US,,,,,,,,
VA093,Confederate,,,,,,,,
VA093,US,,,,,,,,
VA094,Confederate,,,,255,,,,
VA094,US,,,,655,,,,
VA095,Confederate,,,,,,,,
VA095,US,,,,,,,,
VA096,Confederate,,,,,,,,
VA096,US,,,,,,,,
VA097,Confederate,,,,,,,,
VA097,US,,,,,,,,
VA098,Confederate,"2,500",,,,,,,
VA098,US,"4,500",4500,4500,,,,,
VA099,Confederate,,,,,,,,
VA099,US,,,,,,,,
VA100,Confederate,battery garrison,,,0,,,,
VA100,US,Two gunboats,,,0,,,,
VA101,Confederate,"3,800",3800,3800,718,,,,
VA101,US,"8,500",8500,8500,590,,,,
VA102,Confederate,"6,000",6000,6000,,,,,
VA102,US,"6,500",6500,6500,,,,,
VA103,Confederate,"3,000",3000,3000,56,,,,
VA103,US,"1,063",1063,1063,904,,,,
VA104,Confederate,"16,000",16000,16000,400,,,,
VA104,US,"6,500",6500,6500,2019,,,,
VA105,Confederate,"5,800",5800,5800,287,,,,
VA105,US,"11,500",11500,11500,664,,,,
VA106,Confederate,"6,000",6000,6000,816,,,,
VA106,US,"3,500",3500,3500,1002,,,,
VA107,Confederate,"12,500",12500,12500,266,,,,
VA107,US,"7,000",7000,7000,4443,,,,
VA108,Confederate,,,,,,,,
VA108,US,,,,,,,,
VA109,Confederate,,,,,,,,
VA109,US,,,,,,,,
VA110,Confederate,"4,090",4090,4090,540,,,,
VA110,US,"6,275",6275,6275,840,,,,
VA111,Confederate,"5,500",5500,5500,1500,,,,
VA111,US,"8,500",8500,8500,875,,,,
VA113,Confederate,,,,,,,,
VA113,US,,,,,,,,
VA114,Confederate,"8,000",8000,8000,397,,,,
VA114,US,"5,000",5000,5000,422,,,,
VA115,Confederate,,,,,,,,
VA115,US,,,,,,,,
VA116,Confederate,"13,000",13000,13000,600,,,,
VA116,US,"10,000",10000,10000,1200,,,,
VA117,Confederate,,,,,,,,
VA117,US,,,,,,,,
VA118,Confederate,,,,,,,,
VA118,US,,,,,,,,
VA119,Confederate,"15,200",15200,15200,3610,,,,
VA119,US,"39,240",39240,39240,5020,,,,
VA120,Confederate,"9,500",9500,9500,1235,,,,
VA120,US,"29,444",29444,29444,528,,,,
VA121,Confederate,"3,500",3500,3500,350,,,,
VA121,US,"6,300",6300,6300,57,,,,
VA122,Confederate,"21,000",21000,21000,2910,,,,
VA122,US,"31,945",31945,31945,5665,,,,
VA123,Confederate,"1,600",1600,1600,,,,,
VA123,US,"2,500",2500,2500,,,,,
VA124,Confederate,,,,,,,,
VA124,US,,,,,,,,
VA125,Confederate,,,,,,,,
VA125,US,,,,,,,,
WV001,Confederate,,,,26,,,,
WV001,US,,,,4,,,,
WV002,Confederate,,,,91,,,,
WV002,US,,,,23,,,,
WV003,Confederate,,,,300,,,,
WV003,US,,,,46,,,,
WV004,Confederate,,,,40,,,,
WV004,US,,,,245,,,,
WV005,Confederate,,,,90,,,,
WV005,US,,,,80,,,,
WV006,Confederate,,,,,,,,
WV006,US,,,,,,,,
WV007,Confederate,,,,40,,,,
WV007,US,,,,40,,,,
WV008,Confederate,,,,146,,,,
WV008,US,,,,137,,,,
WV009,Confederate,"Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia",,,16,4,12,0,0
WV009,US,District of the Kanawha,,,113,23,69,21,0
WV010,Confederate,,,,286,39,247,0,0
WV010,US,,,,12636,44,173,0,12419
WV012,Confederate,,,,,,,,
WV012,US,,,,,,,,
WV013,Confederate,,,,,,,,
WV013,US,,,,,,,,
WV014,Confederate,,,,,,,,
WV014,US,,,,,,,,
WV015,Confederate,,,,,,,,
WV015,US,,,,,,,,
WV016,Confederate,,,,,,,,
WV016,US,,,,,,,,
