battle_id,belligerent,strength_min,strength_max,casualties_min,casualties_max,killed_min,killed_max,wounded_min,wounded_max,missing_min,missing_max,captured_min,captured_max,killed_wounded_min,killed_wounded_max,wounded_missing_min,wounded_missing_max,captured_missing_min,captured_missing_max
"Battle_of_Jackson,_Tennessee",US,,,6,6,,,,,,,,,,,,,,
Battle_of_James_Island,Confederate,2000,2000,204,204,,,,,,,,,,,,,,
Battle_of_James_Island,US,6600,6600,685,685,,,,,,,,,,,,,,
Battle_of_Jenkins'_Ferry,Confederate,10000,10000,1000,1000,,,,,,,,,,,,,,
Battle_of_Jenkins'_Ferry,US,12000,12000,700,700,,,,,,,,,,,,,,
Battle_of_Jerusalem_Plank_Road,Confederate,8000,8000,572,572,,,,,,,,,,,,,,
Battle_of_Jerusalem_Plank_Road,US,27000,27000,2962,2962,,,,,,,,,,,,,,
Battle_of_Johnsonville,Confederate,,,,,2,2,9,9,,,,,,,,,,
Battle_of_Johnsonville,US,4000,4000,,,,,,,,,150,150,,,,,,
Battle_of_Jonesborough,Confederate,,,2000,2700,,,,,,,,,,,,,,
Battle_of_Jonesborough,US,,,1149,1149,,,,,,,,,,,,,,
Battle_of_Kelly's_Ford,Confederate,800,800,,,11,11,88,88,,,34,34,,,,,,
Battle_of_Kelly's_Ford,US,2100,2100,,,6,6,50,50,22,22,,,,,,,,
Battle_of_Kennesaw_Mountain,Confederate,17733,17733,1000,1000,,,,,,,,,,,,,,
Battle_of_Kennesaw_Mountain,US,16225,16225,3000,3000,,,,,,,,,,,,,,
Battle_of_Kessler's_Cross_Lanes,Confederate,2000,2000,40,40,,,,,,,,,,,,,,
Battle_of_Kessler's_Cross_Lanes,US,1000,1000,,,15,15,20,20,,,38,38,,,,,,
Battle_of_Killdeer_Mountain,Native American,1600,1600,,,31,150,,,,,,,,,,,,
Battle_of_Killdeer_Mountain,US,2200,2200,,,5,5,10,10,,,,,,,,,,
Battle_of_Kinston,Confederate,4000,4000,525,525,,,,,,,,,,,,,,
Battle_of_Kinston,US,10000,10000,260,260,,,,,,,,,,,,,,
Battle_of_Kirksville,Confederate,2500,2500,368,368,,,,,,,,,,,,,,
Battle_of_Kirksville,US,1000,1000,88,88,,,,,,,,,,,,,,
Battle_of_Kock's_Plantation,Confederate,,,33,33,,,,,,,,,,,,,,
Battle_of_Kock's_Plantation,US,,,430,430,,,,,,,,,,,,,,
Battle_of_Kolb's_Farm,Confederate,,,1500,1500,,,,,,,,,,,,,,
Battle_of_Kolb's_Farm,US,,,250,250,,,,,,,,,,,,,,
Battle_of_LaFourche_Crossing,Confederate,,,219,219,,,,,,,,,,,,,,
Battle_of_LaFourche_Crossing,US,838,838,48,48,,,,,,,,,,,,,,
Battle_of_Lewis's_Farm,Confederate,8000,8000,371,371,,,,,,,,,,,,,,
Battle_of_Lewis's_Farm,US,17000,17000,381,381,,,,,,,,,,,,,,
Battle_of_Liberty,Confederate,3500,3500,70,70,,,,,,,,,,,,,,
Battle_of_Liberty,US,600,600,56,56,,,,,,,,,,,,,,
Battle_of_Little_Blue_River,Confederate,8500,8500,,,,,,,,,,,,,,,,
Battle_of_Little_Blue_River,US,2000,2000,,,,,,,,,,,,,,,,
Battle_of_Lone_Jack,Confederate,1500,3000,110,110,,,,,,,,,,,,,,
Battle_of_Lone_Jack,US,800,800,160,160,,,,,,,,,,,,,,
Battle_of_Lovejoy's_Station,Confederate,,,240,240,,,,,,,,,,,,,,
Battle_of_Lovejoy's_Station,US,,,237,237,,,,,,,,,,,,,,
Battle_of_Lynchburg,Confederate,14000,14000,,,6,6,95,95,,,,,,,,,,
Battle_of_Lynchburg,US,16643,16643,800,800,,,,,,,,,,,,,,
Battle_of_Malvern_Hill,Confederate,55000,55000,5650,5650,,,,,,,,,,,,,,
Battle_of_Malvern_Hill,US,54000,54000,2100,2100,,,,,,,,,,,,,,
Battle_of_Manassas_Gap,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Manassas_Gap,US,,,,,,,,,,,,,,,,,,
Battle_of_Mansfield,Confederate,14000,14000,,,,,,,,,,,1000,1000,,,,
Battle_of_Mansfield,US,12000,12000,,,,,,,,,,,694,694,,,1423,1423
Battle_of_Mansura,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Mansura,US,,,,,,,,,,,,,,,,,,
Battle_of_Marais_des_Cygnes,Confederate,7000,7000,,,,,,,,,,,,,,,,
Battle_of_Marais_des_Cygnes,US,2600,2600,,,,,,,,,,,,,,,,
Battle_of_Marietta,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Marietta,US,,,,,,,,,,,,,,,,,,
Battle_of_Marion,Confederate,1200,1500,,,91,91,29,29,,,,,,,,,,
Battle_of_Marion,US,4200,5500,,,89,89,55,55,,,,,,,,,,
Battle_of_Marks'_Mills,Confederate,,,293,293,,,,,,,,,,,,,,
Battle_of_Marks'_Mills,US,,,1500,1500,,,,,,,,,,,,,,
Battle_of_Marmiton_River,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Marmiton_River,US,,,,,,,,,,,,,,,,,,
Battle_of_McDowell,Confederate,6000,6000,,,116,116,300,300,4,4,,,,,,,,
Battle_of_McDowell,US,6500,6500,,,34,34,220,220,5,5,,,,,,,,
Battle_of_Memphis,Confederate,,,180,180,,,,,,,,,,,,,,
Battle_of_Memphis,US,,,1,1,,,,,,,,,,,,,,
Battle_of_Meridian,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Meridian,US,26847,26847,170,170,,,,,,,,,,,,,,
Battle_of_Middle_Boggy_Depot,Confederate,90,90,,,49,49,,,,,,,,,,,,
Battle_of_Middle_Boggy_Depot,US,350,350,,,,,,,,,,,,,,,,
Battle_of_Middle_Creek,Confederate,2500,2500,65,65,,,,,,,,,,,,,,
Battle_of_Middle_Creek,US,2100,2100,27,27,,,,,,,,,,,,,,
Battle_of_Middleburg,Confederate,,,40,40,,,,,,,,,,,,,,
Battle_of_Middleburg,US,,,349,349,,,,,,,,,,,,,,
Battle_of_Mill_Springs,Confederate,5900,5900,,,125,125,,,,,,,,,404,404,,
Battle_of_Mill_Springs,US,4400,4400,,,39,39,207,207,,,,,,,,,,
Battle_of_Milliken's_Bend,Confederate,,,185,185,,,,,,,,,,,,,,
Battle_of_Milliken's_Bend,US,,,652,652,,,,,,,,,,,,,,
Battle_of_Mine_Creek,Confederate,7000,7000,1200,1200,,,,,,,,,,,,,,
Battle_of_Mine_Creek,US,2600,2600,100,100,,,,,,,,,,,,,,
Battle_of_Mine_Run,Confederate,48000,48000,680,680,,,,,,,,,,,,,,
Battle_of_Mine_Run,US,81000,81000,1272,1272,,,,,,,,,,,,,,
Battle_of_Mobile_Bay,Confederate,1500,1500,,,13,13,22,22,,,1587,1587,,,,,,
Battle_of_Mobile_Bay,US,5500,5500,,,151,151,177,177,,,,,,,,,,
Battle_of_Monett's_Ferry,Confederate,,,400,400,,,,,,,,,,,,,,
Battle_of_Monett's_Ferry,US,,,200,200,,,,,,,,,,,,,,
Battle_of_Monocacy,Confederate,14000,14000,700,900,,,,,,,,,,,,,,
Battle_of_Monocacy,US,5800,5800,1294,1294,,,,,,,,,,,,,,
Battle_of_Monroe's_Crossroads,Confederate,3000,3000,86,86,,,,,,,,,,,,,,
Battle_of_Monroe's_Crossroads,US,1850,1850,183,183,,,,,,,,,,,,,,
Battle_of_Moorefield,Confederate,3000,3000,488,488,,,,,,,,,,,,,,
Battle_of_Moorefield,US,1760,1760,42,42,,,,,,,,,,,,,,
Battle_of_Morton's_Ford,Confederate,,,60,60,,,,,,,,,,,,,,
Battle_of_Morton's_Ford,US,,,262,262,,,,,,,,,,,,,,
Battle_of_Mossy_Creek,Confederate,2000,2000,,,,,,,,,,,,,,,,
Battle_of_Mossy_Creek,US,,,151,151,,,,,,,,,,,,,,
Battle_of_Mount_Zion_Church,Confederate,900,900,,,25,25,150,150,,,60,60,,,,,,
Battle_of_Mount_Zion_Church,US,440,440,,,3,3,63,63,,,4,4,,,,,,
Battle_of_Munfordville,Confederate,,,714,714,,,,,,,,,,,,,,
Battle_of_Munfordville,US,,,4148,4148,,,,,,,,,,,,,,
Battle_of_Namozine_Church,Confederate,700,700,,,,,15,15,,,350,350,,,,,,
Battle_of_Namozine_Church,US,1000,1000,,,,,,,,,,,95,95,,,,
Battle_of_Nashville,Confederate,30000,30000,,,,,,,,,,,1500,1500,,,4500,4500
Battle_of_Nashville,US,55000,55000,,,387,387,2558,2558,,,,,,,,,112,112
Battle_of_Natural_Bridge,Confederate,1000,1000,,,3,3,23,23,,,,,,,,,,
Battle_of_Natural_Bridge,US,,,,,21,21,89,89,,,38,38,,,,,,
Battle_of_New_Bern,Confederate,,,,,64,64,101,101,,,,,,,,,413,413
Battle_of_New_Bern,US,,,,,90,90,380,380,1,1,,,,,,,,
Battle_of_New_Hope_Church,Confederate,,,350,350,,,,,,,,,,,,,,
Battle_of_New_Hope_Church,US,,,1665,1665,,,,,,,,,,,,,,
Battle_of_New_Market,Confederate,4087,4087,531,531,,,,,,,,,,,,,,
Battle_of_New_Market,US,6275,6275,841,841,,,,,,,,,,,,,,
Battle_of_North_Anna,Confederate,53000,53000,,,124,124,704,704,,,,,,,,,724,724
Battle_of_North_Anna,US,68000,68000,2623,2623,,,,,,,,,,,,,,
Battle_of_Oak_Grove,Confederate,,,,,66,66,362,362,13,13,,,,,,,,
Battle_of_Oak_Grove,US,,,,,68,68,503,503,55,55,,,,,,,,
Battle_of_Okolona,Confederate,2500,2500,50,50,,,,,,,,,,,,,,
Battle_of_Okolona,US,7000,7000,100,100,,,,,,,,,,,,,,
Battle_of_Old_Church,Confederate,2000,2000,188,188,,,,,,,,,,,,,,
Battle_of_Old_Church,US,,,90,90,,,,,,,,,,,,,,
Battle_of_Old_Fort_Wayne,Confederate,,,150,150,,,,,,,,,,,,,,
Battle_of_Old_Fort_Wayne,US,,,14,14,,,,,,,,,,,,,,
Battle_of_Old_River_Lake,Confederate,,,100,100,,,,,,,,,,,,,,
Battle_of_Old_River_Lake,US,,,180,180,,,,,,,,,,,,,,
Battle_of_Olustee,Confederate,5000,5000,946,946,,,,,,,,,,,,,,
Battle_of_Olustee,US,5500,5500,1861,1861,,,,,,,,,,,,,,
Battle_of_Opequon,Confederate,12000,12000,3610,3610,,,,,,,,,,,,,,
Battle_of_Opequon,US,40000,40000,5020,5020,,,,,,,,,,,,,,
Battle_of_Paducah,Confederate,3000,3000,50,50,,,,,,,,,,,,,,
Battle_of_Paducah,US,650,650,90,90,,,,,,,,,,,,,,
Battle_of_Palmito_Ranch,Confederate,300,300,,,,,5,6,,,3,3,,,,,,
Battle_of_Palmito_Ranch,US,500,500,,,4,30,12,12,,,101,101,,,,,,
Battle_of_Parker's_Cross_Roads,Confederate,1800,1800,500,500,,,,,,,,,,,,,,
Battle_of_Parker's_Cross_Roads,US,3000,3000,237,237,,,,,,,,,,,,,,
Battle_of_Pea_Ridge,Confederate,16000,16000,2000,2000,,,,,,,,,,,,,,
Battle_of_Pea_Ridge,US,10500,10500,1384,1384,,,,,,,,,,,,,,
Battle_of_Peachtree_Creek,Confederate,20250,20250,2500,2500,,,,,,,,,,,,,,
Battle_of_Peachtree_Creek,US,21655,21655,1900,1900,,,,,,,,,,,,,,
Battle_of_Peebles'_Farm,Confederate,10000,10000,1239,1239,,,,,,,,,,,,,,
Battle_of_Peebles'_Farm,US,29800,29800,2889,2889,,,,,,,,,,,,,,
Battle_of_Perryville,Confederate,16000,16000,,,532,532,2641,2641,,,,,,,,,228,228
Battle_of_Perryville,US,22000,22000,,,894,894,2911,2911,,,,,,,,,471,471
Battle_of_Philippi_(West_Virginia),Confederate,800,800,26,26,,,,,,,,,,,,,,
Battle_of_Philippi_(West_Virginia),US,3000,3000,4,4,,,,,,,,,,,,,,
Battle_of_Pickett's_Mill,Confederate,,,500,500,,,,,,,,,,,,,,
Battle_of_Pickett's_Mill,US,14000,14000,1600,1600,,,,,,,,,,,,,,
Battle_of_Piedmont,Confederate,5500,5500,,,,,,,,,1000,1000,500,500,,,,
Battle_of_Piedmont,US,8500,8500,875,875,,,,,,,,,,,,,,
Battle_of_Pine_Bluff,Confederate,2000,2000,40,40,,,,,,,,,,,,,,
Battle_of_Pine_Bluff,US,850,850,56,56,,,,,,,,,,,,,,
Battle_of_Plains_Store,Confederate,600,600,100,100,,,,,,,,,,,,,,
Battle_of_Plains_Store,US,,,150,150,,,,,,,,,,,,,,
Battle_of_Pleasant_Hill,Confederate,12100,12100,,,,,,,,,426,426,1200,1200,,,,
Battle_of_Pleasant_Hill,US,12000,12000,,,150,150,844,844,375,375,,,,,,,,
Battle_of_Plymouth_(1864),Confederate,4500,4500,800,800,,,,,,,,,,,,,,
Battle_of_Plymouth_(1864),US,2500,2500,2000,2000,,,,,,,,,,,,,,
Battle_of_Poison_Spring,Confederate,,,114,114,,,,,,,,,,,,,,
Battle_of_Poison_Spring,US,1100,1100,301,301,,,,,,,,,,,,,,
Battle_of_Port_Gibson,Confederate,,,787,787,,,,,,,,,,,,,,
Battle_of_Port_Gibson,US,,,861,861,,,,,,,,,,,,,,
Battle_of_Port_Republic,Confederate,6000,6000,816,816,,,,,,,,,,,,,,
Battle_of_Port_Republic,US,3500,3500,1002,1002,,,,,,,,,,,,,,
Battle_of_Port_Walthall_Junction,Confederate,2600,2600,,,,,,,,,,,,,,,,
Battle_of_Port_Walthall_Junction,US,8000,8000,,,,,,,,,,,,,,,,
Battle_of_Prairie_D'Ane,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Prairie_D'Ane,US,,,,,,,,,,,,,,,,,,
Battle_of_Prairie_Grove,Confederate,11059,11059,1317,1317,,,,,,,,,,,,,,
Battle_of_Prairie_Grove,US,9216,9216,1251,1251,,,,,,,,,,,,,,
Battle_of_Princeton_Court_House,Confederate,,,16,16,4,4,12,12,,,,,,,,,,
Battle_of_Princeton_Court_House,US,,,,,23,23,69,69,21,21,,,,,,,,
Battle_of_Proctor's_Creek,Confederate,18000,18000,,,,,,,,,,,,,,,,
Battle_of_Proctor's_Creek,US,30000,30000,,,,,,,,,,,,,,,,
Battle_of_Raymond,Confederate,4400,4400,,,100,100,305,305,,,415,415,,,,,,
Battle_of_Raymond,US,12000,12000,,,68,68,341,341,37,37,,,,,,,,
Battle_of_Resaca,Confederate,60000,60000,2800,2800,,,,,,,,,,,,,,
Battle_of_Resaca,US,98787,98787,4000,5000,,,,,,,,,,,,,,
Battle_of_Rice's_Station,Confederate,6800,6800,,,,,,,,,,,,,,,,
Battle_of_Rice's_Station,US,7500,7500,,,,,,,,,,,,,,,,
Battle_of_Rich_Mountain,Confederate,,,300,300,,,,,,,,,,,,,,
Battle_of_Rich_Mountain,US,,,46,46,,,,,,,,,,,,,,
Battle_of_Richmond,Confederate,6850,6850,,,78,78,372,372,1,1,,,,,,,,
Battle_of_Richmond,US,6500,6500,,,206,206,844,844,,,,,,,,,4303,4303
Battle_of_Ringgold_Gap,Confederate,4200,4200,,,20,20,201,201,,,,,,,,,,
Battle_of_Ringgold_Gap,US,16000,16000,509,509,,,,,,,,,,,,,,
Battle_of_Rivers'_Bridge,Confederate,1200,1200,,,8,8,44,44,,,,,,,,,45,45
Battle_of_Rivers'_Bridge,US,5000,5000,,,18,18,106,106,,,,,,,,,,
Battle_of_Roan's_Tan_Yard,Confederate,800,800,,,40,40,80,80,,,25,25,,,,,,
Battle_of_Roan's_Tan_Yard,US,450,450,,,6,6,19,19,,,,,,,,,,
Battle_of_Roanoke_Island,Confederate,3000,3000,,,23,23,58,58,62,62,2500,2500,,,,,,
Battle_of_Roanoke_Island,US,10000,10000,,,37,37,214,214,13,13,,,,,,,,
Battle_of_Rocky_Face_Ridge,Confederate,,,600,600,,,,,,,,,,,,,,
Battle_of_Rocky_Face_Ridge,US,,,837,837,,,,,,,,,,,,,,
Battle_of_Round_Mountain,Confederate,1400,1400,,,6,6,4,4,1,1,,,,,,,,
Battle_of_Round_Mountain,US,,,110,110,,,,,,,,,,,,,,
Battle_of_Rowlett's_Station,Confederate,1350,1350,91,91,,,,,,,,,,,,,,
Battle_of_Rowlett's_Station,US,500,500,49,49,,,,,,,,,,,,,,
Battle_of_Rutherford's_Farm,Confederate,3300,3300,,,,,,,,,250,250,200,200,,,,
Battle_of_Rutherford's_Farm,US,2350,2350,,,36,36,184,184,,,,,,,,,,
Battle_of_Sailor's_Creek,Confederate,18500,18500,,,,,,,,,7700,7700,,,,,,
Battle_of_Sailor's_Creek,US,25000,26000,1148,1148,,,,,,,,,,,,,,
Battle_of_Saint_Charles,Confederate,,,26,26,,,,,,,,,,,,,,
Battle_of_Saint_Charles,US,,,177,177,,,,,,,,,,,,,,
Battle_of_Saint_John's_Bluff,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Saint_John's_Bluff,US,1573,1573,,,,,,,,,,,,,,,,
Battle_of_Saint_Mary's_Church,Confederate,4000,4000,250,250,,,,,,,,,,,,,,
Battle_of_Saint_Mary's_Church,US,2147,2147,350,350,,,,,,,,,,,,,,
Battle_of_Salem_Church,Confederate,10000,10000,4935,4935,,,,,,,,,,,,,,
Battle_of_Salem_Church,US,23000,23000,4611,4611,,,,,,,,,,,,,,
Battle_of_Salineville,Confederate,400,400,364,364,,,,,,,,,,,,,,
Battle_of_Salineville,US,2600,2600,,,,,,,,,,,,,,,,
Battle_of_Saltville_I,Confederate,300,300,,,,,,,,,,,,,,,,
Battle_of_Saltville_I,US,5000,5000,,,,,,,,,,,,,,,,
Battle_of_Saltville_II,Confederate,2800,2800,,,,,,,,,,,,,,,,
Battle_of_Saltville_II,US,4500,4500,,,,,,,,,,,,,,,,
Battle_of_Santa_Rosa_Island,Confederate,1200,1200,87,87,30,40,,,,,,,,,,,,
Battle_of_Santa_Rosa_Island,US,600,600,,,14,14,29,29,,,,,,,,,24,24
Battle_of_Sappony_Church,Confederate,5000,5000,,,,,,,,,,,,,,,,
Battle_of_Sappony_Church,US,4000,4000,,,,,,,,,,,,,,,,
Battle_of_Savage's_Station,Confederate,14000,14000,473,473,,,,,,,,,,,,,,
Battle_of_Savage's_Station,US,26600,26600,1038,1038,,,,,,,,,,,,,,
Battle_of_Selma,Confederate,4000,4000,2700,2700,,,,,,,,,,,,,,
Battle_of_Selma,US,9000,9000,359,359,,,,,,,,,,,,,,
Battle_of_Seven_Pines,Confederate,39000,39000,,,980,980,4749,4749,,,,,,,,,405,405
Battle_of_Seven_Pines,US,34000,34000,,,790,790,3594,3594,,,,,,,,,647,647
Battle_of_Sewell's_Point,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Sewell's_Point,US,,,,,,,,,,,,,,,,,,
Battle_of_Shepherdstown,Confederate,,,291,291,,,,,,,,,,,,,,
Battle_of_Shepherdstown,US,,,363,363,,,,,,,,,,,,,,
Battle_of_Shiloh,Confederate,44699,44699,,,1728,1728,8012,8012,,,,,,,,,959,959
Battle_of_Shiloh,US,66812,66812,,,1754,1754,8408,8408,,,,,,,,,2885,2885
Battle_of_Simmon's_Bluff,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Simmon's_Bluff,US,,,,,,,,,,,,,,,,,,
Battle_of_Smithfield_Crossing,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Smithfield_Crossing,US,,,,,,,,,,,,,,,,,,
Battle_of_Snyder's_Bluff,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Snyder's_Bluff,US,,,,,,,,,,,,,,,,,,
Battle_of_South_Mills,Confederate,1000,1000,25,25,,,,,,,,,,,,,,
Battle_of_South_Mills,US,3000,3000,114,114,,,,,,,,,,,,,,
Battle_of_South_Mountain,Confederate,18000,18000,,,325,325,1560,1560,800,800,,,,,,,,
Battle_of_South_Mountain,US,28000,28000,,,443,443,1807,1807,75,75,,,,,,,,
Battle_of_Spanish_Fort,Confederate,,,744,744,,,,,,,,,,,,,,
Battle_of_Spanish_Fort,US,,,657,657,,,,,,,,,,,,,,
Battle_of_Spotsylvania_Court_House,Confederate,52000,52000,,,1515,1515,5414,5414,,,,,,,,,5758,5758
Battle_of_Spotsylvania_Court_House,US,100000,100000,,,2725,2725,13416,13416,,,,,,,,,2258,2258
Battle_of_Spring_Hill,Confederate,12000,12000,500,500,,,,,,,,,,,,,,
Battle_of_Spring_Hill,US,7000,7000,350,350,,,,,,,,,,,,,,
Battle_of_Staunton_River_Bridge,Confederate,4100,4100,,,10,10,24,24,,,,,,,,,,
Battle_of_Staunton_River_Bridge,US,5000,5000,,,42,42,44,44,,,,,,,,,30,30
Battle_of_Stirling's_Plantation,Confederate,3000,3000,,,26,26,85,85,10,10,,,,,,,,
Battle_of_Stirling's_Plantation,US,650,650,,,16,16,45,45,,,454,454,,,,,,
Battle_of_Stones_River,Confederate,35000,35000,,,1294,1294,7945,7945,,,,,,,,,2500,2500
Battle_of_Stones_River,US,41400,41400,,,1677,1677,7543,7543,,,,,,,,,3686,3686
Battle_of_Stony_Lake,Native American,1600,2500,3,3,,,,,,,,,,,,,,
Battle_of_Stony_Lake,US,2056,2056,2,2,,,,,,,,,,,,,,
Battle_of_Sutherland's_Station,Confederate,3000,3000,600,600,,,,,,,,,,,,,,
Battle_of_Sutherland's_Station,US,1500,1500,370,370,,,,,,,,,,,,,,
Battle_of_Swift_Creek,Confederate,4200,4200,,,,,,,,,,,,,,,,
Battle_of_Swift_Creek,US,14000,14000,,,,,,,,,,,,,,,,
Battle_of_Tampa,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Tampa,US,,,,,,,,,,,,,,,,,,
Battle_of_Thompson's_Station,Confederate,,,300,300,,,,,,,,,,,,,,
Battle_of_Thompson's_Station,US,,,1096,1096,,,,,,,,,,,,,,
Battle_of_Thoroughfare_Gap,Confederate,28000,28000,,,,,,,,,,,,,,,,
Battle_of_Thoroughfare_Gap,US,5000,5000,,,,,,,,,,,,,,,,
Battle_of_Tom's_Brook,Confederate,3500,3500,350,350,,,,,,,,,,,,,,
Battle_of_Tom's_Brook,US,6300,6300,57,57,,,,,,,,,,,,,,
Battle_of_Totopotomoy_Creek,Confederate,,,,,263,263,961,961,,,,,,,,,369,369
Battle_of_Totopotomoy_Creek,US,,,,,,,,,,,52,52,679,679,,,,
Battle_of_Tranter's_Creek,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Tranter's_Creek,US,,,,,,,,,,,,,,,,,,
Battle_of_Trevilian_Station,Confederate,6762,6762,813,813,,,,,,,,,,,,,,
Battle_of_Trevilian_Station,US,9286,9286,,,95,95,445,445,,,,,,,,,410,410
Battle_of_Tupelo,Confederate,8000,8000,1300,1300,,,,,,,,,,,,,,
Battle_of_Tupelo,US,14000,14000,648,648,,,,,,,,,,,,,,
Battle_of_Upperville,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Upperville,US,,,,,,,,,,,,,,,,,,
Battle_of_Utoy_Creek,Confederate,,,35,35,,,,,,,,,,,,,,
Battle_of_Utoy_Creek,US,,,850,850,,,,,,,,,,,,,,
Battle_of_Valverde,Confederate,2590,2590,,,36,36,150,150,1,1,,,,,,,,
Battle_of_Valverde,US,3000,3000,,,68,68,160,160,204,204,,,,,,,,
Battle_of_Vaught's_Hill,Confederate,3500,3500,373,373,,,,,,,,,,,,,,
Battle_of_Vaught's_Hill,US,1300,1300,62,62,,,,,,,,,,,,,,
Battle_of_Vermillion_Bayou,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Vermillion_Bayou,US,,,,,,,,,,,,,,,,,,
Battle_of_Walkerton,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Walkerton,US,4000,4000,,,,,,,,,,,,,,,,
Battle_of_Ware_Bottom_Church,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Ware_Bottom_Church,US,,,,,,,,,,,,,,,,,,
Battle_of_Washington,Confederate,,,60,60,,,,,,,,,,,,,,
Battle_of_Washington,US,,,40,40,,,,,,,,,,,,,,
Battle_of_Wauhatchie,Confederate,,,408,408,,,,,,,,,,,,,,
Battle_of_Wauhatchie,US,,,420,420,,,,,,,,,,,,,,
"Battle_of_Waynesboro,_Georgia",Confederate,4000,4000,250,250,,,,,,,,,,,,,,
"Battle_of_Waynesboro,_Georgia",US,6000,6000,190,190,,,,,,,,,,,,,,
"Battle_of_Waynesboro,_Virginia",Confederate,1600,1600,1500,1500,,,,,,,,,,,,,,
"Battle_of_Waynesboro,_Virginia",US,2500,2500,9,9,,,,,,,,,,,,,,
Battle_of_Westport,Confederate,8500,8500,1500,1500,,,,,,,,,,,,,,
Battle_of_Westport,US,22000,22000,1500,1500,,,,,,,,,,,,,,
Battle_of_White_Hall,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_White_Hall,US,,,,,,,,,,,,,,,,,,
Battle_of_White_Oak_Road,Confederate,8000,8000,800,800,,,,,,,,,,,,,,
Battle_of_White_Oak_Road,US,22000,22000,1870,1870,,,,,,,,,,,,,,
Battle_of_Whitestone_Hill,Native American,600,,,,,,,,,,,,,,,,,
Battle_of_Whitestone_Hill,US,1200,1200,,,22,22,38,38,,,,,,,,,,
Battle_of_Williamsburg,Confederate,31823,31823,1682,1682,,,,,,,,,,,,,,
Battle_of_Williamsburg,US,40768,40768,2283,2283,,,,,,,,,,,,,,
Battle_of_Williamsport,Confederate,,,,,,,,,,,,,,,,,,
Battle_of_Williamsport,US,,,,,,,,,,,,,,,,,,
Battle_of_Wilmington,Confederate,6000,6000,845,845,,,,,,,,,,,,,,
Battle_of_Wilmington,US,12000,12000,305,305,,,,,,,,,,,,,,
Battle_of_Wilson's_Creek,Confederate,12120,12120,,,277,277,945,945,10,10,,,,,,,,
Battle_of_Wilson's_Creek,US,5430,5430,,,258,258,873,873,186,186,,,,,,,,
Battle_of_Wilson's_Wharf,Confederate,2500,2500,,,,,,,,,,,200,200,,,,
Battle_of_Wilson's_Wharf,US,1100,1100,,,6,6,40,40,,,,,,,,,,
Battle_of_Wood_Lake,Native American,700,1200,7,15,,,,,,,,,,,,,,
Battle_of_Wood_Lake,US,1169,2000,,,7,7,34,34,,,,,,,,,,
Battle_of_Wyse_Fork,Confederate,8500,8500,1500,1500,,,,,,,,,,,,,,
Battle_of_Wyse_Fork,US,12000,12000,1101,1101,,,,,,,,,,,,,,
Battle_of_Yellow_Bayou,Confederate,,,500,500,,,,,,,,,,,,,,
Battle_of_Yellow_Bayou,US,,,360,360,,,,,,,,,,,,,,
Battle_of_Yellow_Tavern,Confederate,5000,5000,,,,,,,,,300,300,,,,,,
Battle_of_Yellow_Tavern,US,12000,12000,625,625,,,,,,,,,,,,,,
Battle_of_the_Crater,Confederate,6100,6100,,,361,361,727,727,,,,,,,,,403,403
Battle_of_the_Crater,US,8500,8500,,,504,504,1881,1881,,,,,,,,,1413,1413
Battle_of_the_Wilderness,Confederate,60000,65000,,,1477,1477,7866,7866,,,,,,,,,1690,1690
Battle_of_the_Wilderness,US,124232,124232,,,2246,2246,12037,12037,,,,,,,,,3383,3383
Bear_River_Massacre,Native American,300,300,410,410,,,,,,,,,,,,,,
Bear_River_Massacre,US,200,200,67,67,,,,,,,,,,,,,,
Big_Sandy_Expedition,Confederate,1010,1010,,,31,31,55,55,,,74,74,,,,,,
Big_Sandy_Expedition,US,5500,5500,,,6,6,26,26,,,,,,,,,,
Capture_of_New_Orleans,Confederate,,,,,,,,,,,,,,,,,,
Capture_of_New_Orleans,US,,,,,,,,,,,,,,,,,,
Chattanooga_Campaign,Confederate,48948,48948,6000,8000,,,,,,,,,,,,,,
Chattanooga_Campaign,US,72533,72533,5824,5824,753,753,4722,4722,349,349,,,,,,,,
First_Battle_of_Auburn,Confederate,3000,3000,,,,,,,,,,,,,,,,
First_Battle_of_Auburn,US,2000,2000,,,,,,,,,,,,,,,,
