"cwsac_id","battle_name","battle_type_cwss","begin_date","end_date","state","theater_code","campaign_code","result","cas_kwm_mean","cas_kwm_var","partof_cwss","operation","forces_text","casualties_text","results_text","preservation","significance","cwsac1_url","partof_cwsac1","cwsac2_url","study_area","core_area","potnr_boundary","partof_cwsac2","interpretive_political","interpretive_commander_loss","interpretive_casualties","interpretive_tactics_strategy","interpretive_public_mind","interpretive_combat_arm","interpretive_military_firsts","interpretive_minority_troops","interpretive_economic","interpretive_archaelolgical","interpretive_logistics","interpretive_individual_bravery","interpretive_group_behavior","interpretive_joint_ops","interpretive_coop_armies","interpretive_naval","significance_jim","significance_ed","significance_bill","aad_url","battle_type_aad","partof_aad","shenandoah_url","partof_shenandoah","lat","long"
"LA010","Port Hudson","No Data","1863-05-22","1863-07-09","LA","LS","LS63-04","Union Victory",17500,833.333,TRUE,0,"XIX Army Corps, Army of the Gulf [US]; Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson [CS]","12,208 total (US 5,000; CS 7,208)","Union victory","I.1","A","http://www.nps.gov/hps/abpp/battles/la010.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf",11949.5,4275.56,6315.21,TRUE,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"","","","http://aad.archives.gov/aad//LA010","Siege",TRUE,NA,FALSE,30.6939,-91.2764
"LA011","Milliken's Bend","Attack","1863-06-07","1863-06-07","LA","MW","MW63-01","Union Victory",837,0.0833333,TRUE,0,"African Brigade and the 23rd Iowa Volunteer Infantry [US]; McCulloch's Brigade [CS]","837 total (US 652; CS 185)","Union victory","IV.2","C","http://www.nps.gov/hps/abpp/battles/la011.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf",17395.2,1538.96,2037.71,TRUE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//LA011","Attack",TRUE,NA,FALSE,32.44,-91.1
"LA012","LaFourche Crossing","Engagement","1863-06-20","1863-06-21","LA","LS","LS63-05","Union Victory",268,0.0833333,TRUE,0,"838 men from eight regiments [US]; 2nd Cavalry Brigade [CS]","267 total (US 48; CS 219)","Union victory","II.4","D","http://www.nps.gov/hps/abpp/battles/la012.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf",3572.68,412.87,864.64,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//LA012","Engagement",TRUE,NA,FALSE,29.7668,-90.7646
"LA013","Donaldsonville II","No Data","1863-06-28","1863-06-28","LA","LS","LS63-05","Indecisive",324,0.0833333,TRUE,0,"Fort Butler Garrison: two companies of the 28th Maine Volunteer Infantry and some convalescents from various regiments [US]; Tom Green's Texas Brigade and Colonel James Patrick Major's Texas Brigade [CS]","324 total (US 23; CS 301)","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/la013.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf",4980.91,1338.27,0,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"","D","","http://aad.archives.gov/aad//LA013","Attack",TRUE,NA,FALSE,30.1083,-90.9914
"LA014","Goddrich's Landing","Attack","1863-06-29","1863-06-30","LA","MW","MW63-01","Indecisive",156,0.0833333,TRUE,0,"Mississippi Marine Brigade, Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana (African Descent) [US]; 12th and 19th Texas cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron's Louisiana Battery, and Ralston's Mississippi Battery [CS]","Total unknown (US 120; CS unknown)","Inconclusive","IV.1","D","http://www.nps.gov/hps/abpp/battles/la014.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf",29203.5,1241.11,12795.7,TRUE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//LA014","Attack",TRUE,NA,FALSE,32.7432,-91.1791
"LA015","Kock's Plantation","No Data","1863-07-12","1863-07-15","LA","LS","LS63-05","Confederate Victory",498,0.0833333,TRUE,0,"Godfrey Weitzel's and Cuvier Grover's Divisions, XIX Army Corps [US]; two understrength Confederate brigades [CS]","463 total (US 430; CS 33)","Confederate victory","IV.1","C","http://www.nps.gov/hps/abpp/battles/la015.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf",4270.76,1984.17,1402.34,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//LA015","Engagement",TRUE,NA,FALSE,30.0865,-91.0295
"LA016","Stirling's Plantation","Action","1863-09-29","1863-09-29","LA","LS","LS63-05","Confederate Victory",636,0.0833333,TRUE,0,"2nd Division, XIII Army Corps [US]; forces on the Atchafalaya River [CS]","575 total (US 454; CS 121)","Confederate victory","III.4","D","http://www.nps.gov/hps/abpp/battles/la016.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf",3732.69,1311.22,3292.29,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"D","D","","http://aad.archives.gov/aad//LA016","Action",TRUE,NA,FALSE,30.6834,-91.6596
"LA017","Fort DeRussy","No Data","1864-03-14","1864-03-14","LA","TM","TM64-01","Union Victory",317,0.0833333,TRUE,0,"3rd Division, XVI Army Corps [US]; Fort DeRussy Garrison (approx. 350 men) [CS]","317 total (US 48; CS 269)","Union victory","II.2","B","http://www.nps.gov/hps/abpp/battles/la017.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf",1475.19,575.52,813.16,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","","","http://aad.archives.gov/aad//LA017","Capture",TRUE,NA,FALSE,31.1838,-92.0544
"LA018","Mansfield","Engagement","1864-04-08","1864-04-08","LA","TM","TM64-01","Confederate Victory",3235,0.0833333,TRUE,0,"Banks's Red River Expeditionary Force [US]; District of West Louisiana (two divisions) [CS]","4,400 total (US 2,900; CS 1,500)","Confederate victory","II.1","A","http://www.nps.gov/hps/abpp/battles/la018.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf",10960.1,4105.58,9347.42,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"","","","http://aad.archives.gov/aad//LA018","Engagement",TRUE,NA,FALSE,32.0121,-93.6652
"LA019","Pleasant Hill","Engagement","1864-04-09","1864-04-09","LA","TM","TM64-01","Union Victory",2995,0.0833333,TRUE,0,"Red River Expeditionary Force (Banks's Department of the Gulf) [US]; District of West Louisiana [CS]","3,100 total (US 1,100; CS 2,000)","Union victory","","B","http://www.nps.gov/hps/abpp/battles/la019.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf",4180.28,1711.34,4038.41,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"B","B","","http://aad.archives.gov/aad//LA019","Engagement",TRUE,NA,FALSE,31.851,-93.51
"LA020","Blair's Landing","Engagement","1864-04-12","1864-04-12","LA","TM","TM64-01","Union Victory",117,0.0833333,TRUE,0,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron [US]; Green's Cavalry Division [CS]","207 total (US 7; CS 200)","Union victory","","C","http://www.nps.gov/hps/abpp/battles/la020.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf",2547.77,995.07,1237.97,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"","C","","http://aad.archives.gov/aad//LA020","Engagement",TRUE,NA,FALSE,31.941,-93.289
"LA021","Monett's Ferry","Engagement","1864-04-23","1864-04-23","LA","TM","TM64-01","Union Victory",600,833.333,TRUE,0,"Red River Expeditionary Force (Banks's Department of the Gulf) [US]; Bee's Cavalry Division [CS]","600 total (US 200; CS 400)","Union victory","","D","http://www.nps.gov/hps/abpp/battles/la021.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf",7293.24,2979.55,6819.62,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","C","","http://aad.archives.gov/aad//LA021","Engagement",TRUE,NA,FALSE,31.498,-92.857
"LA022","Mansura","Engagement","1864-05-16","1864-05-16","LA","TM","TM64-01","Union Victory",NA,NA,TRUE,0,"Banks's Red River Expeditionary Force [US]; District of West Louisiana [CS]","Unknown","Union victory","II.3","C","http://www.nps.gov/hps/abpp/battles/la022.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf",7402.21,4350.24,2887.09,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"","C","","http://aad.archives.gov/aad//LA022","Engagement",TRUE,NA,FALSE,31.055,-92.0478
"LA023","Yellow Bayou","Engagement","1864-05-18","1864-05-18","LA","TM","TM64-01","Union Victory (strategic)",860,8.33333,TRUE,0,"1st and 3rd Divisions, XVI Army Corps [US]; District of Western Louisiana [CS]","860 total (US 360; CS 500)","Union strategic victory","IV.1","C","http://www.nps.gov/hps/abpp/battles/la023.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf",5067.51,1318.55,3240.31,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//LA023","Engagement",TRUE,NA,FALSE,30.9985,-91.8668
"MD001","Hancock","Bombardment","1862-01-05","1862-01-06","MD","ME","ME62-01","Indecisive",25,0.0833333,TRUE,0,"Brigades","25 total","Inconclusive","III.4","D","http://www.nps.gov/hps/abpp/battles/md001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",2684.44,277.72,415.16,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MD001","Bombardment",TRUE,NA,FALSE,39.6957,-78.177
"MD002","South Mountain","Battle","1862-09-14","1862-09-14","MD","ME","ME62-06","Indecisive",4625,0.0833333,TRUE,0,"Corps","4,500 total","Union victory","I.3","B","http://www.nps.gov/hps/abpp/battles/md002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",11557.2,2398.56,8529.69,TRUE,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//MD002","Battle",TRUE,NA,FALSE,39.485,-77.6216
"MD003","Antietam","Battle","1862-09-16","1862-09-17","MD","ME","ME62-06","Indecisive",22700,833.333,TRUE,0,"Armies","23,100 total","Inconclusive (Union strategic victory.)","I.2","A","http://www.nps.gov/hps/abpp/battles/md003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",20906.8,4160.89,18544,TRUE,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"","A","","http://aad.archives.gov/aad//MD003","Battle",TRUE,NA,FALSE,39.4732,-77.7447
"MD004","Williamsport","Action","1863-07-06","1863-07-06","MD","ME","ME63-04","Indecisive",654,0.0833333,TRUE,0,"Divisions","1,730 total","Inconclusive","III.3","C","http://www.nps.gov/hps/abpp/battles/md004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",46348.2,4039.57,24679.6,TRUE,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"C","C","","http://aad.archives.gov/aad//MD004","Action",TRUE,NA,FALSE,39.6333,-77.7167
"MD006","Boonsboro","Action","1863-07-08","1863-07-14","MD","ME","ME63-04","Indecisive",1078,0.0833333,TRUE,0,"Divisions","100 total","Inconclusive","II.4","D","http://www.nps.gov/hps/abpp/battles/md006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",4560.61,1098.44,3159.74,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MD006","Action",TRUE,NA,FALSE,39.5254,-77.6632
"MD007","Monocacy","Battle","1864-07-09","1864-07-09","MD","ME","ME64-08","Confederate Victory",2094,0.0833333,TRUE,0,"Corps","2,359 total","Confederate victory","I.3","B","http://www.nps.gov/hps/abpp/battles/md007.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",10654.5,3092.29,3505.61,TRUE,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"","A","","http://aad.archives.gov/aad//MD007","Battle",TRUE,NA,FALSE,39.3711,-77.392
"MD008","Folck's Mill","No Data","1864-08-01","1864-08-01","MD","ME","ME64-08","Indecisive",60,8.33333,TRUE,0,"Divisions","38 total","Inconclusive","IV.1","D","http://www.nps.gov/hps/abpp/battles/md008.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf",5244.86,687.89,3247.09,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MD008","Attack",TRUE,NA,FALSE,39.6639,-78.753
"MN001","Fort Ridgley","Action","1862-08-20","1862-08-22","MN","TM","TM62-06","Union Victory",0,0.0833333,TRUE,0,"Fort Ridgely Garrison and refugee civilians [US]; Santee Sioux [I]","Total unknown (US 16; I unknown)","Union victory","III.3","C","http://www.nps.gov/hps/abpp/battles/mn001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf",1307.13,242.85,1307.13,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MN001","Action",TRUE,NA,FALSE,NA,NA
"MN002","Wood Lake","No Data","1862-09-23","1862-09-23","MN","TM","TM62-06","Union Victory",66,0.0833333,TRUE,0,"Volunteer troops (about 1,500) [US]; Santee Sioux [I]","Total unknown (US 37; I unknown)","Union victory","III.3","C","http://www.nps.gov/hps/abpp/battles/mn002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf",1193.91,701.24,1774.99,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//MN002","Skirmish",TRUE,NA,FALSE,NA,NA
"MO001","Boonville","Engagement","1861-06-17","1861-06-17","MO","TM","TM61-01","Union Victory",31,0.0833333,TRUE,0,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700) [US]; State Guard Troops [CS]","81 total (US 31; CS 50)","Union victory","III.3","C","http://www.nps.gov/hps/abpp/battles/mo001.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",2405.72,697.84,1899.46,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MO001","Engagement",TRUE,NA,FALSE,38.9765,-92.743
"MO002","Carthage","Engagement","1861-07-05","1861-07-05","MO","TM","TM61-01","Confederate Victory",118,0.0833333,TRUE,0,"Brigade [US]; Missouri State Guard divisions [CS]","244 total (US 44; CS 200)","Confederate victory","II.3","C","http://www.nps.gov/hps/abpp/battles/mo002.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",9209.83,2268.47,7539.72,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"","","","http://aad.archives.gov/aad//MO002","Engagement",TRUE,NA,FALSE,37.2,-94.34
"MO003","Liberty","Action","1861-09-17","1861-09-17","MO","TM","TM61-01","Confederate Victory",62,0.0833333,TRUE,0,"Detachments of 3rd Iowa Infantry, Home Guards, and artillery (approx. 600 men) [US]; 4th Division, Missouri State Guard [CS]","126 total (US 56; CS 70)","Confederate victory","III.4","D","http://www.nps.gov/hps/abpp/battles/mo003.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf",4206.09,427.64,1443.53,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO003","Action",TRUE,NA,FALSE,39.1931,-94.3842
"MO004","Wilson's Creek","Battle","1861-08-10","1861-08-10","MO","TM","TM61-01","Confederate Victory",1899,0.0833333,TRUE,0,"Army of the West [US]; Missouri State Guard and McCulloch's Brigade [CS]","2,330 total (US 1,235; CS 1,095)","Confederate victory","III.1","A","http://www.nps.gov/hps/abpp/battles/mo004.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf",5109.74,1021.26,5109.74,TRUE,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"","A","","http://aad.archives.gov/aad//MO004","Battle",TRUE,NA,FALSE,37.101,-93.4078
"MO005","Dry Wood Creek","Engagement","1861-09-02","1861-09-02","MO","TM","TM61-01","Confederate Victory",14,0.0833333,TRUE,0,"Kansas Cavalry Brigade (approx. 600) [US]; column of Missouri State Guard [CS]","Total unknown (US 14; CS unknown)","Confederate victory","III.4","D","http://www.nps.gov/hps/abpp/battles/mo005.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",2927.57,1239.95,2927.57,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO005","Action",TRUE,NA,FALSE,37.8197,-94.4862
"MO006","Lexington I","No Data","1861-09-13","1861-09-20","MO","TM","TM61-01","Confederate Victory",3600,833.333,TRUE,0,"Garrison (approx. 3,500) [US]; Missouri State Guard (12,000) [CS]","1,874 total (US 1,774; CS 100)","Confederate victory","II.3","C","http://www.nps.gov/hps/abpp/battles/mo006.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf",1083.26,147.93,77.94,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MO006","Siege",TRUE,NA,FALSE,39.1915,-93.8786
"MO007","Fredericktown","Engagement","1861-10-21","1861-10-21","MO","TM","TM61-01","Union Victory",NA,NA,TRUE,0,"Brigade size force (approx. 2,500-3,500) [US]; Missouri State Guard [CS]","Total unknown (US unknown; CS 62)","Union victory","II.4","D","http://www.nps.gov/hps/abpp/battles/mo007.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",1105.8,256.28,447.52,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO007","Engagement",TRUE,NA,FALSE,37.5434,-90.2969
"MO008","Springfield I","No Data","1861-10-25","1861-10-25","MO","TM","TM61-01","Union Victory",218,0.0833333,TRUE,0,"Prairie Scouts and Frémont's Body Guard [US]; Missouri State Guard troops [CS]","218 total (US 85; CS 133)","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/mo008.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf",849.23,224.25,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO008","Action",TRUE,NA,FALSE,37.2035,-93.3205
"MO009","Belmont","Engagement","1861-11-07","1861-11-07","MO","MW","MW61-02","Union Victory",1248,0.0833333,TRUE,0,"Division [US]; division [CS]","1,464 total (US 498; CS 966)","Union victory","IV.1","C","http://www.nps.gov/hps/abpp/battles/mo009.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",4502.29,2714,3660.45,TRUE,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MO009","Engagement",TRUE,NA,FALSE,36.7657,-89.124
"MO011","Roan's Tan Yard","Action","1862-01-08","1862-01-08","MO","TM","TM61-03","Union Victory",91,0.0833333,TRUE,0,"Detachments from the 1st and 2nd Missouri Cavalry, 4th Ohio Cavalry, and 1st Iowa Cavalry (450) [US]; unknown [CS]","91 total (US 11; CS 80)","Union victory","III.4","D","http://www.nps.gov/hps/abpp/battles/mo011.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf",1387.58,59.53,1329.25,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO011","Action",TRUE,NA,FALSE,39.3246,-92.5584
"MO013","Kirksville","Action","1862-08-06","1862-08-09","MO","TM","TM62-05","Union Victory",456,0.0833333,TRUE,0,"Combined force (cavalry and artillery) [US]; Missouri Brigade [CS]","456 total (US 88; CS 368)","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/mo013.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",10708.1,296.6,8754.17,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO013","Action",TRUE,NA,FALSE,40.19,-92.6
"MO014","Independence I","No Data","1862-08-11","1862-08-11","MO","TM","TM62-05","Confederate Victory",NA,NA,TRUE,0,"Garrison (approx. 300 [US]; 700-800[CS])","Total unknown (US approx. 344; CS unknown)","Confederate victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/mo014.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",591.86,129.7,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO014","Action",TRUE,NA,FALSE,39.0938,-94.4168
"MO015","Lone Jack","Action","1862-08-15","1862-08-16","MO","TM","TM62-05","Confederate Victory",NA,NA,TRUE,0,"Detachments from fourteen companies of cavalry and a section of artillery (800 men) [US]; unknown [CS]","270 total (US 160; CS 110)","Confederate victory","II.4","D","http://www.nps.gov/hps/abpp/battles/mo015.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf",8645.19,85.62,954.58,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO015","Action",TRUE,NA,FALSE,38.8706,-94.1881
"MO016","Newtonia I","No Data","1862-09-30","1862-09-30","MO","TM","TM62-05","Confederate Victory",323,0.0833333,TRUE,0,"Two brigades, Army of Kansas (1,500) [US]; Cooper's Division [CS]","345 total (US 245; CS 100)","Confederate victory","II.3","C","http://www.nps.gov/hps/abpp/battles/mo016.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf",2638.96,861.74,2213.98,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"","B","","http://aad.archives.gov/aad//MO016","Engagement",TRUE,NA,FALSE,36.8836,-94.1845
"MO017","Clark's Mill","Action","1862-11-07","1862-11-07","MO","TM","TM62-05","Confederate Victory",153,0.0833333,TRUE,0,"Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men) [US]; cavalry brigade (approx. 1,000 men) [CS]","Total unknown (US 113; CS unknown)","Confederate victory","IV.1","D","http://www.nps.gov/hps/abpp/battles/mo017.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",4306.18,237.61,4306.18,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO017","Action",TRUE,NA,FALSE,36.9207,-92.4888
"MO018","Springfield II","No Data","1863-01-08","1863-01-08","MO","TM","TM63-02","Union Victory",403,0.0833333,TRUE,0,"Southwestern District of Missouri Troops (2,000) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","403 total (US 163; CS 240)","Union victory, although the raid ultimately failed.","IV.1","D","http://www.nps.gov/hps/abpp/battles/mo018.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf",4674.36,1182.63,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO018","Engagement",TRUE,NA,FALSE,37.195,-93.3021
"MO019","Hartville","Engagement","1863-01-09","1863-01-11","MO","TM","TM63-02","Confederate Victory",407,0.0833333,TRUE,0,"Detachment of infantry, cavalry, and artillery (approx. 700) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","407 total (US 78; CS 329)","Confederate victory","IV.1","D","http://www.nps.gov/hps/abpp/battles/mo019.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",7654.6,454.31,4537.45,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO019","Engagement",TRUE,NA,FALSE,37.2511,-92.5111
"MO020","Cape Girardeau","Action","1863-04-26","1863-04-26","MO","TM","TM63-03","Union Victory",337,0.0833333,TRUE,0,"Garrison plus some reinforcements [US]; cavalry division [CS]","337 total (US 12; CS 325)","Union victory","IV.2","D","http://www.nps.gov/hps/abpp/battles/mo020.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf",6292.22,590.41,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO020","Action",TRUE,NA,FALSE,37.3132,-89.5514
"MO021","Fort Davidson","Attack","1864-09-26","1864-09-28","MO","TM","TM64-05","Union Victory",1800,833.333,TRUE,0,"Garrison [US]; Army of Missouri [CS]","1,684 total (US 184; CS 1,500)","Union victory","I.3","B","http://www.nps.gov/hps/abpp/battles/mo021.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",4556.3,1947.44,1760.9,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","B","","http://aad.archives.gov/aad//MO021","Attack",TRUE,NA,FALSE,37.6194,-90.6415
"MO023","Lexington II","No Data","1864-10-19","1864-10-19","MO","TM","TM64-05","Confederate Victory",NA,NA,TRUE,0,"1st Division, Army of the Border [US]; Army of Missouri [CS]","Unknown","Confederate victory","IV.1","D","http://www.nps.gov/hps/abpp/battles/mo023.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf",6593.74,1793.09,3543.31,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO023","Action",TRUE,NA,FALSE,39.1831,-93.875
"MO024","Little Blue River","Action","1864-10-21","1864-10-21","MO","TM","TM64-05","Confederate Victory",NA,NA,TRUE,0,"1st Division, Army of the Border [US]; Army of Missouri [CS]","Unknown","Confederate victory","IV.1","D","http://www.nps.gov/hps/abpp/battles/mo024.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf",8629.26,4913.99,2493.72,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","D","","http://aad.archives.gov/aad//MO024","Action",TRUE,NA,FALSE,39.1369,-94.3139
"MO025","Independence II","No Data","1864-10-22","1864-10-22","MO","TM","TM64-05","Confederate Victory",NA,NA,TRUE,0,"Provisional cavalry division [US]; Fagan and Marmaduke's Divisions, Army of Missouri [CS]","Total unknown (US unknown; CS 140)","Confederate victory","IV.2","C","http://www.nps.gov/hps/abpp/battles/mo025.htm",TRUE,"http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf",6449.78,2797.3,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","C","","http://aad.archives.gov/aad//MO025","Action",TRUE,NA,FALSE,39.0856,-94.4412
