battle,battle_name,campaign,url,state,strength,results_text,results,forces_text,study_area,core_area,potnr_boundary
LA013,Donaldsonville II,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,LA,,Union victory,Union,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo [US]; Detachments of Green's and Moutons's Texas Brigades [CS]",4980.91,1338.27,0
LA014,Goodrich’s Landing,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Inconclusive,Inconclusive,"Brigade of 1st Arkansas Volunteers (African Descent) and 10th Louisiana Volunteers (African Descent), and the Mississippi Marine Brigade [US]; 12th and 19th Texas Cavalry Regiments, 15th Louisiana Cavalry Battalion, Cameron’s Louisiana Battery, and Ralston’s Mississippi Battery [CS]",29203.48,1241.11,12795.73
LA015,Kock’s Plantation,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Confederate victory,Confederate,"1st Brigade, 2nd Division and the 3rd Brigade, 3rd Division, XIX Army Corps [US]; Major's Brigade and Green's Texas Brigade [CS]",4270.76,1984.17,1402.34
LA016,Stirling’s Plantation,Taylor’s Operations in Louisiana West of Mississippi (1863),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Confederate victory,Confederate,"Detachments of the 19th Iowa, 26th Indiana, and 37th Illinois Infantry Regiments, detachments of the 6th Missouri and 2nd and 36th Illinois Cavalry Regiments, and a section of Battery E, 1st Missouri Light Artillery [US]; Confederate Forces on the Atchafalaya [CS]",3732.69,1311.22,3292.29
LA017,Fort DeRussy,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Fort DeRussy to LaFourche Crossing.pdf,LA,,Union victory,Union,"Detachments of the XVI and XVII Corps, USS Eastport [US]; Fort DeRussy garrison [CS]",1475.19,575.52,813.16
LA018,Mansfield,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,LA,,Confederate victory,Confederate,Red River Expeditionary Force [US]; Department of West Louisiana [CS],10960.15,4105.58,9347.42
LA019,Pleasant Hill,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Union victory,Union,Red River Expeditionary Force [US]; Department of West Louisiana [CS],4180.28,1711.34,4038.41
LA020,Blair’s Landing,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Baton Rouge to Fort Bisland.pdf,LA,,Union victory,Union,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald [US]; Green’s Cavalry Division [CS]",2547.77,995.07,1237.97
LA021,Monett’s Ferry,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,LA,,Union victory,Union,Red River Expeditionary Force [US]; Bee's Cavalry Division [CS],7293.24,2979.55,6819.62
LA022,Mansura,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Mansfield to New Orleans.pdf,LA,,Union victory,Union,Red River Expeditionary Force [US]; Department of West Louisiana [CS],7402.21,4350.24,2887.09
LA023,Yellow Bayou,Red River Campaign (1864),http://www.nps.gov/hps/abpp/CWSII/Plains Store to Yellow Bayou.pdf,LA,,Strategic Union victory,Union,Red River Expeditionary Force [US]; Department of West Louisiana [CS],5067.51,1318.55,3240.31
MD001,Hancock,Jackson’s Operations against the B&O Railroad (January 1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Inconclusive,Inconclusive,Garrison of Hancock [US]; The Valley District [CS],2684.44,277.72,415.16
MD002,South Mountain,Maryland Campaign (September 1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Union victory,Union,"1st, 9th, and 6th Corps Army of the Potomac [US]; Daniel Harvey Hill’s Division and Howell Cobb’s Brigade [CS]",11557.21,2398.56,8529.69
MD003,Antietam,Maryland Campaign (September 1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Union victory,Union,"Army of the Potomac, 60,000 [US]; Army of Northern Virginia, 40,000 [CS]",20906.82,4160.89,18543.99
MD004,Williamsport,Gettysburg Campaign (June-August 1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Confederate victory,Confederate,Army of the Potomac [US]; Army of Northern Virginia [CS],46348.22,4039.57,24679.58
MD006,Boonsboro,Gettysburg Campaign (June-August 1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Confederate victory,Confederate,First and Third U.S. Cavalry Divisions [US]; Stuart’s Cavalry Division [CS],4560.61,1098.44,3159.74
MD007,Monocacy,Early’s Raid and Operations against the B&O Railroad (JuneAugust 1864),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Confederate victory,Confederate,"Home Guards and Rickett’s (3rd) Division, VI Army Corps [US]; 2nd Corps Army of Northern Virginia [CS]",10654.46,3092.29,3505.61
MD008,Folck’s Mill,Early’s Raid and Operations against the B&O Railroad (JuneAugust 1864,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMarylandUpdate.pdf,MD,,Union Victory,Union,Cumberland Garrison [US]; McCausland’s and Johnson’s Cavalry Brigades [CS],5244.86,687.89,3247.09
MN001,Fort Ridgely,Operations to Suppress the Sioux Uprising,http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,MN,,Union victory,Union,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians [US]; Santee Sioux [I]",1307.13,242.85,1307.13
MN002,Wood Lake,Operations to Suppress the Sioux Uprising (1862),http://www.nps.gov/hps/abpp/CWSII/CWSACReportMinnesotaUpdate.pdf,MN,,Union Victory,Union,"6th Minnesota Volunteer Infantry, other volunteers [US]; Santee Sioux [I]",1193.91,701.24,1774.99
MO001,Boonville,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Union victory,Union,"Battery F, 2nd US Artillery, Company B, 2nd US Infantry, Two Recruit Companies, 4th US Artillery, 1st and 2nd Regiments Missouri Volunteers [US]; Missouri State Guard [CS]",2405.72,697.84,1899.46
MO002,Carthage,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Confederate victory,Confederate,Second Brigade Missouri Volunteers [US]; 2nd Division Missouri State Guard [CS],9209.83,2268.47,7539.72
MO003,Liberty,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Confederate victory,Confederate,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery) [US]; 4th Division Missouri State Guard [CS]",4206.09,427.64,1443.53
MO004,Wilson’s Creek,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Confederate victory,Confederate,Army of the West [US]; Western Army; Missouri State Guard [CS],5109.74,1021.26,5109.74
MO005,Dry Wood Creek,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Confederate victory,Confederate,Kansas Brigade [US]; Missouri State Guard [CS],2927.57,1239.95,2927.57
MO006,Lexington I,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Confederate victory,Confederate,Lexington Garrison [US]; Missouri State Guard [CS],1083.26,147.93,77.94
MO007,Fredericktown,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Union victory,Union,"17th, 20th, 21st, and 33rd Illinois Volunteer Infantry, 11th Missouri Infantry, five companies of the 1st Indiana Cavalry, Stewart’s Independent Cavalry Company, Benton Hussars Cavalry Battalion, White’s section of Battery B, 1st Illinois Light Artillery, Battery A, 1st Missouri Light Artillery [US]; Missouri State Guard [CS]",1105.8,256.28,447.52
MO008,Springfield I,Operations to Control Missouri (1861),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Union victory,Union,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company [US]; Missouri State Guard [CS]",849.23,224.25,0
MO009,Belmont,Operations at the Ohio and Mississippi River Confluence (1861),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Union victory,Union,"District of Southwest Missouri; USS Lexington and USS Tyler [US]; First Division, Western Department [CS]",4502.29,2714,3660.45
MO010,Mount Zion Church,Operations in Northeast Missouri (1861-1862),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Union victory,Union,"Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters [US]; Dorsey’s Battalion, Missouri Cavalry [CS]",2736.42,64.72,471.95
MO011,Roan’s Tan Yard,Operations in Northeast Missouri (1861-1862),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Union victory,Union,"Four companies of the 1st and three companies of the 2nd Missouri Cavalry, one company of the 4th Ohio Cavalry, and the 1st Battalion of the 1st Iowa Cavalry [US]; 5th Regiment of the Missouri State Guard [CS]",1387.58,59.53,1329.25
MO012,New Madrid/Island No. 10,Joint Operations on the Middle Mississippi River (1862),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Union victory,Union,Army of the Mississippi and the Mississippi River Squadron [US]; Garrisons of New Madrid and Island No. 10; Confederate States Navy [CS],55952.28,18147.53,37258.06
MO013,Kirksville,Operations North of Boston Mountains (1862),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Union victory,Union,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry [US]; 1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars [CS]",10708.07,296.6,8754.17
MO014,Independence I,Operations North of Boston Mountains (1862),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Confederate victory,Confederate,"Independence Garrison [US]; Confederate Partisans and recruits under Hughes, Hays and Quantrill [CS]",591.86,129.7,0
MO015,Lone Jack,Operations North of Boston Mountains (1862),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Confederate victory,Confederate,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia [US]; Confederate recruits[CS]",8645.19,85.62,954.58
MO016,Newtonia I,Operations North of Boston Mountains (1862),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Confederate victory,Confederate,"Division, Army of Kansas [US]; Cooper’s Division [CS]",2638.96,861.74,2213.98
MO017,Clark’s Mill,Operations North of Boston Mountains (1862),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Confederate victory,Confederate,"Company C and M, 10th Illinois Cavalry and Company H, Missouri Home Guard Militia [US]; 3rd, 4th, and 8th Missouri Cavalry, Marmaduke’s Division, Army of the West [CS]",4306.18,237.61,4306.18
MO018,Springfield II,Marmaduke’s First Expedition into Missouri (1862-1863),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Union victory,Union,"Southwestern District of Missouri, Springfield Garrison [US]; 4th Division, First Corps, Trans-Mississippi Department [CS]",4674.36,1182.63,0
MO019,Hartville,Marmaduke’s First Expedition into Missouri (1862-1863),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Confederate victory,Confederate,"Elements of the 3rd Iowa Cavalry, 21st Iowa Infantry, 99th Illinois Infantry, 3rd Missouri Cavalry, and a section of Battery L, 2nd Missouri Light Artillery [US]; 4th Division, First Corps, TransMississippi Department [CS]",7654.6,454.31,4537.45
MO020,Cape Girardeau,Marmaduke’s Second Expedition into Missouri (1863),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Union victory,Union,"Cape Girardeau Garrison [US]; 4th Division, First Corps, TransMississippi Department [CS]",6292.22,590.41,0
MO021,Fort Davidson,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Union victory,Union,"Detachment from the 14th Iowa Infantry; Garrison consisting of Battery H, 2nd Missouri Light Artillery and companies from the 47th Missouri Infantry, 50th Missouri Infantry, 1st Missouri State Militia Infantry, 2nd Missouri State Militia Cavalry, and 3rd Missouri State Militia Cavalry [US]; Army of Missouri [CS]",4556.3,1947.44,1760.9
MO022,Glasgow,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Confederate victory,Confederate,"Garrison consisting of parts of the 43rd Missouri Infantry, 4th Provisional Regiment Enrolled Missouri Militia, 9th Cavalry Missouri State Militia, 13th Missouri Cavalry, and two companies of citizen militia [US]; Marmaduke’s Brigade, Marmaduke’s Division, and Jackman’s Brigade and Collins’ Missouri Battery, Shelby’s Division, Army of Missouri [CS]",1769.38,737.44,710.4
MO023,Lexington II,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Confederate victory,Confederate,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border [US]; Army of Missouri [CS]",6593.74,1793.09,3543.31
MO024,Little Blue River,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Confederate victory,Confederate,"11th Kansas Cavalry; 1st and 4th Brigades, 1st Division [Provisional Cavalry], Army of the Border [US]; Marmaduke’s Division and Shelby’s Division, Army of Missouri [CS]",8629.26,4913.99,2493.72
MO025,Independence II,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Fort Davidson to Kirksville.pdf,MO,,Confederate victory,Confederate,"Provisional Cavalry Division, Department of Missouri [US]; Cabell’s Brigade and Slemon’s Brigade, Fagan’s Division, Army of Missouri [CS]",6449.78,2797.3,0
MO026,Byram’s Ford,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Belmont to Dry Wood Creek.pdf,MO,,Union victory,Union,"1st Cavalry Brigade, Army of the Border; 2nd Brigade, Army of the Border [US]; Shelby’s Division, Army of Missouri [CS]",3353.35,1328.45,185.66
MO027,Westport,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Union victory,Union,Army of the Border [US]; Army of Missouri [CS],11179.39,5720.42,0
MO028,Marmiton River,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Lexington I to New Madrid Island No 10.pdf,MO,,Union victory,Union,"2nd Brigade and 4th Brigade, Provisional Cavalry Division, Department of the Missouri [US]; Shelby’s Division, Army of Missouri [CS]",1472.51,811.08,1488.12
MO029,Newtonia II,Price’s Missouri Expedition (1864),http://www.nps.gov/hps/abpp/CWSII/Newtonia I to Wilsons Creek.pdf,MO,,Union victory,Union,"Portions of Provisional Cavalry Division, Army of the Border and 3rd Brigade, Provisional Cavalry Division, Department of Missouri [US]; Shelby’s Division, Army of Missouri [CS]",4328.24,1455.05,3434.04
MS001,Iuka,Iuka and Corinth Operations (1862),http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,MS,,Union victory,Union,"2nd Division and Cavalry Division, Army of the Mississippi [US]; 1st Division, Army of the West [CS]",3261.17,705.16,1328.4
MS002,Corinth,Iuka and Corinth Operations (1862),http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,MS,,Union victory,Union,Army of the Mississippi [US]; Army of the West Tennessee [CS],15987.39,8039.95,7275.38
MS003,Chickasaw Bayou,Operations Against Vicksburg (1862-1863),http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,MS,,Confederate victory,Confederate,"Right Wing, Army of the Tennessee and Mississippi River Squadron [US]; Department of Mississippi and East Louisiana [CS]",22949.49,5521.98,15109.02
MS004,Grand Gulf,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,MS,,Confederate victory,Confederate,"Mississippi Squadron and Companies A, B, D, F, G, H, and K of the 58th Ohio Volunteer Infantry Regiment [US]; Grand Gulf Garrison [CS]",9349.6,1759.2,4698.79
MS005,Snyder’s Bluff,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Confederate victory,Confederate,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron [US]; Hebert’s Brigade [CS]",6917.92,1788.19,3121.39
MS006,Port Gibson,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Union victory,Union,"XIII Army Corps, 3rd Division, XVII Corps [US]; one detached division [CS]",7959.41,3223.64,7959.41
MS007,Raymond,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Union victory,Union,"XVII Army Corps, Army of the Tennessee [US]; Gregg’s Task Force [CS]",5643.83,1381.16,4467.02
MS008,Jackson,Grants Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,MS,,Union victory,Union,"XV and XVII Army Corps, Army of the Tennessee [US]; Jackson Garrison [CS]",11170.71,2703.28,0
MS009,Champion Hill,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,MS,,Union victory,Union,Army of the Tennessee [US]; Army of Vicksburg [CS],13696.8,5981.16,11862.77
MS010,Big Black River Bridge,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,MS,,Union victory,Union,"XIII Army Corps, Army of the Tennessee [US]; Bowen’s Division and Vaughn’s East Tennessee Brigade [CS]",2931.47,679.83,2649.76
MS011,Vicksburg,Grant’s Operations Against Vicksburg (1863),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Union victory,Union,"Army of the Tennessee, Mississippi River Squadron [US]; Army of Vicksburg [CS]",27611.64,12591.96,5123.09
MS012,Meridian,Meridian and Yazoo River Expeditions (1864),http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,MS,,Union victory,Union,"Department of the Tennessee [US]; Department of Alabama, Mississippi, and East Louisiana [CS]",3087.57,0,0
MS013,Okolona,Meridian and Yazoo River Expeditions (1864),http://www.nps.gov/hps/abpp/CWSII/Grand Gulf to Okolona.pdf,MS,,Confederate victory,Confederate,Meridian Mississippi Expedition Cavalry [US]; Forrest’s Cavalry Corps [CS],38415.04,2325.29,31451.19
MS014,Brice’s Cross Roads,Forrest’s Defense of Mississippi (1864),http://www.nps.gov/hps/abpp/CWSII/Big Black River Bridge to Corinth.pdf,MS,,Confederate victory,Confederate,Mississippi Expedition [US]; Forrest’s Cavalry Corps [CS],3237.8,1070.36,3237.78
MS015,Tupelo,Forrest’s Defense of Mississippi (1864),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Union victory,Union,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops [US]; Department of Alabama, Mississippi, and East Louisiana [CS]",13053.94,2009.45,895.73
MS016,Siege of Corinth,Federal Penetration up the Cumberland and Tennessee Rivers (1862),http://www.nps.gov/hps/abpp/CWSII/Port Gibson to Vicksburg.pdf,MS,,Union victory,Union,"Department of the Mississippi [US]; Army of the Mississippi, Department No. 2 [CS]",29463.63,3756.32,20385.48
NC001,Hatteras Inlet Batteries,Blockade of the Carolina Coast (August-December 1861),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron [US]; Hatteras Island garrison [CS]",14205.43,2182.26,13731.82
NC002,Roanoke Island,Burnside’s North Carolina Expedition (January-July 1862),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,Department of North Carolina and the North Atlantic Blockading Squadron [US]; Wise’s Legion [CS],12304.16,2966.33,8881.84
NC003,New Berne,Burnside’s North Carolina Expedition (January-July 1862),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,"Department North Carolina and the Naval Forces in Pamlico Sound [US]; 1st Division, Department of North Carolina [CS]",3917.62,696.31,301.85
NC004,Fort Macon,Burnside’s North Carolina expedition (January-July 1862),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"3rd Division, Department of North Carolina, and Naval forces in North Carolina [US]; Fort Macon garrison [CS]",2897.66,1200.27,2219.8
NC005,South Mills,Burnside’s North Carolina Expedition (January-July 1862),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Inconclusive,Inconclusive,"2nd and 4th Brigades, 2nd Division, Department of North Carolina [US]; 3rd Georgia Infantry Regiment, Colonel Ferebee’s North Carolina Militia, McComas’s Battery, and Captain Gillett’s Southhampton Cavalry Company [CS]",3206.82,1100.12,1534.37
NC006,Tranter’s Creek,Burnside’s North Carolina Expedition (January-July 1862),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,"24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery [US]; 44th North Carolina Infantry [CS]",2077.84,156.67,652.32
NC007,Kinston,Goldsborough Expedition (December 1862),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"Department of North Carolina, 1st Division, and USN Neuse River Flotilla [US]; Evans’s Brigade [CS]",10555.78,2088.26,2969.58
NC008,White Hall,Goldsborough Expedition (December 1862),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Inconclusive,Inconclusive,"Five companies of the 3rd New York Cavalry, a section of artillery from the 23rd New York Independent Battery, Colonel Thomas J. C. Amory’s Brigade, and Thomas G. Stevenson’s Brigade [US]; Robertson’s Brigade [CS]",7274.28,376.1,5015.85
NC009,Goldsborough Bridge,Goldsborough Expedition (December 1862),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"Department of North Carolina, 1st Division [US]; Clingman’s Brigade [CS]",1990.46,602.36,514.17
NC010,Fort Anderson,Longstreet’s Tidewater Operations (February-May 1863),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"1st Division, XVIII Corps, and the Naval forces in the Sounds of North Carolina [US]; Hill’s Division [CS]",10109.17,950.97,4016.9
NC011,Washington,Longstreet’s tidewater operations (February-May 1863),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Inconclusive,Inconclusive,"The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound [US]; Hill’s Division [CS]",26775.05,4720.98,18074.04
NC012,Plymouth,Operations against Plymouth (April-May 1864),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Confederate victory,Confederate,Plymouth garrison [US]; Hoke’s Division [CS],3280.45,1113.05,1599.65
NC013,Albemarle Sound,Operations against Plymouth (April-May 1864),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Inconclusive,Inconclusive,"Albemarle Sound Naval Squadron [US]; the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell [CS]",30946.17,14214.01,30946.17
NC014,Fort Fisher I,Expedition against Fort Fisher (December 1864),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Confederate victory,Confederate,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]",9714.89,2367.25,8074.59
NC015,Fort Fisher II,Expedition against Fort Fisher and Wilmington (January-February 1865),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]",12205.58,3343.19,10303.96
NC016,Wilmington,Operations against Fort Fisher and Wilmington (January-February 1865),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,"Department of North Carolina, Army of the Ohio, and the North Atlantic Blockading Squadron [US]; Major General Robert F. Hoke’s Division and Brigadier General Johnson Hagood’s Brigade [CS]",28829.79,5916.09,13777.21
NC017,Wyse Fork,Campaign of the Carolinas (February-April 1865),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,"Major General Jacob D. Cox’s Provisional Corps [US]; Major Generals Robert F. Hoke and Daniel H. Hill’s Division’s, Department of North Carolina [CS]",17308.31,2683.75,12011.47
NC018,Monroe’s Cross Roads,Campaign of the Carolinas (February-April 1865),http://www.nps.gov/hps/abpp/CWSII/Monroes Cross Roads to Wyse Fork.pdf,NC,,Union victory,Union,3rd Cavalry Division [US]; Hampton’s Cavalry Command (Wheeler’s Cavalry Corps and Butler’s Division)[CS],17527.05,904.57,13820.25
NC019,Averasborough,Campaign of the Carolinas (February-April 1865),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Inconclusive,Inconclusive,"XX and XIV Corps, Army of Georgia [US]; Hardee’s Corps, Wheeler’s Cavalry Corps [CS]",6142.85,3186.73,6142.85
NC020,Bentonville,Campaign of the Carolinas (February-April 1865),http://www.nps.gov/hps/abpp/CWSII/Albemarle Sound to Kinston.pdf,NC,,Union victory,Union,"The Army of Georgia and the XV and XVII Corps [US]; The Army of Tennessee, Stewart's Corps, the Department of North Carolina, and the Department of South Carolina, Georgia and Florida [CS]",31694.42,4269.43,29795.4
ND001,Big Mound,Operations against the Sioux in North Dakota (1863),http://www.nps.gov/hps/abpp/CWSII/CWSACReportNorthDakotaUpdate.pdf,ND,,Union victory,Union,District of Minnesota [US]; Santee Sioux (Northern Sisseton and Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]) [I],13760.37,5660.71,13760.37
