cwsac,combatant,forces_text,description,armies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,brigades,cavalry_brigades,cavalry_companies,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,guns,infantry_regiments,regiments,ships,strength,strength_other
VA076,US,"Brigade 5,000 [US]; Confederate Home Guard, 300 [CS]","Brigade 5,000",,,,,,,,,,,,,,,,,,,5000,
VA104,CS,"Armies (6,500 US; 16,000 CS)","16,000",,,,,,,,,,,,,,,,,,,16000,
VA104,US,"Armies (6,500 US; 16,000 CS)","6,500",,,,,,,,,,,,,,,,,,,6500,
TN036,CS,"IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio [US]; Army of Tennessee [CS]",Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
TN036,US,"IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio [US]; Army of Tennessee [CS]","IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio",,,,,,,,,,,,,2,,,,,,,
LA021,CS,Red River Expeditionary Force [US]; Bee's Cavalry Division [CS],Bee's Cavalry Division,,,,,,,,,,1,,,,,,,,,,
LA021,US,Red River Expeditionary Force [US]; Bee's Cavalry Division [CS],Red River Expeditionary Force,,,,,,,,,,,,,,,,,,,,
FL001,CS,Fort Pickens Garrison [US]; Santa Rosa Island Expedition [CS],Santa Rosa Island Expedition,,,,,,,,,,,,,,,,,,,,
FL001,US,Fort Pickens Garrison [US]; Santa Rosa Island Expedition [CS],Fort Pickens Garrison,,,,,,,,,,,,,,,,,,,,
LA002,CS,West Gulf Blockading Squadron and the Department of the Gulf [US]; New Orleans garrison [CS],New Orleans garrison,,,,,,,,,,,,,,,,,,,,
LA002,US,West Gulf Blockading Squadron and the Department of the Gulf [US]; New Orleans garrison [CS],West Gulf Blockading Squadron and the Department of the Gulf,,,,,,,,,,,,,,,,,,,,
LA011,CS,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington [US]; Walker's Texas Division [CS]",Walker's Texas Division,,,,,,,,,,,,,,1,,,,,,
LA011,US,"The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington [US]; Walker's Texas Division [CS]","The African Brigade (8th, 9th, 11th, and 13th Louisiana Infantry of African Descent, and the 1st Mississippi Infantry of African Descent), the 23rd Iowa Infantry, two companies of the 10th Illinois Cavalry, and the USS Choctaw and the USS Lexington",,,,,,1,,2,,,,,,,,,1,2,,
AL001,CS,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment) [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]","Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,1,,,,,,,,,,,
AL001,US,"Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment) [US]; Cavalry Corps, Department of Alabama, Mississippi, and East Louisiana [CS]","Elements of the 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and the 1st Middle Tennessee Cavalry (5th Tennessee Volunteer Cavalry Regiment)",,,,,,,,,,,1,,,,,,4,,,
VA069,CS,"Corps (unknown US; 16,500 CS)","16,500",,,,,,,,,,,,,,,,,,,16500,
VA069,US,"Corps (unknown US; 16,500 CS)",unknown,,,,,,,,,,,,,1,,,,,,,
MS014,CS,Mississippi Expedition [US]; Forrest’s Cavalry Corps [CS],Forrest’s Cavalry Corps,,,,,,,,,1,,,,,,,,,,,
MS014,US,Mississippi Expedition [US]; Forrest’s Cavalry Corps [CS],Mississippi Expedition,,,,,,,,,,,,,,,,,,,,
LA001,CS,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet [CS],Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet,,,,,,,,,,,,,,,,,,,,
LA001,US,West Gulf Blockading Squadron [US]; Garrisons of Forts Jackson and St. Philip Confederate River Defense Fleet [CS],West Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
NC007,CS,"Department of North Carolina, 1st Division, and USN Neuse River Flotilla [US]; Evans’s Brigade [CS]",Evans’s Brigade,,,,,,1,,,,,,,,,,,,,,
NC007,US,"Department of North Carolina, 1st Division, and USN Neuse River Flotilla [US]; Evans’s Brigade [CS]","Department of North Carolina, 1st Division, and USN Neuse River Flotilla",,,,,,,,,,,,,,,,,,1,,
MO008,CS,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company [US]; Missouri State Guard [CS]",Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO008,US,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company [US]; Missouri State Guard [CS]","Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company",,,,,,,,6,,,,,,,,,,,,
MO027,CS,Army of the Border [US]; Army of Missouri [CS],Army of Missouri,1,,,,,,,,,,,,,,,,,,,
MO027,US,Army of the Border [US]; Army of Missouri [CS],Army of the Border,1,,,,,,,,,,,,,,,,,,,
AR004,CS,"1st Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]",Marmaduke’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
AR004,US,"1st Division, Army of the Frontier [US]; Marmaduke’s Cavalry Division [CS]","1st Division, Army of the Frontier",,,,,,,,,,,,,,1,,,,,,
AR009,CS,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers [US]; Cabell's Brigade [CS]",Cabell's Brigade,,,,,,1,,,,,,,,,,,,,,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers [US]; Cabell's Brigade [CS]","2nd Kansas Cavalry, 6th Missouri Cavalry, two sections of Rabb’s 2nd Indiana Battery, and two mountain howitzers",,,,,,,,,,2,,,,,,,,,,
VA036,CS,"Brigades (approximately 2,000 US; approximately 1,500 CS)","approximately 1,500",,,,,,,,,,,,,,,,,,,1500,
VA036,US,"Brigades (approximately 2,000 US; approximately 1,500 CS)","approximately 2,000",,,,,,,,,,,,,,,,,,,2000,
VA067,CS,"Divisions (4,000 US; 5,000 CS)","5,000",,,,,,,,,,,,,,,,,,,5000,
VA067,US,"Divisions (4,000 US; 5,000 CS)","4,000",,,,,,,,,,,,,,,,,,,4000,
VA093,CS,"Corps (36,500 US; 16,900 CS)","16,900",,,,,,,,,,,,,,,,,,,16900,
VA093,US,"Corps (36,500 US; 16,900 CS)","36,500",,,,,,,,,,,,,,,,,,,36500,
MS006,CS,"XIII Army Corps, 3rd Division, XVII Corps [US]; one detached division [CS]",one detached division,,,,,,,,,,,,,,1,,,,,,
MS006,US,"XIII Army Corps, 3rd Division, XVII Corps [US]; one detached division [CS]","XIII Army Corps, 3rd Division, XVII Corps",,,,,,,,,,,,,1,1,,,,,,
SC011,CS,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee [US]; Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida [CS]","Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida",,,,,,1,,,,,,,,,,,,,,
SC011,US,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee [US]; Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida [CS]","1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee",,,,,,,,,,,,,,2,,,,,,
TN009,CS,Two regiments from the Jackson Garrison [US]; Detachment of Forrest’s Cavalry Division [CS],Detachment of Forrest’s Cavalry Division,,,,,,,,,,,,,,,,,,,,
TN009,US,Two regiments from the Jackson Garrison [US]; Detachment of Forrest’s Cavalry Division [CS],Two regiments from the Jackson Garrison,,,,,,,,,,,,,,,,,2,,,
LA005,CS,"Department of the Gulf, Reserve Brigade [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment [CS]","18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment",,2,,,,,,,,,1,,,,,,4,,,
LA005,US,"Department of the Gulf, Reserve Brigade [US]; 18th Louisiana Infantry Regiment, Crescent Regiment, Ralston's Battery, 33rd Louisiana Infantry Regiment, Terre Bonne Regiment Louisiana Militia, Semmes's Battery, and 2nd Louisiana Cavalry Regiment [CS]","Department of the Gulf, Reserve Brigade",,,,,,,,,,,,,,,,,,,,
TN031,CS,Memphis Garrison [US]; Forrest’s Cavalry Division [CS],Forrest’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
TN031,US,Memphis Garrison [US]; Forrest’s Cavalry Division [CS],Memphis Garrison,,,,,,,,,,,,,,,,,,,,
VA125,CS,"Brigades (4,000 US; unknown CS)",unknown,,,,,,1,,,,,,,,,,,,,,
VA125,US,"Brigades (4,000 US; unknown CS)","4,000",,,,,,,,,,,,,,,,,,,4000,
KS003,CS,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln) [US]; Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River) [CS]","Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River)",,,,,,,,,,,,,,3,,,,,,
KS003,US,"The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln) [US]; Fagan and Marmaduke's Divisions, Army of Missouri, Shelby's Division, Army of Missouri (Little Osage River) [CS]","The 1st and 4th Brigades, 2nd Provisional Cavalry Division, Army of the Border, 2nd Brigade, 1st Provisional Cavalry Division, Army of the Border (Mound City and Fort Lincoln)",,,,,,,3,,,,,,,,,,,,,
VA003,CS,"Brigades (3,500 US; 1,200 CS)","1,200",,,,,,,,,,,,,,,,,,,1200,
VA003,US,"Brigades (3,500 US; 1,200 CS)","3,500",,,,,,,,,,,,,,,,,,,3500,
VA056,CS,"Brigades (1 Gunboat, 1,100 US; 2,500 CS)","2,500",,,,,,,,,,,,,,,,,,,2500,
VA056,US,"Brigades (1 Gunboat, 1,100 US; 2,500 CS)","1 Gunboat, 1,100",,,,,,,,,,,,,,,,,,1,1100,
SC004,CS,South Atlantic Blockading Squadron [US]; First Military District of South Carolina [CS],First Military District of South Carolina,,,,,,,,,,,,,,,,,,,,
SC004,US,South Atlantic Blockading Squadron [US]; First Military District of South Carolina [CS],South Atlantic Blockading Squadron,,,,,,,,,,,,,,,,,,,,
MD001,CS,Garrison of Hancock [US]; The Valley District [CS],The Valley District,,,,,,,,,,,,,,,,,,,,
MD001,US,Garrison of Hancock [US]; The Valley District [CS],Garrison of Hancock,,,,,,,,,,,,,,,,,,,,
TN025,CS,Army of the Ohio [US]; Longstreet’s Corps [CS],Longstreet’s Corps,,,,,,,,,,,,,1,,,,,,,
TN025,US,Army of the Ohio [US]; Longstreet’s Corps [CS],Army of the Ohio,1,,,,,,,,,,,,,,,,,,,
MO023,CS,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border [US]; Army of Missouri [CS]",Army of Missouri,1,,,,,,,,,,,,,,,,,,,
MO023,US,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border [US]; Army of Missouri [CS]","1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border",,,,,,,2,,,,,,,,,,,,,
MS016,CS,"Department of the Mississippi [US]; Army of the Mississippi, Department No. 2 [CS]","Army of the Mississippi, Department No. 2",,,,,,,,,,,,,,,,,,,,
MS016,US,"Department of the Mississippi [US]; Army of the Mississippi, Department No. 2 [CS]",Department of the Mississippi,,,,,,,,,,,,,,,,,,,,
MD007,CS,"Home Guards and Rickett’s (3rd) Division, VI Army Corps [US]; 2nd Corps Army of Northern Virginia [CS]",2nd Corps Army of Northern Virginia,,,,,,,,,,,,,1,,,,,,,
MD007,US,"Home Guards and Rickett’s (3rd) Division, VI Army Corps [US]; 2nd Corps Army of Northern Virginia [CS]","Home Guards and Rickett’s (3rd) Division, VI Army Corps",,,,,,,,,,,,,,,,,,,,
GA014,CS,"XX and XXIII Army Corps, Military Division of the Mississippi [US]; Hood's Corps, Army of Tennessee [CS]","Hood's Corps, Army of Tennessee",,,,,,,,,,,,,1,,,,,,,
GA014,US,"XX and XXIII Army Corps, Military Division of the Mississippi [US]; Hood's Corps, Army of Tennessee [CS]","XX and XXIII Army Corps, Military Division of the Mississippi",,,,,,,,,,,,,,,,,,,,
VA072,CS,"Corps (20,089 US; 14,000 CS)","14,000",,,,,,,,,,,,,,,,,,,14000,
VA072,US,"Corps (20,089 US; 14,000 CS)","20,089",,,,,,,,,,,,,,,,,,,20089,
LA013,CS,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo [US]; Detachments of Green's and Moutons's Texas Brigades [CS]",Detachments of Green's and Moutons's Texas Brigades,,,,,,2,,,,,,,,,,,,,,
LA013,US,"Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo [US]; Detachments of Green's and Moutons's Texas Brigades [CS]","Fort Butler garrison and the USS Princess Royal, USS Winona, and USS Kineo",,,,,,,,,,,,,,,,,,3,,
MS015,CS,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops [US]; Department of Alabama, Mississippi, and East Louisiana [CS]","Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,,
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops [US]; Department of Alabama, Mississippi, and East Louisiana [CS]","1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops",,,,,,1,,,,1,,,,2,,,,,,
NC011,CS,"The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound [US]; Hill’s Division [CS]",Hill’s Division,,,,,,,,,,,,,,1,,,,,,
NC011,US,"The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound [US]; Hill’s Division [CS]","The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound",,,,,,,,,,,,,,,,,,,,
VA008,CS,"Warships, 4 [US]; Warship, 1 [CS]","Warship, 1",,,,,,,,,,,,,,,,,,1,,
VA008,US,"Warships, 4 [US]; Warship, 1 [CS]","Warships, 4",,,,,,,,,,,,,,,,,,4,,
VA049,CS,"Divisions (6,555 US; 2,400 CS)","2,400",,,,,,,,,,,,,,,,,,,2400,
VA049,US,"Divisions (6,555 US; 2,400 CS)","6,555",,,,,,,,,,,,,,,,,,,6555,
MS010,CS,"XIII Army Corps, Army of the Tennessee [US]; Bowen’s Division and Vaughn’s East Tennessee Brigade [CS]",Bowen’s Division and Vaughn’s East Tennessee Brigade,,,,,,,,,,,,,,1,,,,,,
MS010,US,"XIII Army Corps, Army of the Tennessee [US]; Bowen’s Division and Vaughn’s East Tennessee Brigade [CS]","XIII Army Corps, Army of the Tennessee",,,,,,,,,,,,,1,,,,,,,
NC019,CS,"XX and XIV Corps, Army of Georgia [US]; Hardee’s Corps, Wheeler’s Cavalry Corps [CS]","Hardee’s Corps, Wheeler’s Cavalry Corps",,,,,,,,,2,,,,,,,,,,,
NC019,US,"XX and XIV Corps, Army of Georgia [US]; Hardee’s Corps, Wheeler’s Cavalry Corps [CS]","XX and XIV Corps, Army of Georgia",,,,,,,,,,,,,2,,,,,,,
NC015,CS,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]",Hoke’s Division and the Fort Fisher garrison,,,,,,,,,,,,,,,,,,,,
NC015,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron [US]; Hoke’s Division and the Fort Fisher garrison [CS]","Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",,,,,,,,,,,,,1,,,,,,,
MO013,CS,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry [US]; 1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars [CS]",1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars,,,,,,,,,,,2,,,,,,,,,
MO013,US,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry [US]; 1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars [CS]","Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry",,,,,,,,,,,8,1,,,,,1,,,
TN026,CS,"Cavalry Corps, Department of the Ohio [US]; Longstreet’s 1st Corps Army of Northern Virginia [CS]",Longstreet’s 1st Corps Army of Northern Virginia,,,,,,,,,,,,,1,,,,,,,
TN026,US,"Cavalry Corps, Department of the Ohio [US]; Longstreet’s 1st Corps Army of Northern Virginia [CS]","Cavalry Corps, Department of the Ohio",,,,,,,,,1,,,,,,,,,,,
WV015,CS,"First Cavalry Division, Army of the Shenandoah [US]; Valley District [CS]",Valley District,,,,,,,,,,,,,,,,,,,,
WV015,US,"First Cavalry Division, Army of the Shenandoah [US]; Valley District [CS]","First Cavalry Division, Army of the Shenandoah",,,,,,,,,,1,,,,,,,,,,
OK004,CS,"First Division, Army of the Frontier [US]; First Brigade, Indian Department [CS]","First Brigade, Indian Department",,,,,,1,,,,,,,,,,,,,,
OK004,US,"First Division, Army of the Frontier [US]; First Brigade, Indian Department [CS]","First Division, Army of the Frontier",,,,,,,,,,,,,,1,,,,,,
VA015,CS,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA015,US,Divisions (unknown US; unknown CS),unknown,,,,,,,,,,,,,,1,,,,,,
VA062,CS,"Armies (108,000 US; 62,000 CS)","62,000",,,,,,,,,,,,,,,,,,,62000,
VA062,US,"Armies (108,000 US; 62,000 CS)","108,000",,,,,,,,,,,,,,,,,,,108000,
GA006,CS,Army of the Cumberland [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,,
GA006,US,Army of the Cumberland [US]; Army of Tennessee [CS],Army of the Cumberland,1,,,,,,,,,,,,,,,,,,,
GA003,CS,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland [US]; Hindman's Division, Army of Tennessee [CS]","Hindman's Division, Army of Tennessee",,,,,,,,,,,,,,1,,,,,,
GA003,US,"1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland [US]; Hindman's Division, Army of Tennessee [CS]","1st and 2nd Divisions, XIV Army Corps, Army of the Cumberland",,,,,,,,,,,,,,2,,,,,,
TN002,CS,"District of Cairo, Western Flotilla [US]; Fort Donelson Garrison [CS]",Fort Donelson Garrison,,,,,,,,,,,,,,,,,,,,
TN002,US,"District of Cairo, Western Flotilla [US]; Fort Donelson Garrison [CS]","District of Cairo, Western Flotilla",,,,,,,,,,,,,,,,,,,,
AL006,CS,"Army of West Mississippi [US]; Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan [CS]","Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan",,,,,,,,,,,,,,,,,,3,,
AL006,US,"Army of West Mississippi [US]; Fort Blakely Garrison, CSS Huntsville, CSS Nashville, CSS Morgan [CS]",Army of West Mississippi,1,,,,,,,,,,,,,,,,,,,
VA082,CS,"Divisions (4,500 US; 2,800 CS)","2,800",,,,,,,,,,,,,,,,,,,2800,
VA082,US,"Divisions (4,500 US; 2,800 CS)","4,500",,,,,,,,,,,,,,,,,,,4500,
VA005,CS,"Armies (28,450 US; 32,230 CS)","32,230",,,,,,,,,,,,,,,,,,,32230,
VA005,US,"Armies (28,450 US; 32,230 CS)","28,450",,,,,,,,,,,,,,,,,,,28450,
MS009,CS,Army of the Tennessee [US]; Army of Vicksburg [CS],Army of Vicksburg,1,,,,,,,,,,,,,,,,,,,
MS009,US,Army of the Tennessee [US]; Army of Vicksburg [CS],Army of the Tennessee,1,,,,,,,,,,,,,,,,,,,
MO002,CS,Second Brigade Missouri Volunteers [US]; 2nd Division Missouri State Guard [CS],2nd Division Missouri State Guard,,,,,,,,,,,,,,1,,,,,,
MO002,US,Second Brigade Missouri Volunteers [US]; 2nd Division Missouri State Guard [CS],Second Brigade Missouri Volunteers,,,,,,,,,,,,,,,,,,,,
VA014,CS,"Corps (34,000 US; 39,000 CS)","39,000",,,,,,,,,,,,,,,,,,,39000,
VA014,US,"Corps (34,000 US; 39,000 CS)","34,000",,,,,,,,,,,,,,,,,,,34000,
VA009,CS,"Armies (118,000 US; 53,000 CS)","53,000",,,,,,,,,,,,,,,,,,,53000,
VA009,US,"Armies (118,000 US; 53,000 CS)","118,000",,,,,,,,,,,,,,,,,,,118000,
SC009,CS,"X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons [CS]","Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons",,,,,,,,,,,,,,,,,,,,
SC009,US,"X Corps, Department of the South, and the South Atlantic Blockading Squadron [US]; Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons [CS]","X Corps, Department of the South, and the South Atlantic Blockading Squadron",,,,,,,,,,,,,1,,,,,,,
VA115,CS,"Divisions (approximately 2,350 US; approximately 3,300 CS)","approximately 3,300",,,,,,,,,,,,,,,,,,,3300,
VA115,US,"Divisions (approximately 2,350 US; approximately 3,300 CS)","approximately 2,350",,,,,,,,,,,,,,,,,,,2350,
VA073,CS,"Corps (9,000 US; 14,000 CS)","14,000",,,,,,,,,,,,,,,,,,,14000,
VA073,US,"Corps (9,000 US; 14,000 CS)","9,000",,,,,,,,,,,,,,,,,,,9000,
VA017,CS,"Corps, 34,214 [US]; Army, 57,018 [CS]","Army, 57,018",,,,,,,,,,,,,,,,,,,57018,
VA017,US,"Corps, 34,214 [US]; Army, 57,018 [CS]","Corps, 34,214",,,,,,,,,,,,,,,,,,,34214,
MO006,CS,Lexington Garrison [US]; Missouri State Guard [CS],Missouri State Guard,,,,,,,,,,,,,,,,,,,,
MO006,US,Lexington Garrison [US]; Missouri State Guard [CS],Lexington Garrison,,,,,,,,,,,,,,,,,,,,
AL003,CS,"West Gulf Blockading Squadron and U.S. Army forces near Mobile [US]; Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison [CS].","Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison",,,,,,,,,,,,,,,,,,3,,
AL003,US,"West Gulf Blockading Squadron and U.S. Army forces near Mobile [US]; Buchanan’s Flotilla (CSS Tennessee, gunboats Selma, Morgan and Gaines), Fort Morgan garrison, Fort Gaines garrison, and Fort Powell garrison [CS].",West Gulf Blockading Squadron and U.S. Army forces near Mobile,,,,,,,,,,,,,,,,,,,,
LA017,CS,"Detachments of the XVI and XVII Corps, USS Eastport [US]; Fort DeRussy garrison [CS]",Fort DeRussy garrison,,,,,,,,,,,,,,,,,,,,
LA017,US,"Detachments of the XVI and XVII Corps, USS Eastport [US]; Fort DeRussy garrison [CS]","Detachments of the XVI and XVII Corps, USS Eastport",,,,,,,,,,,,,2,,,,,1,,
VA027,CS,"Divisions (6,000 US; 20,000 CS)","20,000",,,,,,,,,,,,,,,,,,,20000,
VA027,US,"Divisions (6,000 US; 20,000 CS)","6,000",,,,,,,,,,,,,,,,,,,6000,
PA001,CS,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade [US]; Stuart’s Cavalry Division, Army of Northern Virginia [CS]","Stuart’s Cavalry Division, Army of Northern Virginia",,,,,,,,,,1,,,,,,,,,,
PA001,US,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade [US]; Stuart’s Cavalry Division, Army of Northern Virginia [CS]","3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade",,,,,,,2,,,,,,,,,,,,,
NC009,CS,"Department of North Carolina, 1st Division [US]; Clingman’s Brigade [CS]",Clingman’s Brigade,,,,,,2,,,,,,,,,,,,,,
NC009,US,"Department of North Carolina, 1st Division [US]; Clingman’s Brigade [CS]","Department of North Carolina, 1st Division",,,,,,,,,,,,,,1,,,,,,
MO015,CS,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia [US]; Confederate recruits[CS]",Confederate recruits,,,,,,,,,,,,,,,,,,,,
MO015,US,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia [US]; Confederate recruits[CS]","Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia",,,,,1,,,14,,,,,,,,,,,,
NC005,CS,"2nd and 4th Brigades, 2nd Division, Department of North Carolina [US]; 3rd Georgia Infantry Regiment, Colonel Ferebee’s North Carolina Militia, McComas’s Battery, and Captain Gillett’s Southhampton Cavalry Company [CS]","3rd Georgia Infantry Regiment, Colonel Ferebee’s North Carolina Militia, McComas’s Battery, and Captain Gillett’s Southhampton Cavalry Company",,1,,,,,,1,,,,,,,,,2,,,
