page,year,date,locality,union_troops_engaged,union_killed,union_wounded,union_missing,confederate_killed,confederate_wounded,confederate_missing,remarks
,,Dec. 25th,"Green’s Chapel, Kentucky",Detachment of the 4th and 5th Indiana Cavalry,1,,2,9,22,5,Official Report of Colonel E. H. Hobson
,,Dec. 25th,"Bear Wallow, Kentucky",Two battalions of the 12th Kentucky Cavalry,,,,1,3,12,Official Report of Colonel E. H. Hobson
,,Dec. 26th,"Bacon Creek, Kentucky",Detachment of the 2d Michigan Cavalry,,23,,,,,Official Report of Colonel E. H. Hobson
,,Dec. 26th,"Nolansville, Tennessee","2d brigade, 1st division, McCook’s Corps, advance of the right wing of the Army of the Cumberland",,,,,,,Also known as Knob Gap
,,Dec. 27th,"Elizabethtown, Kentucky",91st Illinois Volunteers,,,500,,,,"Report of Adjutant General of Illinois, Vol. II. page 345. Post captured by General Morgan"
,,Dec. 27th,"Dumfries, Virginia","5th, 7th, and 65th Ohio Volunteers, 6th Maine Battery, 12th Illinois and 1st Maryland Cavalry",3,8,5,25,40,,"Ohio in the War, Vol. II, page 45"
,,Dec. 28th,"Muldraugh's Hill, Kentucky",6th Indiana Cavalry,,,400,,,,"Report of Adjutant General of Indiana. Vol. II, page 663"
,,Dec. 28th,"Suffolk, Virginia","Reconnoitering force, commanded by Acting Brigadier General Gibbs",,,,,,,"Rebellion Record, Vol, VI. page 29"
,,Dec. 28th,"Dripping Springs, near Van Buren, Ark.",Army of the Frontier,2,6,,7,,120,Official Report of Brigadier General J. G. Blunt
,,Dec. 28th,"Elk Fork, Campbell County, Tennessee",6th and 10th Kentucky Cavalry,,,,30,176,51,Official dispatches
,,Dec. 28th,"Occoquan, Virginia",2d and 17th Pennsylvania Cavalry,,20,100,,,,Unofficial
,,Dec. 28th,"Clinton, Louisiana",,,,,,,,Confederate sources
,,Dec. 28th and 29th,"Ckickasaw Bayou, Vicksburg, Mississippi","Brigadier Generals G. W. Morgan’s, Frederick Steele’s, Morgan L. Smith’s, and A. J. Smith’s divisions, right wing, Army of Tennessee, commanded by Major General W. T. Sherman",191,982,756,,207,,"Casualty List, File A, No. 273. Official reports. Major General M. L. Smith, wounded"
,,Dec. 29th,"Stewart Creek, Tennessee","3d Kentucky, in advance of Crittenden’s Corps, left wing of the Army of the Cumberland",,,,,,,"Report of Adjutant General of Kentucky, Vol. I. page 629"
,,Dec. 30th,"Wautauga Bridge and Carter’s Station, Tennessee",7th Ohio and 9th Pennsylvania Cavalry,1,2,,7,15,273,"Ohio in the War. Vol. II, page 797. Carter’s raid into East Tennessee"
,,Dec. 30th,"Parker’s Cross Roads, Tennessee","18th. 106th, 119th, and 122d Illinois, 27th, 39th, and 63d Ohio. 50th Indiana 39th Iowa, and 7th Tennessee Volunteers, 7th Wisconsin Battery, commanded by Colonel C. L. Dunham, and Brigadier General J. C. Sullivan",23,139,58,50,150,300,"Casualty List, S. G. O. Official reports. Also known as Red Mound"
,,Dec. 30th,"Jefferson, Tennessee","2d brigade, 1st division, Thomas’s Corps, guarding wagon train",20,40,,15,30,,Official Report of Major General G. H. Thomas
66,,"Dec. 31st, 1862, to Jan. 2d, ’63","Stone’s River, Tennessee","McCook's Corps, right wing; Thomas’s Corps, centre; and Crittenden’s Corps, left wing, Army of the Cumberland , commanded by Major General W. S. Rosecrans ",1533,7245,2800,,9600 kw,14560 kwm 2000,"Casualty List, S. G. O. Appendix to Part I. Medical and Surgical History of the War, page 255. Among the casualties in the Union Army were Brigadier General Sill, killed. and Kirk, wounded: in the Confederate Army, Brigadier Generals Raines and Hanson, killed, and Chalmers and Davis, wounded. Also known as Murfreesboro’"
,1863,Jan. 1st,"Galveston, Texas","U. S. gunboats Westfield, Harriet Lane, Owasco, Sachem, Clifton, and Coryphaeus, and three companies of the 42d Massachusetts Volunteers",,,600 kwm,,50 kw,,"Official Report of Committee of Inquiry, January 12, 1863. Commanders Wainright and Renshaw were killed. Report of Adjutant General of Massachusetts, 1862, page 438"
,,Jan. 1st,"Stewart’s Creek, Tennessee","3d Ohio Cavalry and 10th Ohio Volunteers, guarding wagon train",,,,,,,Official Reports
,,Jan. 1st,"La Vergne, Tennessee",1st Michigan Engineers and Mechanics,1,6,,,,,"Report of Adjutant General of Michigan, 1863, p. 21"
,,Jan. 3d,"La Grange, Arkansas",Portion of General Washburn’s Cavalry division,,,,,10 kw,12,Official
,,Jan. 3d,Moorefield. West Virginia,116th Ohio Volunteers,,,65,,,,"Ohio in the War, Vol. 2. page 606"
,,Jan. 5th,"Middletown, Tennessee",Cavalry of the Army of the Cumberland,,,,,,,Official reports
,,Jan. 5th,"Hardy County, West Virginia",,1,,33,,,,"Rebellion Record, Vol. VI, page 32"
,,Jan. 7th and 8th,"Springfield, Missouri","Missouri Militia, convalescents, and citizens",14,144,5,40,,200,"Official Report of Major General H. W. Halleck. Brigadier General E. B. Brown, commanding Union troops, was wounded"
,,Jan. 8th,"Ripley, Tennessee",2d Illinois Cavalry,,3,,8,20,46,"Rebellion Record, Vol. VI, page 33"
,,Jan. 10th,"Catlett's Station, Virginia",,,,,,,,"Rebellion Record, Vol. VI, page 33"
,,Jan. 11th,"Hatteras and Alabama, off the coast of Texas","United States steamer Hatteras, eight guns",2,3,110,,1,,"Official Report of Lieutenant R. G. Blake, U. S. N"
,,Jan. 11th,"Fort Hindman, Arkansas Post, Arkansas","Thirteenth Corps, Major General J. A. McClernand, and Fifteenth Corps, Major General W. T. Sherman, Army of Mississippi, and gunboats of the Mississippi squadron",129,831,17,100,400,5000,Casualty List. S. G. O. Official Reports of Major General II. W. Halleck and Rear-Admiral D. D. Porter
,,Jan. 11th,"Hartsville, Missouri","21st Iowa and 99th Illinois Volunteers, 3d Iowa and 3d Missouri Cavalry, and Battery L, 2d Missouri Artillery",7,64,7,,300 kw,29,"Official Report of Brigadier General Fitz-Henry Warren. Also known as Woods Fork. Brigadier General McDonald, C. S. A., killed"
,,Jan. 12th,"Lick Creek, Arkansas",2d Wisconsin Cavalry,1,1,9,,,,Official
,,Jan. 14th,"Bayou Teche, Louisiana","8th Vermont, 16th and 75th New York, 12th Connecticut, 6th Michigan, and 21st Indiana Volunteers, 1st Louisiana Cavalry, 4th and 6th Massachusetts, and 1st Maine Battery, and gunboats Calhoun, Diana, Kinsman, and Estrella",10,27,,15,,,"Official. Army commanded by Brigadier General Weitzel; Navy by Commodore Buchanan; rebel gunboat Cotton destroyed; Commodore Buchanan, U. S. N., was killed"
,,Jan. 15th,"Helena and Clarendon Road, Arkansas",2d Wisconsin Cavalry,,,17,1,6,,
,,Jan. 16th,"Duval’s Bluff and Des Arcs, Arkansas",U. S. gunboat DeKalb and 24th Indiana Volunteers,,,,,,7,Official
,,Jan. 17th,"Pollocksville and Northeast River, North Carolina",3d Now York Cavalry,,,,,,,"Colonel S. H. Mix’s raid in North Carolina, January 16th to 22d"
67,,Jan. 19th,"Burnt Ordinary, Virginia",5th Pennsylvania Cavalry,,,1,,,4,"Rebellion Record, Vol. VI, page 36"
,,Jan. 23d,"Fish Springs, Tennessee",,4,,,,,,Confederate sources
,,Jan. 24th,"Woodbury, Tennessee","2d division, Crittenden’s Corps ",2,1,,35,,100,Official reports
,,Jan. 25th,"Construction train, near Murfreesboro', Tennessee","Train guard, reinforced by part of the 10th Michigan Volunteers",,,,,,,"Report of Adjutant General of Michigan. 1863, page 78"
,,Jan. 26th,"Township, Florida",,1,6,,,,,Official
,,Jan. 26th,"Bear River, Washington Territory",Four companies of the 2d California Cavalry and one company of the 3d California Volunteers,14,49,,224,,,"Casualty Lists, S. G. O. Indian fight. 142 men of the command had their feet frozen"
,,Jan. 27th,"Indian Village, Plaquemine Bayou, La.","1st Louisiana Cavalry, commanded by Capt. Williamson",,,,,,,Tribune Almanac. Official
,,Jan. 29th,"Pinos Altos, Arizona Territory",One company of the 1st California Volunteers,,,,,,,Official 
,,Jan. 30th,"Dyersburg, Tennessee",22d Ohio Volunteers,,,,,34,,"Ohio in the War, Vol. 2, page 157. "
,,Jan. 30th,"Deserted House, near Suffolk, Virginia","Portion of Major General Peck’s forces, commanded by Brigadier General Michael Corcoran anil Colonel S. P. Spear",24,80,,,50,,"Casualty List. File A. No. 544. S. G. O. Appendix to Part I, Medical and Surgical History of the War, page 81. Also designated Carsvillc and Kelly's Store"
,,Jan. 31st,"Rover, Tennessee",4th Ohio Cavalry,,,,12,12,300,Unofficial
,,Jan. 31st,"Middleton, Tennessee",2d and 3d Tennessee Cavalry,,,,,,42,"Report of the Adjutant General of Tennessee, 1866, page 386"
,,Jan. 31st,Off Charleston Bar. South Carolina,"U. S. steamers Mercedita, Keystone State, Augusta, Quaker City, Housatonic, and Memphis",4,23,,,,,"Official Report of Rear Admiral S. F. Dupont, U. S. N., and Flag Officer  N. Ingraham, C. S. N"
,,Feb. 1st,"Fort McAlister, Genesis Point, Georgia",U. S. Navy,,,,,,,Unofficial
,,Feb. 1st,"Franklin, Tennessee",,1,,,,,3,
,,Feb. 3d,"Mingo Swamp, Missouri","12th Missouri Militia, commanded by Major P. W. Reeder",,,,8,20,,Newspaper reports. 
,,Feb. 3d,"Fort Donelson, Tennessee","83d Illinois Volunteers. 2d Illinois Artillery, and a battalion  of the 5th Iowa Cavalry",16,60,50,140,400,130,"Casualty List, S. G. O. Official Reports. Also known as Cumberland Iron Works"
,,Feb. 4th,"Batesville, Arkansas","Brigade of Cavalry, commanded by Colonel George E. Waring, jr",,,,,,,General Davidson s official dispatches
,,Feb. 5th,"Bear Creek, Johnson County, Missouri","40th Missouri Enrolled Militia, commanded by Capt. W. K. Ranney",,,,7,,,Official report of Lieutenant Colonel Brown
,,Feb. 7th,"Williamsburg, Virginia","5th Pennsylvania Cavalry, commanded by Lieutenant Colonel William Lewis",1,1,35,,,,
,,Feb. 3d and 8th,"Independence, Missouri","5th Missouri Militia Cavalry, commanded by Lieutenant Colonel D. A. Colvin",,,,8,2,,Official Report of Colonel Penicks
,,Feb. 8th,"Lebanon, Tennessee",,,,,,,600,"Rebellion Record. Vol. VI, page 44"
,,Feb. 9th,"Summerville, Virginia",Cavalry commanded by Major Knox,,,,,,,
,,Feb. 10th,"Old River, Lake Providence, Louisiana","Detailed men from the 1st Kansas, 17th and 95th Illinois, and 16tth Wisconsin Volunteers, and 3d Louisiana Cavalry, commanded by Captain T. Tucker",1,7,,4,7,26 ,Official report
,,Feb. 10th,"Gloucester Point, Virginia",,,,,,,,"Lossing's Civil War in America, Vol. III, page 21"
,,Feb. 10th,"Wachita Indiana Agency, Texas",Loyal Delawares and Shawnees,,4,,,,100,Official
,,Feb. 10th,"Bone Yard, Tennessee",18th Missouri Volunteers,,,,,,,Official
,,Feb. 13th,"Smithfield, Virginia",12th Pennsylvania Cavalry,1,2,4,1,,3,Official dispatches of General B. F. Kelley
68,,Feb. 13th,"Bolivar, Tennessee",Cavalry,,,,4,5,,Newspaper report
,,Feb. 14th,"Brentsville, Virginia",1st Michigan Cavalry,,15,,,,,"Report of Adjutant General of Michigan, 1863"
,,Feb. 14th,"Gordon’s Landing, Red River, Louisiana",U. S. ram Queen of the West,1,1,18,,,,Official Report of Colonel Charles L. Ellet
,,Feb. 15th,"Cainsville, Tennessee",123d Illinois Volunteers and one company of the 5th Tennessee Cavalry,,3,,8,20,6,Newspaper statement
,,Feb. 15th,"Nolensville, Tennessee","Detachment from the 2d Minnesota Volunteers, guarding a wagon train",,,,8,20,4,Newspaper reports
,,Feb. 15th,"Arkadelphia, Arkansas",Captain Brown’s command,2,12,,14,12,,Unofficial
,,Feb. 16th,"Romney, near, Virginia","Detachments of the 116th and 122d Ohio Volunteers, guarding a wagon train",,,72,,,,"Official Report of Lieutenant General R. E. Lee, C. S. A"
,,Feb. 18th,"Milton, Tennessee",2d Michigan and 3d Ohio Cavalry,,,,,,,"Report of Adjutant General of Michigan, 1863, p. 26"
,,Feb. 19th,"Spring River, Missouri",One company of the 9th Kansas,,,,,,,Official
,,Feb. 19th,"Cold Water, Mississippi","Cavalry, commanded by Lieutenant Colonel W. F. Wood, 1st Indiana Cavalry",,,,6,3,15,
,,Feb. 20th,"Yazoo Pass, Mississippi",5th Illinois Cavalry,,5,,16,,26,
,,Feb. 21st,"Prairie Station, Mississippi",2d Iowa Cavalry,1,3,1,,,,Official
,,Feb. 22d,"Tuscumbia, Alabama","Cavalry brigade, commanded by Colonel F. M. Cornyn, 10th Missouri Cavalry",,,,,,6,"Report of Adjutant General of Missouri, 1865, page 366"
,,Feb. 23d,"Deer Creek, near Greenville, Mississippi",General Burbridge’s division of the Thirteenth Corps,,,,,,,
,,Feb. 23d,"Athens, Kentucky",,,,,,,,
,,Feb. 24th,"Mississippi River, below Vicksburg","U. S. steamer Indianola, commanded by Lieutenant Commander George Brown",1,1,7,35,,,Official Report of David D. Porter
,,Feb. 25th,"Hartwood Church, Virginia",Brigadier General Averill’s Cavalry brigade,,,150,,14,,Official
,,Feb. 26th,"Strasburg Road, Virginia",13th Pennsylvania and 1st New York Cavalry,,,200,2,2,,Official
,,Feb. 27th,"New Berne, near, North Carolina","Detachment of 3d New York Cavalry, commanded by Captain Jacobs",,1,2,3,,48,
,,Mar. 1st,"Bradyville, Tennessee","1st Tennessee and 3d and 4th Ohio Cavalry, commanded by General Stanley",1,6,,5,25,100,Newspaper reports
,,Mar. 2d,"Eagleville, Tennessee","Foraging detachment of 15th, 16th, 18th, and 19th U. S. Infantry, commanded by Colonel Sheppard",,,,,,,Unofficial
,,Mar. 2d and 4th,"Petersburg, Chapel Hill, and Harpeth River, Tennessee","1st Tennessee Cavalry, commanded by Lieutenant Colonel J. P. Brownlow",,,,12,20,72,
,,Mar. 3d,"Fort McAllister, Genesis Point, Georgia",U. S. Navy,,,,,,,Newspaper reports
,,Mar. 3d,Owen's Valley,2d California Cavalry,,4,,,,,Official
,,Mar. 4th,"Skeet, North Carolina","3d New York Cavalry, commanded by Captain Colin Richardson",3,15,,,28,,Newspaper report. Also known as Swan’s Quarter
69,,Mar. 4th and 5th,"Thompson's Station, Tennessee","33d and 85th Indiana, 22d Wisconsin, 19th Michigan, and 124th Ohio Volunteers, 18th Ohio Battery, and 2d Michigan, 9th Pennsylvania, and 4th Kentucky Cavalry, commanded by Colonel John Cobum, 33d Indiana",100,300,1306,150,450,,"Casualty List, S. G. O. and official reports. Also known as Spring Hill and Unionville"
,,Mar. 8th,"Fairfax Court-House, Virginia",,,,33,,,,Official. Mosby’s midnight raid. Brigadier General  Stoughton captured in his tent
,,Mar. 9th,"Bolivar, Tennessee",,,,,,,18,
,,Mar. 9th,"Franklin, Tennessee","125th Ohio Volunteers, commanded by Colonel E. Opdyke",,,,,,,"Ohio in the War. Vol. 2, page 642"
,,Mar. 10th,"Covington, Tennessee","6th and 7th Illinois Cavalry, commanded by Colonel B. H. Grierson, 6th Illinois Cavalry",,,,25,,,"Report of Adjutant General of Illinois, Vol. III, page 65"
,,Mar. 10th,"Rutherford's Creek, Tennessee","4th Cavalry Brigade, commanded by Colonel Minty",,,,,,,"Report of Adjutant General of Indiana, Vol. II, page 19"
,,Mar. 11th,"Paris, Kentucky",Wagon-train guard,,,,,,,Unofficial
,,Mar. 13th to Apr. 5th,"Fort Pemberton, Greenwood. Mississippi","IT. S. gunboats Chillicothe and De Kalb, and troops of the Thirteenth and Seventeenth Corps, commanded  by Brigadier Generals L. F. Ross and J. F. Quimby",,,,,,,Official
,,Mar. 13th,"Berwick City, Louisiana",160th New York Volunteers,,,,,,,
,,Mar. 14th,"Port Hudson, Mississippi River, La.","Union fleet, commanded by Admiral D. G. Farragut, and Union troops commanded by Major General N. P. Banks",,65,,,,,Official Report of Major General N. P. Banks
,,Mar. 14th,"New Berne, North Carolina","Troops of the Department of Virginia and North Carolina, commanded by Major General Foster; and gun-boats",2,4,,,,,Official Report of Major General Halleck
,,Mar. 16th to 22d,"Expedition up Steele’s Bayou, Miss.","2d Division, Fifteenth Corps, commanded by General Sherman, and navy commanded by Admiral Porter",,,,,,400 kwm,
,,Mar. 17th,"Blackwater, Virginia","11th Pennsylvania Cavalry, commanded by Colonel S. P. Spear",1,16,,,,,
,,Mar. 17th,"Kelly’s Ford, Virginia","1st and 5th U. S., 3d, 4th, and 16th Pennsylvania, 1st Rhode Island, 6th Ohio, and 4th New York Cavalry, and 6th New York Battery, commanded by Brigadier General W. W. Averill",9,35,40,11,88,37,"Official Report of Brigadier General Fitz-Hugh Lee, C. S. A"
,,Mar. 18th,"Brashear City, Louisiana",1st Louisiana Cavalry,,,,10,20,,
,,Mar. 20th,"Vaught’s Hill, near Milton, Tennessee","105th Ohio, 10st Indiana, 80th and 123d Illinois Volunteers , 1st Tennessee Cavalry, and 9th Indiana Battery",7,48,7,63,300,10,"Casualty List, S. G. O. Official Report of Major General H. W. Halleck"
,,Mar. 21st,"Salem Pike, near Murfreesboro’, Tenn.",3d Tennessee Cavalry,,,,4,,,"Report of Adjutant General of Tennessee, 1866, page 387"
,,Mar. 21st,"Cottage Grove, Tennessee",,,,,,,,Unofficial
,,Mar. 21st,"Deer Creek, Mississippi","2d Division. Fifteenth Corps, commanded by Major General Sherman, and Mississippi fleet, commanded by Admiral Porter",,,,,,,Engagement during the expedition up Steele’s Bayou
,,Mar. 22d,"Blue Springs, Missouri",1st and 5th Missouri Militia Cavalry,9,,5,,,,Official. Skirmish with Quantrell’s guerillas
,,Mar. 22d,"Mount Sterling, Kentucky",10th Kentucky Cavalry,4,10,,8,13,,Official
,,Mar. 24th,"Danville, Kentucky","1st Kentucky and 2d Tennessee Cavalry, 18th and 22d Michigan Volunteers, and 1st Indiana Battery",,,,,,,Report of Adjutant General of Michigan
70,,Mar. 24th,"Ponehatoula, Louisiana","127th and 165th New York, 9th Connecticut, 14th and 24th Maine, and 6th Michigan Volunteers",,6,,3,11,12,"Official Report of Colonel Thomas S. Clark, 6th Michigan Volunteers, commanding"
,,Mar. 25th,"Brentwood, Tennessee","Detachment of 22d Wisconsin and 19th Michigan Volunteers, commanded by Colonel Bloodgood",1,4,300,1,5,,Official reports. Post surrendered to Forrest
,,Mar. 25th,"Franklin and Little Harpeth, Tennessee","4th and 6th Kentucky, 9th Pennsylvania, and 2d Michigan  Cavalry, commanded by Brigadier General G. C. Smith",4,19,40,,,,Official
,,Mar. 28th,"Pattersonville, Louisiana","Gunboat Diana, with detachments of the 12th Connecticut  and 160th New York Volunteers on board",4,14,99,,,,"Report of Adjutant General of Connecticut, 1864, page 135"
,,Mar. 28th,"Hurricane Bridge, West Virginia",Four companies of the 13th West Virginia Volunteers,4,3,,,4,4,"Report of Adjutant General of West Virginia, 1864, pago 371"
,,Mar. 28th,"Amite River, Louisiana",14th and 24th Maine Volunteers,,,,,,,"Report of Adjutant General of Maine, 1863, p. 81"
,,Mar. 29th,"Somerville, Tennessee",6th Illinois Cavalry,9,29,,,,,"Report of Adjutant General of Illinois, Vol. III, page 65"
,,Mar. 29th,"Expedition to Jacksonville, Florida","8th Maine and 6th Connecticut Volunteers, and 33d U. S. Colored Troops (1st South Carolina)",2,3,,,,,"Official Report of Colonel John D. Rust, 8th Maine Volunteers, commanding. Slight skirmish at Baldwin"
,,Mar. 29th,"Williamsburg, Virginia",5th Pennsylvania Cavalry,2,6,3,,,,Unofficial
,,Mar. 30th,"Tahliquah, Indian Territory",3d Kansas Indian Homo Guards,2,,,,,,Official
,,Mar. 30th,"Massacre on the steamer Sam Gaty, at Sibley’s Landing, Missouri","Civilians, Missouri Militia, and contrabands",12,1,,,,,Newspaper report
,,Mar. 30th,"The Island, Missouri",3d Wisconsin Cavalry,1,2,,,,,Official
,,Mar. 30th,"Dutton's Hill, Kentucky","1st Kentucky and 7th Ohio Cavalry, and 44th and 45th Ohio Mounted Volunteers",10,25,,,,290 kwm,"Official Report of Brigadier General Q. A. Gilmore, commanding. Also designated Somerset"
,,Mar. 30th,"Point Pleasant, West Virginia","One company of 13th West Virginia Volunteers, commanded  by Captain J. D. Carter",1,3,13,20,25,27,"Report of Adjutant General of West Virginia, 1864. page 371"
,,Mar. 30th,"Richmond, Louisiana",69th Indiana Volunteers and a detachment of the 2d Illinois Cavalry,,,,,7,4,Official Report of Major General J. A. McClernand. Also designated Round Away Bayou
,,Mar. 30th to Apr. 4th,"Washington, North Carolina",Troops commanded by Major General Foster,,,,,,,"Including the skirmish at Rodman’s Point, April 4th, 1863"
,,April 1st,"Chalk Bluff, Arkansas",One company of the 2d Missouri Militia Cavalry,,,25,,,,"Report of Adjutant General of Missouri, 1865, page 456"
,,April 1st,"Broad Run, Virginia",Detachments of the 1st Vermont and 5th New York Cavalry,1,5,,,,,Official
,,April 2d,"Little Rock Road, Arkansas",One company of the 5th Kansas Cavalry,1,1,,,,,Official
,,April 2d and 3d,"Woodbury and Snow Hill, Tennessee","3d and 4th Ohio Cavalry, commanded by General Stanley",1,8,4,,50,60,"Ohio in the War, Vol. 2, page 768"
,,April 4th,"Carroll County, Arkansas","1st Arkansas Cavalry, commanded by Captain J. J. Worthington",,1,,22,,7,
,,April 4th,"Madison, Arkansas",3d Iowa Cavalry,,,,,,56,"Report of Adjutant General of Iowa, 1865, p. 114"
71,,April 5th to 10th,"Black Bayou expedition, Mississippi","A division of the Fifteenth Corps, commanded by Major General Frederick Steele",,,,,,,
,,April 7th,"Bombardment of Fort Sumter, Charleston  Harbor, South Carolina","South Atlantic squadron, Keokuk, Weehawken, Passaic , Montauk, Patapsco, New Ironsides, Catskill, Nantucket, and Nahant, commanded by Rear-Admiral S. F. Du Pout, U. S. N",2,20,,4,10,,Official Reports of Union and Confederate commanders. Also designated Stono Inlet
,,April 8th,"St. Francis County, Missouri","Detachment of cavalry and one company of the 4th Iowa Cavalry, commanded by Major E. F. Winslow",1,4,,6,10,,"Report of Adjutant General of Iowa, 1864, p. 52£"
,,April 8th,"Broad River, South Carolina","3d Rhode Island Artillery, on the gunboat George Washington",2,8,,,,,Unofficial
,,April 9th,"East Pascagoula, Mississippi","74th U. S. C. T. (2d Louisiana), commanded by Colonel  N. W. Daniels",2,8,,20,,3,Official
,,April 9th,"Blount’s Mills, North Carolina","3d and 17th Massachusetts, 1st Rhode Island, and 3d New York Artillery",,10,,,,,"Report of Adjutant General of Massachusetts, 1863, page 650"
,,April 10th,"Waverly, Tennessee",One company of the 5th Iowa Cavalry,,,,3,,21,Official
,,April 10th,"Franklin and Harpeth River, Tennessee","40th Ohio, guarding the railroad, and a portion of Granger’s Cavalry Division, commanded by Colonel Stanley",,,100 kwm,19,35,83,Official Report of Major General Granger
,,April 10th,"Antioch Station, Tennessee",Detachment of the 10th Michigan Volunteers,8,12,,,,,"Report of Adjutant General of Michigan, 1863, page 78"
,,April 11th,"Whittaker’s Mills, near Williamsburg, Virginia",5th Pennsylvania Cavalry,5,,19,,,,Confederate sources
,,April 12th to 14th,"Irish Bend and Bisland, Louisiana","Grover’s Division, Nineteenth Corps, at Irish Bend, and Emory’s and Weitzel’s Divisions, Nineteenth Corps, at Bisland",,,350 kwm,,400,2000,"Official Report of Major General Banks, commanding. Also designated Bayou Teche, India Ridge, and Centreville"
,,April 12th to May 4th,"Siege of Suffolk, Virginia","Troops of the Department of Virginia and North Carolina, commanded by Major General John J. Peck",44,202,14,,500 kw,400,"Casualty List, S. G. O. Official reports"
,,April 14th,"West Branch and Nansemond, Virginia","Gunboats Commodore Barney, West End, Mount Washington, and Stepping Stones",3,7,,,,,"Official Report of Lieutenant W. B. Cushing, U. S. N"
,,April 15th,"Spanish Fork Canyon, Utah Territory",2d California Cavalry,1,4,,30,,,Official. Fight with Indians
,,April 15th,"Pikeville, Kentucky",39th Kentucky Mounted Infantry,,,,,,78,"Report of Adjutant General of Kentucky, Vol. II page 425"
,,April 15th,"Dunbar's Plantation, Louisiana",2d Illinois Cavalry,1,2,2,,,2,Official Report of Major General J. A. McClernand
,,April 16th,Running the Vicksburg batteries,Ironclads and transports belonging to Commodore Porter's  fleet and General Grant’s army,,,,,,,Official
,,April 16th,"Medalia, Minnesota",Eighteen soldiers of the 7th Minnesota Volunteers,4,2,,,,,Fight with Indians. Also designated South Branch of the Watonwan
,,April 17th,"South Quay, Virginia",99th and 130th New York Volunteers,2,3,,,,,Skirmish during the siege of Suffolk
,,April 17th,"Bear Creek, Cherokee Station, and Lundy’s Lane, Alabama","10th Missouri and 7th Kansas Cavalry, of Major Gen. G. M. Dodge’s forces",,26,16,6,20,,Official reports. Union and Confederate. Also designated Hillsborough
,,April 17th,"Bayou Vermilion, Louisiana","Division of the Nineteenth Corps, commanded by Brigadier General Grover",,,,,,,Official Report of Major General Banks
,,April 17th to May 2d,"Grierson’s expedition from La Grange, Tennessee, to Baton Rouge, Louisiana",6th and 7th Illinois and 2d Iowa Cavalry,,,,,100 kw,500,"Official Report of Colonel B. II. Grierson, 6th Illinois Cavalry"
72,,April 18th,"Hernando, Mississippi","2d Brigade, Cavalry Division, commanded by General Smith, and a force of infantry and artillery from the Sixteenth Corps, commanded by Colonel Bryant, 12th Wisconsin Volunteers",,,,,,,"Report of Adjutant General of Wisconsin, 1865, page 481"
,,April 18th,"Sabine Pass, Texas",Crews of the gunboats Cayuga and New London,1,5,5,,,,Unofficial
,,April 18th,"Fayetteville, Arkansas",1st Arkansas Volunteers and 1st Arkansas Cavalry,4,30,35,20,50,55,"Official Report of Colonel M. LaRue Harrison, 1st Arkansas Cavalry, commanding post"
,,April 18th,"Battery Huger, Hills Point, Virginia",Detachments of the 89th New York and 8th Connecticut  Volunteers,,,,,,129,Official. Skirmish during siege of Suffolk. (See April 12th. )
,,April 19th,"New Albany, Mississippi",7th Illinois Cavalry,,,,,,,Skirmish during Grierson's raid through Mississippi
,,April 19th,"Coldwater, Mississippi","2d Brigade, Cavalry Division, commanded by General Smith, and a force of infantry and artillery from the Sixteenth Corps, commanded by Colonel Bryant, l2th Wisconsin Volunteers",5,15,,20,40,75,"Ohio in the War, Vol. 2, page 780. Report of Adjutant General of Wisconsin, pages 202 and 481"
,,April 20th,"Celina, Kentucky",5th Indiana Cavalry,,,,,,,"Report of Adjutant General of Indiana, Vol. III, page 108"
,,April 20th,"Patterson, Missouri","3d Missouri Militia Cavalry, commanded by Colonel Smart",12,7,41,,,,"Report of Adjutant General of Missouri, 1865, page 465"
,,April 20th,"McMinnville, Tennessee","1st Brigade of Cavalry, Army of the Cumberland, commanded by Colonel Minty",,,,,,,
,,April 20th,"Bute La Rose, Louisiana","Union gunboats Estrella, Clifton, Arizona, and Calhoun, under Lieut. Commander A. P. Cooke, U. S. N",,,,,,60,Official Report of Major General N. P. Banks
,,April 21st and 22d,"Palo Alto, Mississippi","2d Iowa Cavalry, commanded by Colonel E. Hatch",,,6,,,,Skirmish during Grierson’s expedition through Mississippi. (See April 17th. ) Official Report of Colonel Hatch
,,April 22d,"Tompkinsville, Kentucky",,5,,,,,,Unofficial
,,April 22d,"Strasburg Road, Virginia","3d West Virginia Cavalry, under Major McGee",1,1,,5,9,25,Unofficial
,,April 23d,"Chuckatuck, Virginia",Crew of the gunboat Commodore Barney,1,,,2,,,"Official Report of Lieutenant Cushing, U. S. N"
,,April 24th,"Tuscumbia, Alabama","2d Division, Sixteenth Corps, commanded by Major General G. M. Dodge",,,,,,,Unofficial
,,April 24th,"Beverly, West Virginia","5th West Virginia Cavalry, commanded by Colonel G. R. Latham",2,10,,,,,"Report of the Adjutant General of West Virginia, 1864, page 625"
,,April 24th,"White Water, Missouri",1st Wisconsin Cavalry,2,6,7,,,,Official
,,April 24th,"Little Rook Landing, Duck River Shoals, Tennessee",Ellet’s Mississippi ram fleet,2,1,,,25 kw,,"Official Report of Lieutenant Fitch, U. S. N"
