battle,belligerent,description,commanders,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
LA016,CS,Confederate Forces on the Atchafalaya,"[{'fullname': 'Tom Green', 'last_name': 'Green', 'first_name': 'Tom', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA016,US,"Detachments of the 19th Iowa, 26th Indiana, and 37th Illinois Infantry Regiments, detachments of the 6th Missouri and 2nd and 36th Illinois Cavalry Regiments, and a section of Battery E, 1st Missouri Light Artillery","[{'fullname': 'Joseph B. Leake', 'last_name': 'Leake', 'first_name': 'Joseph', 'middle_name': 'B.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,3,,,,,,3,,,,,,,,1,,,,
LA017,CS,Fort DeRussy garrison,"[{'fullname': 'William Byrd', 'last_name': 'Byrd', 'first_name': 'William', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA017,US,"Detachments of the XVI and XVII Corps, USS Eastport","[{'fullname': 'A.J. Smith', 'last_name': 'Smith', 'first_name': 'A.J.', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Joseph Mower', 'last_name': 'Mower', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Seth L. Phelps', 'last_name': 'Phelps', 'first_name': 'Seth', 'middle_name': 'L.', 'rank': 'Lieutenant Commander', 'suffix': ''}]",,,,,,2,,,,,,,,,,,,,1,
LA018,CS,Department of West Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA018,US,Red River Expeditionary Force,"[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA019,CS,Department of West Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA019,US,Red River Expeditionary Force,"[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA020,CS,Green’s Cavalry Division,"[{'fullname': 'Tom Green', 'last_name': 'Green', 'first_name': 'Tom', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
LA020,US,"Provisional Division, XVII Army Corps, USS Osage, USS Lexington, and Army transports Vivian, Black Hawk, Meteor, Clara Bell, Rob Roy, Hastings, and Emerald","[{'fullname': 'Thomas Kilby Smith', 'last_name': 'Smith', 'first_name': 'Thomas', 'middle_name': 'Kilby', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Thomas O. Selfridge , Jr.', 'last_name': 'Selfridge', 'first_name': 'Thomas', 'middle_name': 'O.', 'rank': 'Lieutenant Commander', 'suffix': 'Jr.'}]",,,,,1,,,,,,,,,,,,,,2,
LA021,CS,Bee's Cavalry Division,"[{'fullname': 'Hamilton P. Bee', 'last_name': 'Bee', 'first_name': 'Hamilton', 'middle_name': 'P.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
LA021,US,Red River Expeditionary Force,"[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA022,CS,Department of West Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA022,US,Red River Expeditionary Force,"[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA023,CS,Department of West Louisiana,"[{'fullname': 'Richard Taylor', 'last_name': 'Taylor', 'first_name': 'Richard', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
LA023,US,Red River Expeditionary Force,"[{'fullname': 'Nathaniel P. Banks', 'last_name': 'Banks', 'first_name': 'Nathaniel', 'middle_name': 'P.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Joseph A. Mower', 'last_name': 'Mower', 'first_name': 'Joseph', 'middle_name': 'A.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MD001,CS,The Valley District,"[{'fullname': 'Thomas J. Jackson', 'last_name': 'Jackson', 'first_name': 'Thomas', 'middle_name': 'J.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MD001,US,Garrison of Hancock,"[{'fullname': 'F.W. Lander', 'last_name': 'Lander', 'first_name': 'F.W.', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MD002,CS,Daniel Harvey Hill’s Division and Howell Cobb’s Brigade,"[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,1,1,,,,,,,,,,,,,,,
MD002,US,"1st, 9th, and 6th Corps Army of the Potomac","[{'fullname': 'George B. McClellan', 'last_name': 'McClellan', 'first_name': 'George', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}]",,,,,,3,,,,,,,,,,,,,,
MD003,CS,"Army of Northern Virginia, 40,000","[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",40000,,,,,,,,,,,,,,,,,,,
MD003,US,"Army of the Potomac, 60,000","[{'fullname': 'George B. McClellan', 'last_name': 'McClellan', 'first_name': 'George', 'middle_name': 'B.', 'rank': 'Major General', 'suffix': ''}]",60000,,,,,,,,,,,,,,,,,,,
MD004,CS,Army of Northern Virginia,"[{'fullname': 'Robert E. Lee', 'last_name': 'Lee', 'first_name': 'Robert', 'middle_name': 'E.', 'rank': 'General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MD004,US,Army of the Potomac,"[{'fullname': 'George G. Meade', 'last_name': 'Meade', 'first_name': 'George', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MD006,CS,Stuart’s Cavalry Division,"[{'fullname': 'J.E.B. Stuart', 'last_name': 'Stuart', 'first_name': 'J.E.B.', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
MD006,US,First and Third U.S. Cavalry Divisions,"[{'fullname': 'Alfred Pleasonton', 'last_name': 'Pleasonton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,2,,,,,,,,,,
MD007,CS,2nd Corps Army of Northern Virginia,"[{'fullname': 'Jubal A. Early', 'last_name': 'Early', 'first_name': 'Jubal', 'middle_name': 'A.', 'rank': 'Lieutenant General', 'suffix': ''}]",,,,,,1,,,,,,,,,,,,,,
MD007,US,"Home Guards and Rickett’s (3rd) Division, VI Army Corps","[{'fullname': 'Lew Wallace', 'last_name': 'Wallace', 'first_name': 'Lew', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MD008,CS,McCausland’s and Johnson’s Cavalry Brigades,"[{'fullname': 'John McCausland', 'last_name': 'McCausland', 'first_name': 'John', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,2,,,,,,,,,,,
MD008,US,Cumberland Garrison,"[{'fullname': 'Benjamin F. Kelly', 'last_name': 'Kelly', 'first_name': 'Benjamin', 'middle_name': 'F.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MN001,I,Santee Sioux,"[{'fullname': 'Little Crow', 'last_name': 'Crow', 'first_name': 'Little', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MN001,US,"Company B and Company C (detachment), Fifth Minnesota Infantry, Renville Rangers, refugee civilians","[{'fullname': 'Timothy J. Sheehan', 'last_name': 'Sheehan', 'first_name': 'Timothy', 'middle_name': 'J.', 'rank': 'First Lieutenant', 'suffix': ''}]",,,2,,,,,,,,,,,,,,,,,
MN002,I,Santee Sioux,"[{'fullname': 'Little Crow', 'last_name': 'Crow', 'first_name': 'Little', 'middle_name': '', 'rank': 'Chief', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MN002,US,"6th Minnesota Volunteer Infantry, other volunteers","[{'fullname': 'Henry Hastings Sibley', 'last_name': 'Sibley', 'first_name': 'Henry', 'middle_name': 'Hastings', 'rank': 'Colonel', 'suffix': ''}]",,1,,,,,,,,,,,,,,,,,,
MO001,CS,Missouri State Guard,"[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO001,US,"Battery F, 2nd US Artillery, Company B, 2nd US Infantry, Two Recruit Companies, 4th US Artillery, 1st and 2nd Regiments Missouri Volunteers","[{'fullname': 'Nathaniel Lyon', 'last_name': 'Lyon', 'first_name': 'Nathaniel', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,2,3,,,,,,,,,,1,,,,,,,
MO002,CS,2nd Division Missouri State Guard,"[{'fullname': 'James S. Rains', 'last_name': 'Rains', 'first_name': 'James', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO002,US,Second Brigade Missouri Volunteers,"[{'fullname': 'Franz Sigel', 'last_name': 'Sigel', 'first_name': 'Franz', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO003,CS,4th Division Missouri State Guard,[],,,,,1,,,,,,,,,,,,,,,
MO003,US,"500 men of the 3rd Iowa Infantry, 70 Missouri Home Guards, and a 6–pound field piece from Battery E, 2nd Illinois Light Artillery (Schwartz’s Missouri Battery)","[{'fullname': 'John Scott', 'last_name': 'Scott', 'first_name': 'John', 'middle_name': '', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",570,,,,,,,,,,,,,,,,,,,
MO004,CS,Western Army; Missouri State Guard,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Benjamin McCulloch', 'last_name': 'McCulloch', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO004,US,Army of the West,"[{'fullname': 'Nathaniel Lyon', 'last_name': 'Lyon', 'first_name': 'Nathaniel', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Samuel D. Sturgis', 'last_name': 'Sturgis', 'first_name': 'Samuel', 'middle_name': 'D.', 'rank': 'Major', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO005,CS,Missouri State Guard,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO005,US,Kansas Brigade,"[{'fullname': 'James M. Lane', 'last_name': 'Lane', 'first_name': 'James', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,1,,,,,,,,,,,,,,,,
MO006,CS,Missouri State Guard,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO006,US,Lexington Garrison,"[{'fullname': 'James A. Mulligan', 'last_name': 'Mulligan', 'first_name': 'James', 'middle_name': 'A.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO007,CS,Missouri State Guard,[],,,,,,,,,,,,,,,,,,,,
MO007,US,"17th, 20th, 21st, and 33rd Illinois Volunteer Infantry, 11th Missouri Infantry, five companies of the 1st Indiana Cavalry, Stewart’s Independent Cavalry Company, Benton Hussars Cavalry Battalion, White’s section of Battery B, 1st Illinois Light Artillery, Battery A, 1st Missouri Light Artillery","[{'fullname': 'J. B. Plummer', 'last_name': 'Plummer', 'first_name': 'J.', 'middle_name': 'B.', 'rank': 'Colonel', 'suffix': ''}]",,5,,,,,,0.5,,,,6,2,,,,,,,
MO008,CS,Missouri State Guard,"[{'fullname': 'Julian Frazier', 'last_name': 'Frazier', 'first_name': 'Julian', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO008,US,"Three companies of cavalry of Fremont’s Body Guard, two companies of the Prairie Scout Cavalry, and the Irish Dragoon’s cavalry company","[{'fullname': 'Charles Zagonyi', 'last_name': 'Zagonyi', 'first_name': 'Charles', 'middle_name': '', 'rank': 'Major', 'suffix': ''}]",,,,,,,,,,,,6,,,,,,,,
MO009,CS,"First Division, Western Department","[{'fullname': 'Gideon J. Pillow', 'last_name': 'Pillow', 'first_name': 'Gideon', 'middle_name': 'J.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Frank Cheatham', 'last_name': 'Cheatham', 'first_name': 'Frank', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO009,US,District of Southwest Missouri; USS Lexington and USS Tyler,"[{'fullname': 'Ulysses S. Grant', 'last_name': 'Grant', 'first_name': 'Ulysses', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Henry A. Walke', 'last_name': 'Walke', 'first_name': 'Henry', 'middle_name': 'A.', 'rank': 'Commander', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,2,
MO010,CS,"Dorsey’s Battalion, Missouri Cavalry","[{'fullname': 'Caleb Dorsey', 'last_name': 'Dorsey', 'first_name': 'Caleb', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,0.5,,,,,,,,,,,,
MO010,US,Five Companies of the 3rd Missouri Cavalry and five companies of Birge’s Western Sharpshooters,"[{'fullname': 'Benjamin M. Prentiss', 'last_name': 'Prentiss', 'first_name': 'Benjamin', 'middle_name': 'M.', 'rank': 'Brigadier General', 'suffix': ''}]",,,5,,,,,,,,,5,,,,,,,,
MO011,CS,5th Regiment of the Missouri State Guard,"[{'fullname': 'John A. Poindexter', 'last_name': 'Poindexter', 'first_name': 'John', 'middle_name': 'A.', 'rank': 'Colonel', 'suffix': ''}]",,1,,,,,,,,,,,,,,,,,,
MO011,US,"Four companies of the 1st and three companies of the 2nd Missouri Cavalry, one company of the 4th Ohio Cavalry, and the 1st Battalion of the 1st Iowa Cavalry","[{'fullname': 'W. M. G. Torrence', 'last_name': 'Torrence', 'first_name': 'W.', 'middle_name': 'M. G.', 'rank': 'Major', 'suffix': ''}]",,,,,,,,0.5,,,,8,,,,,,,,
MO012,CS,Garrisons of New Madrid and Island No. 10; Confederate States Navy,"[{'fullname': 'John P. McCown', 'last_name': 'McCown', 'first_name': 'John', 'middle_name': 'P.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'William W. Mackall', 'last_name': 'Mackall', 'first_name': 'William', 'middle_name': 'W.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'George N. Hollins', 'last_name': 'Hollins', 'first_name': 'George', 'middle_name': 'N.', 'rank': 'Flag Officer', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO012,US,Army of the Mississippi and the Mississippi River Squadron,"[{'fullname': 'John Pope', 'last_name': 'Pope', 'first_name': 'John', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Andrew H. Foote', 'last_name': 'Foote', 'first_name': 'Andrew', 'middle_name': 'H.', 'rank': 'Flag Officer', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO013,CS,1st and 2nd Northeast Missouri Cavalry; Confederate Irregulars,"[{'fullname': 'Joseph C. Porter', 'last_name': 'Porter', 'first_name': 'Joseph', 'middle_name': 'C.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,2,,,,,,,,,,,,
MO013,US,"Kirksville: Detachments of the 1st, 2nd, 9th, and 11th Missouri State Militia Cavalry, Rice's Independent Company, 3rd Iowa Cavalry and a section of the 3rd Indiana Light Artillery. Painter's Creek: Detachments of the 1st and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry. Walnut Creek and Seesford: Detachments of the 1st, 5th, and 6th Missouri State Militia Cavalry, the 7th Missouri Cavalry, and the 33rd Enrolled Missouri Militia Infantry","[{'fullname': 'John McNeil', 'last_name': 'McNeil', 'first_name': 'John', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Alexander M. Woolfolk', 'last_name': 'Woolfolk', 'first_name': 'Alexander', 'middle_name': 'M.', 'rank': 'Lieutenant Colonel', 'suffix': ''}, {'fullname': 'James McFerran', 'last_name': 'McFerran', 'first_name': 'James', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,1,1,,,,,8,,,,,,,,,,,,
MO014,CS,"Confederate Partisans and recruits under Hughes, Hays and Quantrill","[{'fullname': 'John T. Hughes', 'last_name': 'Hughes', 'first_name': 'John', 'middle_name': 'T.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Gideon W. Thompson', 'last_name': 'Thompson', 'first_name': 'Gideon', 'middle_name': 'W.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO014,US,Independence Garrison,"[{'fullname': 'James T. Buel', 'last_name': 'Buel', 'first_name': 'James', 'middle_name': 'T.', 'rank': 'Lieutenant Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO015,CS,Confederate recruits,"[{'fullname': 'Jeremiah Vard Cockrell', 'last_name': 'Cockrell', 'first_name': 'Jeremiah', 'middle_name': 'Vard', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'John T. Coffee', 'last_name': 'Coffee', 'first_name': 'John', 'middle_name': 'T.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO015,US,"Five companies of the 7th Missouri Cavalry, a section of the 3rd Indiana Independent Light Artillery, and three companies of the 6th Cavalry, two companies of the 8th Cavalry, three companies of the 2nd Battalion, and one company of the 7th Cavalry, Missouri State Militia","[{'fullname': 'Emory S. Foster', 'last_name': 'Foster', 'first_name': 'Emory', 'middle_name': 'S.', 'rank': 'Major', 'suffix': ''}, {'fullname': 'Milton H. Brawner', 'last_name': 'Brawner', 'first_name': 'Milton', 'middle_name': 'H.', 'rank': 'Captain', 'suffix': ''}]",,,,,,,,,,,,14,,,,1,,,,
MO016,CS,Cooper’s Division,"[{'fullname': 'Douglas H. Cooper', 'last_name': 'Cooper', 'first_name': 'Douglas', 'middle_name': 'H.', 'rank': 'Colonel', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO016,US,"Division, Army of Kansas","[{'fullname': 'Edward Lynde', 'last_name': 'Lynde', 'first_name': 'Edward', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Fredrich Salomon', 'last_name': 'Salomon', 'first_name': 'Fredrich', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO017,CS,"3rd, 4th, and 8th Missouri Cavalry, Marmaduke’s Division, Army of the West","[{'fullname': 'John Q. Burbridge', 'last_name': 'Burbridge', 'first_name': 'John', 'middle_name': 'Q.', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,3,,,,,,,,,,,,
MO017,US,"Company C and M, 10th Illinois Cavalry and Company H, Missouri Home Guard Militia","[{'fullname': 'Hiram E. Barstow', 'last_name': 'Barstow', 'first_name': 'Hiram', 'middle_name': 'E.', 'rank': 'Captain', 'suffix': ''}]",,,1,,,,,,,,,2,,,,,,,,
MO018,CS,"4th Division, First Corps, Trans-Mississippi Department","[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO018,US,"Southwestern District of Missouri, Springfield Garrison","[{'fullname': 'Egbert B. Brown', 'last_name': 'Brown', 'first_name': 'Egbert', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Benjamin Crabb', 'last_name': 'Crabb', 'first_name': 'Benjamin', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO019,CS,"4th Division, First Corps, TransMississippi Department","[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO019,US,"Elements of the 3rd Iowa Cavalry, 21st Iowa Infantry, 99th Illinois Infantry, 3rd Missouri Cavalry, and a section of Battery L, 2nd Missouri Light Artillery","[{'fullname': 'Samuel Merrill', 'last_name': 'Merrill', 'first_name': 'Samuel', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,2,,,,,,2,,,,,,,,1,,,,
MO020,CS,"4th Division, First Corps, TransMississippi Department","[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO020,US,Cape Girardeau Garrison,"[{'fullname': 'John McNeil', 'last_name': 'McNeil', 'first_name': 'John', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,,,,,,,,,,,,,,,,
MO021,CS,Army of Missouri,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO021,US,"Detachment from the 14th Iowa Infantry; Garrison consisting of Battery H, 2nd Missouri Light Artillery and companies from the 47th Missouri Infantry, 50th Missouri Infantry, 1st Missouri State Militia Infantry, 2nd Missouri State Militia Cavalry, and 3rd Missouri State Militia Cavalry","[{'fullname': 'Thomas Ewing , Jr.', 'last_name': 'Ewing', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': 'Jr.'}]",,,,,,,,,,,,,,,,,,,,
MO022,CS,"Marmaduke’s Brigade, Marmaduke’s Division, and Jackman’s Brigade and Collins’ Missouri Battery, Shelby’s Division, Army of Missouri","[{'fullname': 'John B. Clark , Jr.', 'last_name': 'Clark', 'first_name': 'John', 'middle_name': 'B.', 'rank': 'Brigadier General', 'suffix': 'Jr.'}, {'fullname': 'Joseph O. Shelby', 'last_name': 'Shelby', 'first_name': 'Joseph', 'middle_name': 'O.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,2,,,,,,,,,1,,,,,,,
MO022,US,"Garrison consisting of parts of the 43rd Missouri Infantry, 4th Provisional Regiment Enrolled Missouri Militia, 9th Cavalry Missouri State Militia, 13th Missouri Cavalry, and two companies of citizen militia","[{'fullname': 'Chester Hardin , Jr.', 'last_name': 'Hardin', 'first_name': 'Chester', 'middle_name': '', 'rank': 'Colonel', 'suffix': 'Jr.'}]",,2,2,,,,,2,,,,,,,,,,,,
MO023,CS,Army of Missouri,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO023,US,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border","[{'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,2,,,,,,,,,,,
MO024,CS,"Marmaduke’s Division and Shelby’s Division, Army of Missouri","[{'fullname': 'John S. Marmaduke', 'last_name': 'Marmaduke', 'first_name': 'John', 'middle_name': 'S.', 'rank': 'Major General', 'suffix': ''}, {'fullname': 'Joseph O. Shelby', 'last_name': 'Shelby', 'first_name': 'Joseph', 'middle_name': 'O.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,2,,,,,,,,,,,,,,,
MO024,US,"11th Kansas Cavalry; 1st and 4th Brigades, 1st Division [Provisional Cavalry], Army of the Border","[{'fullname': 'Thomas Moonlight', 'last_name': 'Moonlight', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'James G. Blunt', 'last_name': 'Blunt', 'first_name': 'James', 'middle_name': 'G.', 'rank': 'Major General', 'suffix': ''}]",,,,2,,,,,,1,,,,,,,,,,
MO025,CS,"Cabell’s Brigade and Slemon’s Brigade, Fagan’s Division, Army of Missouri","[{'fullname': 'William L. Cabell', 'last_name': 'Cabell', 'first_name': 'William', 'middle_name': 'L.', 'rank': 'Brigadier General', 'suffix': ''}, {'fullname': 'William F. Slemons', 'last_name': 'Slemons', 'first_name': 'William', 'middle_name': 'F.', 'rank': 'Colonel', 'suffix': ''}]",,,,2,,,,,,,,,,,,,,,,
MO025,US,"Provisional Cavalry Division, Department of Missouri","[{'fullname': 'Alfred Pleasonton', 'last_name': 'Pleasonton', 'first_name': 'Alfred', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,,,,1,,,,,,,,,,
MO026,CS,"Shelby’s Division, Army of Missouri","[{'fullname': 'Joseph Shelby', 'last_name': 'Shelby', 'first_name': 'Joseph', 'middle_name': '', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
MO026,US,"1st Cavalry Brigade, Army of the Border; 2nd Brigade, Army of the Border","[{'fullname': 'Charles R. Jennison', 'last_name': 'Jennison', 'first_name': 'Charles', 'middle_name': 'R.', 'rank': 'Colonel', 'suffix': ''}, {'fullname': 'Thomas Moonlight', 'last_name': 'Moonlight', 'first_name': 'Thomas', 'middle_name': '', 'rank': 'Colonel', 'suffix': ''}]",,,,1,,,,,1,,,,,,,,,,,
MO027,CS,Army of Missouri,"[{'fullname': 'Sterling Price', 'last_name': 'Price', 'first_name': 'Sterling', 'middle_name': '', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO027,US,Army of the Border,"[{'fullname': 'Samuel R. Curtis', 'last_name': 'Curtis', 'first_name': 'Samuel', 'middle_name': 'R.', 'rank': 'Major General', 'suffix': ''}]",,,,,,,1,,,,,,,,,,,,,
MO028,CS,"Shelby’s Division, Army of Missouri","[{'fullname': 'Joseph O. Shelby', 'last_name': 'Shelby', 'first_name': 'Joseph', 'middle_name': 'O.', 'rank': 'Brigadier General', 'suffix': ''}]",,,,,1,,,,,,,,,,,,,,,
