battle,combatant,corps,strength,description,killed,divisions,brigades,ironclads,cavalry_regiments,cavalry_brigades,cavalry_corps,cavalry_divisions,gunboats,casualties,strength_min,companies,missing,armies,artillery_batteries,wounded,captured,wooden_ships,rams,regiments,ships,strength_max
MD007,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
IN001,US,,,400,,,,,,,,,,360,400,,,,,,,,,,,400
IN001,CS,,,"1,800",,,,,,,,,,41,1800,,,,,,,,,,,1800
VA029,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA029,CS,,,,,,,,,,,,,,,,,,,,,,,,,
NC009,US,,,"Department of North Carolina, 1st Division",,1,,,,,,,,,,,,,,,,,,,,
NC009,CS,,,Clingman's Brigade,,,1,,,,,,,,,,,,,,,,,,,
AR009,US,,,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery",,,,,2,,,,,16,,,,,,,,,,,,
AR009,CS,,,Cabell's Brigade,,,1,,,,,,,65,,,,,,,,,,,,
GA019,US,,,Army of the Ohio,,,,,,,,,,,,,,1,,,,,,,,
GA019,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
MO013,US,,,Combined force (cavalry and artillery),,,,,,,,,,88,,,,,,,,,,,,
MO013,CS,,,Missouri Brigade,,,1,,,,,,,368,,,,,,,,,,,,
AR008,US,,,District of Eastern Arkansas,,,,,,,,,,206,,,,,,,,,,,,
AR008,CS,,,District of Arkansas,,,,,,,,,,1636,,,,,,,,,,,,
FL003,US,,,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573)",,,,,,,,,,,1573,,,,,,,,,,,1573
FL003,CS,,,a small artillery and cavalry force,,,,,,,,,,,,,,,,,,,,,,
NC013,US,,,9 gunboats,,,,,,,,,9,,,,,,,,,,,,,
NC013,CS,,,Confederate ram,,,,,,,,,,,,,,,,,,,,,1,
MD006,US,,,,,1,,,,,,,,,,,,,,,,,,,,
MD006,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA035,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA035,CS,,,,,,,,,,,,,,,,,,,,,,,,,
TX003,US,,,"Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships",,,,,,,,,,600,,,,,,,,,,1,,
TX003,CS,,,"four Confederate gunboats and district of Texas, New Mexico, and Arizona troops",,,,,,,,,,50,,,,,,,,,,,4,
VA059,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA059,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
LA018,US,,,Banks's Red River Expeditionary Force,,,,,,,,,,2900,,,,,,,,,,,,
LA018,CS,,,District of West Louisiana (two divisions),,2,,,,,,,,1500,,,,,,,,,,,,
FL002,US,,,One gunboat,,,,,,,,,1,0,,,,,,,,,,,,
FL002,CS,,,"Osceola Rangers, company",,,,,,,,,,0,,1,,,,,,,,,,
WV009,US,,,District of the Kanawha,23,,,,,,,,,113,,,21,,,69,,,,,,
WV009,CS,,,"Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia",4,,,,,,,,,16,,,,,,12,,,,,,
TX001,US,,,"Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James",,,,,,,,,,,,,,,,,,,,,3,
TX001,CS,,,Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away,,,,,,,,,,,55,,,,,,,,,,,55
TN011,US,,,"Two brigades (approx. 3,000 men)",,,,,,,,,,237,3000,,,,,,,,,,,3000
TN011,CS,,,expeditionary brigade,,,1,,,,,,,500,,,,,,,,,,,,
KY008,US,,,Union garrison,,,,,,,,,,4148,,,,,,,,,,,,
KY008,CS,,,Army of the Mississippi,,,,,,,,,,714,,,,1,,,,,,,,
LA010,US,1,,"XIX Army Corps, Army of the Gulf",,,,,,,,,,5000,,,,,,,,,,,,
LA010,CS,,,"Confederate forces, 3rd District, Department of Mississippi and East Louisiana, Port Hudson",,,,,,,,,,7208,,,,,,,,,,,,
LA003,US,,,"2nd Brigade, Department of the Gulf",,,1,,,,,,,371,,,,,,,,,,,,
LA003,CS,1,,Breckinridge's Corps,,,,,,,,,,478,,,,,,,,,,,,
PA002,US,,,"83,289",,,,,,,,,,23000,83289,,,,,,,,,,,83289
PA002,CS,,,"75,054",,,,,,,,,,28000,75054,,,,,,,,,,,75054
SC007,US,,,"5,000",,,,,,,,,,1515,5000,,,,,,,,,,,5000
SC007,CS,,,"1,800",,,,,,,,,,174,1800,,,,,,,,,,,1800
AL003,US,,,Farragut's Fleet (14 wooden ships and 4 monitors) and U.S. army forces near Mobile,,,,4,,,,,,322,,,,,,,,14,,,,
AL003,CS,,,"Buchanan's Flotilla (3 gunboats and an ironclad), Fort Morgan Garrison, Fort Gaines Garrison, and Fort Powell Garrison",,,,1,,,,,3,1500,,,,,,,,,,,,
NM001,US,,,Department of New Mexico (combination of regular and volunteer units),,,,,,,,,,202,,,,,,,,,,,,
NM001,CS,,,Army of New Mexico,,,,,,,,,,187,,,,,,,,,,3,,
VA081,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA081,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
WV010,US,1,,,44,,,,,,,,,12636,,,,,,173,12419,,,,,
WV010,CS,1,,,39,,,,,,,,,286,,,,,,247,,,,,,
TN010,US,,,Army of the Cumberland,,,,,,,,,,13249,,,,1,,,,,,,,
TN010,CS,,,Army of Tennessee,,,,,,,,,,10266,,,,1,,,,,,,,
VA054,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA054,CS,,,,,,,,,,,,,,,,,,,,,,,,,
VA031,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA031,CS,,,,,,,,,,,,,,,,,,,,,,,,,
VA097,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA097,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
VA098,US,,,"4,500",,,,,,,,,,,4500,,,,,,,,,,,4500
VA098,CS,,,"2,500",,,,,,,,,,,,,,,,,,,,,,
LA011,US,,,African Brigade and the 23rd Iowa Volunteer Infantry,,,1,,,,,,,652,,,,,,,,,,1,,
LA011,CS,,,McCulloch's Brigade,,,1,,,,,,,185,,,,,,,,,,,,
MO009,US,,,Division,,1,,,,,,,,498,,,,,,,,,,,,
MO009,CS,,,division,,1,,,,,,,,966,,,,,,,,,,,,
SC009,US,,,413,,,,,,,,,,117,413,,,,,,,,,,,413
SC009,CS,,,unknown,,,,,,,,,,,,,,,,,,,,1,,
WV016,US,,,,,,1,,,,,,,,,,,,,,,,,,,
WV016,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
VA014,US,,,,,,,,,,,,,5739,,,,,,,,,,,,
VA014,CS,,,,,,,,,,,,,7997,,,,,,,,,,,,
AL006,US,,,XIII and XVI Corps,,,,,,,,,,798,,,,,,,,,,,,
AL006,CS,,,Fort Blakely Garrison,,,,,,,,,,3677,,,,,,,,,,,,
VA027,US,,,,,1,,,,,,,,1300,,,,,,,,,,,,
VA027,CS,,,,,1,,,,,,,,800,,,,,,,,,,,,
OH001,US,,,"3,000",,,,,,,,,,25,3000,,,,,,,,,,,3000
OH001,CS,,,"1,700",,,,,,,,,,900,1700,,,,,,,,,,,1700
OH002,US,,,"2,600",,,,,,,,,,0,2600,,,,,,,,,,,2600
OH002,CS,,,400,,,,,,,,,,364,400,,,,,,,,,,,400
WV008,US,,,,,,1,,,,,,,137,,,,,,,,,,,,
WV008,CS,,,,,,1,,,,,,,146,,,,,,,,,,,,
MS008,US,,,Army of the Tennessee,,,,,,,,,,286,,,,1,,,,,,,,
MS008,CS,,,Jackson Garrison,,,,,,,,,,850,,,,,,,,,,,,
AL007,US,,,Two cavalry divisions,,,,,,,,2,,319,,,,,,,,,,,,
AL007,CS,,,"troops in city (approx. 5,000 men)",,,,,,,,,,2700,5000,,,,,,,,,,,5000
TN019,US,,,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",,,,,,,,,,27,,,,,,,,,,,,
TN019,CS,,,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",,,,,,,,,,165,1200,,,,,,,,,,,1200
TN009,US,,,Two regiments from the Jackson Garrison,,,,,,,,,,6,,,,,,,,,,2,,
TN009,CS,,,Detachment of Forrest's Cavalry (approx. 400),,,,,,,,,,,400,,,,,,,,,,,400
GA016,US,,,Army of the Cumberland,,,,,,,,,,1710,,,,,,,,,,,,
GA016,CS,,,Army of Tennessee,,,,,,,,,,4796,,,,1,,,,,,,,
VA078,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA078,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA051,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA051,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
TN012,US,,,Detachments of two regiments: 83rd Illinois Infantry and 5th Iowa Cavalry Regiments and some artillery (approx. 800),,,,,,,,,,126,800,,,,,,,,,,,800
TN012,CS,,,"cavalry division (approx. 2,500)",,,,,,,,,,670,2500,,,,,,,,,,,2500
VA057,US,1,,,,,,,,,,,,1100,,,,,,,,,,,,
VA057,CS,1,,,,,,,,,,,,1100,,,,,,,,,,,,
MS006,US,2,,Army of the Tennessee (comprising two corps),,,,,,,,,,861,,,,,,,,,,,,
MS006,CS,,,Confederate forces in area (one reinforced division: four brigades),,,4,,,,,,,787,,,,,,,,,,,,
VA107,US,,,"7,000",,,,,,,,,,4443,7000,,,,,,,,,,,7000
VA107,CS,,,"12,500",,,,,,,,,,266,12500,,,,,,,,,,,12500
VA020,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA020,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
KS002,US,,,Detachments from three regiments and an escort,,,,,,,,,,103,,,,,,,,,,1.5,,
KS002,CS,,,Quantrill's Raiders (approx. 400),,,,,,,,,,3,400,,,,,,,,,,,400
VA012,US,,,5 gunboats,,,,,,,,,5,,,,,,,,,,,,,
VA012,CS,,,battery garrison,,,,,,,,,,,,,,,,,,,,,,
TN037,US,,,"District of Tennessee (forces in Murfreesboro area; approx. 8,000)",,,,,,,,,,225,8000,,,,,,,,,,,8000
TN037,CS,,,"Forrest's Cavalry, Bate's Infantry Division, and Brig. Gen. Claudius Sears's and Brig. Gen. Joseph B. Palmer's Infantry Brigades (6,500-7,000)",,,,,,,,,,197,6500,,,,,,,,,,,6500
VA023,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA023,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
VA056,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA056,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
VA044,US,,,"69,643",,,,,,,,,,1272,69643,,,,,,,,,,,69643
VA044,CS,,,"44,426",,,,,,,,,,680,44426,,,,,,,,,,,44426
VA092,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA092,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA085,US,1,,,,,,,,,,,,380,,,,,,,,,,,,
VA085,CS,1,,,,,,,,,,,,370,,,,,,,,,,,,
WV013,US,,,,,1,,,,,,,,,,,,,,,,,,,,
WV013,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
TN020,US,,,Department of the Ohio,,,,,,,,,,100,,,,,,,,,,,,
TN020,CS,,,"1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",,,,,,,,,,216,,,,,,,,,,2,,
LA007,US,,,"4th Division, XIX Army Corps",,1,,,,,,,,353,,,,,,,,,,,,
LA007,CS,,,"28th Louisiana Infantry, 2nd Louisiana Cavalry, 12th Louisiana Infantry Battalion, 4th Texas Cavalry, and Cornay's Louisiana Battery",,,,,,,,1,,,,,,,1,,,,,1.5,,
TN003,US,,,"Army of the Tennessee and Army of the Ohio (65,085)",,,,,,,,,,13047,65085,,,,,,,,,,,65085
TN003,CS,,,"Army of the Mississippi (44,968)",,,,,,,,,,10699,44968,,,,,,,,,,,44968
TN024,US,,,Military Division of the Mississippi,,,,,,,,,,5815,,,,,,,,,,,,
TN024,CS,,,Army of Tennessee,,,,,,,,,,6670,,,,1,,,,,,,,
VA016,US,,,"15,631",,,,,,,,,,400,15631,,,,,,,,,,,15631
VA016,CS,,,"16,356",,,,,,,,,,1300,16356,,,,,,,,,,,16356
VA063,US,,,"62,000",,,,,,,,,,8150,62000,,,,,,,,,,,62000
VA063,CS,,,"42,000",,,,,,,,,,3236,42000,,,,,,,,,,,42000
GA018,US,,,Army of the Tennessee,,,,,,,,,,562,,,,,,,,,,,,
GA018,CS,2,,two corps of Army of Tennessee,,,,,,,,,,3000,,,,,,,,,,,,
VA065,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA065,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA071,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA071,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
KY006,US,,,"1st Division, Army of the Ohio, and Brig. Gen. A. Schoepf's Brigade (total of four brigades)",,1,,,,,,,,232,,,,,,,,,,,,
KY006,CS,,,division of two brigades,,,2,,,,,,,439,,,,,,,,,,,,
VA106,US,,,"3,500",,,,,,,,,,1002,3500,,,,,,,,,,,3500
VA106,CS,,,"6,000",,,,,,,,,,816,6000,,,,,,,,,,,6000
TN004,US,,,"U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch",,,,5,,,,,,1,,,,,,,,,2,,,
TN004,CS,,,"C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel",,,,,,,,,,180,,,,,,,,,8,,,
GA005,US,,,Three divisions,,3,,,,,,,,432,,,,,,,,,,,,
GA005,CS,,,one division,,1,,,,,,,,480,,,,,,,,,,,,
MS014,US,,,"Three-brigade division of infantry and a division of cavalry (about 8,500 )",,,,,,,,,,2610,8500,,,,,,,,,,,8500
MS014,CS,,,cavalry corps,,,,,,,1,,,495,,,,,,,,,,,,
TN032,US,,,"Supply depot garrison (approx. 4,000)",,,,,,,,,,,4000,,,,,,,,,,,4000
TN032,CS,,,Forrest's Cavalry,,,,,,,,,,,,,,,,,,,,,,
VA019,US,,,,,1,,,,,,,,,,,,,,,2500,,,,,
VA019,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
SC005,US,,,,,,1,,,,,,,339,,,,,,,,,,,,
SC005,CS,,,,,,1,,,,,,,12,,,,,,,,,,,,
WV007,US,,,,,,1,,,,,,,40,,,,,,,,,,,,
WV007,CS,,,,,,1,,,,,,,40,,,,,,,,,,,,
VA103,US,,,"1,063",,,,,,,,,,904,1063,,,,,,,,,,,1063
VA103,CS,,,"3,000",,,,,,,,,,56,3000,,,,,,,,,,,3000
MO018,US,,,"Southwestern District of Missouri Troops (2,000)",,,,,,,,,,163,2000,,,,,,,,,,,2000
MO018,CS,,,"4th Division, I Corps, Trans-Mississippi Department",,1,,,,,,,,240,,,,,,,,,,,,
MO021,US,,,Garrison,,,,,,,,,,184,,,,,,,,,,,,
MO021,CS,,,Army of Missouri,,,,,,,,,,1500,,,,1,,,,,,,,
KY009,US,,,Army of the Ohio,,,,,,,,,,4211,,,,,,,,,,,,
KY009,CS,,,Army of the Mississippi,,,,,,,,,,3196,,,,1,,,,,,,,
NC012,US,,,Plymouth Garrison (4 infantry and artillery units),,,,,,,,,,,,,,,,,,,,4,,
NC012,CS,,,Hoke's Division,,1,,,,,,,,,,,,,,,,,,,,
NC004,US,,,"Parke's Division of Department of North Carolina, 3rd Division",,,,,,,,,,10,,,,,,,,,,,,
NC004,CS,,,Fort Macon Garrison,,,,,,,,,,480,,,,,,,,,,,,
GA011,US,,,Military Division of Mississippi,,,,,,,,,,2400,,,,,,,,,,,,
GA011,CS,,,Army of Tennessee,,,,,,,,,,3000,,,,1,,,,,,,,
VA067,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA067,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
AL001,US,,,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry",,,,,,,,,,23,,,,,,,,,,5,,
AL001,CS,,,three regiments,,,,,,,,,,65,,,,,,,,,,3,,
VA053,US,,,"30,000",,,,,,,,,,,30000,,,,,,,,,,,30000
VA053,CS,,,"18,000",,,,,,,,,,,18000,,,,,,,,,,,18000
AR017,US,,,Two brigades of XVI Army Corps,,,2,,,,,,,180,,,,,,,,,,,,
AR017,CS,,,Marmaduke's Division,,1,,,,,,,,100,,,,,,,,,,,,
AL004,US,,,"Garrison and other troops sent there (approx. 5,000 men)",,,,,,,,,,155,5000,,,,,,,,,,,5000
AL004,CS,,,Army of Tennessee,,,,,,,,,,450,,,,1,,,,,,,,
MD004,US,,,,,1,,,,,,,,,,,,,,,,,,,,
MD004,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
OK003,I,,,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,
OK003,CS,,,McIntosh's and Douglas Cooper's brigades,,,2,,,,,,,,,,,,,,,,,,,
VA073,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA073,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA050,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA050,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
WV003,US,,,,,,1,,,,,,,46,,,,,,,,,,,,
WV003,CS,,,,,,1,,,,,,,300,,,,,,,,,,,,
MO008,US,,,Prairie Scouts and Frémont's Body Guard,,,,,,,,,,85,,,,,,,,,,,,
MO008,CS,,,Missouri State Guard troops,,,,,,,,,,133,,,,,,,,,,,,
VA075,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA075,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
KY004,US,,,32nd Indiana Volunteer Infantry Regiment,,,,,,,,,,40,,,,,,,,,,1,,
KY004,CS,,,"Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men)",,,,,,,,,,91,1350,,,,,,,,,,,1350
OK001,I,,,Creek and Seminole,,,,,,,,,,,,,,,,,,,,,,
OK001,CS,,,Indian Department,,,,,,,,,,,,,,,,,,,,,,
TN001,US,,,District of Cairo,,,,,,,,,,40,,,,,,,,,,,,
TN001,CS,,,Fort Henry Garrison,,,,,,,,,,79,,,,,,,,,,,,
TN017,US,1,,XIV Army Corps,,,,,,,,,,,,,,,,,,,,,,
TN017,CS,,,"Bate's and Johnson's Brigades, Stewart's Division, Hardee's Corps, Army of Tennessee, and J.R. Butler's 1st [3rd] Kentucky Cavalry Regiment",,,2,,1,,,,,,,,,,,,,,,,,
MO017,US,,,Detachments of 10th Illinois Cavalry and State Militia (approx. 100 men),,,,,,,,,,113,113,,,,,,,,,,,113
MO017,CS,,,"cavalry brigade (approx. 1,000 men)",,,,,,,,,,,1000,,,,,,,,,,,1000
GA028,US,,,"2nd Division, XV Corps, Army of the Tennessee",,1,,,,,,,,134,,,,,,,,,,,,
GA028,CS,,,Fort McAllister Garrison (120 men),,,,,,,,,,71,120,,,,,,,,,,,120
GA026,US,,,"3rd Cavalry Division, Military Division of the Mississippi",,1,,,,,,,,46,,,,,,,,,,,,
GA026,CS,,,"cavalry corps, Department of South Carolina, Georgia, and Florida",,,,,,,1,,,600,,,,,,,,,,,,
TN027,US,,,"Cavalry Corps, Army of the Ohio and 1st Brigade, 2nd Division, XXIII Army Corps",,,,,,,1,,,151,,,,,,,,,,,,
TN027,CS,,,"Longstreet's Cavalry, Department of East Tennessee (Sturgis reported that the Confederate cavalry was supported by a brigade of infantry; approx. 2,000 men)",,,,,,,,,,,2000,,,,,,,,,,,2000
MO027,US,,,Army of the Border,,,,,,,,,,1500,,,,1,,,,,,,,
MO027,CS,,,Army of Missouri,,,,,,,,,,1500,,,,1,,,,,,,,
MN002,I,,,Santee Sioux,,,,,,,,,,,,,,,,,,,,,,
MN002,US,,,"Volunteer troops (about 1,500)",,,,,,,,,,37,1500,,,,,,,,,,,1500
VA024,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA024,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA038,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA038,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
NC007,US,,,"Department of North Carolina, 1st Division",,1,,,,,,,,,,,,,,,,,,,,
NC007,CS,,,Evans's Brigade,,,1,,,,,,,,,,,,,,,,,,,
TN029,US,,,"Cavalry Division, Cavalry Corps, Army of the Ohio",,,,,,,,1,,100,,,,,,,,,,,,
TN029,CS,,,"Cavalry Division, Department of East Tennessee",,,,,,,,1,,165,,,,,,,,,,,,
GA017,US,,,Military Division of the Mississippi,,,,,,,,,,3641,,,,,,,,,,,,
GA017,CS,,,Army of Tennessee,,,,,,,,,,8499,,,,1,,,,,,,,
VA117,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA117,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
TX005,US,,,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,,,,,,,,,118,,,,,,,,,,1.5,,
TX005,CS,,,"Detachments from Gidding's Regiment, Anderson's Battalion of Cavalry, and numerous other Confederate units and southern sympathizers",,,,,,,,,,,,,,,,,,,,,,
VA026,US,,,,,,,,,,,,,13830,,,,1,,,,,,,,
VA026,CS,,,,,,,,,,,,,8350,,,,1,,,,,,,,
WV004,US,,,,,,1,,,,,,,245,,,,,,,,,,,,
WV004,CS,,,,,,1,,,,,,,40,,,,,,,,,,,,
GA014,US,2,,Two corps,,,,,,,,,,350,,,,,,,,,,,,
GA014,CS,1,,Hood s Corps,,,,,,,,,,1000,,,,,,,,,,,,
GA023,US,,,"One brigade (1,944 men)",,,,,,,,,,706,1944,,,,,,,,,,,1944
GA023,CS,,,"one division (approx. 2,000 men)",,,,,,,,,,799,2000,,,,,,,,,,,2000
VA025,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA025,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA087,US,1,,,,,,,,,,,,1870,,,,,,,,,,,,
VA087,CS,1,,,,,,,,,,,,800,,,,,,,,,,,,
VA006,US,,,"2,000",,,,,,,,,,921,2000,,,,,,,,,,,2000
VA006,CS,,,"1,600",,,,,,,,,,149,1600,,,,,,,,,,,1600
VA091,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA091,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA037,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA037,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
GA025,US,,,"2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry",,,1,,2,,,,,62,,,,,,,,,,,,
GA025,CS,,,"1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida",,1,,,,,,,,650,,,,,,,,,,,,
TN016,US,,,Army of Kentucky,,,,,,,,,,100,,,,1,,,,,,,,
TN016,CS,,,"1st Cavalry Corps, Army of Tennessee",,,,,,,1,,,137,,,,,,,,,,,,
OK004,US,,,"1st Division, Army of the Frontier",,1,,,,,,,,14,,,,,,,,,,,,
OK004,CS,,,1st Brigade,,,1,,,,,,,150,,,,,,,,,,,,
TN023,US,,,Department of the Ohio,,,,,,,,,,400,,,,,,,,,,,,
TN023,CS,,,Confederate Forces in East Tennessee,,,,,,,,,,570,,,,,,,,,,,,
VA034,US,1,,,,,,,,,,,,,,,,,,,,,,,,
VA034,CS,1,,,,,,,,,,,,,,,,,,,,,,,,
VA062,US,,,"108,000",,,,,,,,,,13000,108000,,,,,,,,,,,108000
VA062,CS,,,"62,000",,,,,,,,,,2500,62000,,,,,,,,,,,62000
VA113,US,,,,,,,,,,,,,,,,,,,,,,,,,
VA113,CS,,,,,,,,,,,,,,,,,,,,,,,,,
VA002,US,,,3 gunboats,,,,,,,,,3,,,,,,,,,,,,,
VA002,CS,,,battery garrison,,,,,,,,,,,,,,,,,,,,,,
VA094,US,1,,,,,,,,,,,,655,,,,,,,,,,,,
VA094,CS,1,,,,,,,,,,,,255,,,,,,,,,,,,
VA095,US,,,,,1,,,,,,,,,,,,,,,,,,,,
VA095,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
VA022,US,,,"8,030",,,,,,,,,,1400,8030,,,,,,,,,,,8030
VA022,CS,,,"16,868",,,,,,,,,,1307,16868,,,,,,,,,,,16868
MO019,US,,,"Detachment of infantry, cavalry, and artillery (approx. 700)",,,,,,,,,,78,700,,,,,,,,,,,700
MO019,CS,,,"4th Division, I Corps, Trans-Mississippi Department",,1,,,,,,,,329,,,,,,,,,,,,
VA100,US,,,Two gunboats,,,,,,,,,2,0,,,,,,,,,,,,
VA100,CS,,,battery garrison,,,,,,,,,,0,,,,,,,,,,,,
VA009,US,,,,,,,,,,,,,,,,,1,,,,,,,,
VA009,CS,,,,,,,,,,,,,,,,,1,,,,,,,,
VA121,US,,,"6,300",,,,,,,,,,57,6300,,,,,,,,,,,6300
VA121,CS,,,"3,500",,,,,,,,,,350,3500,,,,,,,,,,,3500
MD001,US,,,,,,1,,,,,,,,,,,,,,,,,,,
MD001,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
MS004,US,,,"Mississippi Squadron and Companies A,B,D,F,G,H,K, 58th Ohio Volunteer Infantry Regiment",,,,,,,,,,80,,,,,,,,,,,,
MS004,CS,,,Bowen's Division and attached troops,,1,,,,,,,,,,,,,,,,,,,,
GA020,US,,,District of Etowah,,,,,,,,,,,,,,,,,,,,,,
GA020,CS,,,Wheeler's cavalry force,,,,,,,,,,,,,,,,,,,,,,
VA017,US,,,"34,214",,,,,,,,,,6800,34214,,,,,,,,,,,34214
VA017,CS,,,"57,018",,,,,,,,,,8700,57018,,,,,,,,,,,57018
VA110,US,,,"6,275",,,,,,,,,,840,6275,,,,,,,,,,,6275
VA110,CS,,,"4,090",,,,,,,,,,540,4090,,,,,,,,,,,4090
WV014,US,,,,,1,,,,,,,,,,,,,,,,,,,,
WV014,CS,,,,,1,,,,,,,,,,,,,,,,,,,,
LA002,US,,,Department of the Gulf,,,,,,,,,,0,,,,,,,,,,,,
LA002,CS,,,Department No. 1,,,,,,,,,,0,,,,,,,,,,,,
MS002,US,,,Army of the Mississippi,,,,,,,,,,2359,,,,1,,,,,,,,
MS002,CS,,,Army of the West Tennessee,,,,,,,,,,4838,,,,1,,,,,,,,
NC008,US,,,Amory's and Stevenson's Brigades,,,2,,,,,,,,,,,,,,,,,,,
NC008,CS,,,Robertson's Brigade,,,1,,,,,,,,,,,,,,,,,,,
GA006,US,,,Army of the Cumberland,,,,,,,,,,,,,,1,,,,,,,,
GA006,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
VA083,US,,,"34,517",,,,,,,,,,,34517,,,,,,,,,,,34517
VA083,CS,,,"13,835",,,,,,,,,,,13835,,,,,,,,,,,13835
VA005,US,,,"28,450",,,,,,,,,,2950,28450,,,,,,,,,,,28450
VA005,CS,,,"32,230",,,,,,,,,,1750,32230,,,,,,,,,,,32230
VA109,US,,,,,,1,,,,,,,,,,,,,,,,,,,
VA109,CS,,,,,,1,,,,,,,,,,,,,,,,,,,
VA122,US,,,"31,945",,,,,,,,,,5665,31945,,,,,,,,,,,31945
VA122,CS,,,"21,000",,,,,,,,,,2910,21000,,,,,,,,,,,21000
GA010,US,,,Military Division of the Mississippi,,,,,,,,,,1600,,,,,,,,,,,,
GA010,CS,,,Army of Tennessee,,,,,,,,,,,,,,1,,,,,,,,
