battle,belligerent,description,strength,regiments,companies,brigades,divisions,corps,armies,cavalry_regiments,cavalry_brigades,cavalry_divisions,cavalry_corps,cavalry_companies,artillery_batteries,artillery_companies,artillery_regiments,artillery_sections,infantry_regiments,strength_other,ships,guns
MO018,US,"Southwestern District of Missouri, Springfield Garrison",,,,,,,,,,,,,,,,,,,,
MO019,CS,"4th Division, First Corps, TransMississippi Department",,,,,1,,,,,,,,,,,,,,,
MO019,US,"Elements of the 3rd Iowa Cavalry, 21st Iowa Infantry, 99th Illinois Infantry, 3rd Missouri Cavalry, and a section of Battery L, 2nd Missouri Light Artillery",,2,,,,,,2,,,,,,,,1,,,,
MO020,CS,"4th Division, First Corps, TransMississippi Department",,,,,1,,,,,,,,,,,,,,,
MO020,US,Cape Girardeau Garrison,,,,,,,,,,,,,,,,,,,,
MO021,CS,Army of Missouri,,,,,,,1,,,,,,,,,,,,,
MO021,US,"Detachment from the 14th Iowa Infantry; Garrison consisting of Battery H, 2nd Missouri Light Artillery and companies from the 47th Missouri Infantry, 50th Missouri Infantry, 1st Missouri State Militia Infantry, 2nd Missouri State Militia Cavalry, and 3rd Missouri State Militia Cavalry",,,,,,,,,,,,,,,,,,,,
MO022,CS,"Marmaduke’s Brigade, Marmaduke’s Division, and Jackman’s Brigade and Collins’ Missouri Battery, Shelby’s Division, Army of Missouri",,,,2,,,,,,,,,1,,,,,,,
MO022,US,"Garrison consisting of parts of the 43rd Missouri Infantry, 4th Provisional Regiment Enrolled Missouri Militia, 9th Cavalry Missouri State Militia, 13th Missouri Cavalry, and two companies of citizen militia",,2,2,,,,,2,,,,,,,,,,,,
MO023,CS,Army of Missouri,,,,,,,1,,,,,,,,,,,,,
MO023,US,"1st and 2nd Brigades, Provisional Cavalry Division, Army of the Border",,,,,,,,,2,,,,,,,,,,,
MO024,CS,"Marmaduke’s Division and Shelby’s Division, Army of Missouri",,,,,2,,,,,,,,,,,,,,,
MO024,US,"11th Kansas Cavalry; 1st and 4th Brigades, 1st Division [Provisional Cavalry], Army of the Border",,,,2,,,,,,1,,,,,,,,,,
MO025,CS,"Cabell’s Brigade and Slemon’s Brigade, Fagan’s Division, Army of Missouri",,,,2,,,,,,,,,,,,,,,,
MO025,US,"Provisional Cavalry Division, Department of Missouri",,,,,,,,,,1,,,,,,,,,,
MO026,CS,"Shelby’s Division, Army of Missouri",,,,,1,,,,,,,,,,,,,,,
MO026,US,"1st Cavalry Brigade, Army of the Border; 2nd Brigade, Army of the Border",,,,1,,,,,1,,,,,,,,,,,
MO027,CS,Army of Missouri,,,,,,,1,,,,,,,,,,,,,
MO027,US,Army of the Border,,,,,,,1,,,,,,,,,,,,,
MO028,CS,"Shelby’s Division, Army of Missouri",,,,,1,,,,,,,,,,,,,,,
MO028,US,"2nd Brigade and 4th Brigade, Provisional Cavalry Division, Department of the Missouri",,,,,,,,,2,,,,,,,,,,,
MO029,CS,"Shelby’s Division, Army of Missouri",,,,,1,,,,,,,,,,,,,,,
MO029,US,"Portions of Provisional Cavalry Division, Army of the Border and 3rd Brigade, Provisional Cavalry Division, Department of Missouri",,,,,,,,,2,,,,,,,,,,,
MS001,CS,"1st Division, Army of the West",,,,,1,,,,,,,,,,,,,,,
MS001,US,"2nd Division and Cavalry Division, Army of the Mississippi",,,,,1,,,,,2,,,,,,,,,,
MS002,CS,Army of the West Tennessee,,,,,,,1,,,,,,,,,,,,,
MS002,US,Army of the Mississippi,,,,,,,1,,,,,,,,,,,,,
MS003,CS,Department of Mississippi and East Louisiana,,,,,,,,,,,,,,,,,,,,
MS003,US,"Right Wing, Army of the Tennessee and Mississippi River Squadron",,,,,,,0.5,,,,,,,,,,,,,
MS004,CS,Grand Gulf Garrison,,,,,,,,,,,,,,,,,,,,
MS004,US,"Mississippi Squadron and Companies A, B, D, F, G, H, and K of the 58th Ohio Volunteer Infantry Regiment",,1,,,,,,,,,,,,,,,,,,
MS005,CS,Hebert’s Brigade,,,,1,,,,,,,,,,,,,,,,
MS005,US,"2nd Division, XV Corps, Army of the Tennessee and a flotilla of 8 gunboats and 10 transports, Mississippi River Squadron",,,,,1,,,,,,,,,,,,,,8,
MS006,CS,one detached division,,,,,1,,,,,,,,,,,,,,,
MS006,US,"XIII Army Corps, 3rd Division, XVII Corps",,,,,1,1,,,,,,,,,,,,,,
MS007,CS,Gregg’s Task Force,,,,,,,,,,,,,,,,,,,,
MS007,US,"XVII Army Corps, Army of the Tennessee",,,,,,1,,,,,,,,,,,,,,
MS008,CS,Jackson Garrison,,,,,,,,,,,,,,,,,,,,
MS008,US,"XV and XVII Army Corps, Army of the Tennessee",,,,,,2,,,,,,,,,,,,,,
MS009,CS,Army of Vicksburg,,,,,,,1,,,,,,,,,,,,,
MS009,US,Army of the Tennessee,,,,,,,1,,,,,,,,,,,,,
MS010,CS,Bowen’s Division and Vaughn’s East Tennessee Brigade,,,,,1,,,,,,,,,,,,,,,
MS010,US,"XIII Army Corps, Army of the Tennessee",,,,,,1,,,,,,,,,,,,,,
MS011,CS,Army of Vicksburg,,,,,,,1,,,,,,,,,,,,,
MS011,US,"Army of the Tennessee, Mississippi River Squadron",,,,,,,1,,,,,,,,,,,,,
MS012,CS,"Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,,
MS012,US,Department of the Tennessee,,,,,,,,,,,,,,,,,,,,
MS013,CS,Forrest’s Cavalry Corps,,,,,,,,,,,1,,,,,,,,,
MS013,US,Meridian Mississippi Expedition Cavalry,,,,,,,,,,,,,,,,,,,,
MS014,CS,Forrest’s Cavalry Corps,,,,,,,,,,,1,,,,,,,,,
MS014,US,Mississippi Expedition,,,,,,,,,,,,,,,,,,,,
MS015,CS,"Department of Alabama, Mississippi, and East Louisiana",,,,,,,,,,,,,,,,,,,,
MS015,US,"1st and 3rd Infantry Divisions and Cavalry Division, XVI Army Corps, and 1st Brigade, U.S. Colored Troops",,,,1,2,,,,,1,,,,,,,,,,
MS016,CS,"Army of the Mississippi, Department No. 2",,,,,,,,,,,,,,,,,,,,
MS016,US,Department of the Mississippi,,,,,,,,,,,,,,,,,,,,
NC001,CS,Hatteras Island garrison,,,,,,,,,,,,,,,,,,,,
NC001,US,"9th (220 men) and 20th New York (500 men) regiments, 60 of the 2nd United States Artillery, 100 Coast Guard guardians, 55 Marines, and the Atlantic Blockading Squadron",935,,,,,,,,,,,,,,,,,,,
NC002,CS,Wise’s Legion,,,,,,,,,,,,,,,,,,,,
NC002,US,Department of North Carolina and the North Atlantic Blockading Squadron,,,,,,,,,,,,,,,,,,,,
NC003,CS,"1st Division, Department of North Carolina",,,,,1,,,,,,,,,,,,,,,
NC003,US,Department North Carolina and the Naval Forces in Pamlico Sound,,,,,,,,,,,,,,,,,,,,
NC004,CS,Fort Macon garrison,,,,,,,,,,,,,,,,,,,,
NC004,US,"3rd Division, Department of North Carolina, and Naval forces in North Carolina",,,,,1,,,,,,,,,,,,,,,
NC005,CS,"3rd Georgia Infantry Regiment, Colonel Ferebee’s North Carolina Militia, McComas’s Battery, and Captain Gillett’s Southhampton Cavalry Company",,2,,,,,,,,,,1,1,,,,,,,
NC005,US,"2nd and 4th Brigades, 2nd Division, Department of North Carolina",,,,2,,,,,,,,,,,,,,,,
NC006,CS,44th North Carolina Infantry,,1,,,,,,,,,,,,,,,,,,
NC006,US,"24th Massachusetts Volunteer Infantry, Captain George F. Jocknick’s company of the 3rd New York Cavalry and two pieces of artillery",,1,,,,,,,,,,1,,,,,,,,
NC007,CS,Evans’s Brigade,,,,1,,,,,,,,,,,,,,,,
NC007,US,"Department of North Carolina, 1st Division, and USN Neuse River Flotilla",,,,,,,,,,,,,,,,,,,1,
NC008,CS,Robertson’s Brigade,,,,1,,,,,,,,,,,,,,,,
NC008,US,"Five companies of the 3rd New York Cavalry, a section of artillery from the 23rd New York Independent Battery, Colonel Thomas J. C. Amory’s Brigade, and Thomas G. Stevenson’s Brigade",,,,2,,,,,,,,5,,,,1,,,,
NC009,CS,Clingman’s Brigade,,,,2,,,,,,,,,,,,,,,,
NC009,US,"Department of North Carolina, 1st Division",,,,,1,,,,,,,,,,,,,,,
NC010,CS,Hill’s Division,,,,,1,,,,,,,,,,,,,,,
NC010,US,"1st Division, XVIII Corps, and the Naval forces in the Sounds of North Carolina",,,,,1,,,,,,,,,,,,,,,
NC011,CS,Hill’s Division,,,,,1,,,,,,,,,,,,,,,
NC011,US,"The Washington garrison, the relief column of the XVIII Corps, and the Naval Forces in the Pamlico Sound",,,,,,,,,,,,,,,,,,,,
NC012,CS,Hoke’s Division,,,,,1,,,,,,,,,,,,,,,
NC012,US,Plymouth garrison,,,,,,,,,,,,,,,,,,,,
NC013,CS,"the Ironclad Ram CSS Albemarle, transport steamer CSS Cotton Plant, and the Erie Canal steamer CSS Bombshell",,,,,,,,,,,,,,,,,,,2,
NC013,US,Albemarle Sound Naval Squadron,,,,,,,,,,,,,,,,,,,,
NC014,CS,Hoke’s Division and the Fort Fisher garrison,,,,,,,,,,,,,,,,,,,,
NC014,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",,,,,,1,,,,,,,,,,,,,,
NC015,CS,Hoke’s Division and the Fort Fisher garrison,,,,,,,,,,,,,,,,,,,,
NC015,US,"Expeditionary Corps, Army of the James, and the North Atlantic Blockading Squadron",,,,,,1,,,,,,,,,,,,,,
NC016,CS,Major General Robert F. Hoke’s Division and Brigadier General Johnson Hagood’s Brigade,,,,1,1,,,,,,,,,,,,,,,
NC016,US,"Department of North Carolina, Army of the Ohio, and the North Atlantic Blockading Squadron",,,,,,,,,,,,,,,,,,,,
NC017,CS,"Major Generals Robert F. Hoke and Daniel H. Hill’s Division’s, Department of North Carolina",,,,,2,,,,,,,,,,,,,,,
NC017,US,Major General Jacob D. Cox’s Provisional Corps,,,,,,1,,,,,,,,,,,,,,
NC018,CS,Hampton’s Cavalry Command (Wheeler’s Cavalry Corps and Butler’s Division),,,,,,,,,,1,1,,,,,,,,,
NC018,US,3rd Cavalry Division,,,,,1,,,,,,,,,,,,,,,
NC019,CS,"Hardee’s Corps, Wheeler’s Cavalry Corps",,,,,,,,,,,2,,,,,,,,,
NC019,US,"XX and XIV Corps, Army of Georgia",,,,,,2,,,,,,,,,,,,,,
NC020,CS,"The Army of Tennessee, Stewart's Corps, the Department of North Carolina, and the Department of South Carolina, Georgia and Florida",,,,,,,,,,,,,,,,,,,,
NC020,US,The Army of Georgia and the XV and XVII Corps,,,,,,,,,,,,,,,,,,,,
ND001,I,Santee Sioux (Northern Sisseton and Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),,,,,,,,,,,,,,,,,,,,
ND001,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,
ND002,I,Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),,,,,,,,,,,,,,,,,,,,
ND002,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,
ND003,I,Santee Sioux (Wahpekute) and Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]),,,,,,,,,,,,,,,,,,,,
ND003,US,District of Minnesota,,,,,,,,,,,,,,,,,,,,
ND004,I,"Santee Sioux (Sisseton and Wahpekute), Teton Sioux (Hunkpapa and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead], and Yankton)",,,,,,,,,,,,,,,,,,,,
ND004,US,"Army detachments of: 6th Iowa Cavalry, 2nd Nebraska Cavalry, Dakota Cavalry, 7th Iowa Cavalry, 45th Iowa Infantry",,,,,,,,4,,,,,,,,,,,,
ND005,I,"Santee Sioux (Wahpekute), Teton Sioux (Hunkpapa, Miniconjou, Sans Arc, and Sihasapa [Blackfeet]), and Yankton-Yanktonai Sioux (Pabaksa [Cuthead] and Yanktonai)",,,,,,,,,,,,,,,,,,,,
ND005,US,"Army detachments of 8th Minnesota Infantry, 2nd Minnesota Cavalry, 3rd Minnesota Battery, Brackett’s Minnesota Battalion of Cavalry, 6th Iowa Cavalry, 7th Iowa Cavalry, Dakota Cavalry Regiment, Nebraska Scouts, Pope’s Prairie Battery",,1,,,,,,3.5,,,,,1,,,,,,,
NM001,CS,Army of New Mexico,,,,,,,,,,,,,,,,,,,,
NM001,US,Department of New Mexico (combination of regular and volunteer units),,,,,,,,,,,,,,,,,,,,
NM002,CS,Army of New Mexico,,,,,,,,,,,,,,,,,,,,
NM002,US,"Northern Division, Army of New Mexico",,,,,1,,,,,,,,,,,,,,,
OH001,CS,"Brigade, 1,700",1700,,,,,,,,,,,,,,,,,,,
OH001,US,"Brigade, 3,000",3000,,,,,,,,,,,,,,,,,,,
OH002,CS,"Confederate Army, 800",800,,,,,,,,,,,,,,,,,,,
OH002,US,"9th Michigan Cavalry, 2,600",2600,,,,,,,,,,,,,,,,,,,
OK001,CS,"Six companies of the First Regiment Choctaw and Chickasaw Mounted Rifles, a detachment of the 9th Texas Cavalry, the Creek Regiment, and the Creek and Seminole Battalion",,2.5,6,,,,,,,,,,,,,,,,,
OK001,US,"Creek, Cherokee, and Seminole allies",,,,,,,,,,,,,,,,,,,,
OK002,CS,Indian Department,,,,,,,,,,,,,,,,,,,,
OK002,US,"Creek, Cherokee, and Seminole allies",,,,,,,,,,,,,,,,,,,,
OK003,CS,Indian Department,,,,,,,,,,,,,,,,,,,,
OK003,US,"Creek, Cherokee, and Seminole allies",,,,,,,,,,,,,,,,,,,,
OK004,CS,"First Brigade, Indian Department",,,,1,,,,,,,,,,,,,,,,
OK004,US,"First Division, Army of the Frontier",,,,,1,,,,,,,,,,,,,,,
OK005,CS,"Seminole Battalion, Company A, 1st Choctaw and Chickasaw Cavalry Regiment, and a detachment of 20th Texas Regiment",,1,,,,,,,,,,1,,,,,,,,
OK005,US,Three companies of the 14th Kansas Cavalry Regiment and a section of Howitzers,,,,,,,,,,,,3,,,,1,,,,
OK006,CS,"1st Cherokee Mounted Rifles, First Creek Mounted Volunteers, a detachment of the 29th Texas Cavalry, and a detachment of Martin’s Partisan Rangers",,3,,,,,,,,,,,,,,,,,,
OK006,US,"Fort Scott Relief Column (consisting of six companies of the 2nd Colorado Infantry, one company each of the 3rd Wisconsin, 9th Kansas and 14th Kansas Cavalries, the 1st Kansas Colored Infantry, the 3rd Indian Regiment, and the 2nd Kansas Artillery)",,,8,,,,,,,,,2,,,1,,,,,
OK007,CS,"1st Brigade, Indian Department",,,,1,,,,,,,,,,,,,,,,
OK007,US,District of the Frontier,,,,,,,,,,,,,,,,,,,,
PA001,CS,"Stuart’s Cavalry Division, Army of Northern Virginia",,,,,,,,,,1,,,,,,,,,,
PA001,US,"3rd Cavalry Division, Army of the Potomac, including Farnsworth’s 1st Brigade and Custer’s 2nd Brigade",,,,,,,,,2,,,,,,,,,,,
PA002,CS,Army of Northern Virginia,,,,,,,1,,,,,,,,,,,,,
PA002,US,Army of the Potomac,,,,,,,1,,,,,,,,,,,,,
SC001,CS,Provisional Forces of the Confederate States in Charleston Harbor,,,,,,,,,,,,,,,,,,,,
SC001,US,1st United States Artillery,,,,,,,,,,,,,,,,,,,,
SC002,CS,Second Military District of South Carolina and the Tower Battery/Fort Lamar garrison,,,,,,,,,,,,,,,,,,,,
SC002,US,"1st and 2nd Divisions, and Williams’ 3rd Brigade, Northern District, Department of the South",,,,1,2,,,,,,,,,,,,,,,
SC003,CS,"Companies A and H, 16th South Carolina Infantry and a section of the Marion Artillery",,,2,,,,,,,,,,,,,1,,,,
SC003,US,"Gunboat USS Crusader and the transport Planter; Company E, 55th Pennsylvania Volunteer Infantry",,,1,,,,,,,,,,,,,,,,1,
SC004,CS,First Military District of South Carolina,,,,,,,,,,,,,,,,,,,,
SC004,US,South Atlantic Blockading Squadron,,,,,,,,,,,,,,,,,,,,
SC005,CS,Fort Wagner garrison,,,,,,,,,,,,,,,,,,,,
SC005,US,"Elements of the 1st Brigade (100th New York and 7th New Hampshire Infantry) and 2nd Brigade, 2nd Division, X Corps, Department of the South; the USS Catskill, USS Montauk, USS Nahant, and USS Weehawken",,,,2,,,,,,,,,,,,,,,4,
SC006,CS,"1st Sub-division of the 1st Military District, South Carolina",,,,,0.5,,,,,,,,,,,,,,,
SC006,US,"1st Division, X Corps, Department of the South; Stono River Flotilla",,,,,1,,,,,,,,,,,,,,,
SC007,CS,Fort Wagner garrison,,,,,,,,,,,,,,,,,,,,
SC007,US,"2nd Division, X Corps, Department of the South, and the South Atlantic Blockading Squadron",,,,,1,,,,,,,,,,,,,,,
SC008,CS,"Department of South Carolina, Georgia, and Florida, and Fort Sumter garrison",,,,,,,,,,,,,,,,,,,,
SC008,US,"X Corps, Department of the South; South Atlantic Blockading Squadron",,,,,,1,,,,,,,,,,,,,,
SC009,CS,"Department of South Carolina, Georgia, and Florida, and the Fort Wagner and Battery Gregg garrisons",,,,,,,,,,,,,,,,,,,,
SC009,US,"X Corps, Department of the South, and the South Atlantic Blockading Squadron",,,,,,1,,,,,,,,,,,,,,
SC010,CS,"1st Division Georgia Militia; 3rd South Carolina Cavalry; 32nd and 47th Georgia Infantry; 1 Section, Stuart’s Company Artillery; 1 Section Depass’ Light Battery; 1 Gun of Kanapaux’s Company Light Artillery",,2,,,1,,,,,,,,,,,2,,,,
SC010,US,"Coastal Division, Department of the South; Marine Brigade, South Atlantic Blockading Squadron",,,,,1,,,,,,,,,,,,,,,
SC011,CS,"Harrison’s Brigade, McLaws’ Division, Department of South Carolina, Georgia, and Florida",,,,1,,,,,,,,,,,,,,,,
SC011,US,"1st and 4th Divisions, XVII Corps, and XV Corps, Army of the Tennessee",,,,,2,,,,,,,,,,,,,,,
TN001,CS,Fort Henry Garrison,,,,,,,,,,,,,,,,,,,,
TN001,US,Flotilla (seven vessels),,,,,,,,,,,,,,,,,,,7,
TN002,CS,Fort Donelson Garrison,,,,,,,,,,,,,,,,,,,,
TN002,US,"District of Cairo, Western Flotilla",,,,,,,,,,,,,,,,,,,,
TN003,CS,Army of the Mississippi,,,,,,,1,,,,,,,,,,,,,
TN003,US,"Army of West Tennessee, Army of the Ohio, USS Tyler and USS Lexington",,,,,,,2,,,,,,,,,,,,1,
TN004,CS,eight C.S. Navy Rams,,,,,,,,,,,,,,,,,,,8,
TN004,US,Five ironclads and two U.S. Army Rams,,,,,,,,,,,,,,,,,,,7,
TN005,CS,Chattanooga garrison,,,,,,,,,,,,,,,,,,,,
TN005,US,Negley’s division,,,,,1,,,,,,,,,,,,,,,
TN006,CS,Forrest’s Cavalry Brigade,,,,,,,,,1,,,,,,,,,,,
TN006,US,Murfreesboro Garrison,,,,,,,,,,,,,,,,,,,,
TN007,CS,Army of West Tennessee,,,,,,,1,,,,,,,,,,,,,
TN007,US,"Division, Union Army of West Tennessee",,,,,1,,,,,,,,,,,,,,,
TN008,CS,expeditionary force (two brigades),,,,2,,,,,,,,,,,,,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland)",,,,1,,,,,,,,,,,,,,,,
TN009,CS,Detachment of Forrest’s Cavalry Division,,,,,,,,,,,,,,,,,,,,
TN009,US,Two regiments from the Jackson Garrison,,2,,,,,,,,,,,,,,,,,,
TN010,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN010,US,Army of the Cumberland,,,,,,,1,,,,,,,,,,,,,
TN011,CS,Forrest’s Cavalry Brigade,,,,,,,,,1,,,,,,,,,,,
TN011,US,Two brigades,,,,2,,,,,,,,,,,,,,,,
TN012,CS,"Cavalry Division (approx. 2,500)",2500,,,,,,,,,,,,,,,,,,,
TN012,US,Garrison (approx. 800),800,,,,,,,,,,,,,,,,,,,
TN013,CS,"First Cavalry Corps, Army of Tennessee",,,,,,,,,,,1,,,,,,,,,
TN013,US,"Third Brigade, First Division, Reserve Corps, Department of the Cumberland",,,,1,,,,,,,,,,,,,,,,
TN014,CS,Morgan’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
TN014,US,"2nd Brigade, 5th Division, XIV Army Corps",,,,1,,,,,,,,,,,,,,,,
TN015,CS,Forrest’s Division,,,,,,,,,,1,,,,,,,,,,
TN015,US,"Detachments of the 22nd Wisconsin Volunteer Infantry, 33rd Indiana, and 19th Michigan Volunteer Infantry regiments, 1st Division, 1st Cavalry Corps (approx. 400)",400,,,,,,,,,,,,,,,,,,,
TN016,CS,"1st Cavalry Corps, Army of Tennessee",,,,,,,,,,,1,,,,,,,,,
TN016,US,Army of Kentucky,,,,,,,1,,,,,,,,,,,,,
TN017,CS,"two brigades, Stewart’s Division, Hardee’s Corps, Army of Tennessee, and 1st (3rd) Kentucky Cavalry Regiment",,,,2,,,,1,,,,,,,,,,,,
TN017,US,"Wilder’s Brigade, XIV Army Corps, Army of the Cumberland",,,,1,,,,,,,,,,,,,,,,
TN018,CS,"Hill's Corps, Army of Tennessee",,,,,,1,,,,,,,,,,,,,,
TN018,US,"Wilder's Brigade, 4th Division, XIV Corps, Army of the Cumberland",,,,1,,,,,,,,,,,,,,,,
TN019,CS,"1st Tennessee Cavalry Regiment and Artillery (approx. 1,200)",1200,,,,,,,,,,,,,,,,,,,
TN019,US,"2nd Brigade, 4th Division, XXIII Army Corps, Department of the Ohio",,,,1,,,,,,,,,,,,,,,,
TN020,CS,"1st Tennessee Volunteer Cavalry Regiment, 4th Kentucky Cavalry Regiment, and some home guard troops and artillery",,,,,,,,2,,,,,,,,,,,,
TN020,US,Department of the Ohio,,,,,,,,,,,,,,,,,,,,
TN021,CS,"Jenkins Division, Longstreet’s Corps",,,,,1,,,,,,,,,,,,,,,
TN021,US,"XI Army Corps and 2nd Division, XII Army Corps",,,,,1,1,,,,,,,,,,,,,,
TN022,CS,"Cavalry Division (2,500)",2500,,,,,,,,,,,,,,,,,,,
TN022,US,3rd Cavalry Brigade (850),850,,,,,,,,,,,,,,,,,,,
TN023,CS,Longstreet’s Corps,,,,,,1,,,,,,,,,,,,,,
TN023,US,Department of the Ohio,,,,,,,,,,,,,,,,,,,,
TN024,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN024,US,Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,,
TN025,CS,Longstreet’s Corps,,,,,,1,,,,,,,,,,,,,,
TN025,US,Army of the Ohio,,,,,,,1,,,,,,,,,,,,,
TN026,CS,Longstreet’s 1st Corps Army of Northern Virginia,,,,,,1,,,,,,,,,,,,,,
TN026,US,"Cavalry Corps, Department of the Ohio",,,,,,,,,,,1,,,,,,,,,
TN027,CS,"Martin’s Cavalry Brigade, Department of East Tennessee",,,,,,,,,1,,,,,,,,,,,
TN027,US,"Cavalry Corps, Army of the Ohio, and 1st Brigade, 2nd Division, XXIII Corps",,,,1,,,,,,,1,,,,,,,,,
TN028,CS,Department of East Tennessee,,,,,,,,,,,,,,,,,,,,
TN028,US,"Cavalry Corps, Army of the Ohio, and Infantry of the IV Army Corps",,,,,,1,,,,,1,,,,,,,,,
TN029,CS,"Cavalry Brigade, Department of East Tennessee",,,,,,,,,1,,,,,,,,,,,
TN029,US,"Cavalry Division, Cavalry Corps, Army of the Ohio",,,,,,,,,,1,,,,,,,,,,
TN030,CS,"Brig. Gen. James R. Chalmers’s 1st Division, Forrest’s Cavalry Corps",,,,,,,,,,1,,,,,,,,,,
TN030,US,Fort Pillow Garrison (approx. 600),600,,,,,,,,,,,,,,,,,,,
TN031,CS,Forrest’s Cavalry Division,,,,,,,,,,1,,,,,,,,,,
TN031,US,Memphis Garrison,,,,,,,,,,,,,,,,,,,,
TN032,CS,Forrest’s Cavalry Division,,,,,,,,,,3,,,,,,,,,,
TN032,US,Johnsonville garrison and three gunboats,,,,,,,,,,,,,,,,,,,3,
TN033,CS,"Department of Western Virginia and East Tennessee (approximately 2,400)",2400,,,,,,,,,,,,,,,,,,,
TN033,US,"Governor’s Guard Brigade, State of Tennessee",,,,1,,,,,,,,,,,,,,,,
TN034,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN034,US,XXIII Army Corps and elements of IV Army Corps,,,,,,1.5,,,,,,,,,,,,,,
TN035,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN035,US,IV and XXIII Army Corps,,,,,,2,,,,,,,,,,,,,,
TN036,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN036,US,"IV Corps, Army of the Cumberland and XXIII Corps, Army of the Ohio",,,,,,2,,,,,,,,,,,,,,
TN037,CS,"Forrest’s Cavalry Division, Bate's Infantry Division, and Sears’s and Palmer’s Infantry Brigades",,,,2,1,,,,,1,,,,,,,,,,
TN037,US,Murfreesboro Garrison,,,,,,,,,,,,,,,,,,,,
TN038,CS,Army of Tennessee,,,,,,,1,,,,,,,,,,,,,
TN038,US,"IV Corps, XXIII Corps, Detachment of Army of the Tennessee, provisional detachment, and cavalry corps",,,,,,2,,,,,1,,,,,,,,,
TX001,CS,Garrison at Sabine Pass,,,,,,,,,,,,,,,,,,,,
TX001,US,Flotilla of the Western Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
TX002,CS,Garrison at Galveston,,,,,,,,,,,,,,,,,,,,
TX002,US,Mortar Flotilla of the Western Gulf Blockading Squadron,,,,,,,,,,,,,,,,,,,,
TX003,CS,"Department of Texas, New Mexico and Arizona, and the Texas Marine Department",,,,,,,,,,,,,,,,,,,,
TX003,US,"Companies D, G, and I, 42nd Massachusetts Volunteer Infantry Regiment, and the Mortar Flotilla of the Western Gulf Blockading Squadron",,,3,,,,,,,,,,,,,,,,,
TX005,CS,"Detachments from Gidding’s Regiment, Anderson’s Battalion of Cavalry, and other Confederate units and southern sympathizers",,0.5,,,,,,0.5,,,,,,,,,,,,
TX005,US,"Detachments from the 62nd U.S. Colored Infantry Regiment, 2nd Texas Cavalry Regiment, and 34th Indiana Volunteer Infantry",,1,,,,,,0.5,,,,,,,,,,,,
TX006,CS,Garrison of Fort Griffon (Texan Davis Guards),,,,,,,,,,,,,,,,,,,,
TX006,US,Flotilla of the Western Gulf Blockading Squadron and 150 Army sharpshooters,,,,,,,,,,,,,,,,,,,,
VA001,CS,"Battery Garrison, unknown",,,,,,,,,,,,,,,,,,,,
VA001,US,"Gunboats, 2",,,,,,,,,,,,,,,,,,,1,
VA002,CS,"Battery Garrison, approximately 1,000",1000,,,,,,,,,,,,,,,,,,,
VA002,US,"Gunboats, 4",,,,,,,,,,,,,,,,,,,4,
VA003,CS,"1,200",1200,,,,,,,,,,,,,,,,,,,
VA003,US,"3,500",3500,,,,,,,,,,,,,,,,,,,
VA004,CS,"7,000",7000,,,,,,,,,,,,,,,,,,,
VA004,US,"3,000",7000,,,,,,,,,,,,,,,,,,,
VA005,CS,"32,230",32230,,,,,,,,,,,,,,,,,,,
VA005,US,"28,450",28450,,,,,,,,,,,,,,,,,,,
VA006,CS,"1,600",1600,,,,,,,,,,,,,,,,,,,
VA006,US,"2,000",2000,,,,,,,,,,,,,,,,,,,
VA007,CS,"approximately 4,000",4000,,,,,,,,,,,,,,,,,,,
VA007,US,"approximately 5,000",5000,,,,,,,,,,,,,,,,,,,
VA008,CS,"Warship, 1",,,,,,,,,,,,,,,,,,,1,
VA008,US,"Warships, 4",,,,,,,,,,,,,,,,,,,4,
VA009,CS,"53,000",53000,,,,,,,,,,,,,,,,,,,
VA009,US,"118,000",118000,,,,,,,,,,,,,,,,,,,
VA010,CS,"Divisions, 31,823",31823,,,,,,,,,,,,,,,,,,,
VA010,US,"Corps, 40,768",40768,,,,,,,,,,,,,,,,,,,
VA011,CS,"approximately 11,000",11000,,,,,,,,,,,,,,,,,,,
VA011,US,"4 Gunboats, approximately 11,000",11000,,,,,,,,,,,,,,,,,,4,
VA012,CS,"Battery Garrison, unknown",,,,,,,,,,,,,,,,,,,,
VA012,US,"Gunboats, 5",,,,,,,,,,,,,,,,,,,5,
