"battle","start_date_1","end_date_1","outcome_cwsac1","significance","theater","campaign","casualties_total_cwsac","casualties_US_cwsac","casualties_CS_cwsac","casualties_mipat_cwsac","core_area","study_area","cwsac_name","outcome_cwsac2","start_date_2","end_date_2","strength_CS_cwsac","strength_US_cwsac","state","casualties_mipat_ken","casualties_total_ken","casualties_US_ken","casualties_CS_ken","strength_US_liv","strength_CS_liv","casualties_US_liv","casualties_CS_liv","outcome_liv","casualties_CS_phi","casualties_US_phi","outcome_bod","casualties_CS_bod","casualties_US_bod","strength_CS_bod","strength_US_bod","casualties_CS_fox","casualties_US_fox","outcome_fox","casualties_US_cdb90","casualties_CS_cdb90","strength_US_cdb90","strength_CS_cdb90","attacker_cdb90","outcome_cdb90","naval_battle","siege","outcome_dbp","dbpedia_uri","strength_US_wiki","strength_CS_wiki","casualties_US_wiki","casualties_CS_wiki","attacker","surrender","start_date","end_date","battle_name","duration","mid_date","battle_num","strength_US","casualties_US","strength_CS","casualties_CS","battle_name_short","outcome","lat","long"
"MD002","1862-09-14","1862-09-14","Union","B","Eastern","Maryland Campaign [September 1862]",4500,,,6,2398.56,11557.21,"South Mountain","Union","1862-09-14","1862-09-14",,,"MD",0,4625,2325,2300,28480,18714,1728,1885,"Union",4343,2325,"Union",2100,1900,15000,24000,,1813,"Union",1813,2685,28480,17852,"US","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_South_Mountain",28000,18000,2325,2685,"US","None","1862-09-14","1862-09-14","Battle of South Mountain",1,"1862-09-14",98,27095.3957535829,1747.973983786,17992.0166911689,2516.9742797578,"South Mountain","Union",39.485,-77.6216
"MD003","1862-09-16","1862-09-18","Inconclusive","A","Eastern","Maryland Campaign [September 1862]",23100,,,6,4160.89,19396.21,"Antietam","Union","1862-09-16","1862-09-18",40000,60000,"MD",0,22700,12400,10300,75316,51844,11657,11724,"Union",25899,12469,"Union",11200,12500,50000,85000,,12410,"Union",12410,13700,90000,46000,"US","Confederate","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Antietam",75500,38000,12401,10316,"US","None","1862-09-16","1862-09-18","Battle of Antietam",3,"1862-09-17",101,83510.1971956425,11467.5157619242,40937.3272579001,12212.5564715066,"Antietam","Union",39.4732,-77.7447
"MD004","1863-07-06","1863-07-16","Inconclusive","C","Eastern","Gettysburg Campaign [June-July 1863]",1730,,,6,4039.57,43858.34,"Williamsport","Confederate","1863-07-06","1863-07-16",,,"MD",0,654,400,254,,,,,,,,,,,,,254,120,"Inconclusive",,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Williamsport",,,,,"US","None","1863-07-06","1863-07-16","Battle of Williamsport",11,"1863-07-11",178,10517.036760395,304.9690031726,5320.6799134348,415.222844197,"Williamsport","Inconclusive",39.6333,-77.7167
"MD006","1863-07-08","1863-07-08","Inconclusive","D","Eastern","Gettysburg Campaign [June-July 1863]",100,,,6,1098.44,4560.61,"Boonsboro","Confederate","1863-07-08","1863-07-08",,,"MD",0,1078,158,920,,,,,,,,,,,,,,80,"Inconclusive",,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Boonsboro",,,,,"US","None","1863-07-08","1863-07-08","Battle of Boonsboro",1,"1863-07-08",173,3271.4047314731,84.8897760182,3002.7132975549,195.2317581028,"Boonsboro","Inconclusive",39.5254,-77.6632
"MD007","1864-07-09","1864-07-09","Confederate","B","Eastern","Early's Raid and Operations Against the B&O Railroad [June-August 1864]",2359,,,6,3092.29,10654.46,"Monocacy","Confederate","1864-07-09","1864-07-09",,,"MD",0,2094,1294,800,,,,,,400,1959,,,,,,,1294,"Confederate",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Monocacy",5800,14000,1294,800,"US","None","1864-07-09","1864-07-09","Battle of Monocacy",1,"1864-07-09",280,5699.3702052325,1467.4877371383,14117.6062688025,680.29268439,"Monocacy","Confederate",39.3711,-77.392
"MD008","1864-08-01","1864-08-01","Inconclusive","D","Eastern","Early's Raid and Operations Against the B&O Railroad [June-August 1864]",38,,,6,687.89,5244.86,"Folck’s Mill","Union","1864-08-01","1864-08-01",,,"MD",0,60,30,30,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Folck's_Mill",,,,,"US","None","1864-08-01","1864-08-01","Battle of Folck's Mill",1,"1864-08-01",291,1902.4985265074,25.0347712415,1257.8201417212,22.947520732,"Folck's Mill","Inconclusive",39.6639,-78.753
"MO001","1861-06-17","1861-06-17","Union","C","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",81,31,50,0,697.84,2405.72,"Boonville","Union","1861-06-17","1861-06-17",,,"MO",0,22,12,10,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Boonville",1700,1500,31,50,"US","None","1861-06-17","1861-06-17","Battle of Boonville",1,"1861-06-17",6,1645.2163294984,23.6824829567,1511.3971687645,38.7059638765,"Boonville","Union",38.9765,-92.743
"MO002","1861-07-05","1861-07-05","Confederate","C","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",244,44,200,0,2268.47,9209.83,"Carthage","Confederate","1861-07-05","1861-07-05",,,"MO",0,118,44,74,,,,,,,,,,,,,,44,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Carthage_(1861)",1100,4000,44,200,"CS","None","1861-07-05","1861-07-05","Battle of Carthage (1861)",1,"1861-07-05",8,1100.7487839749,43.9462171259,4055.2119507184,152.1940471763,"Carthage (1861)","Confederate",37.2,-94.34
"MO003","1861-09-17","1861-09-17","Confederate","D","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",126,56,70,0,427.64,4206.09,"Liberty","Confederate","1861-09-17","1861-09-17",,570,"MO",0,126,56,70,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Liberty",600,3500,56,70,"US","None","1861-09-17","1861-09-17","Battle of Liberty",1,"1861-09-17",18,565.0453507538,57.4408072442,3511.7925555152,74.8972612433,"Liberty","Confederate",39.1931,-94.3842
"MO004","1861-08-10","1861-08-10","Confederate","A","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",2330,1235,1095,0,1021.26,5109.74,"Wilson’s Creek","Confederate","1861-08-10","1861-08-10",,,"MO",0,1781,1317,464,5400,11600,944,1157,"Confederate",1095,1235,"Confederate",1300,1300,10000,6000,1095,1235,"Confederate",1235,1095,5400,10175,"US","Confederate","FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Wilson's_Creek",5430,12120,1317,1232,"US","None","1861-08-10","1861-08-10","Battle of Wilson's Creek",1,"1861-08-10",12,5102.57523715,1168.6866834429,11775.282144933,1163.38997238,"Wilson's Creek","Confederate",37.101,-93.4078
"MO005","1861-09-02","1861-09-02","Confederate","D","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",,14,,5,1239.95,2927.57,"Dry Wood Creek","Confederate","1861-09-02","1861-09-02",,,"MO",5,,14,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Dry_Wood_Creek",600,,14,20,"US","None","1861-09-02","1861-09-02","Battle of Dry Wood Creek",1,"1861-09-02",15,578.0516041847,14.3227890406,1072.2667820389,21.0476716012,"Dry Wood Creek","Confederate",37.8197,-94.4862
"MO006","1861-09-13","1861-09-20","Confederate","C","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",1874,1774,100,0,147.93,1083.26,"Lexington I","Confederate","1861-09-13","1861-09-20",,,"MO",0,3600,3500,100,,,,,,100,1774,"Confederate",,,10000,3000,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/First_Battle_of_Lexington",3500,12500,1774,100,"CS","Union partial","1861-09-13","1861-09-20","First Battle of Lexington",8,"1861-09-17",20,3077.1159984661,2031.345451686,11932.9528836821,101.5255873389,"First Lexington","Confederate",39.1915,-93.8786
"MO007","1861-10-21","1861-10-21","Union","D","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",,,62,3,256.28,1105.8,"Fredericktown","Union","1861-10-21","1861-10-21",,,"MO",3,,,62,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fredericktown",3000,,,145,"CS","None","1861-10-21","1861-10-21","Battle of Fredericktown",1,"1861-10-21",24,2848.4361169918,32.8669311666,2683.8871479433,97.0883300735,"Fredericktown","Union",37.5434,-90.2969
"MO008","1861-10-25","1861-10-25","Union","D","Trans-Mississippi","Operations to Control Missouri [June-October 1861]",218,85,133,0,224.25,849.23,"Springfield I","Union","1861-10-25","1861-10-25",,,"MO",0,218,85,133,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/First_Battle_of_Springfield",5000,1250,85,133,"US","None","1861-10-25","1861-10-25","First Battle of Springfield",1,"1861-10-25",26,4843.9993976461,80.321611066,1269.0912153707,139.3888398241,"First Springfield","Union",37.2035,-93.3205
"MO009","1861-11-07","1861-11-07","Union","C","Western","Operations at the Ohio and Mississippi River Confluence [November 1861]",1464,498,966,0,2714,4502.29,"Belmont","Union","1861-11-07","1861-11-07",,,"MO",0,1248,607,641,,,,,,966,498,,,,,,641,501,"Confederate",607,642,3144,5000,"US","Union","FALSE","FALSE","Inconclusive","http://dbpedia.org/resource/Battle_of_Belmont",3114,5000,607,641,"US","None","1861-11-07","1861-11-07","Battle of Belmont",1,"1861-11-07",27,2954.2395720332,544.7081996449,4981.92227437,769.6300291779,"Belmont","Union",36.7657,-89.124
"MO010","1861-12-28","1861-12-28","Union","D","Trans-Mississippi","Operations in Northeast Missouri [December 1861]",282,72,210,0,64.72,2736.42,"Mount Zion Church","Union","1861-12-28","1861-12-28",,,"MO",0,282,72,210,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Mount_Zion_Church",440,900,70,235,"US","None","1861-12-28","1861-12-28","Battle of Mount Zion Church",1,"1861-12-28",35,403.3739222389,69.9336547472,910.7202503666,222.1155056679,"Mount Zion Church","Union",39.0692,-92.1792
"MO011","1862-01-08","1862-01-08","Union","D","Trans-Mississippi","Operations in Northeast Missouri [December 1861]",91,11,80,0,59.53,1387.58,"Roan’s Tan Yard","Union","1862-01-08","1862-01-08",,,"MO",0,91,11,80,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Roan's_Tan_Yard",450,800,25,148,"US","None","1862-01-08","1862-01-08","Battle of Roan's Tan Yard",1,"1862-01-08",38,446.0049194348,16.5651776583,807.3194990664,119.9743089106,"Roan's Tan Yard","Union",39.3246,-92.5584
"MO012","1862-02-28","1862-04-08","Union","A","Western","Joint Operations Against New Madrid, Island No. 10, and Memphis [February-June 1862]",,,,7,18147.53,55952.28,"New Madrid/Island No. 10","Union","1862-02-28","1862-04-08",,,"MO",0,7051,51,7000,,,,,,,,,,,,,,32,"Inconclusive",,,,,,,"TRUE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Island_Number_Ten",,7000,78,7000,"US","Confederate complete","1862-02-28","1862-04-08","Battle of Island Number Ten",40,"1862-03-20",51,42383.7735750053,49.4919743556,7101.1454965918,6656.4486196898,"Island Number Ten","Union",36.4588,-89.4708
"MO013","1862-08-06","1862-08-09","Union","D","Trans-Mississippi","Operations North of Boston Mountains [August-November 1862]",456,88,368,0,296.6,10708.07,"Kirksville","Union","1862-08-06","1862-08-09",,,"MO",0,456,88,368,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Kirksville",1000,2500,88,368,"US","None","1862-08-06","1862-08-09","Battle of Kirksville",4,"1862-08-08",87,1001.9434444687,81.7269644271,2511.2850588716,377.306684,"Kirksville","Union",40.19,-92.6
"MO014","1862-08-11","1862-08-11","Confederate","D","Trans-Mississippi","Operations North of Boston Mountains [August-November 1862]",,344,,5,129.7,591.86,"Independence I","Confederate","1862-08-11","1862-08-11",,,"MO",5,,344,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/First_Battle_of_Independence",344,750,344,,"CS","Union complete","1862-08-11","1862-08-11","First Battle of Independence",1,"1862-08-11",90,323.7487479123,287.6106650234,756.1433489187,34.3485970265,"First Independence","Confederate",39.0938,-94.4168
"MO015","1862-08-15","1862-08-16","Confederate","D","Trans-Mississippi","Operations North of Boston Mountains [August-November 1862]",270,160,110,0,85.62,8645.19,"Lone Jack","Confederate","1862-08-15","1862-08-16",,,"MO",5,,272,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Lone_Jack",800,2250,160,110,"US","None","1862-08-15","1862-08-16","Battle of Lone Jack",2,"1862-08-15",91,745.7111273752,184.0404037719,2194.3136319116,108.333342111,"Lone Jack","Confederate",38.8706,-94.1881
"MO016","1862-09-30","1862-09-30","Confederate","C","Trans-Mississippi","Operations North of Boston Mountains [August-November 1862]",345,245,100,0,861.74,2638.96,"Newtonia I","Confederate","1862-09-30","1862-09-30",,,"MO",0,323,245,78,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/First_Battle_of_Newtonia",1500,,245,100,"US","None","1862-09-30","1862-09-30","First Battle of Newtonia",1,"1862-09-30",105,1455.9224806359,227.4861052611,2248.8753766545,100.4221186487,"First Newtonia","Confederate",36.8836,-94.1845
"MO017","1862-11-07","1862-11-07","Confederate","D","Trans-Mississippi","Operations North of Boston Mountains [August-November 1862]",,113,,5,237.61,4306.18,"Clark’s Mill","Confederate","1862-11-07","1862-11-07",,,"MO",0,153,119,34,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Clark's_Mill",113,1000,113,,"US","Union complete","1862-11-07","1862-11-07","Battle of Clark's Mill",1,"1862-11-07",113,104.052098154,100.6561662685,1015.3470962872,44.3695057566,"Clark's Mill","Confederate",36.9207,-92.4888
"MO018","1863-01-08","1863-01-08","Union","D","Trans-Mississippi","Marmaduke's First Expedition into Missouri [January 1863]",403,163,240,0,1182.63,4674.36,"Springfield II","Union","1863-01-08","1863-01-08",,,"MO",0,403,163,240,,,,,,,,,,,,,,165,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Second_Battle_of_Springfield",2099,1870,231,290,"CS","None","1863-01-08","1863-01-08","Second Battle of Springfield",1,"1863-01-08",126,1974.9148790972,182.1491778003,1888.9317570106,264.7271950518,"Second Springfield","Union",37.195,-93.3021
"MO019","1863-01-09","1863-01-11","Confederate","D","Trans-Mississippi","Marmaduke's First Expedition into Missouri [January 1863]",407,78,329,0,454.31,7654.6,"Hartville","Confederate","1863-01-09","1863-01-11",,,"MO",0,407,78,329,,,,,,,,,,,,,,73,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Hartville",750,,78,111,"CS","None","1863-01-09","1863-01-11","Battle of Hartville",3,"1863-01-10",128,705.7152311768,70.8866088133,3666.9041856358,217.3067098689,"Hartville","Confederate",37.2511,-92.5111
"MO020","1863-04-26","1863-04-26","Union","D","Trans-Mississippi","Marmaduke's Second Expedition into Missouri [April-May 1863]",337,12,325,0,590.41,6292.22,"Cape Girardeau","Union","1863-04-26","1863-04-26",,,"MO",0,337,12,325,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Cape_Girardeau",4000,5000,12,325,"CS","None","1863-04-26","1863-04-26","Battle of Cape Girardeau",1,"1863-04-26",143,3862.1013561498,11.8800448138,5095.9744623608,341.8087803436,"Cape Girardeau","Union",37.3132,-89.5514
"MO021","1864-09-27","1864-09-27","Union","B","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",1684,184,1500,0,1947.44,4556.3,"Fort Davidson","Union","1864-09-26","1864-09-27",,,"MO",0,1113,213,900,,,,,,,,,,,,,,184,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Fort_Davidson",1500,12000,184,1500,"CS","None","1864-09-27","1864-09-27","Battle of Fort Davidson",1,"1864-09-27",309,1423.4259935379,183.7969029244,12129.5531171013,1370.4093326141,"Fort Davidson","Union",37.6194,-90.6415
"MO022","1864-10-15","1864-10-15","Confederate","C","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",450,400,50,0,737.44,1769.38,"Glasgow","Confederate","1864-10-15","1864-10-15",,,"MO",0,450,400,50,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Glasgow",800,1650,400,50,"CS","Union partial","1864-10-15","1864-10-15","Battle of Glasgow",1,"1864-10-15",317,743.7984165845,376.663429186,1653.1411326056,50.514802832,"Glasgow","Confederate",39.226,-92.846
"MO023","1864-10-19","1864-10-19","Confederate","D","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",,,,7,1793.09,6593.74,"Lexington II","Confederate","1864-10-19","1864-10-19",,,"MO",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Second_Battle_of_Lexington",2000,8500,,,"CS","None","1864-10-19","1864-10-19","Second Battle of Lexington",1,"1864-10-19",318,1918.0696686258,230.0384787042,8837.4941844816,125.8015556584,"Second Lexington","Confederate",39.1831,-93.875
"MO024","1864-10-21","1864-10-21","Confederate","D","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",,,,7,4913.99,8629.26,"Little Blue River","Confederate","1864-10-21","1864-10-21",,,"MO",7,,,,,,,,,,,,,,,,,115,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Little_Blue_River",2000,8500,,,"CS","None","1864-10-21","1864-10-21","Battle of Little Blue River",1,"1864-10-21",320,1918.3917155352,119.2111524208,8420.3009295593,86.1211944503,"Little Blue River","Confederate",39.1369,-94.3139
"MO025","1864-10-22","1864-10-22","Confederate","C","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",,,140,3,2797.3,6449.78,"Independence II","Confederate","1864-10-22","1864-10-22",,,"MO",3,,,140,,,,,,,,,,,,,,83,"Inconclusive",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Second_Battle_of_Independence",22000,8500,,140,"CS","None","1864-10-22","1864-10-22","Second Battle of Independence",1,"1864-10-22",321,20911.5304215388,86.1816087639,8561.7510341701,149.1628241941,"Second Independence","Confederate",39.0856,-94.4412
"MO026","1864-10-22","1864-10-23","Union","B","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",,,,7,1328.45,3353.35,"Byram’s Ford","Union","1864-10-22","1864-10-22",,,"MO",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Byram's_Ford",,,,,"CS","None","1864-10-22","1864-10-22","Battle of Byram's Ford",1,"1864-10-22",322,4921.2610352439,371.6328648559,5154.2267109853,581.75691346,"Byram's Ford","Union",39.0228,-94.5307
"MO027","1864-10-23","1864-10-23","Union","A","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",3000,1500,1500,0,5720.42,11179.39,"Westport","Union","1864-10-23","1864-10-23",,,"MO",0,3000,1500,1500,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Westport",22000,8500,1500,1500,"CS","None","1864-10-23","1864-10-23","Battle of Westport",1,"1864-10-23",323,21515.7676315665,1465.5761303117,8551.7846588625,1462.4931125921,"Westport","Union",39.03,-94.5944
"MO028","1864-10-25","1864-10-25","Union","D","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",,,,7,811.08,1472.51,"Marmiton River","Union","1864-10-25","1864-10-25",,,"MO",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Marmiton_River",,,,,"US","None","1864-10-25","1864-10-25","Battle of Marmiton River",1,"1864-10-25",326,1895.1923067847,46.5148717085,1172.5497067309,106.7727795921,"Marmiton River","Union",37.8717,-94.6153
"MO029","1864-10-28","1864-10-28","Union","B","Trans-Mississippi","Price's Missouri Expedition [September-October 1864]",650,400,250,0,1455.05,4328.24,"Newtonia II","Union","1864-10-28","1864-10-28",,,"MO",0,50,26,24,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Second_Battle_of_Newtonia",,,400,250,"US","None","1864-10-28","1864-10-28","Second Battle of Newtonia",1,"1864-10-28",329,3952.6526348438,168.2062186928,1560.4817184889,154.8229458201,"Second Newtonia","Union",36.8739,-94.1903
"MS001","1862-09-19","1862-09-19","Union","C","Western","Iuka and Corinth Operations [September-October 1862]",1482,782,700,0,705.16,3261.17,"Iuka","Union","1862-09-19","1862-09-19",,,"MS",0,1384,790,594,,,,,,1516,782,,,,,,693,790,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Iuka",4500,3179,790,1516,"US","None","1862-09-19","1862-09-19","Battle of Iuka",1,"1862-09-19",102,4574.411870517,764.572714396,3351.9331201658,1005.6879863803,"Iuka","Union",34.7936,-88.2101
"MS002","1862-10-03","1862-10-04","Union","A","Western","Iuka and Corinth Operations [September-October 1862]",7197,2359,4838,0,8039.95,15987.39,"Corinth","Union","1862-10-03","1862-10-04",,,"MS",0,7150,2350,4800,21147,22000,2196,2470,"Union",14221,2359,"Union",6000,2600,22000,25000,,3053,"Union",4233,2520,22000,21147,"US","Confederate","FALSE","FALSE","Union","http://dbpedia.org/resource/Second_Battle_of_Corinth",23000,22000,2520,4233,"CS","None","1862-10-03","1862-10-04","Second Battle of Corinth",2,"1862-10-03",107,20795.9370991959,2484.9863964696,21881.414448201,5396.438671854,"Second Corinth","Union",34.9406,-88.5306
"MS003","1862-12-26","1862-12-29","Confederate","B","Western","Operations Against Vicksburg [December 1862-January 1863]",1983,1776,207,0,5521.98,22949.49,"Chickasaw Bayou","Confederate","1862-12-26","1862-12-29",,,"MS",0,1363,1176,187,30720,13792,1213,197,"Confederate",207,1929,"Confederate",200,1800,25000,33000,187,1776,"Confederate",,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Chickasaw_Bayou",30720,13792,1176,187,"US","None","1862-12-26","1862-12-29","Battle of Chickasaw Bayou",4,"1862-12-28",122,29707.3906987399,1589.8752254076,14424.1775529896,202.5997384401,"Chickasaw Bayou","Confederate",32.399,-90.854
"MS004","1863-04-29","1863-04-29","Confederate","C","Western","Grant's Operations Against Vicksburg [March-July 1863]",,80,,5,1759.2,9349.6,"Grand Gulf","Confederate","1863-04-29","1863-04-29",,,"MS",5,,80,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Grand_Gulf",,,80,,"US","None","1863-04-29","1863-04-29","Battle of Grand Gulf",1,"1863-04-29",144,2585.3445949264,80.2247009662,1908.0081067934,49.1374511247,"Grand Gulf","Confederate",32.0292,-91.0561
"MS005","1863-04-29","1863-05-01","Confederate","D","Western","Grant's Operations Against Vicksburg [March-July 1863]",,,,7,1788.19,6917.92,"Snyder’s Bluff","Confederate","1863-04-29","1863-05-01",,,"MS",7,,,,,,,,,,,,,,,,,,,,,,,,,"FALSE","FALSE","Confederate","http://dbpedia.org/resource/Battle_of_Snyder's_Bluff",,,,,"US","None","1863-04-29","1863-05-01","Battle of Snyder's Bluff",3,"1863-04-30",146,2394.1440526433,119.7501319596,2641.7435395254,58.7670558957,"Snyder's Bluff","Confederate",32.4964,-90.8
"MS006","1863-05-01","1863-05-01","Union","B","Western","Grant's Operations Against Vicksburg [March-July 1863]",1648,861,787,0,3223.64,7959.41,"Port Gibson","Union","1863-05-01","1863-05-01",,,"MS",0,1662,875,787,,,,,,1650,853,,,,,,832,875,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Port_Gibson",,,861,787,"US","None","1863-05-01","1863-05-01","Battle of Port Gibson",1,"1863-05-01",147,13759.2986669752,864.0011185046,6783.8685222065,955.0184385007,"Port Gibson","Union",31.9557,-91.0228
"MS007","1863-05-12","1863-05-12","Union","B","Western","Grant's Operations Against Vicksburg [March-July 1863]",1011,442,569,0,1381.16,5643.83,"Raymond","Union","1863-05-12","1863-05-12",,,"MS",0,956,442,514,,,,,,,,,,,,,514,442,"Union",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Raymond",12000,4400,446,820,"US","None","1863-05-12","1863-05-12","Battle of Raymond",1,"1863-05-12",153,11450.7289776784,448.9759783972,4470.4722687988,648.83962391,"Raymond","Union",32.2453,-90.4333
"MS008","1863-05-14","1863-05-14","Union","B","Western","Grant's Operations Against Vicksburg [March-July 1863]",1136,286,850,0,2703.28,11170.71,"Jackson (MS)","Union","1863-05-14","1863-05-14",,,"MS",0,1136,286,850,,,,,,,,,,,,,,300,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Jackson,_Mississippi",,,286,850,"US","None","1863-05-14","1863-05-14","Battle of Jackson, Mississippi",1,"1863-05-14",154,10615.7421872667,275.2292674332,4659.9015679509,869.4183864353,"Jackson, Mississippi","Union",32.324,-90.236
"MS009","1863-05-16","1863-05-16","Union","A","Western","Grant's Operations Against Vicksburg [March-July 1863]",6757,2457,4300,0,5981.16,13696.8,"Champion Hill","Union","1863-05-16","1863-05-16",,,"MS",0,6281,2441,3840,29373,20000,2254,2181,"Union",4300,2457,"Union",6000,2500,18000,30000,3839,2441,"Union",2441,3851,29373,20000,"US","Union","FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Champion_Hill",32000,22000,2457,3840,"US","None","1863-05-16","1863-05-16","Battle of Champion Hill",1,"1863-05-16",155,28266.7257505442,2290.2431281989,20860.6703572207,4900.142401067,"Champion Hill","Union",32.3296,-90.5303
"MS010","1863-05-17","1863-05-17","Union","B","Western","Grant's Operations Against Vicksburg [March-July 1863]",2273,273,2000,0,679.83,2931.47,"Big Black River Bridge","Union","1863-05-17","1863-05-17",,,"MS",0,2027,276,1751,,,,,,,,,,,,,,279,"Inconclusive",,,,,,,"FALSE","FALSE","Union","http://dbpedia.org/resource/Battle_of_Big_Black_River_Bridge",,5000,276,1751,"US","None","1863-05-17","1863-05-17","Battle of Big Black River Bridge",1,"1863-05-17",156,7262.9660745558,268.7265856,5226.1004706331,1781.6002643656,"Big Black River Bridge","Union",32.3471,-90.7043
"MS011","1863-05-18","1863-07-04","Union","A","Western","Grant's Operations Against Vicksburg [March-July 1863]",19233,10142,9091,0,12591.96,27611.64,"Vicksburg","Union","1863-05-18","1863-07-04",,,"MS",0,37532,4835,32697,45556,22301,3052,,"Inconclusive",31277,4536,"Union",28000,9000,28000,75000,,4910,"Confederate",,,,,,,"FALSE","TRUE","Union","http://dbpedia.org/resource/Siege_of_Vicksburg",77000,33000,4835,33000,"US","Confederate complete","1863-05-18","1863-07-04","Siege of Vicksburg",48,"1863-06-11",171,67764.6019964318,7433.8300460637,30680.8330165928,25751.9277845665,"Vicksburg","Union",32.3436,-90.8511
