reference_number,event,type,start_date,end_date,theater,campaign,threats,ownership_federal,ownership_local,ownership_private,ownership_state,ownership_unknown,park,integrity,military,interpretive_political,interpretive_commander_loss,interpretive_casualties,interpretive_tactics_strategy,interpretive_public_mind,interpretive_combat_arm,interpretive_military_firsts,interpretive_minority_troops,interpretive_economic,interpretive_archaelolgical,interpretive_logistics,interpretive_individual_bravery,interpretive_group_behavior,interpretive_joint_ops,interpretive_coop_armies,interpretive_naval,jim,ed,bill,protected,percent,county,value,priority1,url
LA004,Donaldsonville,Bombardment,1862-08-09,1862-08-09,Lower Seaboard Theater of Operation,"Operations about Vicksburg and Baton Rouge (1862), 08/05/62, II",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Ascension, Donaldsonville, City of",,0,http://aad.archives.gov/aad//LA004
LA005,Georgia Landing,Action,1862-10-27,1862-10-27,Lower Seaboard Theater of Operation,"Operations in LaFourche District (1862), 10/24/62, III",,0,0,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,C,,,LaFourche Parish,,0,http://aad.archives.gov/aad//LA005
LA006,Fort Bisland,Engagement,1863-04-12,1863-04-13,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",,1,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,St. Mary Parish,,0,http://aad.archives.gov/aad//LA006
LA007,Irish Bend,Engagement,1863-04-14,1863-04-14,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",,0,1,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,C,,,"St. Mary Parish, Franklin, City of",,0,http://aad.archives.gov/aad//LA007
LA008,Vermillion Bayou,Action,1863-04-17,1863-04-17,Lower Seaboard Theater of Operation,"Operations in West Louisiana (1863), 04/09/63, III",N/A,0,0,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lafayette Parish,,0,http://aad.archives.gov/aad//LA008
LA009,Plains Store,Action,1863-05-21,1863-05-21,Lower Seaboard Theater of Operation,"Siege of Port Hudson (1863), 05/21/63, I",,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,C,C,C,,,E. Baton Rouge Parish,,0,http://aad.archives.gov/aad//LA009
LA010,Port Hudson,Siege,1863-05-21,1863-07-08,Lower Seaboard Theater of Operation,"Siege of Port Hudson (1863), 05/21/63, I",,0,0,1,1,0,1,Good,A,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,,,,640,,"E. Baton Rouge, E. Feliciana Parish",,1,http://aad.archives.gov/aad//LA010
LA011,Milliken's Bend,Attack,1863-06-07,1863-06-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",N/A,1,0,1,0,0,0,Lost,C,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Madison Parish,,0,http://aad.archives.gov/aad//LA011
LA012,LaFourche Crossing,Engagement,1863-06-20,1863-06-21,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,LaFourche Parish,,0,http://aad.archives.gov/aad//LA012
LA013,Donaldsonville,Attack,1863-06-28,1863-06-28,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,D,,,,"Ascension, Donaldsonville, City of",,0,http://aad.archives.gov/aad//LA013
LA014,Goodrich's Landing,Attack,1863-06-30,1863-06-30,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,D,,,,E. Carroll Parish,,0,http://aad.archives.gov/aad//LA014
LA015,Kock's Plantation,Engagement,1863-07-12,1863-07-13,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",,0,0,1,0,0,0,Poor,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,D,,,,"Ascension, Assumption, Dondaldsonvi",,0,http://aad.archives.gov/aad//LA015
LA016,Stirling's Plantation,Action,1863-09-29,1863-09-29,Lower Seaboard Theater of Operation,"Taylor's Ops. in Louisiana, W of Miss. (1863), 06/20/63, III",,1,0,1,0,0,0,Fair,D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,D,D,,,,Pointe Coupee Parish,,0,http://aad.archives.gov/aad//LA016
LA017,Fort De Russy,Capture,1864-03-14,1864-03-14,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,1,0,0,0,Fair,B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,Avoyelles,,0,http://aad.archives.gov/aad//LA017
LA018,Mansfield,Engagement,1864-04-08,1864-04-08,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,1,1,0,1,Fair,A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,44,5,Desoto,$500-1500,0,http://aad.archives.gov/aad//LA018
LA019,Pleasant Hill,Engagement,1864-04-09,1864-04-09,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,B,,,,Sabine,,0,http://aad.archives.gov/aad//LA019
LA020,Blair's Landing,Engagement,1864-04-12,1864-04-13,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Unk,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,C,,,,Red River,,0,http://aad.archives.gov/aad//LA020
LA021,Monett's Ferry,Engagement,1864-04-23,1864-04-23,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,0,0,0,1,0,Unk,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,Grant,,0,http://aad.archives.gov/aad//LA021
LA022,Mansura,Engagement,1864-05-16,1864-05-16,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,1,1,0,0,0,Fair,C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,C,,,,"Avoyelles, Mansura, City of",,0,http://aad.archives.gov/aad//LA022
LA023,Yellow Bayou,Engagement,1864-05-18,1864-05-18,Trans-Mississippi Theater of Operations,"Red River Campaign (1864), 03/14/64, I",,0,1,1,0,0,1,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Avoyelles, Simmesport, City of",,0,http://aad.archives.gov/aad//LA023
MD001,Hancock,Bombardment,1862-01-05,1862-01-05,Main Eastern Theater of Operation,"Jackson's Ops. agnst B&O Railroad (1862), 01/01/62, III",,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Washington, Morgan, Hancock, City",,0,http://aad.archives.gov/aad//MD001
MD002,South Mountain,Battle,1862-09-14,1862-09-14,Main Eastern Theater of Operation,"Maryland Campaign (1862), 09/02/62, I",,1,1,1,1,0,1,Good,B,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Washington,,1,http://aad.archives.gov/aad//MD002
MD003,Antietam,Battle,1862-09-16,1862-09-17,Main Eastern Theater of Operation,"Maryland Campaign (1862), 09/02/62, I",,1,0,1,0,0,1,Good,A,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,,A,,3282,60,Washington,$4000-6000,1,http://aad.archives.gov/aad//MD003
MD004,Williamsport,Action,1863-07-06,1863-07-16,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",,1,0,1,0,0,1,Fair,C,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,C,C,,,,Washington,,0,http://aad.archives.gov/aad//MD004
MD006,Boonsborough,Action,1863-07-08,1863-07-08,Main Eastern Theater of Operation,"Gettysburg Campaign (1863), 06/09/63, I",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Washington, Boonsborough, Town of",,0,http://aad.archives.gov/aad//MD006
MD007,Monocacy,Battle,1864-07-09,1864-07-09,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",,1,0,1,0,0,1,Good,B,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,A,,,,Frederick,,1,http://aad.archives.gov/aad//MD007
MD008,Folck's Mill,Attack,1864-08-01,1864-08-01,Main Eastern Theater of Operation,"Early's Raid and Ops agnst B&O RR (1864), 06/01/64, II",,0,0,1,1,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Allegany,,0,http://aad.archives.gov/aad//MD008
MN001,Fort Ridgely,Action,1862-08-20,1862-08-22,Trans-Mississippi Theater of Operations,"Sibley's Ops Agnst Indians of the NW (1862), 08/20/62, III",,0,0,0,1,0,1,Good,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,D,,,,Nicollet,,0,http://aad.archives.gov/aad//MN001
MN002,Wood Lake,Skirmish,1862-09-23,1862-09-23,Trans-Mississippi Theater of Operations,"Sibley's Ops Agnst Indians of the NW (1862), 08/20/62, III",,0,0,1,0,0,0,Fair,C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,Yellow Medicine,,0,http://aad.archives.gov/aad//MN002
MO001,Boonville,Engagement,1861-06-17,1861-06-17,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,0,0,0,Fair,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Cooper,,0,http://aad.archives.gov/aad//MO001
MO002,Carthage,Engagement,1861-07-05,1861-07-05,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,1,0,1,Good,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,Jasper,,0,http://aad.archives.gov/aad//MO002
MO003,Liberty (Blue Mills),Action,1861-09-17,1861-09-17,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Clay,,0,http://aad.archives.gov/aad//MO003
MO004,Wilson's Creek,Battle,1861-08-10,1861-08-10,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,1,0,1,0,0,1,Good,A,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,A,,1750,75,"Greene, Christian",,0,http://aad.archives.gov/aad//MO004
MO005,Dry Wood Creek,Action,1861-09-02,1861-09-02,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Vernon,,0,http://aad.archives.gov/aad//MO005
MO006,Lexington,Siege,1861-09-13,1861-09-20,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,1,0,1,Fair,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Lafayette, Lexington, City of",,0,http://aad.archives.gov/aad//MO006
MO007,Fredericktown,Engagement,1861-10-21,1861-10-21,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Madison,,0,http://aad.archives.gov/aad//MO007
MO008,Springfield,Action,1861-10-25,1861-10-25,Trans-Mississippi Theater of Operations,"Ops. [U] to Clear [C] from Missouri (1861), 06/01/61, I",N/A,0,1,1,0,0,1,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Greene, Springfield, City of",,0,http://aad.archives.gov/aad//MO008
MO009,Belmont,Engagement,1861-11-07,1861-11-07,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Ops. Junction of the Ohio and Miss. Rivers (1861), 11/07/61, III",,0,0,1,1,0,1,Poor,C,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Mississippi,,0,http://aad.archives.gov/aad//MO009
MO010,Mount Zion Church,Action,1861-12-28,1861-12-28,Trans-Mississippi Theater of Operations,"Operations in Northeast Missouri (1861), 12/27/61, III",,0,0,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Boone,,0,http://aad.archives.gov/aad//MO010
MO011,Roan's Tan Yard,Action,1862-01-08,1862-01-08,Trans-Mississippi Theater of Operations,"Operations in Northeast Missouri (1861), 12/27/61, III",,0,0,1,0,0,0,Fair,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Randolph,,0,http://aad.archives.gov/aad//MO011
MO012,New Madrid/Island No. 10,Operation,1862-02-28,1862-04-08,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Joint Operations [U] on the Middle Miss. R. (1862), 02/28/62, I",N/A,0,0,1,0,0,0,Lost,A,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,A,,0,0,"New Madrid, Lake, TN",,0,http://aad.archives.gov/aad//MO012
MO013,Kirksville,Action,1862-08-06,1862-08-06,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Adair, Kirksvill, City of",,0,http://aad.archives.gov/aad//MO013
MO014,Independence,Action,1862-08-11,1862-08-11,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Jackson, Independence, City of",,0,http://aad.archives.gov/aad//MO014
MO015,Lone Jack,Action,1862-08-16,1862-08-16,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,1,1,0,0,0,Fair,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jackson,,0,http://aad.archives.gov/aad//MO015
MO016,Newtonia,Engagement,1862-09-30,1862-09-30,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,0,1,0,0,0,Good,C,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,B,,,,"Newton, Newtonia, City of",,0,http://aad.archives.gov/aad//MO016
MO017,Clark's Mill,Action,1862-11-07,1862-11-07,Trans-Mississippi Theater of Operations,"Offensive [C] North of Boston Mountains (1862), 08/01/62, III",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Douglas,,0,http://aad.archives.gov/aad//MO017
MO018,Springfield,Engagement,1863-01-08,1863-01-08,Trans-Mississippi Theater of Operations,"Marmaduke's Exped. Into Missouri (1862-63), 12/31/62, III",,0,1,1,0,0,1,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Greene, Springfield, City of",,0,http://aad.archives.gov/aad//MO018
MO019,Hartville,Engagement,1863-01-11,1863-01-11,Trans-Mississippi Theater of Operations,"Marmaduke's Exped. Into Missouri (1862-63), 12/31/62, III",,0,1,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Wright, Hartville, City of",,0,http://aad.archives.gov/aad//MO019
MO020,Cape Girardeau,Action,1863-04-26,1863-04-26,Trans-Mississippi Theater of Operations,"Marmaduke's Exp. Into Missouri (1863), 04/17/63, III",N/A,0,1,1,1,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Cape Girardeau, Cape Giradeau, City",,0,http://aad.archives.gov/aad//MO020
MO021,Fort Davidson,Attack,1864-09-27,1864-09-27,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,1,0,1,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Iron, Pilot Knob, Town of",,1,http://aad.archives.gov/aad//MO021
MO022,Glasgow,Action,1864-10-15,1864-10-15,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",N/A,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Howard, Glasgow, City of",,0,http://aad.archives.gov/aad//MO022
MO023,Lexington,Action,1864-10-19,1864-10-19,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,"Lafayette, Lexington, City of",,0,http://aad.archives.gov/aad//MO023
MO024,Little Blue River,Action,1864-10-21,1864-10-21,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Jackson,,0,http://aad.archives.gov/aad//MO024
MO025,Independence,Action,1864-10-22,1864-10-22,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",N/A,0,1,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Jackson, Independence, City of",,0,http://aad.archives.gov/aad//MO025
MO026,Byram's Ford,Engagement,1864-10-22,1864-10-23,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Poor,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Jackson, Kansas City",,0,http://aad.archives.gov/aad//MO026
MO027,Westport,Engagement,1864-10-23,1864-10-23,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",N/A,0,1,1,0,0,1,Lost,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,A,,0,0,"Jackson, Kansas City",,0,http://aad.archives.gov/aad//MO027
MO028,Marmiton River,Engagement,1864-10-25,1864-10-25,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Vernon,,0,http://aad.archives.gov/aad//MO028
MO029,Newtonia,Engagement,1864-10-28,1864-10-28,Trans-Mississippi Theater of Operations,"Price's Missouri Expedition (1864), 09/27/64, I",,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Newton, Newtonia, City of",,1,http://aad.archives.gov/aad//MO029
MS001,Iuka,Engagement,1862-09-19,1862-09-19,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Heartland [Confederate] Offensive (1862), 08/29/62, I",,0,1,1,1,0,0,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Tishomingo, Iuka, City of",,0,http://aad.archives.gov/aad//MS001
MS002,Corinth,Battle,1862-10-03,1862-10-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Batt. of Corinth and Pursuit fr Corinth (1862), 10/03/62, I",,0,1,1,1,0,0,Poor,A,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,,A,,5,0,"Alcorn, Corinth, City of",,0,http://aad.archives.gov/aad//MS002
MS003,Chickasaw Bayou,Assault,1862-12-29,1862-12-29,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,0,Fair,B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Warren,,1,http://aad.archives.gov/aad//MS003
MS004,Grand Gulf,Engagement,1863-03-31,1863-03-31,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,0,1,1,0,1,Good,C,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,C,,,,Claiborne,,0,http://aad.archives.gov/aad//MS004
MS005,Snyder's Bluff,Engagement,1863-04-29,1863-05-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,Warren,,0,http://aad.archives.gov/aad//MS005
MS006,Port Gibson,Battle,1863-05-01,1863-05-01,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,0,Good,B,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,Claiborne,,1,http://aad.archives.gov/aad//MS006
MS007,Raymond,Engagement,1863-05-12,1863-05-12,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,0,Fair,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,Hinds,,1,http://aad.archives.gov/aad//MS007
MS008,Jackson,Engagement,1863-05-14,1863-05-14,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",N/A,0,1,1,1,0,1,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Madison,,0,http://aad.archives.gov/aad//MS008
MS009,Champion Hill,Battle,1863-05-16,1863-05-16,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,1,1,1,0,0,Good,A,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,A,,0,0,Hinds,$500-700,0,http://aad.archives.gov/aad//MS009
MS010,Big Black River Bridge,Engagement,1863-05-17,1863-05-17,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,0,0,1,1,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,C,,,,"Hinds, Warren",,0,http://aad.archives.gov/aad//MS010
MS011,Vicksburg,Siege,1863-05-19,1863-07-04,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Grant's Operations against Vicksburg (1863), 04/29/63, I",,1,0,1,0,0,1,Fair,A,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,,A,,1618,30,"Warren, Vicksburg, City of",,1,http://aad.archives.gov/aad//MS011
MS012,Meridian,Occupation,1864-02-14,1864-02-20,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",N/A,0,1,1,1,0,0,Lost,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,C,,,,"Lauderale, Meridian, City of",,0,http://aad.archives.gov/aad//MS012
MS013,Okolona,Engagement,1864-02-22,1864-02-22,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Meridian Exp and Exp fr Memphis up Yazoo (1864), 02/14/64, II",,0,0,1,0,0,0,Good,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,"Chickasaw, Okolona, City of",,0,http://aad.archives.gov/aad//MS013
MS014,Brice's Cross Roads,Engagement,1864-06-10,1864-06-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",,1,0,1,0,0,1,Good,B,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,,,,,,Lee,,1,http://aad.archives.gov/aad//MS014
MS015,Tupelo,Engagement,1864-07-14,1864-07-15,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Forrest's Defense of Mississippi (1864), 06/10/64, II",N/A,1,1,1,1,0,1,Lost,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,B,,,,Lee,,0,http://aad.archives.gov/aad//MS015
MS016,Corinth,Advance & Siege,1862-04-29,1862-06-10,Main Western Theater of Operations & the Gulf Approach (1861-1863),"Shiloh Campaign (1862), 04/01/62, I",,0,1,1,0,0,0,Fair,B,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,"Alcorn, Corinth, City of",,1,http://aad.archives.gov/aad//MS016
NC001,Hatteras Inlet Batteries,Capture,1861-08-28,1861-08-29,Main Eastern Theater of Operation,"Blockade of Carolina Coast (1861), 08/01/61, III",,1,0,0,1,0,1,Poor,C,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,B,,,,Dare,,0,http://aad.archives.gov/aad//NC001
NC002,Roanoke Island,Battle,1862-02-08,1862-02-08,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",,0,0,0,1,0,0,Fair,B,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,B,,,,Dare,,0,http://aad.archives.gov/aad//NC002
NC003,New Berne,Battle,1862-03-14,1862-03-14,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",,0,0,1,0,0,0,Poor,B,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,,D,,,,Cravern,,0,http://aad.archives.gov/aad//NC003
NC004,Fort Macon,Siege,1862-03-23,1862-04-26,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",,1,0,0,1,0,1,Fair,C,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,D,,,,Carteret,,0,http://aad.archives.gov/aad//NC004
NC005,South Mills,Engagement,1862-04-19,1862-04-19,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,D,,,,Camden,,0,http://aad.archives.gov/aad//NC005
NC006,Tranter's Creek,Action,1862-06-05,1862-06-05,Main Eastern Theater of Operation,"Burnside's North Carolina Expedition (1862), 02/07/62, II",,0,0,1,0,0,0,Good,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Pitt,,0,http://aad.archives.gov/aad//NC006
NC007,Kinston,Engagement,1862-12-14,1862-12-14,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",N/A,0,1,1,0,0,0,Lost,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Lenoir,,0,http://aad.archives.gov/aad//NC007
NC008,White Hall [Ferry],Engagement,1862-12-16,1862-12-16,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",,0,0,1,0,0,0,Poor,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Wayne,,0,http://aad.archives.gov/aad//NC008
NC009,Goldsborough Bridge,Engagement,1862-12-17,1862-12-17,Main Eastern Theater of Operation,"Goldsborough Expedition (1862), 12/14/62, III",N/A,0,0,1,0,0,0,Lost,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,D,,,,Wayne,,0,http://aad.archives.gov/aad//NC009
