cwsac,combatant,forces_text,description,armies,artillery_batteries,brigades,cavalry_brigades,cavalry_corps,cavalry_divisions,cavalry_regiments,companies,corps,divisions,gunboats,ironclads,rams,regiments,ships,strength,strength_max,strength_min,wooden_ships
LA009,US,"1st Division, XIX Army Corps and Cavalry Brigade [US]; small combined infantry, artillery, and cavalry force [CS]","1st Division, XIX Army Corps and Cavalry Brigade",,,,,,,,,,1,,,,,,,,,
MS014,CS,"Three-brigade division of infantry and a division of cavalry (about 8,500 ) [US]; cavalry corps [CS]",cavalry corps,,,,,1,,,,,,,,,,,,,,
MS014,US,"Three-brigade division of infantry and a division of cavalry (about 8,500 ) [US]; cavalry corps [CS]","Three-brigade division of infantry and a division of cavalry (about 8,500 )",,,,,,,,,,,,,,,,,8500,8500,
MD008,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
MD008,US,Divisions,,,,,,,,,,,1,,,,,,,,,
GA016,CS,Army of the Cumberland [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA016,US,Army of the Cumberland [US]; Army of Tennessee [CS],Army of the Cumberland,,,,,,,,,,,,,,,,,,,
VA043,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA043,US,Corps,,,,,,,,,,1,,,,,,,,,,
LA020,CS,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron [US]; Green's Cavalry Division [CS]",Green's Cavalry Division,,,,,,1,,,,,,,,,,,,,
LA020,US,"Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron [US]; Green's Cavalry Division [CS]","Provisional division, XVII Army Corps, Army transports, and U.S. Navy Mississippi Squadron",,,,,,,,,,1,,,,,,,,,
GA005,CS,Three divisions [US]; one division [CS],one division,,,,,,,,,,1,,,,,,,,,
GA005,US,Three divisions [US]; one division [CS],Three divisions,,,,,,,,,,3,,,,,,,,,
MD003,CS,Armies,,1,,,,,,,,,,,,,,,,,,
MD003,US,Armies,,1,,,,,,,,,,,,,,,,,,
NC018,CS,"Kilpatrick's Cavalry Division (1,850) [US]; Wheeler's and Hampton's Cavalry Division (3,000) [CS]","Wheeler's and Hampton's Cavalry Division (3,000)",,,,,,,,,,,,,,,,,3000,3000,
NC018,US,"Kilpatrick's Cavalry Division (1,850) [US]; Wheeler's and Hampton's Cavalry Division (3,000) [CS]","Kilpatrick's Cavalry Division (1,850)",,,,,,,,,,,,,,,,,1850,1850,
MS008,CS,Army of the Tennessee [US]; Jackson Garrison [CS],Jackson Garrison,,,,,,,,,,,,,,,,,,,
MS008,US,Army of the Tennessee [US]; Jackson Garrison [CS],Army of the Tennessee,1,,,,,,,,,,,,,,,,,,
VA069,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA069,US,Corps,,,,,,,,,,1,,,,,,,,,,
AL004,CS,"Garrison and other troops sent there (approx. 5,000 men) [US]; Army of Tennessee [CS]",Army of Tennessee,1,,,,,,,,,,,,,,,,,,
AL004,US,"Garrison and other troops sent there (approx. 5,000 men) [US]; Army of Tennessee [CS]","Garrison and other troops sent there (approx. 5,000 men)",,,,,,,,,,,,,,,,,5000,5000,
GA026,CS,"3rd Cavalry Division, Military Division of the Mississippi [US]; cavalry corps, Department of South Carolina, Georgia, and Florida [CS]","cavalry corps, Department of South Carolina, Georgia, and Florida",,,,,1,,,,,,,,,,,,,,
GA026,US,"3rd Cavalry Division, Military Division of the Mississippi [US]; cavalry corps, Department of South Carolina, Georgia, and Florida [CS]","3rd Cavalry Division, Military Division of the Mississippi",,,,,,,,,,1,,,,,,,,,
NM002,CS,"Northern Division, Army of New Mexico [US]; 4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers [CS]","4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers",,,,,,,,,,,,,,3,,,,,
NM002,US,"Northern Division, Army of New Mexico [US]; 4th, 5th, and 7th Texas Cavalry Regiment, artillery, and a company of independent volunteers [CS]","Northern Division, Army of New Mexico",,,,,,,,,,1,,,,,,,,,
MO028,CS,"Two brigades, provisional cavalry division [US]; Army of Missouri [CS]",Army of Missouri,1,,,,,,,,,,,,,,,,,,
MO028,US,"Two brigades, provisional cavalry division [US]; Army of Missouri [CS]","Two brigades, provisional cavalry division",,,2,,,1,,,,,,,,,,,,,
VA090,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA090,US,Divisions,,,,,,,,,,,1,,,,,,,,,
KS004,CS,Provisional cavalry division [US]; cavalry division [CS],cavalry division,,,,,,1,,,,,,,,,,,,,
KS004,US,Provisional cavalry division [US]; cavalry division [CS],Provisional cavalry division,,,,,,1,,,,,,,,,,,,,
FL005,CS,Division [US]; District of East Florida [CS],District of East Florida,,,,,,,,,,,,,,,,,,,
FL005,US,Division [US]; District of East Florida [CS],Division,,,,,,,,,,1,,,,,,,,,
VA042,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA042,US,Divisions,,,,,,,,,,,1,,,,,,,,,
TN008,CS,"39th Brigade, XIV Army Corps (Army of the Cumberland) [US]; expeditionary force (two brigades) [CS]",expeditionary force (two brigades),,,2,,,,,,,,,,,,,,,,
TN008,US,"39th Brigade, XIV Army Corps (Army of the Cumberland) [US]; expeditionary force (two brigades) [CS]","39th Brigade, XIV Army Corps (Army of the Cumberland)",,,1,,,,,,,,,,,,,,,,
WV009,CS,"District of the Kanawha [US]; Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia [CS]","Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia",,,,,,,,,,,,,,,,,,,
WV009,US,"District of the Kanawha [US]; Army of East Kentucky and Col. Gabriel C. Wharton's Brigade, Department of Southwest Virginia [CS]",District of the Kanawha,,,,,,,,,,,,,,,,,,,
AR015,CS,Infantry brigade [US]; two divisions [CS],two divisions,,,,,,,,,,2,,,,,,,,,
AR015,US,Infantry brigade [US]; two divisions [CS],Infantry brigade,,,1,,,,,,,,,,,,,,,,
VA081,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA081,US,Divisions,,,,,,,,,,,1,,,,,,,,,
ND002,US,District of Minnesota [US]; Santee and Teton Sioux [I],District of Minnesota,,,,,,,,,,,,,,,,,,,
ND002,I,District of Minnesota [US]; Santee and Teton Sioux [I],Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,
VA001,CS,Two gunboats [US]; battery garrison [CS],battery garrison,,,,,,,,,,,,,,,,,,,
VA001,US,Two gunboats [US]; battery garrison [CS],Two gunboats,,,,,,,,,,,2,,,,,,,,
PA002,CS,"158,300 total (US 83,289; CS 75,054)","75,054",,,,,,,,,,,,,,,,,75054,75054,
PA002,US,"158,300 total (US 83,289; CS 75,054)","83,289",,,,,,,,,,,,,,,,,83289,83289,
OK007,CS,"District of the Frontier [US]; 1st Brigade, Native American troops [CS]","1st Brigade, Native American troops",,,1,,,,,,,,,,,,,,,,
OK007,US,"District of the Frontier [US]; 1st Brigade, Native American troops [CS]",District of the Frontier,,,,,,,,,,,,,,,,,,,
MS009,CS,Army of the Tennessee (three corps) [US]; Department of Mississippi and East Louisiana [CS],Department of Mississippi and East Louisiana,,,,,,,,,,,,,,,,,,,
MS009,US,Army of the Tennessee (three corps) [US]; Department of Mississippi and East Louisiana [CS],Army of the Tennessee (three corps),,,,,,,,,3,,,,,,,,,,
VA015,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA015,US,Corps,,,,,,,,,,1,,,,,,,,,,
TX003,CS,"Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships [US]; four Confederate gunboats and district of Texas, New Mexico, and Arizona troops [CS]","four Confederate gunboats and district of Texas, New Mexico, and Arizona troops",,,,,,,,,,,,,,,4,,,,
TX003,US,"Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships [US]; four Confederate gunboats and district of Texas, New Mexico, and Arizona troops [CS]","Companies D, G and I, 42nd Massachusetts Volunteer Infantry Regiment and the Blockading ships",,,,,,,,,,,,,,1,,,,,
KY010,CS,Union Garrison (approx. 650 men) [US]; Forrest's Cavalry Department [CS],Forrest's Cavalry Department,,,,,,,,,,,,,,,,,,,
KY010,US,Union Garrison (approx. 650 men) [US]; Forrest's Cavalry Department [CS],Union Garrison (approx. 650 men),,,,,,,,,,,,,,,,,650,650,
AR012,CS,"3rd Division, VII Corps and 2 cavalry brigades [US]; 3 cavalry brigades [CS]",3 cavalry brigades,,,,3,,,,,,,,,,,,,,,
AR012,US,"3rd Division, VII Corps and 2 cavalry brigades [US]; 3 cavalry brigades [CS]","3rd Division, VII Corps and 2 cavalry brigades",,,,2,,,,,,1,,,,,,,,,
WV010,CS,Corps,,,,,,,,,,1,,,,,,,,,,
WV010,US,Corps,,,,,,,,,,1,,,,,,,,,,
VA007,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA007,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA068,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA068,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA063,CS,"104,000 total (US 62,000; CS 42,000)","42,000",,,,,,,,,,,,,,,,,42000,42000,
VA063,US,"104,000 total (US 62,000; CS 42,000)","62,000",,,,,,,,,,,,,,,,,62000,62000,
NC008,CS,Amory's and Stevenson's Brigades [US]; Robertson's Brigade [CS],Robertson's Brigade,,,1,,,,,,,,,,,,,,,,
NC008,US,Amory's and Stevenson's Brigades [US]; Robertson's Brigade [CS],Amory's and Stevenson's Brigades,,,2,,,,,,,,,,,,,,,,
GA025,CS,"2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry [US]; 1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida [CS]","1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida",,,,,,,,,,1,,,,,,,,,
GA025,US,"2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry [US]; 1st Division Georgia Militia and Cavalry Corps, Department of South Carolina, Georgia, and Florida [CS]","2nd Brigade, 1st Division, XV Corps, Army of the Tennessee and two regiments of cavalry",,,1,,,,2,,,,,,,,,,,,
VA065,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA065,US,Corps,,,,,,,,,,1,,,,,,,,,,
TN029,CS,"Cavalry Division, Cavalry Corps, Army of the Ohio [US]; Cavalry Division, Department of East Tennessee [CS]","Cavalry Division, Department of East Tennessee",,,,,,1,,,,,,,,,,,,,
TN029,US,"Cavalry Division, Cavalry Corps, Army of the Ohio [US]; Cavalry Division, Department of East Tennessee [CS]","Cavalry Division, Cavalry Corps, Army of the Ohio",,,,,,1,,,,,,,,,,,,,
TN004,CS,"U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch [US]; C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel [CS]","C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel",,,,,,,,,,,,,8,,,,,,
TN004,US,"U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch [US]; C.S. Navy Rams General Beauregard, General Bragg, General Price, General Van Dorn, General Thompson, Colonel Lovell, Sumter, and Little Rebel [CS]","U.S. Ironclads Benton, Louisville, Carondelet, Cairo, and St. Louis and U.S. Army Rams Queen of the West and Monarch",,,,,,,,,,,,5,2,,,,,,
VA041,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA041,US,Brigades,,,,1,,,,,,,,,,,,,,,,
MO019,CS,"Detachment of infantry, cavalry, and artillery (approx. 700) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","4th Division, I Corps, Trans-Mississippi Department",,,,,,,,,,1,,,,,,,,,
MO019,US,"Detachment of infantry, cavalry, and artillery (approx. 700) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","Detachment of infantry, cavalry, and artillery (approx. 700)",,,,,,,,,,,,,,,,,700,700,
FL003,CS,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573) [US]; a small artillery and cavalry force [CS]",a small artillery and cavalry force,,,,,,,,,,,,,,,,,,,
FL003,US,"Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573) [US]; a small artillery and cavalry force [CS]","Expeditionary Force: 2 infantry regiments, a light artillery battery and detachment of the 1st Massachusetts Cavalry (total force 1,573)",,,,,,,,,,,,,,,,,1573,1573,
IN001,CS,"2,200 total (US 400; CS 1,800)","1,800",,,,,,,,,,,,,,,,,1800,1800,
IN001,US,"2,200 total (US 400; CS 1,800)",400,,,,,,,,,,,,,,,,,400,400,
SC002,CS,"8,600 total (US 6,600; CS 2,000)","2,000",,,,,,,,,,,,,,,,,2000,2000,
SC002,US,"8,600 total (US 6,600; CS 2,000)","6,600",,,,,,,,,,,,,,,,,6600,6600,
MO009,CS,Division [US]; division [CS],division,,,,,,,,,,1,,,,,,,,,
MO009,US,Division [US]; division [CS],Division,,,,,,,,,,1,,,,,,,,,
MO022,CS,Garrison (800) [US]; unknown [CS],unknown,,,,,,,,,,,,,,,,,,,
MO022,US,Garrison (800) [US]; unknown [CS],Garrison (800),,,,,,,,,,,,,,,,,800,800,
MS003,CS,"Right Wing, XIII Army Corps [US]; Department of Mississippi and East Louisiana [CS]",Department of Mississippi and East Louisiana,,,,,,,,,,,,,,,,,,,
MS003,US,"Right Wing, XIII Army Corps [US]; Department of Mississippi and East Louisiana [CS]","Right Wing, XIII Army Corps",,,,,,,,,0.5,,,,,,,,,,
VA074,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA074,US,Corps,,,,,,,,,,1,,,,,,,,,,
WV002,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV002,US,Brigades,,,,1,,,,,,,,,,,,,,,,
AR010,CS,"Cavalry Division, Army of Arkansas, Arkansas Expedition [US]; District of Arkansas [CS]",District of Arkansas,,,,,,,,,,,,,,,,,,,
AR010,US,"Cavalry Division, Army of Arkansas, Arkansas Expedition [US]; District of Arkansas [CS]","Cavalry Division, Army of Arkansas, Arkansas Expedition",,,,,,2,,,,,,,,,,,,,
MS011,CS,Army of the Tennessee [US]; Army of Vicksburg [CS],Army of Vicksburg,1,,,,,,,,,,,,,,,,,,
MS011,US,Army of the Tennessee [US]; Army of Vicksburg [CS],Army of the Tennessee,1,,,,,,,,,,,,,,,,,,
TN024,CS,Military Division of the Mississippi [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
TN024,US,Military Division of the Mississippi [US]; Army of Tennessee [CS],Military Division of the Mississippi,,,,,,,,,,,,,,,,,,,
ND005,US,"Detachments from eight units (2,200) [US]; Santee and Teton Sioux [I]","Detachments from eight units (2,200)",,,,,,,,,,,,,,,,,2200,2200,
ND005,I,"Detachments from eight units (2,200) [US]; Santee and Teton Sioux [I]",Santee and Teton Sioux,,,,,,,,,,,,,,,,,,,
MO015,CS,Detachments from fourteen companies of cavalry and a section of artillery (800 men) [US]; unknown [CS],unknown,,,,,,,,,,,,,,,,,,,
MO015,US,Detachments from fourteen companies of cavalry and a section of artillery (800 men) [US]; unknown [CS],Detachments from fourteen companies of cavalry and a section of artillery (800 men),,,,,,,,,,,,,,,,,800,800,
VA088,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA088,US,Corps,,,,,,,,,,1,,,,,,,,,,
MO018,CS,"Southwestern District of Missouri Troops (2,000) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","4th Division, I Corps, Trans-Mississippi Department",,,,,,,,,,1,,,,,,,,,
MO018,US,"Southwestern District of Missouri Troops (2,000) [US]; 4th Division, I Corps, Trans-Mississippi Department [CS]","Southwestern District of Missouri Troops (2,000)",,,,,,,,,,,,,,,,,2000,2000,
AR009,CS,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery [US]; Cabell's Brigade [CS]",Cabell's Brigade,,,1,,,,,,,,,,,,,,,,
AR009,US,"2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery [US]; Cabell's Brigade [CS]","2nd Kansas Cavalry, 6th Missouri Cavalry, and two sections of Rabb's 2nd Indiana Battery",,,,,,,2,,,,,,,,,,,,
VA094,CS,Corps,,,,,,,,,,1,,,,,,,,,,
VA094,US,Corps,,,,,,,,,,1,,,,,,,,,,
MD007,CS,Corps,,,,,,,,,,1,,,,,,,,,,
MD007,US,Corps,,,,,,,,,,1,,,,,,,,,,
MO008,CS,Prairie Scouts and Frémont's Body Guard [US]; Missouri State Guard troops [CS],Missouri State Guard troops,,,,,,,,,,,,,,,,,,,
MO008,US,Prairie Scouts and Frémont's Body Guard [US]; Missouri State Guard troops [CS],Prairie Scouts and Frémont's Body Guard,,,,,,,,,,,,,,,,,,,
VA079,CS,"Corps (35,000 total)",,,,,,,,,,,,,,,,,,,,
VA079,US,"Corps (35,000 total)",,,,,,,,,,,,,,,,,,,,
KY004,CS,"32nd Indiana Volunteer Infantry Regiment [US]; Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men) [CS]","Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men)",,,,,,,,,,,,,,,,,1350,1350,
KY004,US,"32nd Indiana Volunteer Infantry Regiment [US]; Terry's Texas Rangers, 7th Texas Cavalry and 1st Arkansas Battalion (approx. 1,350 men) [CS]",32nd Indiana Volunteer Infantry Regiment,,,,,,,,,,,,,,1,,,,,
VA035,CS,"Corps (22,000 total)",,,,,,,,,,,,,,,,,,,,
VA035,US,"Corps (22,000 total)",,,,,,,,,,,,,,,,,,,,
NC012,CS,Plymouth Garrison (4 infantry and artillery units) [US]; Hoke's Division [CS],Hoke's Division,,,,,,,,,,1,,,,,,,,,
NC012,US,Plymouth Garrison (4 infantry and artillery units) [US]; Hoke's Division [CS],Plymouth Garrison (4 infantry and artillery units),,,,,,,,,,,,,,4,,,,,
VA038,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA038,US,Divisions,,,,,,,,,,,1,,,,,,,,,
VA101,CS,"12,300 total (US 8,500; CS 3,800)","3,800",,,,,,,,,,,,,,,,,3800,3800,
VA101,US,"12,300 total (US 8,500; CS 3,800)","8,500",,,,,,,,,,,,,,,,,8500,8500,
KY005,CS,18th Brigade [US]; brigade [CS],brigade,,,1,,,,,,,,,,,,,,,,
KY005,US,18th Brigade [US]; brigade [CS],18th Brigade,,,1,,,,,,,,,,,,,,,,
LA016,CS,"2nd Division, XIII Army Corps [US]; forces on the Atchafalaya River [CS]",forces on the Atchafalaya River,,,,,,,,,,,,,,,,,,,
LA016,US,"2nd Division, XIII Army Corps [US]; forces on the Atchafalaya River [CS]","2nd Division, XIII Army Corps",,,,,,,,,,1,,,,,,,,,
VA064,CS,"Corps (44,000 total)",,,,,,,,,,,,,,,,,,,,
VA064,US,"Corps (44,000 total)",,,,,,,,,,,,,,,,,,,,
VA054,CS,"Divisions (10,000 total)",,,,,,,,,,,,,,,,,,,,
VA054,US,"Divisions (10,000 total)",,,,,,,,,,,,,,,,,,,,
TN006,CS,"Detachments from four Union units (approx. 900) [US]; equivalent of a brigade (about five cavalry units; approx. 1,400) [CS]","equivalent of a brigade (about five cavalry units; approx. 1,400)",,,,,,,,,,,,,,,,,1400,1400,
TN006,US,"Detachments from four Union units (approx. 900) [US]; equivalent of a brigade (about five cavalry units; approx. 1,400) [CS]",Detachments from four Union units (approx. 900),,,,,,,,,,,,,,,,,900,900,
AL002,CS,9th Illinois Mounted Infantry [US]; 1st Alabama Cavalry [CS],1st Alabama Cavalry,,,,,,,1,,,,,,,,,,,,
AL002,US,9th Illinois Mounted Infantry [US]; 1st Alabama Cavalry [CS],9th Illinois Mounted Infantry,,,,,,,,,,,,,,1,,,,,
VA052,CS,Divisions,,,,1,,,,,,,,,,,,,,,,
VA052,US,Divisions,,,,1,,,,,,,,,,,,,,,,
VA108,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
VA108,US,Divisions,,,,,,,,,,,1,,,,,,,,,
GA006,CS,Army of the Cumberland [US]; Army of Tennessee [CS],Army of Tennessee,1,,,,,,,,,,,,,,,,,,
GA006,US,Army of the Cumberland [US]; Army of Tennessee [CS],Army of the Cumberland,1,,,,,,,,,,,,,,,,,,
AR007,CS,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil [US]; Marmaduke's Cavalry Division [CS]",Marmaduke's Cavalry Division,,,,,,1,,,,,,,,,,,,,
AR007,US,"2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil [US]; Marmaduke's Cavalry Division [CS]","2nd Division, Army of the Frontier and force under command of Brig. Gen. John McNeil",,,,,,,,,,1,,,,,,,,,
PA001,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
PA001,US,Brigades,,,,1,,,,,,,,,,,,,,,,
GA020,CS,District of Etowah [US]; Wheeler's cavalry force [CS],Wheeler's cavalry force,,,,,,,,,,,,,,,,,,,
GA020,US,District of Etowah [US]; Wheeler's cavalry force [CS],District of Etowah,,,,,,,,,,,,,,,,,,,
AL001,CS,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry [US]; three regiments [CS]",three regiments,,,,,,,,,,,,,,3,,,,,
AL001,US,"Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry [US]; three regiments [CS]","Men from 51st Indiana Infantry, 73rd Indiana Infantry, 3rd Ohio Infantry, 80th Illinois Infantry, and 1st Middle Tennessee Cavalry",,,,,,,,,,,,,,5,,,,,
KY007,CS,"1st and 2nd Brigades, Army of Kentucky [US]; Army of Kentucky [CS]",Army of Kentucky,1,,,,,,,,,,,,,,,,,,
KY007,US,"1st and 2nd Brigades, Army of Kentucky [US]; Army of Kentucky [CS]","1st and 2nd Brigades, Army of Kentucky",,,2,,,,,,,,,,,,,,,,
VA121,CS,"9,800 total (US 6,300; CS 3,500)","3,500",,,,,,,,,,,,,,,,,3500,3500,
VA121,US,"9,800 total (US 6,300; CS 3,500)","6,300",,,,,,,,,,,,,,,,,6300,6300,
VA113,CS,"Divisions (4,000 total)",,,,,,,,,,,,,,,,,,,,
VA113,US,"Divisions (4,000 total)",,,,,,,,,,,,,,,,,,,,
NC005,CS,21st Massachusetts and 51st Pennsylvania [US]; 3rd Georgia [CS],3rd Georgia,,,,,,,,,,,,,,1,,,,,
NC005,US,21st Massachusetts and 51st Pennsylvania [US]; 3rd Georgia [CS],21st Massachusetts and 51st Pennsylvania,,,,,,,,,,,,,,2,,,,,
VA070,CS,IX Corps [US]; elements of the Army of Northern Virginia [CS],elements of the Army of Northern Virginia,,,,,,,,,,,,,,,,,,,
VA070,US,IX Corps [US]; elements of the Army of Northern Virginia [CS],IX Corps,,,,,,,,,,,,,,,,,,,
VA030,CS,"Divisions (45,000 total)",,,,,,,,,,,,,,,,,,,,
VA030,US,"Divisions (45,000 total)",,,,,,,,,,,,,,,,,,,,
MD004,CS,Divisions,,,,,,,,,,,1,,,,,,,,,
MD004,US,Divisions,,,,,,,,,,,1,,,,,,,,,
TN003,CS,"Army of the Tennessee and Army of the Ohio (65,085) [US]; Army of the Mississippi (44,968) [CS]","Army of the Mississippi (44,968)",,,,,,,,,,,,,,,,,44968,44968,
TN003,US,"Army of the Tennessee and Army of the Ohio (65,085) [US]; Army of the Mississippi (44,968) [CS]","Army of the Tennessee and Army of the Ohio (65,085)",,,,,,,,,,,,,,,,,65085,65085,
MO001,CS,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700) [US]; State Guard Troops [CS]",State Guard Troops,,,,,,,,,,,,,,,,,,,
MO001,US,"Combined force of Missouri troops and Regular U.S. Army (approx. 1,700) [US]; State Guard Troops [CS]","Combined force of Missouri troops and Regular U.S. Army (approx. 1,700)",,,,,,,,,,,,,,,,,1700,1700,
WV016,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV016,US,Brigades,,,,1,,,,,,,,,,,,,,,,
LA003,CS,"2nd Brigade, Department of the Gulf [US]; Breckinridge's Corps [CS]",Breckinridge's Corps,,,,,,,,,1,,,,,,,,,,
LA003,US,"2nd Brigade, Department of the Gulf [US]; Breckinridge's Corps [CS]","2nd Brigade, Department of the Gulf",,,1,,,,,,,,,,,,,,,,
VA122,CS,"52,945 total (US 31,945; CS 21,000)","21,000",,,,,,,,,,,,,,,,,21000,21000,
VA122,US,"52,945 total (US 31,945; CS 21,000)","31,945",,,,,,,,,,,,,,,,,31945,31945,
VA008,CS,4 warships [US]; 1 warship [CS],1 warship,,,,,,,,,,,,,,,1,,,,
VA008,US,4 warships [US]; 1 warship [CS],4 warships,,,,,,,,,,,,,,,4,,,,
TN022,CS,"3rd Cavalry Brigade (850) [US]; cavalry division (2,500) [CS]","cavalry division (2,500)",,,,,,,,,,,,,,,,,2500,2500,
TN022,US,"3rd Cavalry Brigade (850) [US]; cavalry division (2,500) [CS]",3rd Cavalry Brigade (850),,,,,,,,,,,,,,,,,850,850,
VA119,CS,"54,440 total(US 39,240; CS 15,200)","15,200",,,,,,,,,,,,,,,,,15200,15200,
VA119,US,"54,440 total(US 39,240; CS 15,200)","39,240",,,,,,,,,,,,,,,,,39240,39240,
VA039,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
VA039,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA104,CS,"22,500 total (US 6,500; CS 16,000)","16,000",,,,,,,,,,,,,,,,,16000,16000,
VA104,US,"22,500 total (US 6,500; CS 16,000)","6,500",,,,,,,,,,,,,,,,,6500,6500,
LA023,CS,"1st and 3rd Divisions, XVI Army Corps [US]; District of Western Louisiana [CS]",District of Western Louisiana,,,,,,,,,,,,,,,,,,,
LA023,US,"1st and 3rd Divisions, XVI Army Corps [US]; District of Western Louisiana [CS]","1st and 3rd Divisions, XVI Army Corps",,,,,,,,,,2,,,,,,,,,
TX001,CS,"Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James [US]; Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away [CS]",Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away,,,,,,,,,,,,,,,,,55,55,
TX001,US,"Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James [US]; Fort Griffith Garrison (30) and 25 mounted men 3 1/2 miles away [CS]","Steamer Kensington, Schooner Rachel Seaman, and Mortar Schooner Henry James",,,,,,,,,,,,,,,3,,,,
VA028,CS,"172,504 total (US 100,007; CS 72,497)","72,497",,,,,,,,,,,,,,,,,72497,72497,
VA028,US,"172,504 total (US 100,007; CS 72,497)","100,007",,,,,,,,,,,,,,,,,100007,100007,
TX006,CS,4 gunboats and 7 transports loaded with troops [US]; Texan Davis Guards (44 men) [CS],Texan Davis Guards (44 men),,,,,,,,,,,,,,,,,44,44,
TX006,US,4 gunboats and 7 transports loaded with troops [US]; Texan Davis Guards (44 men) [CS],4 gunboats and 7 transports loaded with troops,,,,,,,,,,,,,,,11,,,,
WV007,CS,Brigades,,,,1,,,,,,,,,,,,,,,,
WV007,US,Brigades,,,,1,,,,,,,,,,,,,,,,
VA098,CS,"7,000 total (US 4,500; CS 2,500)","2,500",,,,,,,,,,,,,,,,,,,
VA098,US,"7,000 total (US 4,500; CS 2,500)","4,500",,,,,,,,,,,,,,,,,4500,4500,
LA002,CS,Department of the Gulf [US]; Department No. 1 [CS],Department No. 1,,,,,,,,,,,,,,,,,,,
