battle,combatant,fullname,rank
MS005,US,"Francis P. Blair , Jr.",Major General
MS005,US,K. Randolph Breese,Lieutenant Commander
VA029,CS,Fitzhugh Lee,Brigadier General
VA029,US,William W. Averell,Brigadier General
MS009,CS,John C. Pemberton,Lieutenant General
MS009,US,Ulysses S. Grant,Major General
NC015,CS,Braxton Bragg,General
NC015,CS,Robert Hoke,Major General
NC015,CS,Charles Lamb,Colonel
NC015,US,David D. Porter,Rear Admiral
NC015,US,Alfred Terry,Major General
ND004,US,Alfred Sully,Brigadier General
ND004,I,Inkpaduta,Chief
VA065,CS,A.P. Hill,Major General
VA065,US,David B. Birney,Major General
VA065,US,Horatio Wright,Major General
GA002,CS,George A. Anderson,Captain
GA002,US,Samuel F. Du Pont,Rear Admiral
VA095,CS,Thomas Rosser,Major General
VA095,CS,William Mahone,Major General
VA095,US,T. Read,Colonel
VA095,US,A.A. Humphreys,Major General
MO013,CS,Joseph C. Porter,Lieutenant Colonel
MO013,US,John McNeil,Colonel
MO013,US,Alexander M. Woolfolk,Lieutenant Colonel
MO013,US,James McFerran,Colonel
TN031,CS,Nathan Bedford Forrest,Brigadier General
TN031,US,Cadwallader C. Washburn,Major General
GA009,CS,Benjamin F. Cheatham,Major General
GA009,US,Oliver O. Howard,Major General
VA097,CS,Robert E. Lee,General
VA097,US,Ulysses S. Grant,Lieutenant General
WV015,CS,Jubal Early,Lieutenant General
WV015,US,Wesley Merritt,Brevet Major General
VA077,CS,Robert E. Lee,General
VA077,US,A. Kautz,Brigadier General
VA077,US,David Birney,Major General
GA011,CS,William T. Sherman,Major General
GA011,CS,John A. Logan Lieutenant General William J. Hardee,Major General
MO020,CS,John S. Marmaduke,Brigadier General
MO020,US,John McNeil,Brigadier General
TX001,CS,J.S. Irvine,Major
TX001,US,Frederick Crocker,Acting Master
MD001,CS,Thomas J. Jackson,Major General
MD001,US,F.W. Lander,Brigadier General
KY002,CS,Felix Zollicoffer,Brigadier General
KY002,US,Albin F. Schoepf,Brigadier General
VA001,CS,Walter Gwynn,Brigadier General
VA001,CS,Peyton Colquitt,Captain
VA001,US,D.L. Braine U.S.N.,Lieutenant
TN013,CS,Earl Van Dorn,Major General
TN013,US,John Coburn,Colonel
ND005,US,Alfred Sully,Brigadier General
ND005,I,Inkpaduta,Chief
TN019,CS,James E. Carter,Colonel
TN019,US,John W. Foster,Colonel
WV009,CS,Humphrey Marshall,Brigadier General
WV009,US,Jacob D. Cox,Brigadier General
VA045,CS,Richard S. Ewell,Lieutenant General
VA045,US,John C. Caldwell,Major General
TN010,CS,Braxton Bragg,General
TN010,US,William S. Rosecrans,Major General
VA066,CS,Wade Hampton,Major General
VA066,US,Philip Sheridan,Major General
MS010,CS,John S. Bowen,Brigadier General
MS010,CS,John Vaughn,Brigadier General
MS010,US,John A. McClernand,Major General
NC005,CS,Ambrose Wright,Colonel
NC005,US,Jesse Reno,Brigadier General
VA068,CS,William Mahone,Major General
VA068,CS,Fitzhugh Lee,Major General
VA068,US,James Wilson,Major General
VA068,US,August Kautz,Brigadier General
AR018,CS,John S. Marmaduke,Brigadier General
AR018,US,John W. Davidson,Brigadier General
TN023,CS,James Longstreet,Lieutenant General
TN023,US,Ambrose E. Burnside,Major General
MD006,CS,J.E.B. Stuart,Major General
MD006,US,Alfred Pleasonton,Major General
MO003,US,John Scott,Lieutenant Colonel
SC009,CS,Pierre G. T. Beauregard,General
SC009,CS,Lawrence M. Keitt,Colonel
SC009,CS,Henry R. Lesesne,Captain
SC009,US,Quincy A. Gilmore,Major General
SC009,US,John A. Dahlgren,Rear Admiral
MS007,CS,John Gregg,Brigadier General
MS007,US,James B. McPherson,Major General
FL001,CS,Richard H. Anderson,Brigadier General
FL001,US,Harvey Brown,Colonel
SC011,CS,Lafayette McLaws,Major General
SC011,US,"Francis P. Blair , Jr.",Major General
SC011,US,John A. Logan,Major General
AR003,CS,Albert Rust,Brigadier General
AR003,CS,William H. Parsons,Colonel
AR003,US,Charles Hovey,Colonel
AR003,US,William P. Benton,Brigadier General
VA025,CS,James Longstreet,Lieutenant General
VA025,US,James Ricketts,Brigadier General
TX003,CS,John B. Magruder,Major General
TX003,US,Isaac S. Burrell,Colonel
TX003,US,William B. Renshaw,Commander
VA125,CS,Judson Kilpatrick,Brigadier General
VA125,CS,Ulric Dahlgren,Colonel
VA125,US,Wade Hampton,Major General
VA049,CS,Albert Jenkins,Brigadier General
VA049,US,George Crook,Brigadier General
TN029,CS,William T. Martin,Major General
TN029,US,Samuel D. Sturgis,Brigadier General
TN029,US,Edward M. McCook,Colonel
MO027,CS,Sterling Price,Major General
MO027,US,Samuel R. Curtis,Major General
VA022,CS,Thomas J. Jackson,Major General
VA022,US,Nathaniel Banks,Major General
VA006,CS,Nathan G. Evans,Brigadier General
VA006,US,Charles P. Stone,Brigadier General
VA006,US,Edward Baker,Colonel
VA086,CS,George Pickett,Major General
VA086,CS,Fitzhugh Lee,Major General
VA086,US,Philip Sheridan,Major General
CO001,US,John Chivington,Colonel
MO019,CS,John S. Marmaduke,Brigadier General
MO019,US,Samuel Merrill,Colonel
VA085,CS,Bushrod R. Johnson,Major General
VA085,US,G.K. Warren,Major General
WV013,CS,Bradley T. Johnson,Brigadier General
WV013,US,William W. Averell,Brigadier General
VA101,CS,Thomas J. Jackson,Major General
VA101,US,Nathan Kimball,Colonel
NC014,CS,General Robert Hoke,Major
NC014,US,Benjamin Butler,Major General
NC014,US,David D. Porter,Rear Admiral
VA070,CS,Robert E. Lee,General
VA070,US,Ambrose E. Burnside,Major General
VA102,CS,Thomas J. Jackson,Major General
VA102,US,Robert Milroy,Brigadier General
VA102,US,Robert Schenck,Brigadier General
FL003,CS,Charles F. Hopkins,Lieutenant Colonel
FL003,US,John M. Brannan,Brigadier General
FL003,US,Charles Steedman,Commander
VA054,CS,P.G.T. Beauregard,General
VA054,US,Benjamin Butler,Major General
TX006,CS,Richard W. Dowling,Lieutenant
TX006,US,William B. Franklin,Major General
TX006,US,Frederick Crocker,Captain
VA016,CS,Robert E. Lee,General
VA016,US,Fitz John Porter,Brigadier General
VA028,CS,Robert E. Lee,General
VA028,US,Ambrose E. Burnside,Major General
GA015,CS,Joseph E. Johnston,General
GA015,US,William T. Sherman,Major General
TN035,CS,John Bell Hood,General
TN035,US,John M. Schofield,Major General
VA032,CS,Robert E. Lee,General
VA032,CS,Thomas J. Jackson,Major General
VA032,US,Joseph Hooker,Major General
KS004,CS,James F. Fagan,Major General
KS004,CS,John S. Marmaduke,Brigadier General
KS004,US,Alfred Pleasonton,Major General
MO017,CS,John Q. Burbridge,Colonel
MO017,US,Hiram E. Barstow,Captain
MS002,CS,Earl Van Dorn,Major General
MS002,US,William S. Rosencrans,Major General
TN038,CS,John Bell Hood,General
TN038,US,George H. Thomas,Major General
OK003,CS,Douglas H. Cooper,Colonel
OK003,US,Opothleyahola,Chief
TN030,CS,Nathan Bedford Forrest,Major General
TN030,US,Lionel F. Booth,Major
TN030,US,William F. Bradford,Major
VA038,CS,Wade Hampton,Brigadier General
VA038,CS,Beverly Robertson,Brigadier General
VA038,US,Alfred Pleasonton,Major General
VA064,CS,Jubal A. Early,Lieutenant General
VA064,US,David Hunter,Major General
TN018,US,John T. Wilder,Colonel
GA007,CS,Joseph E. Johnston,General
GA007,US,William T. Sherman,Major General
OK001,CS,Douglas H. Cooper,Colonel
OK001,US,Opothleyahola,Chief
AR012,CS,John S. Marmaduke,Brigadier General
AR012,US,Frederick Steele,Major General
TX005,CS,"John S. ""Rip"" Ford",Colonel
TX005,US,Theodore H. Barrett,Colonel
VA067,CS,Wade Hampton,Major General
VA067,US,James Wilson,Brigadier General
VA067,US,August Kautz,Brigadier General
MO005,CS,Sterling Price,Brigadier General
MO005,US,James M. Lane,Brigadier General
KY005,CS,Humphrey Marshall,Brigadier General
KY005,US,James Garfield,Colonel
VA103,CS,Thomas J. Jackson,Major General
VA103,US,John R. Kenly,Colonel
VA008,CS,Franklin Buchanan,Captain
VA008,CS,Catesby R. Jones,Lieutenant
VA008,US,John Worden,Lieutenant
LA022,CS,Richard Taylor,Major General
LA022,US,Nathaniel P. Banks,Major General
VA087,CS,Robert E. Lee,General
VA087,CS,Richard H. Anderson,Lieutenant General
VA087,US,G.K. Warren,Major General
MS008,CS,John Gregg,Brigadier General
MS008,US,William T. Sherman,Major General
MS008,US,James B. McPherson,Major General
VA042,CS,J.E.B. Stuart,Major General
VA042,US,J. Kilpatrick,Major General
GA026,CS,Joseph Wheeler,Major General
GA026,US,Judson Kilpatrick,Brigadier General
NC003,US,Ambrose Burnside,Brigadier General
NC003,US,Stephen C. Rowan,Commander
NC011,CS,D. H. Hill,Major General
NC011,US,John G. Foster,Brigadier General
NC011,US,Henry K. Davenport,Commander
VA021,CS,Robert E. Lee,General
VA021,US,George B. McClellan,Major General
LA012,CS,James P. Major,Colonel
LA012,US,Albert Stickney,Lieutenant Colonel
VA003,CS,John B. Magruder,Colonel
VA003,CS,D.H. Hill,Colonel
VA003,US,Ebenezer Pierce,Brigadier General
SC006,CS,Johnson Hagood,Brigadier General
SC006,US,Alfred H. Terry,Brigadier General
SC006,US,George B. Balch,Commander
VA011,CS,Gustavius W. Smith,Major General
VA011,US,William B. Franklin,Brigadier General
VA046,CS,Robert E. Lee,General
VA046,US,Ulysses S. Grant,Lieutenant General
VA046,US,George G. Meade,Major General
MS004,CS,John S. Bowen,Brigadier General
MS004,US,David D. Porter,Rear Admiral
TN036,CS,John B. Hood,General
TN036,US,John M. Schofield,Major General
WV008,CS,Edward Johnson,Colonel
WV008,US,Robert Milroy,Brigadier General
MO006,CS,Sterling Price,Major General
MO006,US,James A. Mulligan,Colonel
VA083,CS,John B. Gordon,Major General
VA083,US,A.A. Humphreys,Major General
VA083,US,G.K. Warren,Major General
MN002,US,Henry Hastings Sibley,Colonel
MN002,I,Little Crow,Chief
VA010,CS,James Longstreet,Major General
VA010,US,George B. McClellan,Major General
NC010,CS,D. H. Hill,Major General
NC010,US,Hiram Anderson,Lieutenant Colonel
NC010,US,Alexander Murray,Commander
MS016,CS,P.G.T. Beauregard,General
MS016,US,Henry W. Halleck,Major General
TN037,CS,Nathan Bedford Forrest,Major General
TN037,US,Lovell H. Rousseau,Major General
TN037,US,Robert Milroy,Brigadier General
TN028,CS,James Longstreet,Lieutenant General
TN028,US,Samuel D. Sturgis,Brigadier General
LA003,CS,John C. Breckinridge,Major General
LA003,CS,Henry K. Stevens,Lieutenant
LA003,US,Thomas Williams,Brigadier General
LA003,US,William D. Porter,Commander
GA003,CS,Thomas C. Hindman,Major General
GA003,US,James Negley,Major General
WV007,CS,Henry R. Jackson,Brigadier General
WV007,US,Joseph J. Reynolds,Brigadier General
AR007,CS,John S. Marmaduke,Brigadier General
AR007,US,William Vandever,Brigadier General
SC004,CS,Roswell S. Ripley,Brigadier General
SC004,US,Samuel F. DuPont,Rear Admiral
VA048,CS,Robert E. Lee,General
VA048,US,Ulysses S. Grant,Lieutenant General
VA048,US,George G. Meade,Major General
NC019,CS,William Hardee,Lieutenant General
NC019,CS,Joseph Wheeler,Major General
NC019,US,William T. Sherman,Major General
NC019,US,Henry Slocum,Major General
VA121,CS,Thomas Rosser,Major General
VA121,US,Alfred Torbert,Brigadier General
MO022,CS,"John B. Clark , Jr.",Brigadier General
MO022,CS,Joseph O. Shelby,Brigadier General
MO022,US,"Chester Hardin , Jr.",Colonel
VA088,CS,George Pickett,Major General
VA088,US,Philip Sheridan,Major General
