battle,event_type,state,year,battle_name,start_date,end_date,text,cas_k,cas_w,cas_m,cas_mp,cas_kwm,cas_total
1521,Action,GA,1864,"June 10: Action, Ackworth",1864-06-10,1864-06-10,INDIANA--4th Cavalry.,,,,,,
1522,Action,GA,1864,"June 10: Action, Pine Mount",1864-06-10,1864-06-10,ILLINOIS--21st Infantry. INDIANA--6th Cavalry. KENTUCKY--20th Infantry.,,,,,,
1523,Action,GA,1864,"June 10: Action, Rosswell",1864-06-10,1864-06-10,OHIO--3d Cavalry.,,,,,,
1524,Skirmish,GA,1864,"June 10: Skirmish, Calhoun",1864-06-10,1864-06-10,INDIANA--3d Cavalry (Detachment).,,,,,,
1525,Action,GA,1864,"June 10: Action, Lost Mountain",1864-06-10,1864-06-10,KENTUCKY--1st Cavalry.,,,,,,
1526,Action,GA,1864,"June 11: Action, McAffee's Cross Roads",1864-06-11,1864-06-11,"ILLINOIS--Chicago Board of Trade Battery Light Arty. OHIO--1st, 3d and 4th Cavalry. MICHIGAN--4th Cavalry. PENNSYLVANIA--7th Cavalry. UNITED STATES--4th Cavalry.",,,,,,
1527,Skirmish,GA,1864,"June 11-14: Skirmishes, Lost Mountain",1864-06-11,1864-06-14,INDIANA--6th Cavalry. KENTUCKY--16th Infantry. OHIO--104th Infantry.,,,,,,
1528,Combat,GA,1864,June 11-14: Combats about Pine Hill,1864-06-11,1864-06-14,"CONNECTICUT--5th Infantry. ILLINOIS--Batteries ""C"" and ""M,"" 1st Light Arty.; Battery ""I,"" 2d Light Arty.; Bridges' Indpt. Battery Light Arty.; 10th, 16th, 21st, 24th, 25th, 27th, 34th, 35th, 36th, 38th, 42d, 44th, 51st, 59th, 60th, 73d, 74th, 75th, 78th, 79th, 80th, 82d, 84th, 85th, 86th, 88th, 89th, 96th, 100th, 101st, 102d, 104th, 105th, 115th, 125th and 129th Infantry. INDIANA--5th, 7th, 11th and 19th Indpt. Batteries Light Arty.; 6th, 9th, 10th, 22d, 27th, 30th, 31st, 32d, 33d, 35th, 36th, 37th, 38th, 40th, 42d, 57th, 70th, 74th, 75th, 79th, 81st, 82d, 84th, 85th, 86th, 87st, 88th and 101st Infantry. KENTUCKY--3d, 5th, 6th, 9th, 10th, 15th, 17th, 21st, 23d and 28th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Battery ""I,"" 1st Light Arty.; 9th, 10th, 11th, 14th, 19th and 22d Infantry. MINNESOTA--2d Infantry. MISSOURI--15th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M,"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 143d, 149th, 150th and 154th Infantry. OHIO--Batteries ""A,"" ""C"" and ""I,"" 1st Light Arty.; 6th Indpt. Battery Light Arty.; 1st, 2d, 5th, 13th, 14th, 15th, 17th, 19th, 21st, 26th, 29th, 31st, 33d, 35th, 38th, 40th, 41st, 45th, 49th, 51st, 52d, 55th, 59th, 61st, 64th, 65th, 66th, 69th, 73d, 74th, 79th, 82d, 89th, 90th, 92d, 93d, 94th, 97th, 98th, 101st, 105th, 113th, 121st, 124th and 125th Infantry. PENNSYLVANIA--Indpt. Batteries ""B"" and ""E,"" Light Arty.; 28th, 29th, 46th, 73d, 77th, 78th, 79th, 109th, 111th and 147th Infantry. WISCONSIN--5th Indpt. Battery Light Arty.; 1st, 3d, 10th, 15th, 21st, 22d, 24th and 26th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry. Losses included in operations against Kenesaw Mountain, June 10-July 2.",,,,,,
1529,Skirmish,GA,1864,"June 12: Skirmish, Ackworth",1864-06-12,1864-06-12,NEW YORK--60th Infantry.,,,,,,
1530,Skirmish,GA,1864,"June 13: Skirmish, Burnt Hickory",1864-06-13,1864-06-13,INDIANA--28th Infantry. KENTUCKY--12th Infantry.,,,,,,
1531,Skirmish,GA,1864,"June 15: Skirmish, Allatoona",1864-06-15,1864-06-15,INDIANA--5th Cavalry.,,,,,,
1532,Action,GA,1864,"June 15: Action, Noonday Creek",1864-06-15,1864-06-15,"OHIO--1st, 3d and 4th Cavalry.",,,,,,
1533,Combat,GA,1864,June 15-17: Combats about Lost Mountain,1864-06-15,1864-06-17,"CONNECTICUT--5th Infantry. ILLINOIS--16th Cavalry; Batteries ""C"" and ""M"" 1st Light Arty.; Battery ""I"" 2d Light Arty.; Bridge's Indpt. Battery Light Arty.; 10th, 16th, 21st, 24th, 25th, 27th, 34th, 35th, 36th, 38th, 42d, 44th, 51st, 59th, 60th, 65th, 73d, 74th, 75th, 78th, 79th, 80th, 82d, 84th, 85th, 86th, 88th, 89th, 96th, 100th, 101st, 102d, 105th, 107th, 112th, 115th, 125th and 129th Infantry. INDIANA--2d, 4th, 5th and 6th Cavalry; 5th, 7th, 11th, 18th, 19th, 23d and 24th Indpt Batteries Light Arty.; 6th, 9th, 10th, 22d, 27th, 30th, 31st, 32d, 33d, 35th, 36th, 37th, 38th, 40th, 42d, 57th, 63d, 65th, 70th, 74th, 75th, 79th, 80th, 81st, 82d, 84th, 85th, 86th, 87th, 88th, 91st, 101st, 120th, 123d, 124th, 128th, 129th and 130th Infantry. IOWA--8th Cavalry. KENTUCKY--1st, 11th and 12th Cavalry; 3d, 4th (Mounted), 5th, 6th, 9th, 10th, 11th, 12th, 13th, 14th, 15th, 16th, 17th, 20th, 21st, 23d, 24th, 27th and 28th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--2d Cavalry; Batteries ""F"" and ""I"" 1st Light Arty.; 9th, 10th, 11th, 14th, 19th, 22d, 23d and 25th Infantry. MINNESOTA--2d Infantry. MISSOURI--15th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Batteries ""A,"" ""C"" and ""I"" 1st Light Arty.; 6th and 19th Indpt. Batteries Light Arty.; 1st, 2d, 5th, 13th, 14th, 15th, 17th, 19th, 21st, 26th, 29th, 31st, 33d, 35th, 38th, 40th, 41st, 45th, 49th, 51st, 52d, 55th, 59th, 61st, 64th, 65th, 66th, 69th, 73d, 74th, 79th, 82d, 89th, 90th, 92d, 93d, 94th, 97th, 98th, 99th, 100th, 101st, 103d, 105th, 111th, 113th, 118th, 121st, 124th and 125th Infantry. PENNSYLVANIA--Indpt. Batteries ""B"" and ""E"" Light Arty.; 28th, 29th, 46th, 73d, 77th, 78th, 79th, 109th, 111th and 147th Infantry. TENNESSEE--1st Cavalry; 1st, 3d, 5th, 6th and 8th Infantry. WISCONSIN--1st Cavalry; 5th Indpt. Battery Light Arty.; 1st, 3d, 10th, 15th, 21st, 22d, 24th and 26th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry.",,,,,,
1534,Combat,GA,1864,"June 15: Combat, Brush Mountain",1864-06-15,1864-06-15,"ILLINOIS--Battery ""F"" 1st Light Arty.; 26th, 40th, 48th, 90th and 103d Infantry. INDIANA--12th, 97th, 99th and 100th Infantry. IOWA--1st Battery Light Arty.; 6th Infantry. MICHIGAN--15th Infantry. OHIO--53d and 70th Infantry.",,,,,,
1535,Combat,GA,1864,"June 15: Combat, Gilgal or Golgotha Church",1864-06-15,1864-06-15,"CONNECTICUT--5th Infantry. ILLINOIS--82d, 101st 102d, 105th and 129th Infantry. INDIANA--27th, 33d, 70th and 85th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Battery ""I"" 1st Light Arty.; 19th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Battery ""C"" 1st Light Arty.; 5th, 29th, 55th, 61st, 66th, 73d, 79th and 82d Infantry. PENNSYLVANIA--Indpt. Battery ""E"" Light Arty.; 28th, 29th, 46th, 73d, 109th, 111th and 147th Infantry. WISCONSIN--3d, 22d and 26th Infantry.",,,,,,
1536,Action,GA,1864,"June 17: Action, Muddy Creek",1864-06-17,1864-06-17,"CONNECTICUT--5th Infantry. ILLINOIS--16th Cavalry; 65th, 82d, 101st, 102d, 105th, 107th, 112th and 129th Infantry. INDIANA--15th, 23d and 24th Indpt. Batteries Light Arty.; 27th, 33d, 63d, 65th, 70th, 80th, 85th, 91st, 120th, 123d, 124th, 128th, 129th and 130th Infantry. KENTUCKY--12th Cavalry; 11th, 12th, 13th, 14th, 16th, 20th, 24th and 27th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Batteries ""F"" and ""I"" 1st Light Arty.; 19th, 23d and 25th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK -- Batteries ""I"" and ""M,"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Batteries ""C"" and ""D"" 1st Light Arty.; 19th Indpt. Battery Light Arty.; 5th, 29th, 45th, 50th, 55th, 61st, 66th, 73d, 79th, 82d, 99th, 100th, 103d, 104th, 111th and 118th Infantry. PENNSYLVANIA--Indpt. Battery ""E"" Light Arty.; 28th, 29th, 46th, 73d, 109th, 111th and 147th Infantry. TENNESSEE--1st, 3d, 5th, 6th and 8th Infantry. WISCONSIN--3d, 22d and 26th Infantry.",,,,,,
1537,Skirmish,GA,1864,"June 18: Skirmish, Ackworth",1864-06-18,1864-06-18,OHIO--97th Infantry.,,,,,,
1538,Skirmish,GA,1864,"June 18: Skirmish, Allatoona",1864-06-18,1864-06-18,TENNESSEE--8th Infantry.,,,,,,
1539,Action,GA,1864,"June 19: Action, Noonday Creek",1864-06-19,1864-06-19,"ILLINOIS--98th and 123d Mounted Infantry. INDIANA--17th and 72d Mounted Infantry. OHIO--1st, 3d and 4th Cavalry.",,,,,,
1540,Combat,GA,1864,"June 19: Combat, Noyes' Creek",1864-06-19,1864-06-19,"CONNECTICUT--5th Infantry. ILLINOIS--16th Cavalry; 65th, 82d, 101st, 102d, 105th, 107th, 112th and 129th Infantry. INDIANA--15th, 23d and 24th Indpt. Batteries Light Arty.; 27th, 33d, 63d, 65th, 70th, 80th, 85th, 91st, 120th, 123d, 124th, 128th, 129th and 130th Infantry. KENTUCKY--12th Cavalry; 11th, 12th, 13th, 14th, 16th, 20th, 24th and 27th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Batteries ""F"" and ""I"" 1st Light Arty.; 19th, 23d and 25th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Batteries ""C"" and ""D"" 1st Light Arty.; 19th Indpt. Battery Light Arty.; 5th, 29th, 45th, 50th, 55th, 61st, 66th, 73d, 79th, 82d, 99th, 100th, 103d, 104th, 111th, 118th Infantry. PENNSYLVANIA--Indpt. Battery ""E"" Light Arty.; 28th, 29th, 46th, 73d, 109th, 111th and 147th Infantry. TENNESSEE--1st, 3d, 5th, 6th and 8th Infantry. WISCONSIN--3d, 22d and 26th Infantry.",,,,,,
1541,Skirmish,GA,1864,"June 20: Skirmish, Cassville",1864-06-20,1864-06-20,OHIO--55th Infantry.,,,,,,
1542,Action,GA,1864,"June 20: Action, Noonday Church",1864-06-20,1864-06-20,MICHIGAN--4th Cavalry.,,,,,,
1543,Skirmish,GA,1864,"June 20: Skirmish, Noyes' Creek",1864-06-20,1864-06-20,"ILLINOIS--65th Infantry. INDIANA--15th Indpt. Battery Light Arty.; 63d and 65th Infantry. KENTUCKY--24th Infantry. OHIO--Battery ""D"" 1st Light Arty.; 103d Infantry. TENNESSEE--5th Infantry.",,,,,,
1544,Combat,GA,1864,"June 20: Combat, Powder Springs, Lattimer's Mills, Noonday Creek",1864-06-20,1864-06-20,ILLINOIS--Chicago Board of Trade Battery Light Arty.; 98th and 123d Mounted Infantry. INDIANA--17th and 72d Mounted Infantry. MICHIGAN--4th Cavalry. PENNSYLVANIA--7th Cavalry. UNITED STATES--4th Cavalry.,,,,,,
1545,Action,GA,1864,"June 21: Action, Noonday Creek",1864-06-21,1864-06-21,OHIO--1st Cavalry.,,,,,,
1546,Combat,GA,1864,"June 22: Combat, Kolb's Farm",1864-06-22,1864-06-22,"CONNECTICUT--5th Infantry. ILLINOIS--82d, 101st, 102d, 105th, 107th and 129th Infantry. INDIANA--27th, 33d, 70th, 80th, 85th and 91st Infantry. KENTUCKY--13th, 14th, 20th and 27th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Battery ""F"" 1st Light Arty.; 19th, 23d and 25th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Battery ""C"" 1st Light Arty.; 19th Indpt. Battery Light Arty.; 5th, 29th, 45th, 50th, 55th, 61st, 66th, 73d, 79th, 82d, 111th and 118th Infantry. PENNSYLVANIA--Indpt. Battery ""E"" Light Arty.; 28th, 29th, 46th, 73d, 109th, 111th and 147th Infantry. TENNESSEE--3d and 6th Infantry. WISCONSIN--3d, 22d and 26th Infantry. Union loss, 80 killed, 460 wounded, 160 missing. Total, 700.",,460,160,,80,700
1547,Combat,GA,1864,"June 22: Combat, Cheyney's Farm",1864-06-22,1864-06-22,"ILLINOIS--16th Cavalry; 65th and 112th Infantry. INDIANA--15th Indpt. Battery Light Arty.; 63d and 65th Infantry. KENTUCKY--12th Cavalry; 11th, 12th, 16th and 24th Infantry. OHIO--Battery ""D"" 1st Light Arty.; 100th, 103d and 104th Infantry. TENNESSEE--1st, 5th and 8th Infantry.",,,,,,
1548,Combat,GA,1864,June 23: Combat near Marietta,1864-06-23,1864-06-23,"OHIO--1st, 3d and 4th Cavalry.",,,,,,
1549,Skirmish,GA,1864,"June 23: Skirmish, Allatoona",1864-06-23,1864-06-23,INDIANA--5th Cavalry.,,,,,,
1550,Action,GA,1864,"June 24: Action, LaFayette",1864-06-24,1864-06-24,"KENTUCKY--4th, 6th and 7th Cavalry; 4th Mounted Infantry.",,,,,,
1551,Skirmish,GA,1864,"June 25: Skirmish, Allatoona",1864-06-25,1864-06-25,INDIANA--5th Cavalry.,,,,,,
1552,Skirmish,GA,1864,"June 25: Skirmish, Spring Place",1864-06-25,1864-06-25,MICHIGAN--8th Cavalry.,,,,,,
1553,Action,GA,1864,June 26: Action near Atlanta,1864-06-26,1864-06-26,KENTUCKY--4th Mounted Infantry.,,,,,,
1554,Combat,GA,1864,"June 26-27: Combats, Olleys' Creek",1864-06-26,1864-06-27,"ILLINOIS--16th Cavalry; 65th and 112th Infantry. INDIANA--15th Indpt. Battery Light Arty.; 63d, 65th Infantry. KENTUCKY--12th Cavalry; 11th, 12th, 16th and 24th Infantry. OHIO--Battery ""D"" 1st Light Arty.; 100th, 103d and 104th Infantry. TENNESSEE--1st, 5th and 8th Infantry.",,,,,,
1555,Combat,GA,1864,"June 27: Combat, Noonday Creek",1864-06-27,1864-06-27,"ILLINOIS--Chicago Board of Trade Battery Light Arty.; 98th and 123d Mounted Infantry. INDIANA--17th and 72d Mounted Infantry. MICHIGAN--4th Cavalry. OHIO--1st, 3d and 4th Cavalry. PENNSYLVANIA--7th Cavalry. UNITED STATES--4th Cavalry.",,,,,,
1556,Skirmish,GA,1864,"June 27: Skirmish, Cheyneys' Farm",1864-06-27,1864-06-27,INDIANA--6th Cavalry.,,,,,,
1557,General,GA,1864,June 27: General assault on Kenesaw Mountain,1864-06-27,1864-06-27,"CONNECTICUT--5th Infantry. ILLINOIS--11th (Co. ""G""), 15th (Co. ""K""), Cavalry; Batteries ""A,"" ""B,"" ""C,"" ""D,"" ""F,"" ""H"" and ""M"" 1st Light Arty.; Batteries ""F"" and ""I"" 2d Light Arty.; Bridge's and Board of Trade Indpt. Batteries Light Arty.; 9th (Mounted), 10th, 12th, 16th, 20th, 21st, 24th, 25th, 26th, 27th, 30th, 31st, 32d, 34th, 35th, 36th, 38th, 40th, 42d, 44th, 45th, 48th, 51st, 52d, 53d, 55th, 57th, 59th, 60th, 64th, 65th, 66th, 73d, 74th, 75th, 78th, 79th, 80th, 81st, 82d, 84th, 85th, 86th, 88th, 89th, 90th, 92d, 95th (Detachment), 96th, 98th (Mounted), 100th, 101st, 102d, 103d, 104th, 105th, 107th, 110th, 111th, 112th, 115th, 116th, 123d (Mounted), 125th, 127th and 129th Infantry. INDIANA--2d, 3d, 4th, 5th and 6th Cavalry; 5th, 7th, 11th, 15th, 18th, 19th, 23d and 24th Indpt. Batteries Light Arty.; 6th, 9th, 10th, 12th, 17th (Mounted), 22d, 23d, 27th, 30th, 31st, 32d, 33d, 35th, 36th, 37th, 38th, 40th, 42d, 53d, 57th, 63d, 65th, 66th, 70th, 72d (Mounted), 74th, 75th, 79th, 80th, 81st, 82d, 83d, 84th, 85th, 86th, 87th, 88th, 91st, 97th, 99th, 100th, 101st, 120th, 123d, 124th, 128th, 129th, 130th Infantry. IOWA--8th Cavalry; 1st Battery Light Arty.; 2d, 4th, 6th, 7th, 9th, 11th, 13th, 15th, 16th, 25th, 26th, 30th and 31st Infantry. IOWA--8th Cavalry; 1st Battery Light Arty.; 2d, 4th, 6th, 7th, 9th, 11th, 13th, 15th, 16th, 25th, 26th, 30th, 31st Infantry. KENTUCKY--1st, 3d, 4th, 5th, 6th, 7th, 11th and 12th Cavalry; 3d, 4th (Mounted), 5th, 6th, 9th, 10th, 11th, 12th, 13th, 14th, 15th, 16th, 17th, 18th, 20th, 21st, 23d, 24th, 27th and 28th Infantry. MARYLAND--3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MINNESOTA--2d Infantry. MISSOURI--Batteries ""C"" and ""H"" 1st Light Arty.; Battery ""F"" 2d Light Arty.; 3d, 6th, 8th, 12th, 15th, 17th, 18th, 24th, 27th, 29th, 31st and 32d Infantry. MICHIGAN--4th Cavalry; Batteries ""C,"" ""F,"" ""H"" and ""I"" 1st Light Arty.; 9th, 10th, 11th, 14th, 15th, 19th, 22d, 23d and 25th Infantry. NEW JERSEY--13th, 33d and 35th Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--1st, 3d, 4th, 5th, 9th and 10th Cavalry; McLaughlin's Squadron Cavalry; 4th Indpt. Company Cavalry; Batteries ""A,"" ""C,"" ""D,"" ""I"" and ""M"" 1st Light Arty.; 3d, 4th, 6th, 10th, 14th, 15th and 19th Indpt. Batteries Light Arty.; 7th Company S. S.; 1st, 2d, 5th, 13th, 14th, 15th, 17th, 19th, 20th, 21st, 26th, 27th, 29th, 30th, 31st, 32d, 33d, 35th, 37th, 38th, 39th, 40th, 41st, 43d, 45th, 46th, 47th, 49th, 50th, 51st, 52d, 53d, 54th, 55th, 57th, 59th, 61st, 63d, 64th, 65th, 66th, 68th, 69th, 70th, 73d, 74th, 76th, 78th, 79th, 81st, 82d, 89th, 90th, 92d, 93d, 94th, 97th, 98th, 99th, 100th, 101st, 103d, 104th, 105th, 108th, 111th, 113th, 118th, 121st, 124th and 125th Infantry. PENNSYLVANIA--7th Cavalry; Indpt. Batteries ""B"" and ""E"" Light Arty.; 28th, 29th, 46th, 73d, 77th, 79th, 109th, 111th, 141st Infantry. TENNESSEE--1st Cavalry; 1st, 3d, 5th, 6th and 8th Infantry. WISCONSIN--1st Cavalry; 5th and 10th Batteries Light Arty.; 1st, 3d, 10th, 12th, 14th (Detachment), 15th, 16th, 17th, 21st, 22d, 24th, 25th and 26th Infantry. UNITED STATES--4th Cavalry; 15th, 16th, 18th and 19th Infantry. Union loss, 3,000 killed, wounded and missing.",0,0,0,0,0,0
1558,Skirmish,GA,1864,"June 28: Skirmish, Tunnel Hill",1864-06-28,1864-06-28,MICHIGAN--4th Cavalry.,,,,,,
1559,Skirmish,GA,1864,"June 30: Skirmish, LaFayette",1864-06-30,1864-06-30,KENTUCKY--4th and 6th Cavalry.,,,,,,
1560,Skirmish,GA,1864,"June 30: Skirmish, Allatoona",1864-06-30,1864-06-30,INDIANA--5th Cavalry.,,,,,,
1561,Skirmish,GA,1864,"June 30: Skirmish, Ackworth",1864-06-30,1864-06-30,INDIANA--63d Infantry.,,,,,,
1562,Scout,GA,1864,July --: Scout to Pickens County,1864-07-01,1864-07-31,KENTUCKY--5th Cavalry.,,,,,,
1563,Action,GA,1864,"July 1: Action, Howell's Ferry",1864-07-01,1864-07-01,WISCONSIN--1st Cavalry.,,,,,,
1564,Skirmish,GA,1864,"July 1: Skirmish, Allatoona",1864-07-01,1864-07-01,TENNESSEE--1st Cavalry.,,,,,,
1565,Action,GA,1864,"July 1-2: Actions, Lost Mountain",1864-07-01,1864-07-02,KENTUCKY--7th and 12th Cavalry.,,,,,,
1566,Occupation,GA,1864,July 2-5: Operations on line of Nickajack Creek,1864-07-02,1864-07-05,"ILLINOIS--16th Cavalry; Batteries ""A,"" ""B,"" ""D,"" ""F"" and ""H"" 1st Light Arty.; Battery ""F"" 2d Light Arty.; Chicago Board of Trade Battery Light Arty.; 9th (Mounted), 12th, 20th, 26th, 30th, 31st, 32d, 40th, 45th, 48th, 53d, 55th, 64th, 65th, 66th, 81st (Detachment), 90th, 95th (Detachment), 98th (Mounted), 103d, 107th, 111th, 112th, 116th, 123d (Mounted), and 127th Infantry. INDIANA--2d, 4th, 5th and 6th Cavalry; 15th, 22d, 23d and 24th Indpt. Batteries Light Arty.; 12th, 23d, 25th, 53d, 63d, 65th, 66th, 97th, 99th, 100th, 120th, 123d, 124th, 128th, 129th and 130th Infantry. IOWA--8th Cavalry; 1st Battery Light Arty.; 4th, 6th, 7th, 9th, 11th, 13th, 15th, 16th, 25th, 26th, 30th and 31st Infantry. KENTUCKY--1st, 11th and 12th Cavalry; 4th (Mounted), 11th, 12th, 13th, 14th, 16th, 20th, 24th and 27th Infantry. MICHIGAN--4th Cavalry; Batteries ""C,"" ""F"" and ""H"" 1st Light Arty.; 15th, 23d and 25th Infantry. MINNESOTA--1st Battery Light Arty. MISSOURI--Battery ""H"" 1st Light Arty.; Battery ""F"" 2d Light Arty.; 3d, 6th, 12th, 17th, 18th, 24th, 27th, 29th, 31st and 32d Infantry. NEW JERSEY--35th Infantry. OHIO--1st, 3d, 4th Cavalry; 4th Indpt. Company Cavalry; Battery ""D,"" 1st Light Arty.; 3d, 4th, 10th, 14th, 15th and 19th Indpt. Batteries Light Arty.; 20th, 27th, 30th, 32d, 37th, 39th, 43d, 46th, 47th, 50th, 53d, 54th, 57th, 63d, 68th, 70th, 76th, 78th, 81st, 99th, 100th, 103d 104th, 111th and 118th Infantry. TENNESSEE--1st Cavalry; 1st, 3d, 5th, 6th and 8th Infantry. WISCONSIN--1st Cavalry; 12th, 16th, 17th and 25th Infantry. UNITED STATES--4th Cavalry; Battery ""F,"" 2d Arty. Union loss, 450 killed, wounded and missing.",450,0,0,0,0,450
1567,Skirmish,GA,1864,"July 3: Skirmish, Kingston",1864-07-03,1864-07-03,TENNESSEE--1st Cavalry.,,,,,,
1568,Action,GA,1864,"July 3: Action, Big Shanty",1864-07-03,1864-07-03,OHIO--3d Cavalry.,,,,,,
1569,Action,GA,1864,"July 3: Action, Sweetwater Bridge",1864-07-03,1864-07-03,ILLINOIS--14th Cavalry.,,,,,,
1570,Combat,GA,1864,"July 3-4: Combat, Ruff's Mills",1864-07-03,1864-07-04,"ILLINOIS--9th, 12th, 50th, 52d, 57th, 64th and 66th Infantry. INDIANA--56th, 83d, 123d, 129th and 130th Infantry. IOWA--2d and 7th Infantry. MICHIGAN--Battery ""C"" 1st Light Arty. MISSOURI--Battery ""H"" 1st Light Arty.; 18th Infantry. NEW JERSEY--35th Infantry. OHIO--14th Indpt. Battery Light Arty.; 27th, 30th, 37th, 39th, 43d, 47th, 53d, 54th, 63d, 81st and 99th Infantry. WISCONSIN--25th Infantry. UNITED STATES--Battery ""F"" 2d Arty.",,,,,,
1571,Combat,GA,1864,"July 4: Combat, Ruff's (Neal-Dows') Station, or Smyrna Camp Ground",1864-07-04,1864-07-04,"CONNECTICUT--5th Infantry. ILLINOIS--Batteries ""C"" and ""M"" 1st Light Arty.; Battery ""I"" 2d Light Arty.; Bridge's Indpt. Battery Light Arty.; 10th, 16th, 21st, 25th, 27th, 34th, 35th, 36th, 38th, 42d, 44th, 51st, 59th, 60th, 73d, 74th, 75th, 78th, 79th, 80th 82d, 84th 85th, 86th, 88th, 89th, 96th, 100th, 101st, 102d, 103d, 104th, 105th, 115th, 125th and 129th Infantry. INDIANA--5th, 7th, 11th and 19th Indpt. Batteries Light Arty.; 6th, 9th, 10th, 22d, 27th, 30th, 31st, 32d, 33d, 35th, 36th, 37th, 38th, 40th, 42d, 57th, 70th, 74th, 75th, 79th, 81st, 82d, 84th, 85th, 86th, 87th, 88th and 101st Infantry. KANSAS--8th Infantry. KENTUCKY--3d, 5th, 6th, 9th, 10th, 15th, 17th, 21st, 23d and 28th Infantry. MARYLAND -- 3d Infantry (Detachment). MASSACHUSETTS--2d and 33d Infantry. MICHIGAN--Battery ""I"" 1st Light Arty.; 9th, 10th, 11th, 14th, 19th and 22d Infantry. MINNESOTA--2d Infantry. MISSOURI--15th Infantry. NEW JERSEY--13th and 33d Infantry. NEW YORK--Batteries ""I"" and ""M"" 1st Light Arty.; 13th Indpt. Battery Light Arty.; 45th, 60th, 78th, 102d, 107th, 119th, 123d, 134th, 136th, 137th, 141st, 143d, 149th, 150th and 154th Infantry. OHIO--Batteries ""A,"" ""C"" and ""I"" 1st Light Arty.; 6th Indpt. Battery Light Arty.; 7th Company Sharpshooters; 1st, 2d, 5th, 13th, 14th, 15th, 17th, 19th, 21st, 26th, 29th, 31st, 33d, 35th, 38th, 40th, 41st, 45th, 49th 51st 52d, 55th, 59th, 61st, 64th, 65th, 66th, 69th, 73d, 74th, 79th, 82d, 89th, 90th, 92d, 93d, 94th, 97th, 98th, 101st, 105th, 113th, 121st, 124th and 125th Infy. PENNSYLVANIA--Indpt. Batteries ""B"" and ""E"" Light Arty.; 28th, 29th, 45th, 73d, 77th, 78th, 79th, 109th, 111th, and 147th Infantry. WISCONSIN--5th Indpt. Battery Light Arty.; 1st, 3d, 10th, 15th, 17th, 21st, 23d and 28th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infy.",,,,,,
1572,Action,GA,1864,"July 4: Action, Rottenwood Creek",1864-07-04,1864-07-04,"ILLINOIS--Chicago Board of Trade Battery; 98th and 123d Mounted Infantry. INDIANA--17th and 72d Mounted Infantry. MICHIGAN--4th Cavalry. OHIO--1st, 3d and 4th Cavalry. PENNSYLVANIA--7th Cavalry. UNITED STATES--4th Cavalry.",,,,,,
1573,Action,GA,1864,"July 4: Action, Campbellton",1864-07-04,1864-07-04,KENTUCKY--1st Cavalry.,,,,,,
