BattlefieldCode,BattleName,BattleType,CampaignCode,CampaignDates,CampaignName,Comment,EndDate,ID,Result,ShortSummary,ShortSummarySource,State,Summary,SummarySource,TheaterCode,TheaterName,TotalCasualties
GA021,Lovejoy's Station,No Data,MW64-06,May-September 1864,Morgan's Raid Into Kentucky,,8/20/1864,401,Confederate Victory,"While Confederate Maj. Gen. Joseph Wheeler was absent raiding Union supply lines from North Georgia to East Tennessee, Maj. Gen. William Sherman, unconcerned, sent Judson Kilpatrick to raid Rebel supply lines. Leaving on August 18, Kilpatrick hit the Atlanta & West Point Railroad that evening, tearing up a small area of tracks. Next, Kilpatrick headed for Lovejoy’s Station on the Macon & Western Railroad. In transit, on the 19th, Kilpatrick’s men hit the Jonesborough supply depot on the Macon & Western Railroad, burning great amounts of supplies. On the 20th, they reached Lovejoy’s Station and began their destruction. Rebel infantry (Cleburne’s Division) appeared and the raiders were forced to fight into the night, finally fleeing to prevent encirclement. Although Kilpatrick had destroyed supplies and track at Lovejoy’s Station, the railroad line was back in operation in two days.",,GA,"While Confederate Maj. Gen. Joseph Wheeler was absent raiding Union supply lines from North Georgia to East Tennessee, Maj. Gen. William Sherman, unconcerned, sent Judson Kilpatrick to raid Rebel supply lines. Leaving on August 18, Kilpatrick hit the Atlanta & West Point Railroad that evening, tearing up a small area of tracks. Next, Kilpatrick headed for Lovejoy’s Station on the Macon & Western Railroad. In transit, on the 19th, Kilpatrick’s men hit the Jonesborough supply depot on the Macon & Western Railroad, burning great amounts of supplies. On the 20th, they reached Lovejoy’s Station and began their destruction. Rebel infantry (Cleburne’s Division) appeared and the raiders were forced to fight into the night, finally fleeing to prevent encirclement. Although Kilpatrick had destroyed supplies and track at Lovejoy’s Station, the railroad line was back in operation in two days.",,MW,Main Western Theater Minus the Gulf Approach,477
GA022,Jonesborough,Battle,MW64-06,May-September 1864,Morgan's Raid Into Kentucky,,9/1/1864,402,Union Victory,"Sherman had successfully cut Hood’s supply lines in the past by sending out detachments, but the Confederates quickly repaired the damage. In late August, Sherman determined that if he could cut Hood’s supply lines—the Macon & Western and the Atlanta & West Point Railroads—the Rebels would have to evacuate Atlanta. Sherman, therefore, decided to move six of his seven infantry corps against the supply lines. The army began pulling out of its positions on August 25 to hit the Macon & Western Railroad between Rough and Ready and Jonesborough. To counter the move, Hood sent Lt. Gen. William J. Hardee with two corps to halt and possibly rout the Union troops, not realizing Sherman’s army was there in force. On August 31, Hardee attacked two Union corps west of Jonesborough but was easily repulsed. Fearing an attack on Atlanta, Hood withdrew one corps from Hardee’s force that night. The next day, a Union corps broke through Hardee’ s troops which retreated to Lovejoy’s Station, and on the night of September 1, Hood evacuated Atlanta. Sherman did cut Hood’s supply line but failed to destroy Hardee’s command.",,GA,"Sherman had successfully cut Hood’s supply lines in the past by sending out detachments, but the Confederates quickly repaired the damage. In late August, Sherman determined that if he could cut Hood’s supply lines—the Macon & Western and the Atlanta & West Point Railroads—the Rebels would have to evacuate Atlanta. Sherman, therefore, decided to move six of his seven infantry corps against the supply lines. The army began pulling out of its positions on August 25 to hit the Macon & Western Railroad between Rough and Ready and Jonesborough. To counter the move, Hood sent Lt. Gen. William J. Hardee with two corps to halt and possibly rout the Union troops, not realizing Sherman’s army was there in force. On August 31, Hardee attacked two Union corps west of Jonesborough but was easily repulsed. Fearing an attack on Atlanta, Hood withdrew one corps from Hardee’s force that night. The next day, a Union corps broke through Hardee’ s troops which retreated to Lovejoy’s Station, and on the night of September 1, Hood evacuated Atlanta. Sherman did cut Hood’s supply line but failed to destroy Hardee’s command.",,MW,Main Western Theater Minus the Gulf Approach,3149
GA023,Allatoona,Engagement,MW64-13,September-December 1864,Savannah Campaign,,10/5/1864,403,Union Victory,"After the fall of Atlanta, Hood moved northward to threaten the Western & Atlantic Railroad, Sherman’s supply line. He attacked a number of minor garrisons and damaged track during October 2-4. Sherman sent reinforcements—John M. Corse’s brigade—to Allatoona just before the Rebels attacked there. Maj. Gen. Samuel G. French’s Confederate division arrived near Allatoona at sunrise on the 5th. After demanding a surrender and receiving a negative reply, French attacked. The Union outer line survived a sustained two and a half hour attack, but then fell back and regrouped in an earthen “Star” fort of Allatoona Pass. French repeatedly attacked, but the fort held. The Rebels began to run out of ammunition, and reports of arriving Union reinforcements influenced them to move off and rejoin Hood’s force.",,GA,"After the fall of Atlanta, Hood moved northward to threaten the Western & Atlantic Railroad, Sherman’s supply line. He attacked a number of minor garrisons and damaged track during October 2-4. Sherman sent reinforcements—John M. Corse’s brigade—to Allatoona just before the Rebels attacked there. Maj. Gen. Samuel G. French’s Confederate division arrived near Allatoona at sunrise on the 5th. After demanding a surrender and receiving a negative reply, French attacked. The Union outer line survived a sustained two and a half hour attack, but then fell back and regrouped in an earthen “Star” fort of Allatoona Pass. French repeatedly attacked, but the fort held. The Rebels began to run out of ammunition, and reports of arriving Union reinforcements influenced them to move off and rejoin Hood’s force.",,MW,Main Western Theater Minus the Gulf Approach,1603
GA024,Dalton III,Surrender, , , ,,10/13/1864,2769, Confederate Victory,"In late September following the fall of Atlanta, CS General Hood headed north, striking the Federals' supply line, the Western & Atlantic Railroad, and the small garrisons that guarded it. At Allatoona on October 5 the garrison held out in a fierce contest. Hood bypassed Resaca because its fortifications were too strong and marched on to Dalton. On October 15 US General Schofield barely escaped by rail before the Confederates surrounded the town. CS Major General William Bate's soldiers captured the garrison, 751 men of the U. S. 44th Colored Infantry commanded by US Colonel Lewis Johnson. They paroled the officers and returned some of the African American soldiers to slavery. Hood headed into Alabama to prepare for his march toward Franklin and Nashville. US General Sherman gave US General Thomas the responsibility for stopping Hood in Tennessee. As soon as he obtained US Lieutenant General Grant's approval, Sherman returned to Atlanta to begin his March to the Sea.", ,GA,"In late September following the fall of Atlanta, CS General Hood headed north, striking the Federals' supply line, the Western & Atlantic Railroad, and the small garrisons that guarded it. At Allatoona on October 5 the garrison held out in a fierce contest. Hood bypassed Resaca because its fortifications were too strong and marched on to Dalton. On October 15 US General Schofield barely escaped by rail before the Confederates surrounded the town. CS Major General William Bate's soldiers captured the garrison, 751 men of the U. S. 44th Colored Infantry commanded by US Colonel Lewis Johnson. They paroled the officers and returned some of the African American soldiers to slavery. Hood headed into Alabama to prepare for his march toward Franklin and Nashville. US General Sherman gave US General Thomas the responsibility for stopping Hood in Tennessee. As soon as he obtained US Lieutenant General Grant's approval, Sherman returned to Atlanta to begin his March to the Sea.",,MW, ,751
GA025,Griswoldville,Engagement,MW64-12,November-December 1864,Breckenridge's Advance into East Tennessee,,11/22/1864,404,Union Victory,"Brig. Gen. Charles Walcutt was ordered to make a demonstration, with the six infantry regiments and one battery that comprised his brigade, toward Macon to ascertain the disposition of enemy troops in that direction. He set out on the morning of November 22, and after a short march he ran into some of Maj. Gen. Joseph Wheeler’s cavalry and drove them beyond Griswoldville. Having accomplished his mission, Walcutt retired to a position at Duncan’s Farm and fortified it with logs and rails to meet an expected Rebel attack force composed of three brigades of Georgia State Militia. The Georgia Militia had been ordered from Macon to Augusta, thinking the latter was Sherman’s next objective, and accidentally collided with Walcutt’s force. The Union force withstood three determined charges before receiving reinforcements of one regiment of infantry and two regiments of cavalry. The Rebels did not attack again and soon retired.",,GA,"Brig. Gen. Charles Walcutt was ordered to make a demonstration, with the six infantry regiments and one battery that comprised his brigade, toward Macon to ascertain the disposition of enemy troops in that direction. He set out on the morning of November 22, and after a short march he ran into some of Maj. Gen. Joseph Wheeler’s cavalry and drove them beyond Griswoldville. Having accomplished his mission, Walcutt retired to a position at Duncan’s Farm and fortified it with logs and rails to meet an expected Rebel attack force composed of three brigades of Georgia State Militia. The Georgia Militia had been ordered from Macon to Augusta, thinking the latter was Sherman’s next objective, and accidentally collided with Walcutt’s force. The Union force withstood three determined charges before receiving reinforcements of one regiment of infantry and two regiments of cavalry. The Rebels did not attack again and soon retired.",,MW,Main Western Theater Minus the Gulf Approach,712
GA026,Buck Head Creek,Engagement,MW64-12,November-December 1864,Breckenridge's Advance into East Tennessee,,11/28/1864,405,Indecisive,"As Sherman’s infantry marched southeast through Georgia, his cavalry, under Brig. Gen. Judson Kilpatrick moved northeastward, on November 24, 1864, to destroy the railroad midway between Augusta and Millen, burn the trestle near Briar Creek and, if possible, release Union prisoners confined at Camp Lawton, near Millen, while feigning a drive towards Augusta. Confederate Maj. Gen. Joseph Wheeler was fooled and concentrated his cavalry forces around Augusta. When Kilpatrick did not show, Wheeler realized his mistake and rode off in an attempt to catch his Union counterpart. On the 26th, Wheeler caught up with two lagging Union regiments, attacked their camp, chased them to the larger force and prevented Kilpatrick from destroying the Briar Creek trestle. Kilpatrick instead destroyed a mile of track in the area and moved southwest to join up with Sherman. Kilpatrick also discovered that the Union prisoners at Camp Lawton had been taken to other unknown sites. He encamped near Buck Head Creek on the night of the 27th. Wheeler came along the next morning, almost captured Kilpatrick, and pursued him and his men to Buck Head Creek. As Kilpatrick’s main force crossed the creek, one regiment, supported by artillery, fought a rearguard action severely punishing Wheeler and then burned the bridge behind them. Wheeler soon crossed and followed, but a Union brigade behind barricades at Reynolds’s Plantation halted the Rebels’ drive, eventually forcing them to retire.",,GA,"As Sherman’s infantry marched southeast through Georgia, his cavalry, under Brig. Gen. Judson Kilpatrick moved northeastward, on November 24, 1864, to destroy the railroad midway between Augusta and Millen, burn the trestle near Briar Creek and, if possible, release Union prisoners confined at Camp Lawton, near Millen, while feigning a drive towards Augusta. Confederate Maj. Gen. Joseph Wheeler was fooled and concentrated his cavalry forces around Augusta. When Kilpatrick did not show, Wheeler realized his mistake and rode off in an attempt to catch his Union counterpart. On the 26th, Wheeler caught up with two lagging Union regiments, attacked their camp, chased them to the larger force and prevented Kilpatrick from destroying the Briar Creek trestle. Kilpatrick instead destroyed a mile of track in the area and moved southwest to join up with Sherman. Kilpatrick also discovered that the Union prisoners at Camp Lawton had been taken to other unknown sites. He encamped near Buck Head Creek on the night of the 27th. Wheeler came along the next morning, almost captured Kilpatrick, and pursued him and his men to Buck Head Creek. As Kilpatrick’s main force crossed the creek, one regiment, supported by artillery, fought a rearguard action severely punishing Wheeler and then burned the bridge behind them. Wheeler soon crossed and followed, but a Union brigade behind barricades at Reynolds’s Plantation halted the Rebels’ drive, eventually forcing them to retire.",,MW,Main Western Theater Minus the Gulf Approach,646
GA027,Waynesborough,Engagement,MW64-12,November-December 1864,Breckenridge's Advance into East Tennessee,,12/4/1864,406,Union Victory,"As Sherman’s infantry marched southeast through Georgia, his cavalry under Brig. Gen. Judson Kilpatrick rode northeastward. He set out on the morning of December 4 to attack Waynesborough and destroy Joseph Wheeler’s cavalry command. That morning Kilpatrick’s men advanced, driving the Rebel skirmishers in front of them. The Union force then came up against a defensive line of barricades which they eventually overran. As the Union advance continued, they met more barricades which required time to overcome. Finally, the Confederates fell back to a final line of barricades within the town. After furious fighting, the Union troops broke through and Wheeler’s force ran.",,GA,"As Sherman’s infantry marched southeast through Georgia, his cavalry under Brig. Gen. Judson Kilpatrick rode northeastward. He set out on the morning of December 4 to attack Waynesborough and destroy Joseph Wheeler’s cavalry command. That morning Kilpatrick’s men advanced, driving the Rebel skirmishers in front of them. The Union force then came up against a defensive line of barricades which they eventually overran. As the Union advance continued, they met more barricades which required time to overcome. Finally, the Confederates fell back to a final line of barricades within the town. After furious fighting, the Union troops broke through and Wheeler’s force ran.",,MW,Main Western Theater Minus the Gulf Approach,440
GA028,Fort Mcallister II,No Data,MW64-12,November-December 1864,Breckenridge's Advance into East Tennessee,,12/13/1864,407,Union Victory,"As Sherman’ s troops approached Savannah they sorely required supplies. Sherman determined that if he could take Fort McAllister, supply ships could reach him. Thus, he ordered Maj. Gen. O.O. Howard, commander of his right wing, to take the fort. Howard chose Brig. Gen. William B. Hazen to accomplish the task. Hazen, in the afternoon of December 13, had his men in line for the attack. Upon giving the order to attack, his men rushed forward through the various obstacles prepared for them, entered the fort, and captured it. With his supply line open, Sherman could now prepare for the siege and capture of Savannah.",,GA,"As Sherman’ s troops approached Savannah they sorely required supplies. Sherman determined that if he could take Fort McAllister, supply ships could reach him. Thus, he ordered Maj. Gen. O.O. Howard, commander of his right wing, to take the fort. Howard chose Brig. Gen. William B. Hazen to accomplish the task. Hazen, in the afternoon of December 13, had his men in line for the attack. Upon giving the order to attack, his men rushed forward through the various obstacles prepared for them, entered the fort, and captured it. With his supply line open, Sherman could now prepare for the siege and capture of Savannah.",,MW,Main Western Theater Minus the Gulf Approach,384
ID001,Bear River,No Data,PC63-01,"January 29, 1863",Expedition From Camp Douglas Utah to Cache Valley,,1/29/1863,774,Union Victory," Shoshoni raids under Chief Bear Hunter during the winter of 1862-63 provoked Federal retaliation. Troops under Col. Patrick E. Connor set out from Ft. Douglas, Utah, in the deep snow of January 1863 towards Chief Bear Hunter’s camp, 120 miles north near present-day Preston, Idaho. The Native American camp included about 300 Shoshoni warriors defensively placed in the Battle Creek ravine west of Bear River with high embankments in which the Indians had cut access trails. Shortly after dawn on January 29, Connor’s troops appeared across the river and began crossing. Before all of the men had crossed and Connor had arrived, some troops made an unsuccessful frontal attack which the Indians easily repulsed inflicting numerous casualties. When Connor took over, he sent troops to where the ravine debouched through the bluffs. Some of these men covered the mouth of the ravine to prevent any escape while others moved down the rims, firing on the Indians below. This fire killed many of the warriors, but some attempted to escape by swimming the icy river where other troops shot them. The battle stopped by mid-morning. The troopers had killed most of the warriors plus a number of women, children and old men—and captured many of the women and children.", ,ID,"Shoshoni raids under Chief Bear Hunter during the winter of 1862-63 provoked Federal retaliation. Troops under Col. Patrick E. Connor set out from Ft. Douglas, Utah, in the deep snow of January 1863 towards Chief Bear Hunter’s camp, 120 miles north near present-day Preston, Idaho. The Native American camp included about 300 Shoshoni warriors defensively placed in the Battle Creek ravine west of Bear River with high embankments in which the Indians had cut access trails. Shortly after dawn on January 29, Connor’s troops appeared across the river and began crossing. Before all of the men had crossed and Connor had arrived, some troops made an unsuccessful frontal attack which the Indians easily repulsed inflicting numerous casualties. When Connor took over, he sent troops to where the ravine debouched through the bluffs. Some of these men covered the mouth of the ravine to prevent any escape while others moved down the rims, firing on the Indians below. This fire killed many of the warriors, but some attempted to escape by swimming the icy river where other troops shot them. The battle stopped by mid-morning. The troopers had killed most of the warriors plus a number of women, children and old men—and captured many of the women and children.",,PC,Pacific Theater,315
IN001,Corydon,No Data,MW63-05,July 1863,Morgan's Raid in Kentucky Indiana and Ohio,,7/9/1863,410,Confederate Victory,"On July 2, 1863, Brig. Gen. Morgan, with about 2,450 hand-picked cavalrymen, rode into Kentucky to disrupt the communications of the Union Army of the Cumberland, which began its operations against Bragg’s Army of Tennessee (Tullahoma Campaign) on June 23. Crossing the Cumberland River at Burkesville, Morgan’s column advanced to the Green River where it was deflected by a Union regiment at Tebb’s Bend on July 4. Morgan surprised and captured the garrison at Lebanon, Kentucky, then rode via Springfield, Bardstown, and Garnettsville. On July 8, Morgan crossed the Ohio River at Mauckport, Indiana, despite orders to remain south of the river in Kentucky. Union military officials called out the militia in Indiana and Ohio and worked feverishly to organize a defense. On July 9, near Corydon, Indiana, elements of Morgan’s force encountered about 400 Home Guards and captured most of them. As Morgan continued eastward to Ohio, destroying bridges, railroads, and government stores, Federal columns converged to prevent Morgan from recrossing into Kentucky.",,IN,"On July 2, 1863, Brig. Gen. Morgan, with about 2,450 hand-picked cavalrymen, rode into Kentucky to disrupt the communications of the Union Army of the Cumberland, which began its operations against Bragg’s Army of Tennessee (Tullahoma Campaign) on June 23. Crossing the Cumberland River at Burkesville, Morgan’s column advanced to the Green River where it was deflected by a Union regiment at Tebb’s Bend on July 4. Morgan surprised and captured the garrison at Lebanon, Kentucky, then rode via Springfield, Bardstown, and Garnettsville. On July 8, Morgan crossed the Ohio River at Mauckport, Indiana, despite orders to remain south of the river in Kentucky. Union military officials called out the militia in Indiana and Ohio and worked feverishly to organize a defense. On July 9, near Corydon, Indiana, elements of Morgan’s force encountered about 400 Home Guards and captured most of them. As Morgan continued eastward to Ohio, destroying bridges, railroads, and government stores, Federal columns converged to prevent Morgan from recrossing into Kentucky.",,MW,Main Western Theater Minus the Gulf Approach,411
KS001,Lawrence,No Data,TM63-06,August 1863,Quantrill's Raid Into Kansas,,8/21/1863,411,Confederate Victory,"In a supposed retaliation for a Union raid on Osceola, Missouri, Lt. Col. William C. Quantrill led a force of about 300 to 400 partisans in an attack on the city of Lawrence, Kansas. His men killed civilians—men and boys—and destroyed many of the buildings. He held the town several hours and then withdrew. The “Lawrence Massacre” was, perhaps, the extreme example of the vicious Kansas-Missouri border warfare.","M. Nickels, 8/16/2007; CWSAC Report, 1993",KS,"In a supposed retaliation for a Union raid on Osceola, Missouri, Lt. Col. William C. Quantrill led a force of about 300 to 400 partisans in an attack on the city of Lawrence, Kansas. His men killed civilians—men and boys—and destroyed many of the buildings. He held the town several hours and then withdrew. The “Lawrence Massacre” was, perhaps, the extreme example of the vicious Kansas-Missouri border warfare.",,TM,Trans-Mississippi Theater,
KS002,Baxter Springs,Action,TM63-09,October 1863,Union Occupation of Indian Territory North OF Arka,,10/6/1863,412,Confederate Victory,"After conducting many raids in Kansas, including the massacre at Lawrence, Quantrill decided to winter in Texas. Along with other partisans, he headed south on the Texas Road and captured and killed two Union teamsters who had come from a post called Baxter Springs. Quantrill decided to attack the post and divided his force into two columns, one under him and the other commanded by a subordinate, David Poole. Poole and his men proceeded down the Texas Road, where they encountered Union soldiers, most of whom were African Americans. They chased and attacked the Union troops, killing some of them before they reached the earth and log fort. After the Union survivors reached the fort, the Rebels attacked, but the garrison, with the help of a howitzer, fought them off. Quantrill’s column moved on the post from another direction and chanced on a Union detachment escorting Maj. Gen. James G. Blunt and wagons transporting his personal items from his former headquarters of the Department of the Frontier at Fort Scott to his new one at Fort Smith. Most of this detachment, including the band and Maj. Henry Z. Curtis (son of Maj. Gen. Samuel R. Curtis), was murdered, but Blunt and a few mounted men returned to Fort Scott. Blunt was removed from command for failing to protect his column, but he was soon restored. Touted as a massacre by some, Baxter Springs was another of the events that characterized the vicious Kansas-Missouri border warfare.","M. Nickels, 8/7/2007; CWSAC Report, 1993",KS,"After conducting many raids in Kansas, including the massacre at Lawrence, Quantrill decided to winter in Texas. Along with other partisans, he headed south on the Texas Road and captured and killed two Union teamsters who had come from a post called Baxter Springs. Quantrill decided to attack the post and divided his force into two columns, one under him and the other commanded by a subordinate, David Poole. Poole and his men proceeded down the Texas Road, where they encountered Union soldiers, most of whom were African Americans. They chased and attacked the Union troops, killing some of them before they reached the earth and log fort. After the Union survivors reached the fort, the Rebels attacked, but the garrison, with the help of a howitzer, fought them off. Quantrill’s column moved on the post from another direction and chanced on a Union detachment escorting Maj. Gen. James G. Blunt and wagons transporting his personal items from his former headquarters of the Department of the Frontier at Fort Scott to his new one at Fort Smith. Most of this detachment, including the band and Maj. Henry Z. Curtis (son of Maj. Gen. Samuel R. Curtis), was murdered, but Blunt and a few mounted men returned to Fort Scott. Blunt was removed from command for failing to protect his column, but he was soon restored. Touted as a massacre by some, Baxter Springs was another of the events that characterized the vicious Kansas-Missouri border warfare.",,TM,Trans-Mississippi Theater,106
KS003,Mine Creek,Engagement,TM64-05,September-October 1864,Price's Missouri Expedition,,10/25/1864,413,Union Victory,"About six miles south of Trading Post, where the Marais de Cygnes engagement had occurred, the brigades of Col. Frederick W. Benteen and Col. John F. Phillips, of Maj. Gen. Alfred Pleasonton’s Provisional Cavalry Division, overtook the Confederates as they were crossing Mine Creek. These Rebels, stalled by their wagons crossing the ford, had formed a line on the north side of Mine Creek. The Federals, although outnumbered, commenced the attack as additional troops from Pleasonton’s command arrived during the fight. They soon surrounded the Rebels, resulting in the capture of about 600 men and two generals, Brig. Gen. John S. Marmaduke and Brig. Gen. William L. Cabell. Having lost this many men, Price’s army was doomed. Retreat to friendly territory was the only recourse.","M. Nickels, 8/7/2007; CWSAC Report, 1993",KS,"About six miles south of Trading Post, where the Marais de Cygnes engagement had occurred, the brigades of Col. Frederick W. Benteen and Col. John F. Phillips, of Maj. Gen. Alfred Pleasonton’s Provisional Cavalry Division, overtook the Confederates as they were crossing Mine Creek. These Rebels, stalled by their wagons crossing the ford, had formed a line on the north side of Mine Creek. The Federals, although outnumbered, commenced the attack as additional troops from Pleasonton’s command arrived during the fight. They soon surrounded the Rebels, resulting in the capture of about 600 men and two generals, Brig. Gen. John S. Marmaduke and Brig. Gen. William L. Cabell. Having lost this many men, Price’s army was doomed. Retreat to friendly territory was the only recourse.",,TM,Trans-Mississippi Theater,950
KS004,Marais Des Cygnes,Engagement,TM64-05,September-October 1864,Price's Missouri Expedition,,10/25/1864,414,Union Victory,"Maj. Gen. Sterling Price led an expedition into Missouri which Union forces under Maj. Gen. Samuel R. Curtis and Maj. Gen. Alfred Pleasonton finally countered around Kansas City, Missouri. Price withdrew south, and Pleasonton, commanding in the field, pursued him into Kansas and fought him at Marais des Cygnes. After an artillery bombardment that began at 4:00 am, Pleasonton’s men attacked furiously. Although outnumbered, they hit the Rebel line, forcing them to withdraw.","M. Nickels, 8/7/2007; CWSAC Report, 1993",KS,"Maj. Gen. Sterling Price led an expedition into Missouri which Union forces under Maj. Gen. Samuel R. Curtis and Maj. Gen. Alfred Pleasonton finally countered around Kansas City, Missouri. Price withdrew south, and Pleasonton, commanding in the field, pursued him into Kansas and fought him at Marais des Cygnes. After an artillery bombardment that began at 4:00 am, Pleasonton’s men attacked furiously. Although outnumbered, they hit the Rebel line, forcing them to withdraw.",,TM,Trans-Mississippi Theater,
KY001,Barbourville,Action,MW61-01,September-December 1861,Confederate Offensive In Eastern Kentucky,,9/19/1861,415,Confederate Victory,"Kentucky Union sympathizers had trained recruits at Camp Andrew Johnson, in Barbourville, throughout the summer of 1861. Confederate Brig. Gen. Felix Zollicoffer entered Kentucky in mid-September intending to relieve pressure on Gen. Albert Sidney Johnston and his troops by conducting raids and generally constituting a threat to Union forces and sympathizers in the area. On September 18, 1861, he dispatched a force of about 800 men under command of Col. Joel A. Battle to disrupt the training activities at Camp Andrew Johnson. At daylight on the 19th, the force entered Barbourville and found the recruits gone; they had been sent to Camp Dick Robinson. A small home guard force commanded by Capt. Isaac J. Black met the Rebels, and a sharp skirmish ensued. After dispersing the home guard, the Confederates destroyed the training camp and seized arms found there. This was, for all practical purposes, the first encounter of the war in Kentucky. The Confederates were making their might known in the state, countering the early Union presence.",,KY,"Kentucky Union sympathizers had trained recruits at Camp Andrew Johnson, in Barbourville, throughout the summer of 1861. Confederate Brig. Gen. Felix Zollicoffer entered Kentucky in mid-September intending to relieve pressure on Gen. Albert Sidney Johnston and his troops by conducting raids and generally constituting a threat to Union forces and sympathizers in the area. On September 18, 1861, he dispatched a force of about 800 men under command of Col. Joel A. Battle to disrupt the training activities at Camp Andrew Johnson. At daylight on the 19th, the force entered Barbourville and found the recruits gone; they had been sent to Camp Dick Robinson. A small home guard force commanded by Capt. Isaac J. Black met the Rebels, and a sharp skirmish ensued. After dispersing the home guard, the Confederates destroyed the training camp and seized arms found there. This was, for all practical purposes, the first encounter of the war in Kentucky. The Confederates were making their might known in the state, countering the early Union presence.",,MW,Main Western Theater Minus the Gulf Approach,20
KY002,Camp Wildcat,Action,MW61-01,September-December 1861,Confederate Offensive In Eastern Kentucky,,10/21/1861,416,Union Victory,"Brig. Gen. Felix Zollicoffer’s men occupied Cumberland Gap and took position at Cumberland Ford to counter the Unionist activity in the area. Brig. Gen. George H. Thomas sent a detachment under Col. T.T. Garrard to secure the ford on the Rockcastle River, establish a camp at Wildcat Mountain, and obstruct the Wilderness road passing through the area. Col. Garrard informed Thomas that if he did not receive reinforcements, he would have to retreat because he was outnumbered seven to one. Thomas sent Brig. Gen. A. Schoepf with what amounted to a brigade of men to Col. Garrard, bringing the total force to about 7,000. On the morning of October 21, soon after Schoepf arrived, some of his men moved forward and ran into Rebel forces, commencing a fight. The Federals repelled the Confederate attacks, in part due to fortifications, both man-made and natural. The Confederates withdrew during the night and continued their retreat to Cumberland Ford, which they reached on the 26th. A Union victory was welcomed, countering the Confederate victory at Barbourville.",,KY,"Brig. Gen. Felix Zollicoffer’s men occupied Cumberland Gap and took position at Cumberland Ford to counter the Unionist activity in the area. Brig. Gen. George H. Thomas sent a detachment under Col. T.T. Garrard to secure the ford on the Rockcastle River, establish a camp at Wildcat Mountain, and obstruct the Wilderness road passing through the area. Col. Garrard informed Thomas that if he did not receive reinforcements, he would have to retreat because he was outnumbered seven to one. Thomas sent Brig. Gen. A. Schoepf with what amounted to a brigade of men to Col. Garrard, bringing the total force to about 7,000. On the morning of October 21, soon after Schoepf arrived, some of his men moved forward and ran into Rebel forces, commencing a fight. The Federals repelled the Confederate attacks, in part due to fortifications, both man-made and natural. The Confederates withdrew during the night and continued their retreat to Cumberland Ford, which they reached on the 26th. A Union victory was welcomed, countering the Confederate victory at Barbourville.",,MW,Main Western Theater Minus the Gulf Approach,96
KY003,Ivy Mountain,Engagement,MW61-01,September-December 1861,Confederate Offensive In Eastern Kentucky,,11/9/1861,417,Indecisive,"While recruiting in southeast Kentucky, Rebels under Col. John S. Williams ran short of ammunition at Prestonsburg and fell back to Pikeville to replenish their supply. Brig. Gen. William Nelson sent out a detachment from near Louisa under Col. Joshua Sill while he started out from Prestonsburg with a larger force in an attempt to “turn or cut the Rebels off.” Williams prepared for evacuation, hoping for time to reach Virginia, and sent out a cavalry force to meet Nelson about eight miles from Pikeville. The Rebel cavalry escaped, and Nelson continued on his way. Williams then met Nelson at a point northeast of Pikeville between Ivy Mountain and Ivy Creek. Waiting by a narrow bend in the road, the Rebels surprised the Yankees by firing upon their constricted ranks. A fight ensued, but neither side gained the bulge. As the shooting ebbed, Williams’s men felled trees across the road and burned bridges to slow Nelson’s pursuing force. Night approached and rain began which, along with the obstructions, convinced Nelson’s men to go into camp. In the meantime, Williams retreated into Virginia, stopping in Abingdon on the 9th. Sill’s force arrived too late to be of use, but he did skirmish with the remnants of Williams’s retreating force before he occupied Pikeville on the 9th. This bedraggled Confederate force retreated back into Virginia for succor. The Union forces consolidated their power in eastern Kentucky mountains.",,KY,"While recruiting in southeast Kentucky, Rebels under Col. John S. Williams ran short of ammunition at Prestonsburg and fell back to Pikeville to replenish their supply. Brig. Gen. William Nelson sent out a detachment from near Louisa under Col. Joshua Sill while he started out from Prestonsburg with a larger force in an attempt to “turn or cut the Rebels off.” Williams prepared for evacuation, hoping for time to reach Virginia, and sent out a cavalry force to meet Nelson about eight miles from Pikeville. The Rebel cavalry escaped, and Nelson continued on his way. Williams then met Nelson at a point northeast of Pikeville between Ivy Mountain and Ivy Creek. Waiting by a narrow bend in the road, the Rebels surprised the Yankees by firing upon their constricted ranks. A fight ensued, but neither side gained the bulge. As the shooting ebbed, Williams’s men felled trees across the road and burned bridges to slow Nelson’s pursuing force. Night approached and rain began which, along with the obstructions, convinced Nelson’s men to go into camp. In the meantime, Williams retreated into Virginia, stopping in Abingdon on the 9th. Sill’s force arrived too late to be of use, but he did skirmish with the remnants of Williams’s retreating force before he occupied Pikeville on the 9th. This bedraggled Confederate force retreated back into Virginia for succor. The Union forces consolidated their power in eastern Kentucky mountains.",,MW,Main Western Theater Minus the Gulf Approach,293
