battle_id,event_type,state,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured,comment
1347,Skirmish,GA,"Nov. 8: Skirmish, Doboy River",1862-11-08,1862-11-08,SOUTH CAROLINA--1st Colored Infantry (Co. A).,NA,NA,NA,NA,NA,NA
1348,Bombardment,GA,"Jan. 27-Feb. 28: Bombardment Fort McAllister, Genesis Point",1863-01-27,1863-02-28,"U. S. NAVY--Monitors ""Passaic,"" ""Patapsco,"" ""Montauk,"" ""Nahant;"" Mortar Schooner ""Peoria,"" and Gunboat ""Wissahickon.""",NA,NA,NA,NA,NA,NA
1349,Affair,GA,"March 9: Affair, Fort McAllister",1863-03-09,1863-03-09,(No Reports.),NA,NA,NA,NA,NA,NA
1350,Action,GA,May 3: Action near Rome,1863-05-03,1863-05-03,OHIO--3d Infantry.,NA,NA,NA,NA,NA,NA
1351,Affair,GA,"June 8: Affair, Brunswick",1863-06-08,1863-06-08,U. S. Gunboats.,NA,NA,NA,NA,NA,NA
1352,Affair,GA,"June 11: Affair, Darien",1863-06-11,1863-06-11,U. S. Gunboats.,NA,NA,NA,NA,NA,NA
1353,Capture,GA,"June 17: Capture of Ram ""Fingal"" in Warsaw Sound",1863-06-17,1863-06-17,"U. S. Monitor ""Wehawken.""",NA,NA,NA,NA,NA,NA
1354,Skirmish,GA,"Sept. 3: Skirmish, Alpine",1863-09-03,1863-09-03,"ILLINOIS--Chicago Board of Trade Battery, Light Arty. (Section). KENTUCKY--2d Cavalry. OHIO--1st, 3d and 4th Cavalry.",NA,NA,NA,NA,NA,NA
1355,Skirmish,GA,"Sept. 5: Skirmish, Alpine",1863-09-05,1863-09-05,KENTUCKY--6th Cavalry.,NA,NA,NA,NA,NA,NA
1356,Skirmish,GA,"Sept. 6: Skirmish, Stevens' Gap",1863-09-06,1863-09-06,(No Reports.),NA,NA,NA,NA,NA,NA
1357,Skirmish,GA,"Sept. 6-7: Skirmishes, Summerville",1863-09-06,1863-09-07,KENTUCKY--6th Cavalry.,NA,NA,NA,NA,NA,NA
1358,Action,GA,"Sept. 8: Action, Alpine",1863-09-08,1863-09-08,"ILLINOIS--Chicago Board of Trade Battery Light Arty. KENTUCKY--2d Cavalry. OHIO--1st, 3d and 4th Cavalry. Union loss, 3 killed, 11 wounded. Total, 14.",14,3,11,14,0,NA
1359,Skirmish,GA,"Sept. 9: Skirmish, Lookout Mountain",1863-09-09,1863-09-09,ILLINOIS--92d Mounted Infantry.,NA,NA,NA,NA,NA,NA
1360,Skirmish,GA,Sept. 10: Skirmish near Graysville,1863-09-10,1863-09-10,OHIO--90th Infantry.,NA,NA,NA,NA,NA,NA
1361,Skirmish,GA,"Sept. 10: Skirmish, Pea Vine Creek",1863-09-10,1863-09-10,KENTUCKY--1st Infantry. MICHIGAN--4th Cavalry (Detachment). Loss. 58 missing.,NA,NA,NA,NA,58,NA
1362,Reconnaissance,GA,Sept. 10: Reconn. from Alpine toward LaFayette,1863-09-10,1863-09-10,"KENTUCKY--2d Cavalry. OHIO--1st, 3d and 4th Cavalry.",NA,NA,NA,NA,NA,NA
1363,Reconnaissance,GA,Sept. 10: Reconn. from Alpine toward Rome,1863-09-10,1863-09-10,MICHIGAN--2d Cavalry. PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry.,NA,NA,NA,NA,NA,NA
1364,Reconnaissance,GA,Sept. 10: Reconn. from Alpine toward Summerville,1863-09-10,1863-09-10,"KENTUCKY--4th, 5th and 6th Cavalry.",NA,NA,NA,NA,NA,NA
1365,Skirmish,GA,"Sept. 10: Skirmish, Summerville",1863-09-10,1863-09-10,"KENTUCKY--4th, 5th and 6th Cavalry.",NA,NA,NA,NA,NA,NA
1366,Reconnaissance,GA,Sept. 11: Reconn. toward Rome,1863-09-11,1863-09-11,"INDIANA--2d and 4th Cavalry. MICHIGAN--2d Cavalry. OHIO--Battery ""D,"" 1st Light Arty. (Section). PENNSYLVANIA--9th Cavalry. TENNESSEE--1st and 2d Cavalry. WISCONSIN--1st Cavalry.",NA,NA,NA,NA,NA,NA
1367,Skirmish,GA,"Sept. 11: Skirmish, Davis' Cross Roads (or House) near Dug Gap, McLemore's Cove",1863-09-11,1863-09-11,"ILLINOIS--Bridges' Indpt. Battery Light Arty.; 19th, 24th and 104th Infantry. INDIANA--4th Indpt. Battery Light Arty.; 37th, 38th, 42d and 88th Infantry. KENTUCKY--15th Infantry. MICHIGAN--Battery ""A."" 1st Light Arty.; 11th Infantry. OHIO--Batterys ""G"" and ""M."" 1st Light Arty.; 2d, 18th, 21st, 33d, 74th and 94th Infantry. PENNSYLVANIA--78th and 79th Infantry. WISCONSIN--1st, 10th and 21st Infantry. Union loss, 11 killed, 27 wounded. Total, 38.",38,11,27,38,0,NA
1368,Skirmish,GA,"Sept. 11-13: Skirmishes, Lee and Gordon's Mills",1863-09-11,1863-09-13,"ILLINOIS--92d, 98th and 123d Mounted Infantry. INDIANA--8th Indpt. Battery Light Arty.; 9th, 17th (Mounted), 31st and 72d (Mounted) Infantry. KENTUCKY--1st, 2d. 3d and 6th Infantry. OHIO--6th Indpt. Battery Light Arty, Battery ""B,"" 1st Light Arty.; 41st, 64th, 65th, 90th, 124th and 125th Infantry.",NA,NA,NA,NA,NA,NA
1369,Skirmish,GA,"Sept. 11: Skirmish, Rossville",1863-09-11,1863-09-11,ILLINOIS--92d Mounted Infantry.,NA,NA,NA,NA,NA,NA
1370,Skirmish,GA,"Sept. 11: Skirmish, Ringgold",1863-09-11,1863-09-11,"ILLINOIS--92d Mounted Infantry. INDIANA--7th and 18th Indpt. Batteries, Light Arty.; 17th (Mounted) and 35th Infantry. KENTUCKY--8th and 21st Infantry. OHIO--51th and 99th Infantry. Union loss, 8 killed, 19 wounded. Total, 27.",27,8,19,27,0,NA
1371,Skirmish,GA,Sept. 11: Skirmish near Blue Bird Gap,1863-09-11,1863-09-11,"OHIO--Battery ""M,"" 1st Light Arty.",NA,NA,NA,NA,NA,NA
1372,Skirmish,GA,"Sept. 12: Skirmish, Alpine",1863-09-12,1863-09-12,"INDIANA--2d and 4th Cavalry. MICHIGAN--2d Cavalry. OHIO--Battery ""D,"" 1st Light Arty. (Section). PENNSYLVANIA--9th Cavalry. TENNESSEE--1st and 2d Cavalry. WISCONSIN--1st Cavalry.",NA,NA,NA,NA,NA,NA
1373,Skirmish,GA,"Sept. 12: Skirmish, Dirt Town, LaFayette Road near Chatooga River",1863-09-12,1863-09-12,"INDIANA--2d and 4th Cavalry. MICHIGAN--2d Cavalry. OHIO--Battery ""D,"" 1st Light Arty. (Section). PENNSYLVANIA--9th Cavalry. TENNESSEE--1st and 2d Cavalry. WISCONSIN--1st Cavalry.",NA,NA,NA,NA,NA,NA
1374,Skirmish,GA,"Sept. 12-13: Skirmish, Leets' Tan Yard or Rock Springs",1863-09-12,1863-09-13,"ILLINOIS--92d, 98th and 123d Mounted Infantry. INDIANA--18th Indpt. Battery Light Arty.; 17th and 72d Mounted Infantry. Union loss, 50 killed and wounded.",NA,NA,NA,50,NA,NA
1375,Skirmish,GA,"Sept. 13: Skirmish, LaFayette",1863-09-13,1863-09-13,(No Reports.),NA,NA,NA,NA,NA,NA
1376,Skirmish,GA,Sept. 13: Skirmish near Summerville,1863-09-13,1863-09-13,INDIANA--<*>th Cavalry.,NA,NA,NA,NA,NA,NA
1377,Skirmish,GA,"Sept. 13: Skirmish, Chickamauga",1863-09-13,1863-09-13,"WISCONSIN--3d Battery, Light Arty.",NA,NA,NA,NA,NA,NA
1378,Reconnaissance,GA,"Sept. 13: Reconn. from Lee and Gordon's Mills, toward LaFayette and skirmish",1863-09-13,1863-09-13,"ILLINOIS--Chicago Board of Trade Battery Light Arty. (Section). INDIANA--2d and 4th Cavalry. MICHIGAN--2d Cavalry. OHIO--Battery ""D."" 1st Light Arty. (Section). PENNSYLVANIA--9th Cavalry. TENNESSEE--1st Cavalry.",NA,NA,NA,NA,NA,NA
1379,Skirmish,GA,Sept. 14: Skirmish near Lafayette,1863-09-14,1863-09-14,OHIO--125th Infantry.,NA,NA,NA,NA,NA,NA
1380,Skirmish,GA,Sept. 14: Skirmish near Lafayette,1863-09-14,1863-09-14,OHIO--64th Infantry.,NA,NA,NA,NA,NA,NA
1381,Skirmish,GA,"Sept. 15: Skirmish, Summerville",1863-09-15,1863-09-15,KENTUCKY--4th Cavalry.,NA,NA,NA,NA,NA,NA
1382,Skirmish,GA,"Sept. 15: Skirmish, Trion Factory",1863-09-15,1863-09-15,(No Reports.),NA,NA,NA,NA,NA,NA
1383,Skirmish,GA,"Sept. 15-18: Skirmishes, Catlett's Gap, Pigeon Mountain",1863-09-15,1863-09-18,"ILLINOIS--92d Infantry. INDIANA--21st Indpt. Battery Light Arty. KENTUCKY--18th Infantry. OHIO--11th, 36th and 92d Infantry.",NA,NA,NA,NA,NA,NA
1384,Skirmish,GA,Sept. 16-18: Skirmishes near Lee and Gordon's Mills,1863-09-16,1863-09-18,ILLINOIS--100th Infantry. INDIANA--8th Indpt. Battery Light Arty.; 58th Infantry. MICHIGAN--13th Infantry. OHIO--26th Infantry.,NA,NA,NA,NA,NA,NA
1385,Reconnaissance,GA,Sept. 17: Reconn. from Rossville,1863-09-17,1863-09-17,"ILLINOIS--84th, 96th and 115th Infantry. MICHIGAN--22d Infantry. OHIO--18th Indpt. Battery Light Arty.; 40th and 89th Infantry.",NA,NA,NA,NA,NA,NA
1386,Skirmish,GA,"Sept. 17: Skirmish, Ringgold",1863-09-17,1863-09-17,ILLINOIS--84th; 96th and 115th Infantry. MICHIGAN--22d Infantry. OHIO--18th Indpt. Battery Light Arty.; 40th and 89th Infantry.,NA,NA,NA,NA,NA,NA
1387,Skirmish,GA,"Sept. 17: Skirmish, Davis or Owens Ford, West Chickamauga Creek",1863-09-17,1863-09-17,INDIANA--39th Mounted Infantry.,NA,NA,NA,NA,NA,NA
1388,Skirmish,GA,"Sept. 18: Skirmish, Pea Vine Ridge",1863-09-18,1863-09-18,ILLINOIS--Chicago Board of Trade Battery Light Arty.; 123d Mounted Infantry. INDIANA--72d Mounted Infantry. MICHIGAN--4th Cavalry. UNITED STATES--4th Cavalry.,NA,NA,NA,NA,NA,NA
1389,Action,GA,"Sept. 18: Action, Alexander's Bridge",1863-09-18,1863-09-18,"ILLINOIS--92d, 98th and 123d Mounted Infantry. INDIANA--18th Indpt. Battery Light Arty.; 17th and 72d Mounted Infantry.",NA,NA,NA,NA,NA,NA
1390,Action,GA,"Sept. 18: Action, Reed's Bridge",1863-09-18,1863-09-18,ILLINOIS--Chicago Board of Trade Battery Light Arty.; 123d Mounted Infantry. INDIANA--3d Cavalry; 18th Indpt. Battery Light Arty. (Section); 72d Mounted Infantry. MICHIGAN--4th Cavalry. PENNSYLVANIA--7th Cavalry. UNITED STATES--4th Cavalry.,NA,NA,NA,NA,NA,NA
1391,Skirmish,GA,"Sept. 18: Skirmish, Dyer's Ford",1863-09-18,1863-09-18,ILLINOIS--92d and 123d Mounted Infantry.: INDIANA--72d Mounted Infantry.,NA,NA,NA,NA,NA,NA
1392,Skirmish,GA,"Sept. 18: Skirmish, Spring Creek",1863-09-18,1863-09-18,ILLINOIS--96th Mounted Infantry. OHIO--18th Indpt. Battery Light Arty.,NA,NA,NA,NA,NA,NA
1393,Skirmish,GA,Sept. 18: Skirmish near Stevens Gap,1863-09-18,1863-09-18,"INDIANA--2d and 4th Cavalry. OHIO--Battery ""D,"" 1st Light Arty. (Section). TENNESSEE--2d Cavalry. WISCONSIN--1st Cavalry.",NA,NA,NA,NA,NA,NA
1394,Battle,GA,Sept. 19-21: Battle of Chickamauga,1863-09-19,1863-09-21,"ILLINOIS--7th and 15th (Co. ""K"") Cavalry; Batteries ""C"" and ""M,"" 1st Light Arty.; ""I,"" 2d Light Arty.; Chicago Board of Trade and Bridges' Indpt. Batteries Light Arty.; 19th, 21st, 22d, 24th, 25th, 27th, 35th, 36th, 38th, 42d, 44th, 51st, 73d, 78th, 79th, 84th, 85th 86th 88th 89th, 92d (Mounted), 96th, 98th (Mounted), 100th, 104th, 123d (Mounted), and 125th Infantry. INDIANA--2d, 3d and 4th Cavalry; 4th, 5th, 7th, 8th, 11th, 18th, 19th and 21st Indpt. Batteries Light Arty.; 6th, 9th, 10th, 17th (Mounted), 29th, 30th, 31st, 32d, 35th, 36th, 37th, 39th (Mounted), 42d, 44th, 58th, 68th, 72d (Mounted), 74th, 75th, 79th, 81st, 82d, 84th, 86th, 87th, 88th and 101st Infantry. KANSAS--8th Infantry. KENTUCKY--2d, 4th, 5th and 6th Cavalry; 1st, 2d, 3d, 4th (Mounted), 5th, 6th, 8th, 9th, 10th, 15th, 17th, 18th and 23d Infantry. MICHIGAN--2nd and 4th Cavalry; Batteries ""A"" and ""D,"" 1st Light Arty.; 9th, 11th, 13th, 21st and 22d Infantry. MINNESOTA--2d Battery Light Arty.; 2d Infantry. MISSOURI--Battery ""G,"" 1st Light Arty; 2d and 15th Infantry. OHIO--1st, 3d and 4th Cavalry; Batteries ""A,"" ""B,"" ""C,"" ""D,"" ""F,"" ""G"" and ""M,"" 1st Light Arty.; 6th, 18th and 20th Indpt. Batteries Light Arty.; Arty 1st Battalion Sharpshooters; 1st, 2d, 6th, 9th, 10th, 11th, 13th, 14th, 15th, 17th, 18th, 19th, 21st, 24th, 26th, 31st, 33d, 35th, 36th, 38th, 40th, 41st, 49th, 51st, 52d, 59th, 64th, 65th, 69th, 74th, 89th, 90th, 92d, 93d, 94th, 98th, 99th, 101st, 105th, 113th, 121st, 124th and 125th Infantry. PENNSYLVANIA--7th, 9th and 15th Cavalry; Indpt. Battery ""B,"" Light Arty.; 77th, 78th and 79th Infantry. TENNESSEE--1st and 2d Cavalry. WISCONSIN--1st Cavalry: 3d, 5th and 8th Indpt. Batteries Light Arty.; 1st, 10th, 15th, 21st and 24th Infantry. UNITED STATES--4th Cavalry; Batteries ""H,"" ""I"" and ""M,"" 4th Arty.; Battery ""H,"" 5th Arty.; 15th, 16th, 18th and 19th Infantry. Union loss, 1,656 killed, 9,749 wounded, 4,774 missing. Total, 16,179.",16179,1656,9749,11405,4774,NA
1395,Skirmish,GA,"Sept. 21: Skirmishes, Rossville Gap",1863-09-21,1863-09-21,"ILLINOIS--Battery ""I,"" 2d Light Arty.; 19th, 24th and 104th Infantry. INDIANA--3d Cavalry; 4th Indpt. Battery Light Arty.; 37th, 38th, 42d and 88th Infantry. MICHIGAN--4th Cavalry; 11th Infantry. OHIO--Battery ""M,"" 1st Arty.; 6th Indpt. Battery Light Arty.; 2d 11th, 18th, 21st, 33d, 69th, 74th and 94th Infantry. PENNSYLVANIA--7th Cavalry; 78th and 79th Infantry. KENTUCKY--15th Infantry. WISCONSIN--1st, 10th and 21st Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry.",NA,NA,NA,NA,NA,NA
1396,Skirmish,GA,"Sept. 21: Skirmish, Dry Valley",1863-09-21,1863-09-21,TENNESSEE--2d East. Cavalry. WISCONSIN--1st Cavalry.,NA,NA,NA,NA,NA,NA
1397,Skirmish,GA,"Sept. 22: Skirmish, Lookout Church",1863-09-22,1863-09-22,WISCONSIN--1st Cavalry.,NA,NA,NA,NA,NA,NA
1398,Skirmish,GA,"Nov. 18: Skirmish, Trenton",1863-11-18,1863-11-18,"ILLINOIS--Battery ""F,"" 1st Arty.",NA,NA,NA,NA,NA,NA
1399,Action,GA,"Nov. 26: Action, Ringgold",1863-11-26,1863-11-26,ILLINOIS--125th Infantry.,NA,NA,NA,NA,NA,NA
1400,Skirmish,GA,"Nov. 26: Skirmish, Graysville",1863-11-26,1863-11-26,"ILLINOIS--19th and 104th Infantry. INDIANA--38th, 42d and 88th Infantry. MICHIGAN--11th Infantry. OHIO--2d, 33d, 69th and 94th Infantry. UNITED STATES--15th, 16th, 18th and 19th Infantry.",NA,NA,NA,NA,NA,NA
1401,Engagement,GA,"Nov. 27: Engagement, Ringgold Gap, Taylor's Ridge",1863-11-27,1863-11-27,"ILLINOIS--15th Cavalry (Co. ""K""); 13th, 59th, 75th, 84th, 92d (Mounted, Co. ""E""), 96th and 104th Infantry. INDIANA--9th, 35th, 36th, 38th, 42d and 88th Infantry. IOWA--4th, 9th, 25th, 26th, 30th and 31st Infantry. KENTUCKY--2d (Detachment) and 8th Infantry. MISSOURI--Battery ""F,"" 2d Light Arty.; 3d, 12th, 17th, 27th, 29th, 31st and 32d Infantry. NEW YORK--60th, 78th, 102d, 137th and 149th Infantry. OHIO--2d, 5th, 7th, 24th, 29th, 33d, 40th, 51st, 66th, 76th, 94th and 99th Infantry. PENNSYLVANIA--Indpt. Battery ""E,"" Light Arty.; 28th, 29th, 109th, 111th and 147th Infantry. Union loss, 65 killed, 367 wounded. Total, 432.",432,65,367,432,0,NA
1402,Reconnaissance,GA,Dec. 5: Reconn. from Rossville to Ringgold,1863-12-05,1863-12-05,(No Reports.),NA,NA,NA,NA,NA,NA
1403,Scout,GA,Dec. 12: Scout from Rossville toward Dalton,1863-12-12,1863-12-12,KENTUCKY--4th and 6th Cavalry (Detachments).,NA,NA,NA,NA,NA,NA
1404,Skirmish,GA,"Dec. 12: Skirmish, LaFayette",1863-12-12,1863-12-12,KENTUCKY--4th and 6th Cavalry (Detachments).,NA,NA,NA,NA,NA,NA
1405,Skirmish,GA,"Dec. 13: Skirmish, Ringgold",1863-12-13,1863-12-13,KENTUCKY--6th Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
1406,Reconnaissance,GA,Dec. 14: Reconn. from Rossville to LaFayette,1863-12-14,1863-12-14,(No Reports.),NA,NA,NA,NA,NA,NA
1407,Scout,GA,Dec. 21-23: Scout from Rossville to LaFayette,1863-12-21,1863-12-23,KENTUCKY--4th and 6th Cavalry (Detachments).,NA,NA,NA,NA,NA,NA
1408,Skirmish,GA,"Jan. 6: Skirmish, Dalton",1864-01-06,1864-01-06,KENTUCKY--12th Cavalry.,NA,NA,NA,NA,NA,NA
1409,Scout,GA,Jan. 21-23: Scout from Rossville toward Dalton,1864-01-21,1864-01-23,KENTUCKY--28th Mounted Infantry. MICHIGAN--4th Cavalry.,NA,NA,NA,NA,NA,NA
1410,Skirmish,GA,Jan. 22: Skirmish near Dalton,1864-01-22,1864-01-22,KENTUCKY--28th Mounted Infantry. MICHIGAN--4th Cavalry.,NA,NA,NA,NA,NA,NA
1411,Affair,GA,"Jan. 22: Affair, Subligna",1864-01-22,1864-01-22,(No Reports.),NA,NA,NA,NA,NA,NA
1412,Skirmish,GA,"Jan. 30: Skirmish, Chickamauga Creek",1864-01-30,1864-01-30,(No Reports.),NA,NA,NA,NA,NA,NA
1413,Skirmish,GA,"Feb. 8: Skirmish, Ringgold",1864-02-08,1864-02-08,OHIO--4th Cavalry.,NA,NA,NA,NA,NA,NA
1414,Skirmish,GA,"Feb. 12: Skirmish, Ringgold",1864-02-12,1864-02-12,MICHIGAN--4th Cavalry.,NA,NA,NA,NA,NA,NA
1415,Skirmish,GA,"Feb. 22: Skirmish, Woodstock Mills",1864-02-22,1864-02-22,PENNSYLVANIA--97th Infantry.,NA,NA,NA,NA,NA,NA
1416,Skirmish,GA,"Feb. 22: Skirmish, Whitmarsh Island",1864-02-22,1864-02-22,"OHIO--67 Infantry (Detachment). PENNSYLVANIA--85th Infantry. Loss, 4 wounded.",NA,NA,4,NA,NA,NA
1417,Demonstration,GA,Feb. 22-27: Demonstration on Dalton,1864-02-22,1864-02-27,"ILLINOIS--16th (Mounted), 19th, 24th, 60th, 75th, 78th, 80th, 84th, 85th, 86th, 93d (Mounted), 96th, 98th (Mounted), 103d, 115th and 125th Infantry. INDIANA--8th Cavalry; 5th and 19th Indpt. Batteries Light Arty.; 10th, 30th, 36th, 37th, 74th, 82d, 84th, 87th, 88th, 97th and 99th Infantry. KENTUCKY--2d (Detachment), 8th, 10th and 28th (Mounted) Infantry. MICHIGAN--4th Cavalry (Detachment); Battery ""A,"" 1st Light Arty. (Section); 10th Infantry. MINNESOTA--2d Battery Light Arty. (Section). MISSOURI--32d Infantry. OHIO--1st, 3d and 4th Cavalry (Detachments); 2d, 9th, 11th, 24th, 35th, 40th, 52d, 89th, 92d, 94th, 99th, 105th, 108th and 113th Infantry. PENNSYLVANIA--15th Cavalry. WISCONSIN--1st and 10th Infantry. UNITED STATES--Battery ""H,"" 4th Arty.; 15th, 16th, 18th and 19th Infantry.",NA,NA,NA,NA,NA,NA
1418,Skirmish,GA,Feb. 23: Skirmish near Dalton,1864-02-23,1864-02-23,"ILLINOIS--75th, 80th, 84th and 98th (Mounted) Infantry. INDIANA--30th and 36th Infantry. KENTUCKY--2d Infantry (Detachment). MICHIGAN--4th Cavalry (Detachment). OHIO--1st, 3d and 4th Cavalry (Detachments); 24th Infantry. UNITED STATES--Battery ""H,"" 4th Arty.",NA,NA,NA,NA,NA,NA
1419,Skirmish,GA,"Feb. 23: Skirmish, Catoosa Station",1864-02-23,1864-02-23,INDIANA--8th Cavalry.,NA,NA,NA,NA,NA,NA
1420,Skirmish,GA,"Feb. 23: Skirmish, Tunnel Hill",1864-02-23,1864-02-23,"ILLINOIS--19th and 88th Infantry. INDIANA--8th Cavalry. MICHIGAN--4th Cavalry (Detachment). OHIO 94th Infantry. Loss, 2 wounded.",NA,NA,2,NA,NA,NA
1421,Action,GA,"Feb. 23-25: Actions, Tunnel Hill, Buzzard's Roost Gap and Rocky Faced Ridge",1864-02-23,1864-02-25,"ILLINOIS--16th (Mounted). 19th, 24th, 60th, 75th, 78th, 80th, 84th, 85th, 86th, 93d (Mounted), 96th, 98th (Mounted), 103d, 115th and 125th Infantry. INDIANA--8th Cavalry; 5th and 19th Indpt. Batteries Light Arty.; 10th, 12th, 30th, 36th, 37th, 74th, 82d, 84th, 87th, 88th, 97th and 99th Infantry. KENTUCKY--2d (Detachment), 8th, 10th and 28th (Mounted), Infantry. MICHIGAN--4th Cavalry (Detachment), Battery ""A,"" 1st Light Arty. (Section), 10th Infantry. MINNESOTA--2d Battery Light Arty. (Section). MISSOURI--32d Infantry. OHIO--1st, 3d and 4th Cavalry (Detachments); 2d, 9th, 11th, 24th, 35th, 40th, 52d, 89th, 92d, 94th, 99th, 105th, 108th and 113th Infantry. PENNSYLVANIA--15th Cavalry. WISCONSIN--1st and 10th Infantry. UNITED STATES--Battery ""H,"" 4th Arty.; 15th, 16th, 18th and 19th Infantry. Union loss, 43 killed, 267 wounded, 35 missing. Total, 345.",345,43,267,310,35,NA
1422,Skirmish,GA,"Feb. 24-25: Skirmish, Crows' Valley",1864-02-24,1864-02-25,OHIO--5th Cavalry.,NA,NA,NA,NA,NA,NA
1423,Skirmish,GA,"Feb. 25: Skirmish, Mill Creek Gap",1864-02-25,1864-02-25,INDIANA--8th Cavalry.,NA,NA,NA,NA,NA,NA
1424,Skirmish,GA,"Feb. 27: Skirmish, Stone Church near Catoosa Platform",1864-02-27,1864-02-27,INDIANA--5th Indpt. Battery Light Arty. MICHIGAN--4th Cavalry. OHIO--40th Infantry.,NA,NA,NA,NA,NA,NA
1425,Skirmish,GA,"March 5: Skirmish, Leet's Tan Yard",1864-03-05,1864-03-05,INDIANA--8th Cavalry.,NA,NA,NA,NA,NA,NA
1426,Skirmish,GA,March 9: Skirmish near Nickajack Gap,1864-03-09,1864-03-09,INDIANA--8th Cavalry.,NA,NA,NA,NA,NA,NA
1427,Skirmish,GA,"April 3: Skirmish, Ducktown Road",1864-04-03,1864-04-03,(No Reports.),NA,NA,NA,NA,NA,NA
1428,Scout,GA,April 10: Scout to Dedmon's Trace,1864-04-10,1864-04-10,OHIO--4th Cavalry (Detachment).,NA,NA,NA,NA,NA,NA
1429,Reconnaissance,GA,April 11-13: Reconn. from Rossville to LaFayette,1864-04-11,1864-04-13,ILLINOIS--78th Infantry.,NA,NA,NA,NA,NA,NA
1430,Skirmish,GA,"April 14: Skirmish, Taylor's Ridge",1864-04-14,1864-04-14,(No Reports.),NA,NA,NA,NA,NA,NA
1431,Skirmish,GA,"April 23: Skirmish, Nickajack Trace or Gap",1864-04-23,1864-04-23,"ILLINOIS--92d Mounted Infantry (Detachment). Union loss, 5 killed, 10 wounded, 13 missing. Total, 28.",28,5,10,15,13,NA
1432,Scout,GA,April 24-25: Scout from Ringgold to Lafayette,1864-04-24,1864-04-25,OHIO--10th Cavalry.,NA,NA,NA,NA,NA,NA
1433,Skirmish,GA,"April 27: Skirmish, Taylor's Ridge near Ringgold",1864-04-27,1864-04-27,KENTUCKY--3d Cavalry.,NA,NA,NA,NA,NA,NA
1434,Reconnaissance,GA,April 29: Reconn. from Ringgold toward Tunnel Hill,1864-04-29,1864-04-29,"ILLINOIS--92d Mounted Infantry. INDIANA--7th Indpt. Battery Light Arty. (Section); 75th, 87th and 101st Infantry. KENTUCKY--3d Cavalry. MINNESOTA--2d Infantry. OHIO--9th, 35th and 105th Infantry.",NA,NA,NA,NA,NA,NA
1435,Skirmish,GA,"April 29: Skirmish, Tunnel Hill",1864-04-29,1864-04-29,ILLINOIS--92d Mounted Infantry.,NA,NA,NA,NA,NA,NA
1436,Scout,GA,May: Scout to Alpine and Summerville,1864-05-01,1864-05-31,KENTUCKY--5th Cavalry.,NA,NA,NA,NA,NA,NA
1437,Skirmish,GA,"May 1: Skirmish, Stone Church",1864-05-01,1864-05-01,"ILLINOIS--92d Mounted Infantry. OHIO--10th Cavalry. Union loss, 3 killed, 2 wounded. Total, 5.",5,3,2,5,0,NA
